,City,Cost,Rating,Comfort
0,Zamość,1540,8.6,8.6
1,Zamość,1333,10.0,10.0
2,Zamość,1333,9.7,10.0
3,Zamość,1512,10.0,10.0
4,Zamość,2090,8.4,8.2
5,Zamość,1277,10.0,10.0
6,Zamość,1852,9.6,9.5
7,Zamość,1750,9.5,9.7
8,Zamość,2240,9.5,10.0
9,Zamość,1330,9.0,9.1
10,Zamość,2260,8.3,8.5
11,Zamość,1050,8.1,8.3
12,Zamość,875,8.1,8.3
13,Zamość,725,8.5,9.9
14,Zamość,1607,9.9,8.3
15,Zamość,910,8.5,10.0
16,Zamość,1708,10.0,8.5
17,Zamość,1400,8.6,9.6
18,Zamość,1953,9.7,10.0
19,Zamość,1852,10.0,10.0
20,Zamość,2945,10.0,8.7
21,Zamość,1435,8.5,9.7
22,Zamość,1785,8.0,9.6
23,Zamość,1680,9.7,9.3
24,Zamość,1190,9.4,8.5
25,Zamość,840,9.3,9.2
26,Zamość,1881,8.3,8.8
27,Zamość,1883,9.3,9.6
28,Zamość,1385,9.0,9.4
29,Zamość,2380,9.7,8.3
30,Zamość,1815,7.4,8.9
31,Zamość,1120,7.5,10.0
32,Zamość,1115,9.2,9.8
33,Zamość,1666,8.3,9.2
34,Zamość,1190,8.7,9.3
35,Zamość,1281,9.9,9.4
36,Zamość,2111,9.9,9.7
37,Zamość,3161,9.5,9.7
38,Zamość,2975,9.3,9.4
39,Zamość,3500,9.2,8.6
40,Zamość,2887,9.7,10.0
41,Zamość,2800,9.3,9.8
42,Zamość,1989,9.7,9.8
43,Zamość,1572,8.8,9.8
44,Zamość,3270,10.0,8.6
45,Zamość,1413,9.7,9.5
46,Zamość,1638,7.8,9.2
47,Zamość,1862,9.8,10.0
48,Zamość,1670,9.7,8.9
49,Zamość,2543,8.9,9.7
50,Zamość,1960,7.7,8.1
51,Zamość,1400,9.0,9.8
52,Zamość,1750,9.2,10.0
53,Zamość,1610,10.0,9.9
54,Zamość,1715,8.9,9.4
55,Zamość,2083,7.7,8.2
56,Zamość,1505,9.5,8.8
57,Zamość,1225,8.1,9.7
58,Zamość,2443,9.7,9.5
59,Zamość,2240,9.7,8.6
60,Zamość,2083,9.8,9.8
61,Zamość,3458,9.5,10.0
62,Zamość,3273,8.3,9.8
63,Zamość,2394,8.7,8.8
64,Zamość,700,9.7,9.2
65,Zamość,1400,9.2,9.5
66,Zamość,1960,8.7,9.1
67,Zamość,1890,9.7,10.0
68,Zamość,1708,9.7,10.0
69,Zamość,2543,9.8,9.9
70,Zamość,1500,9.0,9.2
71,Zamość,1618,9.1,10.0
72,Zamość,1488,9.4,8.3
73,Zamość,1650,8.0,9.1
74,Zamość,1602,9.0,9.6
75,Zamość,2520,10.0,10.0
76,Zamość,2499,8.3,9.7
77,Zamość,1981,10.0,9.6
78,Zamość,1428,9.8,9.8
79,Zamość,1147,8.9,9.8
80,Zamość,2910,9.8,9.3
81,Zamość,2142,8.8,9.9
82,Zamość,1339,9.4,9.7
83,Zamość,1750,9.7,9.9
84,Zamość,1638,9.8,9.8
85,Zamość,3080,9.4,9.3
86,Zamość,2841,9.6,9.7
87,Zamość,2016,9.7,8.1
88,Zamość,1879,9.6,8.7
89,Zamość,2618,9.0,8.9
90,Zamość,2552,9.8,9.5
91,Zamość,2520,9.3,8.1
92,Zamość,2450,9.9,9.7
93,Zamość,4900,9.8,9.8
94,Zamość,1890,9.2,8.4
95,Zamość,2930,9.5,9.5
96,Zamość,4200,8.8,9.9
97,Zamość,2800,8.6,9.2
98,Zamość,1960,8.9,8.3
99,Zamość,2450,9.0,9.5
100,Zamość,2065,8.3,10.0
101,Zamość,1750,9.8,9.8
102,Zamość,1764,9.5,9.9
103,Zamość,2807,8.6,9.8
104,Zamość,1978,9.3,9.6
