,City,Cost,Rating,Comfort
0,Łódź,1184,9.0,9.1
1,Łódź,1915,7.1,8.2
2,"Śródmieście, Łódź",587,8.0,9.6
3,"Śródmieście, Łódź",1238,8.1,9.4
4,"Śródmieście, Łódź",1292,7.7,10.0
5,"Śródmieście, Łódź",1242,9.2,8.8
6,"Śródmieście, Łódź",583,7.9,8.7
7,"Śródmieście, Łódź",1043,9.3,8.8
8,"Śródmieście, Łódź",1073,10.0,8.8
9,"Śródmieście, Łódź",1059,7.7,8.9
10,"Śródmieście, Łódź",619,8.9,8.9
11,Łódź,980,8.5,8.4
12,"Śródmieście, Łódź",1228,8.7,8.6
13,"Bałuty, Łódź",2300,9.0,9.2
14,"Śródmieście, Łódź",1246,8.6,9.2
15,Łódź,678,5.0,9.0
16,"Śródmieście, Łódź",2125,7.9,10.0
17,"Śródmieście, Łódź",1074,7.4,9.6
18,"Śródmieście, Łódź",1270,8.8,9.7
19,"Bałuty, Łódź",2333,8.6,8.1
20,"Bałuty, Łódź",952,8.6,8.6
21,"Śródmieście, Łódź",1190,9.7,8.8
22,"Śródmieście, Łódź",712,7.1,8.4
23,"Bałuty, Łódź",1855,9.1,9.4
24,"Śródmieście, Łódź",627,4.5,9.6
25,Łódź,2120,8.7,9.3
26,"Śródmieście, Łódź",910,10.0,8.2
27,"Śródmieście, Łódź",1233,9.5,8.2
28,Łódź,1127,9.6,9.7
29,"Śródmieście, Łódź",587,8.1,9.5
30,"Śródmieście, Łódź",808,8.3,8.6
31,"Śródmieście, Łódź",1145,8.6,8.4
32,"Śródmieście, Łódź",2424,8.4,8.1
33,"Śródmieście, Łódź",1153,9.2,8.6
34,Łódź,1210,9.3,8.7
35,"Śródmieście, Łódź",1238,9.2,8.2
36,"Śródmieście, Łódź",1134,8.1,9.4
37,"Bałuty, Łódź",770,8.1,9.0
38,"Śródmieście, Łódź",1890,9.5,10.0
39,"Śródmieście, Łódź",1074,6.7,9.7
40,Łódź,879,9.3,8.6
41,"Śródmieście, Łódź",1826,8.3,9.3
42,"Śródmieście, Łódź",1071,7.5,9.4
43,"Bałuty, Łódź",938,8.3,10.0
44,"Śródmieście, Łódź",1545,7.9,8.3
45,Łódź,1251,7.7,10.0
46,"Bałuty, Łódź",1654,8.0,9.1
47,"Bałuty, Łódź",630,8.5,8.9
48,Łódź,1374,8.4,9.5
49,Łódź,1587,9.6,9.7
50,Łódź,977,8.8,8.5
51,Łódź,1600,10.0,8.8
52,"Śródmieście, Łódź",1290,7.7,9.3
53,"Śródmieście, Łódź",1134,9.7,9.1
54,"Śródmieście, Łódź",1292,8.2,9.6
55,"Bałuty, Łódź",1890,9.3,8.5
56,"Śródmieście, Łódź",1503,9.6,8.1
57,"Śródmieście, Łódź",1406,9.5,8.2
58,"Śródmieście, Łódź",1995,7.4,8.9
59,Łódź,1909,8.2,8.4
60,"Śródmieście, Łódź",583,8.1,8.1
61,"Bałuty, Łódź",8868,9.0,9.1
62,"Śródmieście, Łódź",3832,7.2,8.7
63,"Śródmieście, Łódź",1285,8.6,10.0
64,"Śródmieście, Łódź",1361,9.0,9.4
65,"Śródmieście, Łódź",1920,7.1,9.5
66,"Śródmieście, Łódź",661,9.3,9.5
67,Łódź,840,9.5,9.3
68,Łódź,1540,8.7,8.3
69,"Bałuty, Łódź",1526,8.7,9.6
70,"Śródmieście, Łódź",870,9.3,8.4
