,City,Cost,Rating,Comfort
0,Bydgoszcz,1400,9.2,9.7
1,Bydgoszcz,2095,8.7,8.2
2,Bydgoszcz,1339,9.0,9.5
3,Bydgoszcz,1575,8.0,8.1
4,Bydgoszcz,2945,9.2,9.0
5,Bydgoszcz,1130,9.2,9.3
6,Bydgoszcz,1904,9.0,8.8
7,Bydgoszcz,1874,9.9,10.0
8,Bydgoszcz,1311,8.8,8.8
9,Bydgoszcz,2940,7.9,10.0
10,Bydgoszcz,1894,7.2,8.7
11,Bydgoszcz,1396,9.8,9.1
12,Bydgoszcz,1883,8.5,9.6
13,Bydgoszcz,2008,8.8,9.1
14,Bydgoszcz,2414,9.3,8.9
15,Bydgoszcz,4550,9.0,8.4
16,Bydgoszcz,2331,8.8,8.9
17,Bydgoszcz,1574,8.4,8.4
18,Bydgoszcz,1386,8.7,8.4
19,Bydgoszcz,2716,8.4,8.0
20,Bydgoszcz,4554,8.5,8.3
21,Bydgoszcz,2409,7.9,8.7
22,Bydgoszcz,2083,8.6,8.7
23,Bydgoszcz,3453,8.6,9.1
24,Bydgoszcz,1636,8.5,10.0
25,Bydgoszcz,1540,8.6,9.7
26,Bydgoszcz,2101,9.3,8.2
27,Bydgoszcz,5345,9.7,9.5
28,Bydgoszcz,1253,8.2,8.2
29,Bydgoszcz,1339,9.2,8.2
30,Bydgoszcz,2911,8.1,8.6
31,Bydgoszcz,1500,8.7,8.0
32,Bydgoszcz,2240,8.4,8.8
33,Bydgoszcz,4578,8.0,8.2
34,Bydgoszcz,3252,9.2,10.0
35,Bydgoszcz,1575,8.1,9.7
36,Bydgoszcz,3486,9.8,8.3
37,Bydgoszcz,1890,9.6,9.1
38,Bydgoszcz,1600,7.4,9.3
39,Bydgoszcz,2215,8.0,9.2
40,Bydgoszcz,2219,8.4,9.4
41,Bydgoszcz,2591,9.1,9.7
42,Bydgoszcz,2450,9.4,8.3
43,Bydgoszcz,1302,8.9,9.4
44,Bydgoszcz,1253,7.9,8.9
45,Bydgoszcz,2240,9.3,9.5
46,Bydgoszcz,2059,9.6,9.2
47,Bydgoszcz,4226,8.3,9.3
48,Bydgoszcz,2066,9.3,8.4
49,Bydgoszcz,3073,8.9,8.7
50,Bydgoszcz,3080,9.0,9.2
51,Bydgoszcz,1505,9.0,8.1
52,Bydgoszcz,2450,9.3,8.8
53,Bydgoszcz,1575,8.5,8.4
54,Bydgoszcz,2945,8.7,8.3
55,Bydgoszcz,2040,9.2,9.4
56,Bydgoszcz,2025,8.0,9.3
57,Bydgoszcz,1253,8.5,9.4
58,Bydgoszcz,1645,8.4,9.4
59,Bydgoszcz,2506,8.3,9.3
60,Bydgoszcz,1130,9.1,8.9
61,Bydgoszcz,5355,9.4,9.9
62,Bydgoszcz,3606,9.1,9.0
63,Bydgoszcz,3574,9.5,8.2
64,Bydgoszcz,10530,7.9,9.4
65,Bydgoszcz,1837,9.0,9.4
66,Bydgoszcz,1793,8.8,9.4
67,Bydgoszcz,2310,9.7,9.4
68,Bydgoszcz,1946,8.8,8.1
69,Bydgoszcz,2380,8.2,9.0
70,Bydgoszcz,3556,9.2,9.3
71,Bydgoszcz,2380,9.3,9.2
72,Bydgoszcz,1790,9.2,9.3
73,Bydgoszcz,1253,9.0,8.0
74,Bydgoszcz,1785,8.1,8.8
75,Bydgoszcz,2579,9.2,9.3
76,Bydgoszcz,2065,9.2,8.5
77,Bydgoszcz,2450,9.3,8.2
78,Bydgoszcz,2765,9.1,9.2
79,Bydgoszcz,1904,8.0,9.2
80,Bydgoszcz,2240,8.8,9.4
81,Bydgoszcz,2380,9.2,9.7
82,Bydgoszcz,1771,8.6,8.1
83,Bydgoszcz,1509,8.5,8.6
84,Bydgoszcz,2583,9.1,8.7
85,Bydgoszcz,1874,9.3,10.0
86,Bydgoszcz,1785,9.4,9.3
87,Bydgoszcz,3360,9.7,8.1
88,Bydgoszcz,2520,8.6,9.4
89,Bydgoszcz,2157,8.7,9.4
90,Bydgoszcz,3884,8.5,9.1
91,Bydgoszcz,2576,9.7,9.4
92,Bydgoszcz,3120,9.2,9.3
93,Bydgoszcz,2900,8.0,9.1
94,Bydgoszcz,2199,9.4,8.8
95,Bydgoszcz,2707,9.4,9.4
96,Bydgoszcz,3213,9.1,8.6
97,Bydgoszcz,3080,9.2,8.9
98,Bydgoszcz,3326,9.4,8.6
99,Bydgoszcz,2380,9.1,9.8
100,Bydgoszcz,2244,9.0,10.0
101,Bydgoszcz,2905,9.5,8.7
102,Bydgoszcz,2525,8.5,9.4
103,Bydgoszcz,2660,8.9,8.6
104,Bydgoszcz,1311,8.6,9.8
105,Bydgoszcz,2093,9.6,9.9
106,Bydgoszcz,3228,9.9,10.0
107,Bydgoszcz,4900,8.8,8.0
108,Bydgoszcz,1820,9.3,9.7
109,Bydgoszcz,4473,8.4,9.5
110,Bydgoszcz,2940,9.5,9.8
111,Bydgoszcz,2380,4.8,9.5
112,Bydgoszcz,3430,9.8,8.1
113,Bydgoszcz,4132,9.7,8.9
114,Bydgoszcz,3213,7.9,8.6
115,Bydgoszcz,1946,9.2,9.4
116,Bydgoszcz,2722,9.7,9.3
117,Bydgoszcz,2583,9.6,8.9
118,Bydgoszcz,2880,9.4,8.8
119,Bydgoszcz,2629,8.6,8.7
120,Bydgoszcz,2457,8.7,9.2
121,Bydgoszcz,3920,8.7,10.0
