,City,Cost,Rating,Comfort
0,"Przymorze, Gdańsk",2600,9.0,8.5
1,"Centrum, Gdańsk",10590,9.7,9.7
2,Gdańsk,2625,9.8,9.8
3,"Centrum, Gdańsk",3254,9.7,10.0
4,"Centrum, Gdańsk",3125,10.0,10.0
5,"Centrum, Gdańsk",4481,10.0,10.0
6,"Centrum, Gdańsk",2202,9.7,9.4
7,"Wrzeszcz, Gdańsk",2397,10.0,10.0
8,Gdańsk,2975,10.0,10.0
9,"Wrzeszcz, Gdańsk",2902,10.0,10.0
10,"Brzeźno, Gdańsk",5526,10.0,10.0
11,Gdańsk,2762,8.0,9.3
12,"Wrzeszcz, Gdańsk",2678,8.5,10.0
13,"Centrum, Gdańsk",4664,9.1,8.6
14,"Centrum, Gdańsk",2778,10.0,10.0
15,"Centrum, Gdańsk",2919,9.0,10.0
16,"Centrum, Gdańsk",3652,9.0,9.7
17,"Centrum, Gdańsk",3994,10.0,10.0
18,"Centrum, Gdańsk",3780,9.7,10.0
19,"Centrum, Gdańsk",5010,10.0,10.0
20,"Brzeźno, Gdańsk",2730,8.0,9.5
21,"Brzeźno, Gdańsk",4550,10.0,10.0
22,"Centrum, Gdańsk",2520,10.0,10.0
23,"Przymorze, Gdańsk",3096,9.3,10.0
24,Gdańsk,1512,10.0,9.4
25,Gdańsk,3615,10.0,8.4
26,"Wrzeszcz, Gdańsk",2195,8.0,9.8
27,"Brzeźno, Gdańsk",3113,10.0,10.0
28,"Centrum, Gdańsk",3221,7.8,8.7
29,Gdańsk,2625,9.4,10.0
30,"Centrum, Gdańsk",7081,8.3,10.0
31,"Centrum, Gdańsk",3017,9.8,10.0
32,"Przymorze, Gdańsk",3698,10.0,8.8
33,"Wrzeszcz, Gdańsk",3110,8.0,10.0
34,"Centrum, Gdańsk",3985,8.9,10.0
35,"Centrum, Gdańsk",3254,9.5,10.0
36,"Centrum, Gdańsk",2513,10.0,10.0
37,"Centrum, Gdańsk",2534,10.0,10.0
38,Gdańsk,3730,9.0,9.2
39,"Centrum, Gdańsk",4808,7.0,10.0
40,Gdańsk,3664,10.0,10.0
41,Gdańsk,2363,10.0,10.0
42,"Centrum, Gdańsk",5164,10.0,10.0
43,"Centrum, Gdańsk",3444,10.0,10.0
44,Gdańsk,2716,10.0,10.0
45,"Przymorze, Gdańsk",2430,9.0,9.2
46,"Centrum, Gdańsk",3150,10.0,10.0
47,Gdańsk,3698,10.0,10.0
48,"Przymorze, Gdańsk",2705,9.7,8.8
49,"Przymorze, Gdańsk",3640,10.0,10.0
50,"Centrum, Gdańsk",5046,9.0,10.0
51,"Wrzeszcz, Gdańsk",1874,9.0,8.8
52,"Centrum, Gdańsk",4246,8.2,8.9
53,Gdańsk,3271,9.9,10.0
54,"Centrum, Gdańsk",3125,9.7,9.2
55,"Przymorze, Gdańsk",2508,8.6,9.8
56,"Centrum, Gdańsk",1976,9.7,10.0
57,"Przymorze, Gdańsk",2376,9.7,9.3
58,Gdańsk,3350,9.5,8.3
59,"Jelitkowo, Gdańsk",7004,9.0,10.0
60,"Centrum, Gdańsk",4481,9.3,9.0
61,"Wrzeszcz, Gdańsk",3276,9.3,10.0
62,Gdańsk,3639,9.7,10.0
63,"Przymorze, Gdańsk",1663,10.0,8.8
64,"Centrum, Gdańsk",2900,9.0,8.5
65,"Przymorze, Gdańsk",4480,8.0,10.0
66,"Brzeźno, Gdańsk",6264,9.2,8.4
67,Gdańsk,2464,6.7,10.0
