,City,Cost,Rating,Comfort
0,Jelenia Góra,1894,9.7,9.6
1,Jelenia Góra,2331,9.4,10.0
2,Jelenia Góra,2142,9.1,9.1
3,"Cieplice, Jelenia Góra",1890,10.0,10.0
4,Jelenia Góra,2310,9.2,9.4
5,Jelenia Góra,1567,10.0,10.0
6,"Cieplice, Jelenia Góra",2590,10.0,10.0
7,Jelenia Góra,2035,9.0,8.9
8,Jelenia Góra,2096,9.7,9.9
9,"Cieplice, Jelenia Góra",1960,9.4,9.7
10,"Cieplice, Jelenia Góra",2156,8.8,8.7
11,"Cieplice, Jelenia Góra",3328,10.0,10.0
12,Jelenia Góra,2030,9.5,9.6
13,Jelenia Góra,1272,9.7,9.8
14,Jelenia Góra,1581,8.8,8.3
15,Jelenia Góra,2199,8.0,8.1
16,Jelenia Góra,2058,8.0,10.0
17,Jelenia Góra,1400,10.0,8.8
18,Jelenia Góra,4060,8.9,8.3
19,Jelenia Góra,2678,8.1,9.2
20,"Cieplice, Jelenia Góra",1533,9.2,8.8
21,Jelenia Góra,3395,9.0,9.7
22,Jelenia Góra,1428,9.7,10.0
23,Jelenia Góra,2025,9.0,9.4
24,"Cieplice, Jelenia Góra",2410,10.0,9.4
25,"Cieplice, Jelenia Góra",2384,9.4,9.3
26,Jelenia Góra,4463,9.2,10.0
27,Jelenia Góra,2157,9.4,9.1
28,Jelenia Góra,2810,8.9,9.3
29,Jelenia Góra,2142,9.6,10.0
30,Jelenia Góra,1630,10.0,9.4
31,"Cieplice, Jelenia Góra",1780,9.4,9.4
32,Jelenia Góra,3119,9.3,9.1
33,Jelenia Góra,1855,9.1,9.7
34,Jelenia Góra,1450,9.2,9.5
35,"Cieplice, Jelenia Góra",1890,9.4,9.6
36,"Cieplice, Jelenia Góra",2083,9.6,8.9
37,Jelenia Góra,2013,8.8,9.2
38,Jelenia Góra,1575,10.0,10.0
39,Jelenia Góra,1961,9.9,9.6
40,Jelenia Góra,2070,9.5,9.5
41,Jelenia Góra,3091,9.4,10.0
42,Jelenia Góra,1790,9.0,8.6
43,Jelenia Góra,1810,8.7,9.4
44,"Cieplice, Jelenia Góra",1729,9.2,9.2
45,"Cieplice, Jelenia Góra",3823,9.3,10.0
46,Jelenia Góra,1680,9.7,9.0
47,Jelenia Góra,1605,9.8,9.5
48,Jelenia Góra,3211,9.3,9.7
49,"Cieplice, Jelenia Góra",2631,9.5,9.8
50,"Cieplice, Jelenia Góra",2512,9.7,10.0
51,Jelenia Góra,2486,8.0,9.6
52,Jelenia Góra,2576,10.0,9.1
53,"Cieplice, Jelenia Góra",1977,9.5,9.0
54,Jelenia Góra,2310,9.0,9.4
55,"Cieplice, Jelenia Góra",2125,8.9,9.9
56,Jelenia Góra,4218,9.3,9.4
57,Jelenia Góra,6350,9.8,9.5
58,Jelenia Góra,1428,9.2,9.5
59,Jelenia Góra,2185,9.6,9.6
60,Jelenia Góra,1567,9.0,9.5
61,Jelenia Góra,1835,9.6,10.0
62,Jelenia Góra,1895,9.8,8.2
63,Jelenia Góra,1953,9.5,9.6
64,Jelenia Góra,1863,9.8,10.0
65,Jelenia Góra,2030,8.5,9.9
66,Jelenia Góra,2345,9.7,9.6
67,Jelenia Góra,4195,9.8,9.4
68,"Cieplice, Jelenia Góra",1785,9.7,8.1
69,Jelenia Góra,2450,9.4,9.2
70,Jelenia Góra,2179,9.4,9.6
71,Jelenia Góra,2228,8.6,8.7
72,Jelenia Góra,2640,9.3,9.8
73,Jelenia Góra,1498,9.3,10.0
74,Jelenia Góra,1555,8.3,9.6
75,"Cieplice, Jelenia Góra",1878,9.6,9.3
76,Jelenia Góra,2072,10.0,9.2
77,Jelenia Góra,2909,9.3,9.5
78,Jelenia Góra,2485,9.7,9.2
79,"Cieplice, Jelenia Góra",2590,9.0,10.0
80,Jelenia Góra,2240,9.4,9.1
81,Jelenia Góra,1323,9.3,9.2
82,Jelenia Góra,2425,10.0,8.9
83,"Cieplice, Jelenia Góra",1652,9.0,9.4
84,Jelenia Góra,2632,9.1,9.2
85,Jelenia Góra,2035,9.1,9.2
86,"Cieplice, Jelenia Góra",1785,9.4,9.8
87,Jelenia Góra,1607,9.4,9.7
88,Jelenia Góra,2100,9.5,9.1
89,Jelenia Góra,2312,9.9,9.5
90,Jelenia Góra,2165,9.9,9.6
91,Jelenia Góra,1890,9.0,10.0
92,Jelenia Góra,2726,9.5,9.7
93,Jelenia Góra,1995,9.7,9.5
94,"Cieplice, Jelenia Góra",2210,10.0,9.6
95,Jelenia Góra,2360,9.6,9.2
96,Jelenia Góra,2275,7.5,8.6
97,Jelenia Góra,1827,9.3,8.9
98,Jelenia Góra,2331,9.4,9.4
99,Jelenia Góra,3344,9.3,9.4
100,"Cieplice, Jelenia Góra",1725,8.8,9.5
101,Jelenia Góra,2380,9.0,9.4
102,"Cieplice, Jelenia Góra",2100,9.5,9.5
103,"Cieplice, Jelenia Góra",2096,9.4,9.7
104,Jelenia Góra,2096,9.4,9.7
105,Jelenia Góra,3172,9.5,9.8
106,Jelenia Góra,3246,9.6,9.7
107,Jelenia Góra,2547,9.4,9.6
108,"Cieplice, Jelenia Góra",3449,9.6,8.8
109,Jelenia Góra,2100,10.0,9.5
110,"Cieplice, Jelenia Góra",2156,9.6,9.7
111,"Cieplice, Jelenia Góra",2554,9.5,10.0
112,Jelenia Góra,1750,9.5,9.7
113,Jelenia Góra,2527,9.4,10.0
114,Jelenia Góra,2205,9.6,9.7
115,Jelenia Góra,2400,9.8,10.0
116,"Cieplice, Jelenia Góra",4200,9.8,9.3
117,"Cieplice, Jelenia Góra",3239,9.2,9.1
118,Jelenia Góra,2480,9.7,9.7
119,Jelenia Góra,2835,10.0,8.5
120,"Cieplice, Jelenia Góra",2481,9.1,9.2
121,Jelenia Góra,2589,9.3,10.0
122,Jelenia Góra,2100,9.6,9.5
123,Jelenia Góra,2549,8.6,9.5
124,Jelenia Góra,2205,8.8,9.6
125,"Cieplice, Jelenia Góra",2189,10.0,8.7
126,"Cieplice, Jelenia Góra",2318,9.3,9.7
127,Jelenia Góra,4333,9.5,8.9
128,Jelenia Góra,2669,9.4,9.2
129,Jelenia Góra,2030,8.7,9.6
130,Jelenia Góra,1975,9.7,9.6
131,Jelenia Góra,2450,8.5,10.0
132,"Cieplice, Jelenia Góra",1846,9.4,9.7
133,"Cieplice, Jelenia Góra",4208,9.2,9.5
134,"Cieplice, Jelenia Góra",2450,9.4,9.7
135,Jelenia Góra,1272,10.0,9.8
136,Jelenia Góra,3530,9.5,10.0
137,Jelenia Góra,2450,9.4,8.9
138,Jelenia Góra,3151,9.7,9.0
139,Jelenia Góra,2889,9.7,9.2
140,"Cieplice, Jelenia Góra",2562,10.0,9.1
141,"Cieplice, Jelenia Góra",2660,6.8,10.0
142,"Cieplice, Jelenia Góra",2280,8.7,9.6
143,Jelenia Góra,1938,9.0,9.2
144,"Cieplice, Jelenia Góra",2769,9.0,10.0
145,"Cieplice, Jelenia Góra",2371,8.9,9.3
146,"Cieplice, Jelenia Góra",1621,9.9,9.6
147,"Cieplice, Jelenia Góra",2394,7.0,10.0
148,Jelenia Góra,1750,9.5,9.8
149,Jelenia Góra,2649,9.7,10.0
150,Jelenia Góra,1743,10.0,9.5
151,Jelenia Góra,2365,9.3,10.0
152,Jelenia Góra,3570,9.3,9.9
153,Jelenia Góra,1752,9.9,10.0
154,Jelenia Góra,1581,9.7,9.7
155,Jelenia Góra,3150,10.0,10.0
156,"Cieplice, Jelenia Góra",3832,10.0,9.7
157,Jelenia Góra,2826,9.6,10.0
158,Jelenia Góra,4235,9.8,9.3
159,"Cieplice, Jelenia Góra",5670,10.0,9.1
160,Jelenia Góra,2199,9.5,9.0
161,Jelenia Góra,2874,9.2,9.6
162,Jelenia Góra,3927,9.7,9.6
163,Jelenia Góra,2753,7.9,9.3
164,Jelenia Góra,2722,10.0,9.3
165,Jelenia Góra,2835,9.2,8.5
166,Jelenia Góra,2730,9.3,8.3
167,Jelenia Góra,3049,8.9,9.3
168,"Cieplice, Jelenia Góra",3315,9.6,9.5
169,"Cieplice, Jelenia Góra",1975,9.4,9.8
170,Jelenia Góra,4052,9.5,9.3
171,Jelenia Góra,3528,9.4,8.3
172,"Cieplice, Jelenia Góra",2100,7.8,10.0
173,"Cieplice, Jelenia Góra",2100,8.8,9.4
174,Jelenia Góra,2242,9.2,9.9
175,"Cieplice, Jelenia Góra",3150,9.5,9.9
176,Jelenia Góra,2450,9.7,9.2
177,"Cieplice, Jelenia Góra",4536,9.2,8.5
178,"Cieplice, Jelenia Góra",2245,8.6,9.8
179,Jelenia Góra,2058,10.0,9.7
180,"Cieplice, Jelenia Góra",2352,9.2,9.2
181,Jelenia Góra,2205,9.9,9.6
182,"Cieplice, Jelenia Góra",2590,9.7,9.3
183,Jelenia Góra,2100,9.2,9.3
184,"Cieplice, Jelenia Góra",2148,8.7,9.5
185,Jelenia Góra,2678,9.5,8.1
186,Jelenia Góra,4598,9.7,8.6
187,Jelenia Góra,2793,9.3,9.8
188,Jelenia Góra,4900,9.5,9.2
189,"Cieplice, Jelenia Góra",2765,9.4,9.1
190,Jelenia Góra,1540,9.3,8.8
191,Jelenia Góra,2499,9.5,9.6
192,Jelenia Góra,2380,8.1,8.5
193,Jelenia Góra,2576,8.8,9.7
194,Jelenia Góra,2380,9.9,8.4
195,Jelenia Góra,1988,6.7,9.6
196,Jelenia Góra,2531,9.0,9.2
197,"Cieplice, Jelenia Góra",2691,9.1,9.4
198,Jelenia Góra,2674,8.9,8.4
199,"Cieplice, Jelenia Góra",2303,9.5,9.7
200,Jelenia Góra,1932,8.8,9.9
201,"Cieplice, Jelenia Góra",5825,9.6,9.7
202,Jelenia Góra,8505,8.6,9.2
203,Jelenia Góra,5957,9.6,9.8
204,"Cieplice, Jelenia Góra",1533,9.2,9.2
205,Jelenia Góra,6753,8.8,8.8
206,Jelenia Góra,8330,8.6,9.7
207,Jelenia Góra,2030,9.6,10.0
208,Jelenia Góra,1610,9.5,9.8
209,Jelenia Góra,2030,9.6,9.6
210,Jelenia Góra,1428,8.2,9.7
211,"Cieplice, Jelenia Góra",4399,9.7,9.1
212,Jelenia Góra,1687,9.0,9.8
213,"Cieplice, Jelenia Góra",2369,9.0,8.8
214,Jelenia Góra,2869,9.5,8.8
215,Jelenia Góra,2100,9.0,8.3
216,Jelenia Góra,2899,9.7,9.6
217,Jelenia Góra,3662,9.2,9.0
218,"Cieplice, Jelenia Góra",2855,9.8,8.1
