,City,Cost,Rating,Comfort
0,"Stare Miasto, Kraków",2723,9.2,9.4
1,"Dębniki, Kraków",2190,4.8,10.0
2,"Stare Miasto, Kraków",4165,7.4,9.5
3,"Stare Miasto, Kraków",1449,10.0,10.0
4,"Krowodrza, Kraków",2800,9.2,10.0
5,"Podgórze, Kraków",3337,9.0,10.0
6,"Podgórze, Kraków",3210,10.0,10.0
7,"Stare Miasto, Kraków",3350,9.0,10.0
8,"Stare Miasto, Kraków",3455,10.0,9.4
9,"Prądnik Biały, Kraków",1446,9.3,9.7
10,"Bronowice, Kraków",2104,9.1,9.2
11,"Krowodrza, Kraków",4221,9.4,8.5
12,"Zwierzyniec, Kraków",1445,9.0,9.1
13,"Stare Miasto, Kraków",2514,8.4,9.3
14,"Grzegórzki, Kraków",3100,9.0,9.6
15,"Podgórze, Kraków",2499,4.8,10.0
16,"Prądnik Biały, Kraków",2907,8.8,9.6
17,"Stare Miasto, Kraków",2975,9.5,9.2
18,"Grzegórzki, Kraków",2374,9.5,8.0
19,"Prądnik Czerwony, Kraków",3535,9.7,8.8
20,"Krowodrza, Kraków",4340,8.9,10.0
21,"Stare Miasto, Kraków",2152,7.3,9.5
22,"Stare Miasto, Kraków",3165,9.3,8.8
23,"Prądnik Biały, Kraków",2390,10.0,9.2
24,"Podgórze, Kraków",2618,9.1,9.2
25,"Stare Miasto, Kraków",3010,10.0,9.2
26,"Stare Miasto, Kraków",3384,9.7,8.6
27,Kraków,2246,6.5,8.8
28,Kraków,4350,9.3,9.2
29,"Stare Miasto, Kraków",1449,9.1,8.7
30,"Stare Miasto, Kraków",3580,7.0,9.3
31,"Stare Miasto, Kraków",5383,9.0,8.5
32,"Podgórze, Kraków",4231,8.7,9.4
33,"Grzegórzki, Kraków",2739,7.8,10.0
34,"Czyżyny, Kraków",1814,9.1,8.9
35,"Krowodrza, Kraków",2800,8.7,9.3
36,"Grzegórzki, Kraków",3264,7.4,9.6
37,"Dębniki, Kraków",3504,9.1,9.6
38,"Dębniki, Kraków",2571,8.6,9.5
39,"Dębniki, Kraków",3965,9.3,9.3
40,"Stare Miasto, Kraków",3415,9.5,9.0
41,"Stare Miasto, Kraków",4550,9.0,8.0
42,"Podgórze, Kraków",4420,9.0,9.3
43,"Grzegórzki, Kraków",4817,9.5,8.7
44,"Stare Miasto, Kraków",2800,9.3,9.3
45,"Stare Miasto, Kraków",3294,9.2,8.6
46,Kraków,2193,9.2,8.2
47,"Czyżyny, Kraków",2233,8.8,8.9
48,"Podgórze, Kraków",2738,7.8,8.9
49,"Stare Miasto, Kraków",1483,9.1,8.7
50,"Łagiewniki, Kraków",2969,8.6,8.5
51,"Stare Miasto, Kraków",3430,8.9,10.0
52,"Bronowice, Kraków",1780,8.6,9.0
53,"Bieżanów-Prokocim, Kraków",2090,8.1,8.8
54,"Podgórze, Kraków",3337,8.7,8.9
55,"Stare Miasto, Kraków",2350,8.8,9.8
56,"Podgórze, Kraków",2650,8.7,10.0
57,"Podgórze, Kraków",2692,8.3,8.4
58,"Podgórze, Kraków",2861,10.0,8.0
59,"Stare Miasto, Kraków",3355,8.7,8.5
60,"Podgórze, Kraków",3210,8.7,10.0
61,"Dębniki, Kraków",1928,8.8,9.4
62,"Podgórze, Kraków",4352,9.7,8.7
63,"Stare Miasto, Kraków",2760,9.6,9.4
64,"Stare Miasto, Kraków",2625,8.3,8.8
65,"Podgórze, Kraków",2624,7.9,9.1
66,"Krowodrza, Kraków",2807,8.6,10.0
67,"Stare Miasto, Kraków",1736,10.0,9.6
68,"Stare Miasto, Kraków",6018,9.3,9.0
69,"Stare Miasto, Kraków",10705,8.8,10.0
70,"Stare Miasto, Kraków",6948,9.3,8.8
71,"Dębniki, Kraków",4137,6.6,9.5
72,"Podgórze, Kraków",8307,9.0,9.5
73,"Stare Miasto, Kraków",3850,9.2,9.0
74,"Stare Miasto, Kraków",3228,9.0,10.0
75,"Stare Miasto, Kraków",7379,9.7,8.8
76,"Grzegórzki, Kraków",3040,9.0,8.9
77,"Grzegórzki, Kraków",4120,7.0,8.3
78,"Stare Miasto, Kraków",3124,8.9,9.0
79,"Stare Miasto, Kraków",3350,9.0,9.8
80,"Stare Miasto, Kraków",5349,9.0,8.6
81,"Grzegórzki, Kraków",3366,9.1,9.7
82,"Prądnik Biały, Kraków",2663,8.0,9.2
83,"Stare Miasto, Kraków",3145,8.4,10.0
84,"Stare Miasto, Kraków",5567,10.0,8.3
85,"Stare Miasto, Kraków",3455,8.6,8.5
86,"Stare Miasto, Kraków",8321,8.8,8.4
87,"Stare Miasto, Kraków",3824,8.1,10.0
88,"Stare Miasto, Kraków",7324,8.9,8.7
89,"Zwierzyniec, Kraków",3596,9.9,8.7
90,"Stare Miasto, Kraków",2685,8.5,8.2
91,"Stare Miasto, Kraków",5441,9.6,8.4
92,"Prądnik Czerwony, Kraków",3920,9.1,8.5
93,"Dębniki, Kraków",5294,9.0,8.9
94,"Bieżanów-Prokocim, Kraków",1400,8.3,8.8
95,"Stare Miasto, Kraków",2880,8.4,9.3
96,"Stare Miasto, Kraków",3271,8.7,9.2
97,"Grzegórzki, Kraków",2358,10.0,10.0
98,"Stare Miasto, Kraków",3112,8.6,9.1
99,"Stare Miasto, Kraków",1343,8.6,9.0
100,"Stare Miasto, Kraków",2758,8.1,8.1
101,"Stare Miasto, Kraków",4312,8.7,10.0
102,"Stare Miasto, Kraków",3249,8.3,8.3
103,"Dębniki, Kraków",2543,8.6,8.3
104,"Prądnik Biały, Kraków",1446,8.8,9.5
105,"Podgórze, Kraków",2859,9.1,10.0
106,"Stare Miasto, Kraków",3481,9.1,9.0
107,"Podgórze, Kraków",2291,9.5,8.5
108,"Podgórze, Kraków",2469,9.0,8.7
109,"Podgórze, Kraków",3198,8.8,8.4
110,"Bronowice, Kraków",2104,8.2,9.5
111,"Stare Miasto, Kraków",3132,9.5,9.2
112,"Dębniki, Kraków",3759,8.3,9.6
113,"Stare Miasto, Kraków",4613,9.3,8.3
114,"Grzegórzki, Kraków",5066,9.3,8.3
115,"Podgórze, Kraków",2762,9.0,9.0
116,"Prądnik Biały, Kraków",2399,8.9,8.6
117,Kraków,1990,8.6,9.3
118,"Stare Miasto, Kraków",3570,8.7,8.9
119,"Podgórze, Kraków",2940,8.4,8.3
120,"Stare Miasto, Kraków",2903,9.3,8.6
121,"Krowodrza, Kraków",2754,9.2,9.2
122,"Stare Miasto, Kraków",2142,7.7,9.2
123,"Dębniki, Kraków",5250,9.5,8.2
124,"Stare Miasto, Kraków",11746,8.4,9.1
125,"Dębniki, Kraków",4170,8.5,8.0
126,"Stare Miasto, Kraków",4760,8.9,9.1
127,"Grzegórzki, Kraków",2200,8.6,8.9
128,"Stare Miasto, Kraków",2919,9.0,9.4
129,"Zwierzyniec, Kraków",1445,8.8,8.3
130,"Nowa Huta, Kraków",2559,8.3,10.0
131,"Stare Miasto, Kraków",2934,5.6,10.0
132,"Stare Miasto, Kraków",2482,8.7,10.0
133,"Swoszowice, Kraków",2185,8.9,9.1
134,"Grzegórzki, Kraków",3337,9.2,8.8
135,"Stare Miasto, Kraków",2514,8.2,9.8
136,"Stare Miasto, Kraków",2370,9.1,9.5
137,"Podgórze, Kraków",2543,8.3,8.8
138,"Dębniki, Kraków",2758,9.3,8.8
139,"Dębniki, Kraków",3150,8.6,10.0
140,"Stare Miasto, Kraków",3334,9.4,8.2
141,"Stare Miasto, Kraków",2419,9.0,8.8
142,"Stare Miasto, Kraków",3438,10.0,9.4
143,"Podgórze, Kraków",4533,7.3,10.0
144,"Grzegórzki, Kraków",4120,9.0,10.0
145,"Grzegórzki, Kraków",2678,9.9,8.4
146,"Stare Miasto, Kraków",3627,9.0,8.8
147,"Podgórze, Kraków",8393,8.7,8.7
148,"Podgórze, Kraków",1916,9.7,9.1
149,"Krowodrza, Kraków",2560,9.6,9.7
150,"Stare Miasto, Kraków",3540,7.7,8.6
151,"Stare Miasto, Kraków",3373,8.8,8.4
152,"Stare Miasto, Kraków",4165,8.8,9.2
153,"Krowodrza, Kraków",2914,10.0,8.9
154,"Grzegórzki, Kraków",3100,8.2,9.3
155,"Stare Miasto, Kraków",2655,8.8,8.6
156,Kraków,1295,9.3,8.3
157,"Zwierzyniec, Kraków",2565,9.0,9.2
158,"Stare Miasto, Kraków",3220,9.3,9.0
159,"Dębniki, Kraków",4057,8.4,8.6
160,"Podgórze, Kraków",2499,7.5,8.5
161,"Stare Miasto, Kraków",2812,9.0,8.9
162,"Łagiewniki, Kraków",2915,7.8,9.5
163,"Stare Miasto, Kraków",2959,9.1,8.6
164,"Grzegórzki, Kraków",3352,9.4,8.5
