,City,Cost,Rating,Comfort
0,Lublin,3024,9.9,10.0
1,Lublin,4002,9.5,9.4
2,Lublin,2040,10.0,10.0
3,Lublin,3621,9.3,9.4
4,Lublin,1854,9.0,9.4
5,Lublin,2467,7.2,9.7
6,Lublin,2661,9.6,8.6
7,"Stare Miasto, Lublin",2520,8.6,10.0
8,"Stare Miasto, Lublin",4365,10.0,9.6
9,Lublin,1904,1.0,9.1
10,Lublin,1973,9.8,10.0
11,Lublin,2490,9.1,9.5
12,Lublin,1964,9.5,9.4
13,Lublin,2800,9.6,9.2
14,Lublin,4537,9.1,8.3
15,Lublin,5033,9.0,9.4
16,Lublin,5382,8.5,9.4
17,Lublin,4684,9.5,9.7
18,Lublin,1512,9.2,8.6
19,"Stare Miasto, Lublin",1547,9.6,8.6
20,Lublin,1630,7.7,9.4
21,Lublin,1701,8.9,8.1
22,Lublin,1874,8.6,9.6
23,Lublin,2065,9.2,10.0
24,Lublin,2292,8.0,9.2
25,Lublin,2093,7.9,9.6
26,Lublin,3072,7.8,8.4
27,Lublin,2090,9.5,9.3
28,Lublin,3060,9.9,9.4
29,Lublin,4002,9.0,9.4
30,Lublin,4416,9.6,8.4
31,Lublin,2404,8.7,9.9
32,Lublin,2450,9.1,9.7
33,Lublin,4894,9.0,8.9
34,Lublin,4529,9.5,8.3
35,Lublin,2040,9.0,9.9
36,Lublin,1843,9.9,8.5
37,Lublin,4520,9.4,9.2
38,Lublin,1601,8.8,9.6
39,Lublin,2798,8.1,9.1
40,Lublin,3068,9.9,8.6
41,Lublin,4232,8.6,9.5
42,Lublin,1750,9.1,9.5
43,Lublin,4639,9.4,9.3
44,"Stare Miasto, Lublin",3410,8.7,9.9
45,Lublin,1764,8.9,9.7
46,Lublin,1856,9.4,8.9
47,"Stare Miasto, Lublin",2295,9.5,9.9
48,Lublin,2045,9.3,10.0
49,Lublin,1890,9.8,8.4
50,Lublin,2131,9.6,8.8
51,"Stare Miasto, Lublin",3540,9.1,8.1
52,Lublin,1526,9.9,8.8
53,Lublin,4373,10.0,9.3
54,Lublin,3621,8.4,9.4
55,Lublin,2576,8.6,9.6
56,Lublin,3077,8.1,9.2
57,Lublin,1128,8.8,10.0
58,Lublin,2800,9.1,9.7
59,Lublin,5110,9.3,9.0
60,Lublin,1854,9.5,9.0
61,Lublin,3950,9.0,9.9
62,Lublin,1785,9.9,9.0
63,Lublin,2007,9.8,8.9
64,Lublin,2490,8.0,8.3
65,"Stare Miasto, Lublin",1633,9.1,9.2
66,"Stare Miasto, Lublin",3612,8.7,9.1
67,Lublin,6740,9.7,9.2
68,Lublin,3150,9.0,8.9
69,Lublin,3430,8.8,8.6
70,Lublin,2569,8.0,8.4
71,Lublin,2870,9.1,9.4
72,"Stare Miasto, Lublin",1960,9.1,8.6
73,Lublin,3480,7.3,9.0
74,Lublin,1200,9.6,9.6
75,Lublin,1835,9.0,9.3
76,Lublin,2468,8.4,8.9
77,Lublin,5136,8.5,8.6
78,Lublin,2291,9.0,9.4
79,Lublin,2467,8.5,8.9
80,Lublin,2110,9.1,9.0
81,Lublin,2668,9.6,8.2
82,"Stare Miasto, Lublin",2812,9.1,9.6
83,Lublin,2530,8.9,9.1
84,"Stare Miasto, Lublin",2823,8.6,8.9
85,"Stare Miasto, Lublin",4365,9.5,8.7
86,"Stare Miasto, Lublin",2584,9.0,8.7
87,Lublin,2383,9.1,8.6
88,Lublin,4710,8.2,9.2
89,Lublin,2860,9.2,9.4
90,"Stare Miasto, Lublin",12551,8.9,9.6
91,Lublin,3896,7.9,9.6
92,Lublin,2248,8.8,9.6
93,Lublin,4900,8.7,9.6
94,Lublin,4695,8.6,10.0
95,Lublin,4605,8.8,8.4
96,Lublin,1805,9.3,8.4
97,Lublin,2490,9.4,9.0
98,Lublin,2016,7.6,8.7
99,Lublin,2183,9.3,9.0
100,Lublin,2522,9.5,9.5
101,Lublin,2996,9.7,8.8
102,Lublin,3959,9.5,9.3
103,Lublin,2776,10.0,8.8
104,Lublin,1904,8.4,9.0
105,Lublin,2223,8.5,9.6
106,Lublin,2123,9.1,9.5
107,Lublin,3275,8.3,9.3
108,"Stare Miasto, Lublin",1870,8.8,9.3
109,Lublin,3115,1.0,9.1
110,Lublin,1973,9.4,9.0
111,"Stare Miasto, Lublin",2188,8.6,9.1
112,Lublin,3083,9.0,9.1
113,"Stare Miasto, Lublin",2760,7.8,9.9
114,Lublin,2793,8.9,8.8
115,Lublin,1751,9.0,9.6
116,Lublin,2223,9.5,9.6
117,"Stare Miasto, Lublin",2079,9.3,8.2
118,"Stare Miasto, Lublin",4680,8.0,8.6
119,Lublin,2143,9.3,8.5
120,Lublin,2705,9.7,9.5
121,Lublin,2490,8.9,9.1
122,Lublin,2410,9.0,9.3
123,Lublin,1291,9.1,8.8
124,Lublin,2760,9.1,9.2
125,Lublin,2560,9.7,9.1
126,Lublin,3421,8.7,8.0
127,Lublin,2170,7.8,8.0
128,Lublin,2223,9.8,8.1
129,Lublin,2490,9.4,9.6
130,Lublin,2377,8.4,9.0
131,Lublin,1873,8.7,8.2
132,Lublin,1666,8.4,8.8
133,Lublin,1575,9.5,8.2
134,Lublin,2835,9.1,9.7
135,Lublin,1964,9.3,8.9
136,Lublin,2490,8.8,9.8
137,Lublin,1806,9.2,8.1
138,Lublin,3056,8.0,8.5
139,Lublin,2038,9.1,10.0
140,"Stare Miasto, Lublin",2823,7.9,9.1
141,Lublin,2730,8.1,8.8
142,Lublin,2143,7.9,9.1
143,Lublin,1120,9.6,9.3
144,Lublin,3080,9.1,9.5
145,Lublin,2760,8.1,9.5
146,"Stare Miasto, Lublin",2490,8.7,8.3
