,City,Cost,Rating,Comfort
0,Nowy Sącz,3150,8.9,9.0
1,Nowy Sącz,1869,9.8,9.8
2,Nowy Sącz,2396,9.6,9.5
3,Nowy Sącz,3010,10.0,10.0
4,Nowy Sącz,4687,9.0,9.6
5,Nowy Sącz,1540,9.0,9.4
6,Nowy Sącz,2083,9.7,9.9
7,Nowy Sącz,2335,9.9,10.0
8,Nowy Sącz,1832,9.4,9.4
9,Nowy Sącz,2485,9.0,9.2
10,Nowy Sącz,1883,9.3,9.4
11,Nowy Sącz,2601,9.8,9.8
12,Nowy Sącz,2313,8.8,8.6
13,Nowy Sącz,1870,8.8,9.1
14,Nowy Sącz,2715,9.2,9.4
15,Nowy Sącz,1540,9.6,9.7
16,Nowy Sącz,2625,8.6,8.5
17,Nowy Sącz,1654,9.3,9.3
18,Nowy Sącz,5640,9.8,10.0
19,Nowy Sącz,1750,9.7,9.7
20,Nowy Sącz,5497,9.3,9.2
21,Nowy Sącz,1708,9.5,9.6
22,Nowy Sącz,3745,8.5,8.4
23,Nowy Sącz,3115,9.4,10.0
24,Nowy Sącz,2490,9.9,10.0
25,Nowy Sącz,2177,9.8,9.9
26,Nowy Sącz,2791,9.8,9.6
27,Nowy Sącz,1708,10.0,10.0
28,Nowy Sącz,2030,9.8,9.7
29,Nowy Sącz,3010,9.6,9.6
