,City,Cost,Rating,Comfort
0,Opole,1943,9.1,9.1
1,Opole,1474,10.0,9.2
2,Opole,2180,9.2,9.0
3,Opole,1963,10.0,10.0
4,Opole,2101,9.0,10.0
5,Opole,2699,9.7,8.8
6,Opole,1984,9.9,10.0
7,Opole,2180,9.5,10.0
8,Opole,2623,10.0,10.0
9,Opole,1215,8.4,8.4
10,Opole,2950,7.7,9.6
11,Opole,2003,9.5,9.9
12,Opole,3040,9.6,8.4
13,Opole,2660,8.1,8.7
14,Opole,3296,8.7,8.9
15,Opole,2185,9.2,9.2
16,Opole,2733,9.2,8.7
17,Opole,2471,8.0,8.4
18,Opole,2646,8.8,9.4
19,Opole,2205,8.3,8.9
20,Opole,3440,9.3,9.5
21,Opole,2338,8.8,8.9
22,Opole,2553,9.5,9.0
23,Opole,2800,8.7,8.2
24,Opole,4366,8.5,8.7
25,Opole,2363,8.0,8.6
26,Opole,2312,8.4,9.0
27,Opole,3535,8.7,8.4
28,Opole,2304,7.8,9.7
29,Opole,2110,8.8,8.4
30,Opole,2251,6.9,9.1
31,Opole,2592,8.3,8.7
32,Opole,2183,9.8,8.9
33,Opole,3720,8.0,10.0
34,Opole,1470,9.0,8.7
35,Opole,2867,8.7,8.4
36,Opole,6300,8.0,8.4
37,Opole,2633,8.7,8.8
38,Opole,2445,10.0,9.3
39,Opole,1750,9.0,8.5
40,Opole,2123,8.6,9.2
41,Opole,2616,8.4,8.1
42,Opole,1890,8.9,8.5
43,Opole,2235,9.1,9.6
44,Opole,2650,8.3,9.5
45,Opole,3402,9.0,9.1
46,Opole,5456,8.3,8.3
47,Opole,2273,8.6,8.6
48,Opole,2515,9.4,9.1
49,Opole,2591,7.2,10.0
50,Opole,2244,9.1,8.3
51,Opole,5450,9.1,8.7
52,Opole,2185,8.3,10.0
53,Opole,2502,8.2,8.8
54,Opole,2760,9.1,9.4
55,Opole,2155,6.0,9.0
56,Opole,2295,6.8,8.2
57,Opole,1841,9.7,8.5
58,Opole,3864,8.6,9.0
59,Opole,3213,8.4,8.6
60,Opole,3276,9.3,8.8
61,Opole,3780,9.3,8.7
62,Opole,3780,9.3,9.2
63,Opole,2890,8.8,8.4
64,Opole,2304,8.0,8.1
