,City,Cost,Rating,Comfort
0,Przemyśl,1530,9.2,9.4
1,Przemyśl,2023,8.2,8.5
2,Przemyśl,2443,9.0,9.2
3,Przemyśl,2079,10.0,9.8
4,Przemyśl,1482,8.2,8.8
5,Przemyśl,1611,9.2,9.3
6,Przemyśl,1716,8.5,8.9
7,Przemyśl,2017,8.8,9.8
8,Przemyśl,1790,9.6,9.6
9,Przemyśl,2240,9.6,10.0
10,Przemyśl,1907,9.0,9.2
11,Przemyśl,2087,9.5,9.3
12,Przemyśl,2100,9.3,9.3
13,Przemyśl,2521,9.9,8.6
14,Przemyśl,1309,8.8,9.3
15,Przemyśl,2797,9.2,9.8
16,Przemyśl,1495,9.7,9.7
17,Przemyśl,1552,9.7,9.7
18,Przemyśl,2083,9.7,9.8
19,Przemyśl,2170,9.5,9.7
20,Przemyśl,2095,9.7,8.9
21,Przemyśl,3080,9.0,10.0
22,Przemyśl,1926,10.0,10.0
23,Przemyśl,1728,10.0,9.0
24,Przemyśl,2083,9.1,9.7
25,Przemyśl,2083,9.5,9.9
26,Przemyśl,1701,9.8,9.2
27,Przemyśl,1610,9.0,9.3
28,Przemyśl,2257,9.2,8.5
29,Przemyśl,2443,8.2,9.6
30,Przemyśl,2660,9.6,10.0
31,Przemyśl,2920,10.0,10.0
32,Przemyśl,2460,10.0,9.8
33,Przemyśl,3395,10.0,9.9
34,Przemyśl,4670,9.8,9.6
35,Przemyśl,2079,9.7,10.0
36,Przemyśl,2870,9.6,9.1
37,Przemyśl,2800,8.8,9.5
38,Przemyśl,2514,9.6,9.4
39,Przemyśl,2640,9.4,10.0
40,Przemyśl,2660,10.0,9.5
41,Przemyśl,1978,9.4,10.0
42,Przemyśl,2415,9.9,10.0
43,Przemyśl,4200,9.3,9.4
44,Przemyśl,2477,9.3,9.3
45,Przemyśl,2016,6.5,9.7
46,Przemyśl,3481,9.5,9.6
47,Przemyśl,1967,9.9,8.7
48,Przemyśl,3135,9.6,8.8
49,Przemyśl,2083,8.5,9.6
50,Przemyśl,2678,7.0,8.9
51,Przemyśl,1855,8.4,9.6
52,Przemyśl,4788,9.7,9.4
53,Przemyśl,3312,8.8,8.8
54,Przemyśl,1482,9.6,9.6
55,Przemyśl,3150,9.5,9.6
56,Przemyśl,2095,8.2,10.0
57,Przemyśl,2450,9.8,10.0
58,Przemyśl,2328,9.4,9.0
59,Przemyśl,2098,9.9,9.8
60,Przemyśl,1611,9.9,9.6
61,Przemyśl,2345,8.8,8.5
62,Przemyśl,2793,9.6,8.5
63,Przemyśl,2410,9.5,9.5
64,Przemyśl,2720,8.6,8.0
65,Przemyśl,3150,8.3,10.0
66,Przemyśl,3606,9.6,8.3
67,Przemyśl,2555,8.2,9.3
68,Przemyśl,2087,10.0,8.8
69,Przemyśl,2100,8.1,9.5
70,Przemyśl,2624,9.4,9.9
71,Przemyśl,1260,8.7,9.4
72,Przemyśl,3504,8.9,9.3
73,Przemyśl,3224,9.8,9.2
74,Przemyśl,2331,9.5,9.9
75,Przemyśl,2678,9.2,9.9
76,Przemyśl,2678,7.4,8.9
77,Przemyśl,2940,9.4,9.4
78,Przemyśl,3763,9.9,9.1
79,Przemyśl,1716,9.8,9.6
80,Przemyśl,2047,8.0,8.0
81,Przemyśl,2142,8.5,9.1
82,Przemyśl,2940,9.5,8.6
83,Przemyśl,2902,8.9,8.2
84,Przemyśl,2678,9.4,8.0
85,Przemyśl,2017,7.9,9.3
86,Przemyśl,2443,8.7,8.3
