,City,Cost,Rating,Comfort
0,Sandomierz,2748,9.5,10.0
1,Sandomierz,2754,10.0,10.0
2,Sandomierz,2514,9.6,9.7
3,Sandomierz,1607,10.0,10.0
4,Sandomierz,2240,9.4,9.7
5,Sandomierz,1989,5.8,9.6
6,Sandomierz,1953,9.8,9.5
7,Sandomierz,2100,9.8,9.1
8,Sandomierz,2450,9.3,9.5
9,Sandomierz,1743,9.6,9.5
10,Sandomierz,2970,9.4,9.4
11,Sandomierz,1470,9.3,9.8
12,Sandomierz,2661,9.7,9.4
13,Sandomierz,1873,9.4,9.2
14,Sandomierz,2279,9.4,9.1
15,Sandomierz,5395,8.9,9.5
16,Sandomierz,1813,9.4,9.1
17,Sandomierz,2300,9.2,9.0
18,Sandomierz,1960,9.0,9.8
19,Sandomierz,3864,9.7,8.8
20,Sandomierz,2730,9.1,10.0
21,Sandomierz,4515,10.0,9.7
22,Sandomierz,2240,9.5,9.6
23,Sandomierz,5430,9.6,9.6
24,Sandomierz,2450,9.5,9.8
25,Sandomierz,4200,7.8,9.2
26,Sandomierz,3027,9.9,8.9
27,Sandomierz,4960,9.1,8.5
28,Sandomierz,2778,8.8,9.8
29,Sandomierz,2463,8.5,9.2
30,Sandomierz,2450,9.6,9.4
31,Sandomierz,2745,9.1,8.3
32,Sandomierz,2310,9.3,9.4
33,Sandomierz,3220,8.5,9.6
34,Sandomierz,1750,9.4,9.6
35,Sandomierz,3015,9.5,9.8
36,Sandomierz,3150,9.5,8.3
37,Sandomierz,2618,9.7,8.7
38,Sandomierz,1540,8.4,8.8
39,Sandomierz,4050,8.8,9.1
40,Sandomierz,2170,9.2,9.4
41,Sandomierz,1890,9.3,9.0
42,Sandomierz,1890,9.4,8.5
43,Sandomierz,4295,9.0,9.3
44,Sandomierz,2310,8.7,9.1
45,Sandomierz,5030,9.2,9.1
46,Sandomierz,3773,9.1,8.4
47,Sandomierz,2205,9.3,9.7
48,Sandomierz,2310,8.6,8.2
49,Sandomierz,1960,9.9,9.7
50,Sandomierz,1470,8.3,9.8
51,Sandomierz,2450,9.6,9.4
52,Sandomierz,1856,9.8,8.6
53,Sandomierz,3920,9.3,9.3
54,Sandomierz,1695,8.4,9.8
55,Sandomierz,1890,9.2,9.2
56,Sandomierz,2220,9.7,9.7
57,Sandomierz,2900,9.0,9.1
58,Sandomierz,1911,9.6,9.6
59,Sandomierz,2595,8.9,9.7
60,Sandomierz,2835,9.6,9.0
61,Sandomierz,2653,9.7,9.1
62,Sandomierz,2892,8.8,8.6
63,Sandomierz,2380,9.2,9.8
64,Sandomierz,2016,8.6,8.8
65,Sandomierz,2320,9.8,9.2
66,Sandomierz,3060,8.7,9.0
67,Sandomierz,2485,9.3,10.0
68,Sandomierz,2450,6.3,8.8
69,Sandomierz,2487,9.0,9.3
70,Sandomierz,2434,9.8,9.8
71,Sandomierz,3824,9.0,9.1
72,Sandomierz,1770,9.4,9.3
73,Sandomierz,2816,9.6,9.0
74,Sandomierz,3867,9.3,9.8
75,Sandomierz,3185,8.9,9.9
76,Sandomierz,2310,9.0,9.3
77,Sandomierz,3070,9.6,9.3
78,Sandomierz,2850,9.7,9.0
79,Sandomierz,3075,9.1,9.2
80,Sandomierz,2899,9.4,8.3
81,Sandomierz,3220,9.0,8.9
82,Sandomierz,3080,9.1,8.5
83,Sandomierz,2118,8.3,9.0
84,Sandomierz,4326,8.9,8.7
85,Sandomierz,3487,8.3,9.5
86,Sandomierz,3630,9.0,8.3
87,Sandomierz,3500,8.7,9.5
88,Sandomierz,4536,9.4,9.7
89,Sandomierz,2450,8.2,9.4
90,Sandomierz,1750,9.4,9.7
91,Sandomierz,3173,9.5,9.0
92,Sandomierz,5380,9.5,9.5
93,Sandomierz,3150,9.9,9.2
