,City,Cost,Rating,Comfort
0,Toruń,1582,10.0,10.0
1,Toruń,2384,9.9,9.8
2,Toruń,1543,9.6,9.5
3,"Stare Miasto, Toruń",2467,9.5,10.0
4,Toruń,1861,10.0,10.0
5,Toruń,1970,10.0,8.8
6,"Stare Miasto, Toruń",2524,8.0,9.4
7,"Stare Miasto, Toruń",2585,9.5,8.8
8,Toruń,2367,7.3,10.0
9,"Stare Miasto, Toruń",1916,8.0,10.0
10,"Stare Miasto, Toruń",2606,9.0,9.1
11,"Stare Miasto, Toruń",1651,9.0,10.0
12,Toruń,1662,9.2,10.0
13,"Stare Miasto, Toruń",3249,10.0,10.0
14,"Stare Miasto, Toruń",3272,7.9,8.9
15,Toruń,2572,9.7,8.6
16,"Stare Miasto, Toruń",1851,9.7,9.1
17,"Stare Miasto, Toruń",2745,8.6,8.7
18,"Stare Miasto, Toruń",2369,8.6,9.1
19,"Stare Miasto, Toruń",2171,9.1,10.0
20,"Stare Miasto, Toruń",2309,8.8,8.8
21,Toruń,3222,8.1,10.0
22,Toruń,2608,8.2,9.8
23,"Stare Miasto, Toruń",4944,9.3,8.4
24,"Stare Miasto, Toruń",3150,10.0,10.0
25,Toruń,2618,9.0,9.3
26,"Stare Miasto, Toruń",4030,10.0,8.5
27,"Stare Miasto, Toruń",3024,9.9,8.6
28,"Stare Miasto, Toruń",2310,8.0,8.0
29,Toruń,1543,10.0,9.4
30,Toruń,1368,9.4,9.2
31,Toruń,2037,8.5,8.9
32,Toruń,2338,8.8,9.1
33,"Stare Miasto, Toruń",3533,8.0,9.6
34,Toruń,1904,9.4,8.9
35,"Stare Miasto, Toruń",2467,8.3,9.5
36,"Stare Miasto, Toruń",2520,8.9,10.0
37,"Stare Miasto, Toruń",2893,9.3,9.6
38,Toruń,2572,9.3,10.0
39,Toruń,3945,8.7,9.5
40,"Stare Miasto, Toruń",3500,9.3,9.9
41,Toruń,2982,7.9,9.3
42,"Stare Miasto, Toruń",3358,10.0,9.3
43,Toruń,2235,9.6,9.5
44,"Stare Miasto, Toruń",2260,9.7,8.9
45,Toruń,3682,7.9,8.7
46,Toruń,2653,9.4,9.7
47,Toruń,1459,9.9,9.4
48,Toruń,2386,9.2,9.5
49,"Stare Miasto, Toruń",3509,9.4,9.6
50,Toruń,5278,9.6,8.8
51,"Stare Miasto, Toruń",3320,9.0,9.0
52,Toruń,1912,8.8,9.4
53,Toruń,1721,7.5,9.8
54,Toruń,1861,9.7,8.8
55,Toruń,2206,9.2,9.1
56,Toruń,2118,9.3,9.0
57,Toruń,2730,9.5,9.4
58,Toruń,2359,8.7,10.0
59,"Stare Miasto, Toruń",2107,9.0,8.6
60,Toruń,1970,9.5,9.2
61,"Stare Miasto, Toruń",1600,9.6,9.7
62,Toruń,1400,8.7,9.7
63,Toruń,2282,9.2,10.0
64,"Stare Miasto, Toruń",2492,8.8,8.9
65,Toruń,2427,9.3,9.4
66,Toruń,2505,9.5,8.7
67,"Stare Miasto, Toruń",1907,8.5,9.7
68,Toruń,2025,8.0,10.0
69,"Stare Miasto, Toruń",3350,9.2,9.3
70,Toruń,2390,9.7,9.0
71,Toruń,2386,9.8,9.8
72,"Stare Miasto, Toruń",3942,10.0,8.5
73,Toruń,4513,9.1,9.1
