,City,Cost,Rating,Comfort
0,"Śródmieście, Wrocław",2736,8.4,8.5
1,"Śródmieście, Wrocław",3700,10.0,10.0
2,"Fabryczna, Wrocław",2451,9.5,8.8
3,"Krzyki, Wrocław",2744,9.3,9.2
4,"Stare Miasto, Wrocław",3626,9.4,9.6
5,"Stare Miasto, Wrocław",2549,10.0,10.0
6,"Śródmieście, Wrocław",1916,8.9,8.9
7,"Fabryczna, Wrocław",2117,8.3,8.8
8,"Stare Miasto, Wrocław",2554,8.7,8.4
9,"Stare Miasto, Wrocław",2987,10.0,10.0
10,"Stare Miasto, Wrocław",2893,9.5,10.0
11,"Śródmieście, Wrocław",2045,8.4,8.4
12,"Stare Miasto, Wrocław",3510,10.0,10.0
13,"Śródmieście, Wrocław",1872,8.5,8.6
14,"Śródmieście, Wrocław",2866,9.7,9.7
15,"Fabryczna, Wrocław",2025,7.6,9.2
16,Wrocław,1703,7.4,10.0
17,"Krzyki, Wrocław",2721,7.0,10.0
18,"Krzyki, Wrocław",2346,7.5,9.0
19,"Śródmieście, Wrocław",2138,8.9,10.0
20,"Psie Pole, Wrocław",2737,10.0,8.3
21,"Stare Miasto, Wrocław",2291,9.7,8.0
22,"Stare Miasto, Wrocław",2991,8.9,10.0
23,"Śródmieście, Wrocław",3920,9.9,10.0
24,"Stare Miasto, Wrocław",2841,8.3,10.0
25,"Stare Miasto, Wrocław",3070,7.2,8.8
26,"Fabryczna, Wrocław",2608,9.0,8.7
27,"Krzyki, Wrocław",2135,8.0,10.0
28,"Psie Pole, Wrocław",2140,10.0,8.1
29,"Krzyki, Wrocław",2744,9.7,8.9
30,"Krzyki, Wrocław",2760,8.0,9.1
31,"Fabryczna, Wrocław",2160,9.5,8.0
32,"Stare Miasto, Wrocław",3014,8.5,10.0
33,"Fabryczna, Wrocław",1529,7.1,9.0
34,"Stare Miasto, Wrocław",2504,10.0,8.5
35,"Stare Miasto, Wrocław",3626,7.4,9.5
36,"Stare Miasto, Wrocław",3546,6.8,9.1
37,"Stare Miasto, Wrocław",2319,8.8,9.3
38,"Krzyki, Wrocław",2563,3.0,8.2
39,"Krzyki, Wrocław",3434,10.0,8.6
40,"Śródmieście, Wrocław",2510,8.7,9.2
41,"Śródmieście, Wrocław",3862,7.9,8.5
42,"Krzyki, Wrocław",3789,9.0,9.0
43,"Stare Miasto, Wrocław",3595,8.8,9.1
44,"Krzyki, Wrocław",2494,8.4,8.8
45,"Krzyki, Wrocław",2636,9.3,10.0
46,"Psie Pole, Wrocław",1508,9.0,9.2
47,"Stare Miasto, Wrocław",3246,9.2,8.3
48,"Psie Pole, Wrocław",4149,8.0,10.0
49,"Stare Miasto, Wrocław",4188,8.4,8.2
50,Wrocław,3284,9.3,8.0
51,"Stare Miasto, Wrocław",2518,8.3,9.0
52,"Śródmieście, Wrocław",3831,9.0,8.8
53,"Krzyki, Wrocław",2633,8.9,9.0
54,"Stare Miasto, Wrocław",2549,8.6,10.0
55,"Stare Miasto, Wrocław",5930,9.5,8.2
56,"Śródmieście, Wrocław",2354,8.9,9.6
57,"Krzyki, Wrocław",1478,8.0,10.0
58,"Fabryczna, Wrocław",2608,10.0,9.6
59,"Śródmieście, Wrocław",3709,8.1,8.8
60,"Śródmieście, Wrocław",1916,8.6,9.4
61,"Fabryczna, Wrocław",3238,8.9,8.8
62,"Krzyki, Wrocław",5406,8.6,10.0
63,"Krzyki, Wrocław",2625,9.2,8.9
64,"Stare Miasto, Wrocław",2447,7.7,8.9
65,Wrocław,2022,10.0,8.8
66,"Śródmieście, Wrocław",6306,8.2,9.5
67,"Fabryczna, Wrocław",1774,9.3,9.3
68,"Krzyki, Wrocław",2810,9.0,9.7
69,"Śródmieście, Wrocław",3200,9.4,10.0
70,"Stare Miasto, Wrocław",2738,9.5,8.0
71,"Śródmieście, Wrocław",3165,9.2,8.9
72,"Stare Miasto, Wrocław",3350,9.5,10.0
73,"Śródmieście, Wrocław",7084,10.0,9.2
74,"Fabryczna, Wrocław",3906,8.8,9.5
75,"Fabryczna, Wrocław",2513,8.9,10.0
76,"Stare Miasto, Wrocław",2325,9.0,8.7
77,"Śródmieście, Wrocław",3677,9.5,8.0
78,"Stare Miasto, Wrocław",3069,8.7,8.4
79,"Fabryczna, Wrocław",2117,9.8,9.5
80,"Psie Pole, Wrocław",3536,9.5,9.2
81,"Stare Miasto, Wrocław",2639,8.2,8.9
82,"Stare Miasto, Wrocław",3139,8.7,10.0
83,"Fabryczna, Wrocław",2336,10.0,8.3
84,"Śródmieście, Wrocław",3009,10.0,8.4
85,"Stare Miasto, Wrocław",2554,9.6,8.6
86,"Stare Miasto, Wrocław",2957,9.8,8.8
87,"Krzyki, Wrocław",3021,8.7,9.2
88,"Krzyki, Wrocław",5073,8.4,10.0
89,"Psie Pole, Wrocław",1856,8.4,8.2
90,"Stare Miasto, Wrocław",2400,9.4,8.2
91,"Psie Pole, Wrocław",3206,10.0,8.8
92,"Stare Miasto, Wrocław",3080,8.9,8.0
93,"Stare Miasto, Wrocław",2273,9.0,8.8
94,"Stare Miasto, Wrocław",5006,6.9,10.0
95,Wrocław,2576,8.3,8.6
96,"Stare Miasto, Wrocław",2708,8.5,9.8
97,Wrocław,4855,8.4,8.5
98,"Krzyki, Wrocław",3248,8.3,8.1
99,"Stare Miasto, Wrocław",2057,8.7,8.7
100,Wrocław,1971,9.4,8.6
101,"Stare Miasto, Wrocław",3397,8.2,8.6
102,"Stare Miasto, Wrocław",4106,8.3,10.0
103,"Krzyki, Wrocław",2815,10.0,10.0
104,"Stare Miasto, Wrocław",2987,7.9,9.2
105,"Krzyki, Wrocław",3091,8.6,9.4
106,"Fabryczna, Wrocław",4275,9.0,9.4
107,"Śródmieście, Wrocław",2678,7.3,9.3
108,"Stare Miasto, Wrocław",4324,8.7,9.2
109,"Stare Miasto, Wrocław",4340,9.4,8.3
110,"Śródmieście, Wrocław",2045,8.3,9.6
111,"Stare Miasto, Wrocław",3065,8.3,8.8
112,"Stare Miasto, Wrocław",2452,7.9,8.7
113,"Stare Miasto, Wrocław",7042,8.7,9.4
114,"Śródmieście, Wrocław",3130,8.7,10.0
115,"Śródmieście, Wrocław",3124,7.8,8.5
116,"Stare Miasto, Wrocław",6105,8.6,9.5
117,"Psie Pole, Wrocław",2376,10.0,8.8
118,"Krzyki, Wrocław",4326,9.5,9.2
119,"Stare Miasto, Wrocław",2802,9.1,10.0
120,"Stare Miasto, Wrocław",3125,8.8,9.2
121,"Krzyki, Wrocław",2785,9.3,10.0
122,"Stare Miasto, Wrocław",2650,9.6,8.8
123,"Śródmieście, Wrocław",1803,8.9,9.0
124,"Psie Pole, Wrocław",2684,9.2,8.8
125,"Krzyki, Wrocław",3693,6.5,10.0
126,"Krzyki, Wrocław",2194,8.3,8.7
127,Wrocław,9893,9.6,9.0
128,"Fabryczna, Wrocław",2471,8.5,9.9
129,"Śródmieście, Wrocław",2045,8.8,8.8
130,"Krzyki, Wrocław",4488,9.4,9.3
131,"Stare Miasto, Wrocław",1764,9.5,9.0
132,"Psie Pole, Wrocław",1720,7.5,8.4
133,"Stare Miasto, Wrocław",2898,8.3,10.0
134,"Krzyki, Wrocław",3350,9.2,9.0
135,"Stare Miasto, Wrocław",3510,8.6,8.6
136,"Fabryczna, Wrocław",2954,9.2,9.5
137,"Krzyki, Wrocław",3143,10.0,9.6
138,"Stare Miasto, Wrocław",2648,8.7,10.0
139,"Krzyki, Wrocław",2143,6.6,10.0
140,"Krzyki, Wrocław",3020,7.3,8.7
141,"Stare Miasto, Wrocław",2618,9.5,9.4
142,"Krzyki, Wrocław",4450,10.0,9.4
143,"Fabryczna, Wrocław",3496,8.6,8.6
144,"Fabryczna, Wrocław",2423,8.5,8.8
145,"Stare Miasto, Wrocław",2439,9.3,8.9
146,"Śródmieście, Wrocław",2945,8.9,9.0
147,"Stare Miasto, Wrocław",4348,8.6,9.3
148,"Stare Miasto, Wrocław",2142,7.8,9.2
149,"Stare Miasto, Wrocław",4256,9.9,8.4
150,"Psie Pole, Wrocław",2777,8.6,9.4
151,"Fabryczna, Wrocław",2084,9.1,8.8
152,"Śródmieście, Wrocław",1650,7.6,9.6
153,"Stare Miasto, Wrocław",1661,9.4,8.4
154,"Fabryczna, Wrocław",2025,8.3,8.4
155,"Krzyki, Wrocław",2372,8.8,8.0
156,"Fabryczna, Wrocław",3419,8.7,8.4
157,"Fabryczna, Wrocław",3055,8.3,8.4
158,"Śródmieście, Wrocław",2618,8.6,8.2
159,"Krzyki, Wrocław",1869,9.3,8.4
160,"Stare Miasto, Wrocław",2083,9.5,8.6
161,"Śródmieście, Wrocław",3020,9.5,9.9
162,"Śródmieście, Wrocław",2420,10.0,9.4
163,"Stare Miasto, Wrocław",3766,8.4,10.0
164,"Śródmieście, Wrocław",2052,9.3,9.0
165,"Stare Miasto, Wrocław",3132,9.7,10.0
166,"Krzyki, Wrocław",3591,8.5,9.0
167,"Stare Miasto, Wrocław",2079,8.5,8.0
168,"Krzyki, Wrocław",14093,6.2,8.8
169,"Śródmieście, Wrocław",1960,9.1,9.2
