,City,Cost,Rating,Comfort
0,Zamość,1701,10.0,10.0
1,Zamość,2058,9.6,9.5
2,Zamość,1908,10.0,10.0
3,Zamość,2058,10.0,10.0
4,Zamość,3553,10.0,10.0
5,Zamość,2450,9.5,10.0
6,Zamość,3220,9.7,9.6
7,Zamość,1785,8.0,9.7
8,Zamość,1955,9.5,8.2
9,Zamość,3270,8.4,8.6
10,Zamość,2870,8.6,10.0
11,Zamość,2870,10.0,9.7
12,Zamość,3766,9.7,9.4
13,Zamość,2083,9.2,9.7
14,Zamość,1674,9.8,8.3
15,Zamość,3011,8.5,9.8
16,Zamość,2521,7.5,8.3
17,Zamość,1806,8.1,9.7
18,Zamość,2230,9.7,9.4
19,Zamość,1820,8.5,9.1
20,Zamość,2543,9.7,10.0
21,Zamość,1680,9.5,9.7
22,Zamość,2835,9.0,9.1
23,Zamość,2769,9.9,8.8
24,Zamość,2394,9.5,8.5
25,Zamość,2331,9.0,10.0
26,Zamość,2330,8.7,9.6
27,Zamość,2793,8.3,10.0
28,Zamość,3080,9.8,9.8
29,Zamość,1750,9.7,9.3
30,Zamość,5597,9.7,9.9
31,Zamość,2016,9.9,8.6
32,Zamość,2841,9.3,8.6
33,Zamość,1920,9.8,8.8
34,Zamość,2942,8.8,9.5
35,Zamość,3220,8.9,10.0
36,Zamość,5540,9.0,9.9
37,Zamość,2986,9.6,9.5
38,Zamość,1820,10.0,9.6
39,Zamość,1488,9.9,9.2
40,Zamość,3165,9.0,9.7
41,Zamość,1607,9.7,8.9
42,Zamość,2930,9.3,9.8
43,Zamość,1995,9.5,9.5
44,Zamość,3976,8.9,8.5
45,Zamość,3766,7.8,8.7
46,Zamość,2030,9.8,10.0
47,Zamość,1820,9.2,8.9
48,Zamość,4788,8.6,9.7
49,Zamość,4200,8.5,9.9
50,Zamość,1960,10.0,8.6
51,Zamość,3245,8.7,8.5
52,Zamość,3395,9.3,8.3
53,Zamość,2910,9.8,8.3
54,Zamość,1922,8.7,9.7
55,Zamość,1960,8.3,9.5
56,Zamość,2737,8.3,9.8
57,Zamość,2653,8.1,9.8
58,Zamość,4056,9.7,9.8
59,Zamość,2590,9.4,10.0
60,Zamość,2800,9.7,9.2
61,Zamość,2800,9.5,9.9
62,Zamość,2200,9.7,9.8
63,Zamość,2499,8.0,9.2
64,Zamość,5600,9.7,8.2
65,Zamość,3500,8.9,9.2
66,Zamość,2856,9.8,8.3
67,Zamość,3181,9.8,9.1
68,Zamość,1785,7.4,9.8
69,Zamość,2731,9.1,9.6
70,Zamość,5086,8.3,9.8
71,Zamość,2730,8.3,9.8
72,Zamość,2007,9.5,10.0
73,Zamość,1912,8.8,9.3
74,Zamość,1820,9.4,9.9
75,Zamość,3011,9.8,9.3
76,Zamość,1820,9.6,8.1
77,Zamość,3080,9.7,8.7
78,Zamość,2393,9.6,9.7
79,Zamość,2945,9.6,8.1
80,Zamość,5387,9.0,9.9
81,Zamość,2800,9.8,8.1
82,Zamość,3743,9.2,8.3
83,Zamość,3500,8.8,9.6
84,Zamość,5950,8.6,8.4
