,City,Cost,Rating,Comfort
0,Zielona Góra,2303,9.3,9.2
1,Zielona Góra,2303,9.0,10.0
2,"Centrum, Zielona Góra",1953,9.0,10.0
3,Zielona Góra,2303,10.0,10.0
4,Zielona Góra,1953,10.0,10.0
5,Zielona Góra,2163,9.5,10.0
6,Zielona Góra,2484,10.0,10.0
7,Zielona Góra,2023,8.0,9.9
8,"Centrum, Zielona Góra",1368,9.8,9.4
9,Zielona Góra,2443,9.3,9.2
10,Zielona Góra,2450,9.3,9.3
11,"Centrum, Zielona Góra",1547,9.2,9.4
12,Zielona Góra,1890,9.4,9.3
13,"Centrum, Zielona Góra",2303,9.3,8.1
14,"Centrum, Zielona Góra",2065,8.0,9.8
15,"Centrum, Zielona Góra",2520,9.9,9.1
16,"Centrum, Zielona Góra",2374,7.5,9.1
17,Zielona Góra,2450,9.0,9.1
18,Zielona Góra,1929,9.0,8.7
19,"Centrum, Zielona Góra",2090,9.0,10.0
20,Zielona Góra,2219,8.8,8.8
21,"Centrum, Zielona Góra",2544,10.0,8.5
22,"Centrum, Zielona Góra",2373,6.4,9.2
23,Zielona Góra,2217,9.0,10.0
24,"Centrum, Zielona Góra",3434,8.7,9.7
25,Zielona Góra,1660,9.2,8.2
26,Zielona Góra,2163,9.0,9.5
27,Zielona Góra,2303,9.5,10.0
28,"Centrum, Zielona Góra",1813,8.2,9.3
29,"Centrum, Zielona Góra",1953,9.5,8.7
30,"Centrum, Zielona Góra",2100,6.3,9.4
31,Zielona Góra,1584,10.0,8.9
32,"Centrum, Zielona Góra",2348,7.7,9.4
33,Zielona Góra,1843,9.2,8.7
34,Zielona Góra,2443,8.5,8.9
35,Zielona Góra,2303,7.8,9.7
36,"Centrum, Zielona Góra",4718,9.4,9.0
37,"Centrum, Zielona Góra",2153,8.7,9.8
38,Zielona Góra,3808,9.4,9.7
39,"Centrum, Zielona Góra",2940,8.6,8.8
40,Zielona Góra,2380,8.7,9.5
41,Zielona Góra,3780,9.6,9.7
42,Zielona Góra,1868,8.9,8.0
43,Zielona Góra,2163,9.5,10.0
44,Zielona Góra,2164,9.5,9.1
45,Zielona Góra,2164,8.7,9.1
46,Zielona Góra,2603,9.3,8.4
47,Zielona Góra,6396,9.4,9.7
48,Zielona Góra,1862,7.8,8.0
49,"Centrum, Zielona Góra",2275,10.0,9.0
50,"Centrum, Zielona Góra",2015,9.0,9.2
51,Zielona Góra,3990,9.3,9.2
52,Zielona Góra,4130,8.4,8.7
53,"Centrum, Zielona Góra",2303,9.5,9.7
54,Zielona Góra,1953,8.1,8.2
55,Zielona Góra,4500,8.6,9.9
56,Zielona Góra,2345,8.9,9.4
57,Zielona Góra,2520,8.3,8.7
58,Zielona Góra,2882,9.3,8.3
59,"Centrum, Zielona Góra",2303,8.8,8.6
60,Zielona Góra,2163,9.6,9.6
61,Zielona Góra,2443,8.2,9.0
62,"Centrum, Zielona Góra",6321,9.7,9.8
63,Zielona Góra,2870,9.3,9.7
64,"Centrum, Zielona Góra",2293,8.5,9.1
65,"Centrum, Zielona Góra",2233,8.2,9.4
66,Zielona Góra,2963,8.3,10.0
67,"Centrum, Zielona Góra",3817,9.7,9.0
68,Zielona Góra,2148,9.1,9.8
69,Zielona Góra,2625,9.6,9.4
70,Zielona Góra,2580,9.6,9.2
71,Zielona Góra,1899,9.1,10.0
72,"Centrum, Zielona Góra",2584,9.3,9.3
73,Zielona Góra,2640,9.5,8.6
74,Zielona Góra,2858,9.1,8.3
75,Zielona Góra,2941,9.8,9.0
76,"Centrum, Zielona Góra",2520,9.1,9.1
77,Zielona Góra,2611,9.2,9.2
78,Zielona Góra,4284,5.1,8.9
79,Zielona Góra,2484,10.0,8.9
80,Zielona Góra,2555,9.3,9.2
81,Zielona Góra,3570,8.7,8.6
82,Zielona Góra,5796,6.9,9.0
83,Zielona Góra,2896,8.5,9.0
84,"Centrum, Zielona Góra",2030,8.7,8.9
85,Zielona Góra,2023,8.9,9.8
86,"Centrum, Zielona Góra",6146,9.1,9.7
87,Zielona Góra,1946,8.8,9.1
88,"Centrum, Zielona Góra",1505,8.7,9.4
89,Zielona Góra,2940,9.2,10.0
90,"Centrum, Zielona Góra",4600,8.6,9.0
91,Zielona Góra,2520,8.9,9.8
92,Zielona Góra,4200,9.1,9.4
93,Zielona Góra,5880,8.9,9.2
94,Zielona Góra,4256,9.6,10.0
95,Zielona Góra,2769,9.6,9.3
96,"Centrum, Zielona Góra",4770,9.1,8.6
97,Zielona Góra,3510,9.3,8.3
98,Zielona Góra,3317,9.5,9.0
99,Zielona Góra,3452,9.1,9.1
100,Zielona Góra,2941,9.8,9.2
101,"Centrum, Zielona Góra",2520,9.1,8.9
102,Zielona Góra,2611,9.2,8.9
103,Zielona Góra,4284,5.1,9.2
104,Zielona Góra,2484,10.0,8.6
105,Zielona Góra,2555,9.3,9.0
106,Zielona Góra,3570,8.7,9.0
107,Zielona Góra,5796,6.9,8.9
