,City,Cost,Rating,Comfort
0,Łódź,2128,10.0,10.0
1,"Bałuty, Łódź",2300,8.9,9.2
2,"Śródmieście, Łódź",1392,9.4,9.5
3,"Bałuty, Łódź",2333,9.0,10.0
4,"Śródmieście, Łódź",1263,9.5,10.0
5,"Śródmieście, Łódź",1714,8.6,8.4
6,Łódź,3934,9.5,10.0
7,Łódź,1675,10.0,10.0
8,"Bałuty, Łódź",2097,5.0,9.0
9,"Bałuty, Łódź",1515,7.1,8.6
10,"Bałuty, Łódź",2371,9.1,8.8
11,"Śródmieście, Łódź",2135,8.3,10.0
12,"Śródmieście, Łódź",1920,8.7,8.4
13,Łódź,2040,9.7,8.4
14,"Śródmieście, Łódź",1339,8.6,8.8
15,"Śródmieście, Łódź",993,8.4,10.0
16,Łódź,3080,8.1,8.2
17,Łódź,4130,8.9,10.0
18,"Śródmieście, Łódź",1806,9.0,9.4
19,"Śródmieście, Łódź",2519,7.9,9.5
20,"Śródmieście, Łódź",1950,7.4,9.7
21,Łódź,2062,8.1,8.7
22,Łódź,1678,4.5,8.8
23,Łódź,1756,8.0,8.1
24,"Śródmieście, Łódź",3900,10.0,8.6
25,"Śródmieście, Łódź",903,9.3,9.7
26,"Śródmieście, Łódź",803,9.3,9.0
27,"Śródmieście, Łódź",1763,9.5,9.4
28,"Śródmieście, Łódź",2083,8.5,9.4
29,"Śródmieście, Łódź",1392,7.7,8.9
30,Łódź,1965,9.0,9.6
31,"Bałuty, Łódź",2289,8.2,9.4
32,Łódź,1492,8.6,8.6
33,Łódź,2368,9.5,8.4
34,Łódź,1860,7.8,9.5
35,"Bałuty, Łódź",2333,8.7,8.2
36,"Bałuty, Łódź",2470,9.6,10.0
37,"Śródmieście, Łódź",1821,9.2,8.9
38,"Śródmieście, Łódź",5090,8.8,8.9
39,Łódź,4165,6.2,8.6
40,Łódź,3669,7.7,9.2
41,"Bałuty, Łódź",2546,6.0,8.9
42,"Śródmieście, Łódź",1714,9.5,9.3
43,"Śródmieście, Łódź",1970,9.0,10.0
44,"Bałuty, Łódź",2364,8.2,9.4
45,Łódź,1588,8.6,8.8
46,"Śródmieście, Łódź",5741,9.3,8.1
47,"Śródmieście, Łódź",2985,8.1,9.7
48,Łódź,1965,10.0,8.4
49,"Śródmieście, Łódź",1701,8.9,8.5
50,"Śródmieście, Łódź",1071,8.9,9.2
51,"Śródmieście, Łódź",3213,8.5,10.0
52,Łódź,1969,9.4,9.7
53,Łódź,2796,8.6,9.3
54,"Śródmieście, Łódź",1263,7.4,9.5
55,Łódź,4229,9.2,8.5
56,"Śródmieście, Łódź",4165,10.0,8.3
57,"Śródmieście, Łódź",1470,9.2,9.3
58,Łódź,1759,10.0,8.3
59,"Śródmieście, Łódź",2541,8.0,9.3
60,"Śródmieście, Łódź",1714,5.0,9.8
61,"Bałuty, Łódź",1861,7.1,8.3
62,"Śródmieście, Łódź",2329,9.7,9.5
63,Łódź,4190,8.8,8.9
64,Łódź,1254,8.4,9.4
65,"Bałuty, Łódź",2718,7.6,9.6
66,"Bałuty, Łódź",1904,8.9,9.3
67,Łódź,1589,7.6,8.5
68,"Bałuty, Łódź",2266,9.9,10.0
69,"Bałuty, Łódź",2936,9.7,8.1
70,Łódź,2576,9.7,9.6
71,Łódź,2346,9.4,8.4
72,Łódź,1393,6.7,8.4
73,"Śródmieście, Łódź",1714,8.4,9.5
74,"Śródmieście, Łódź",908,8.6,10.0
75,"Bałuty, Łódź",2840,9.0,9.4
76,"Śródmieście, Łódź",1965,8.5,8.1
77,Łódź,1965,8.2,8.5
78,"Bałuty, Łódź",1632,9.1,8.7
79,Łódź,3934,9.7,8.6
80,Łódź,3900,8.0,9.8
81,"Śródmieście, Łódź",1921,9.4,8.0
82,"Śródmieście, Łódź",4421,9.1,8.9
83,"Śródmieście, Łódź",2640,9.4,8.1
84,"Śródmieście, Łódź",2242,6.0,9.4
85,Łódź,1675,4.4,8.2
86,"Bałuty, Łódź",1470,9.5,8.6
87,"Śródmieście, Łódź",3150,9.2,9.4
88,Łódź,2541,8.7,8.7
89,"Śródmieście, Łódź",1375,9.0,9.4
90,"Śródmieście, Łódź",2520,8.3,9.5
91,"Śródmieście, Łódź",2414,9.5,8.4
92,Łódź,1390,8.4,8.3
93,Łódź,2461,8.3,9.4
94,Łódź,2680,9.5,8.1
95,"Śródmieście, Łódź",1773,9.5,8.7
96,"Śródmieście, Łódź",2293,9.1,8.6
97,Łódź,2600,7.2,8.3
98,"Śródmieście, Łódź",2115,8.3,9.0
99,"Śródmieście, Łódź",1499,8.7,8.3
100,"Śródmieście, Łódź",1392,7.7,8.8
101,Łódź,2733,8.9,10.0
102,"Śródmieście, Łódź",2950,8.7,10.0
103,"Śródmieście, Łódź",2423,9.5,10.0
104,"Bałuty, Łódź",2097,7.4,9.0
105,Łódź,2940,8.2,8.9
106,Łódź,3336,8.8,9.1
107,Łódź,2116,8.1,10.0
108,Łódź,3486,9.0,10.0
109,"Śródmieście, Łódź",2346,8.5,9.5
110,"Bałuty, Łódź",1515,8.6,9.3
111,"Bałuty, Łódź",6734,9.0,9.0
112,Łódź,2080,7.6,8.8
113,"Bałuty, Łódź",2778,8.5,10.0
114,Łódź,1500,7.5,9.7
115,Łódź,1440,7.9,9.3
116,"Śródmieście, Łódź",1965,8.9,8.5
117,"Śródmieście, Łódź",2064,9.5,9.0
118,"Śródmieście, Łódź",3453,5.5,9.5
119,"Śródmieście, Łódź",1324,8.6,9.1
120,"Śródmieście, Łódź",1420,8.5,8.9
121,Łódź,4794,9.5,8.4
122,"Śródmieście, Łódź",1870,8.0,8.8
123,"Śródmieście, Łódź",2239,8.9,9.0
124,"Bałuty, Łódź",2800,8.3,9.9
125,"Śródmieście, Łódź",2135,7.3,8.9
126,Łódź,5923,8.4,9.6
127,"Bałuty, Łódź",2786,9.0,9.7
128,"Bałuty, Łódź",3907,8.2,8.9
129,"Bałuty, Łódź",2371,7.4,8.2
130,Łódź,2027,9.0,8.4
131,Łódź,2594,9.9,8.5
132,"Śródmieście, Łódź",5572,9.9,8.3
133,"Śródmieście, Łódź",4143,9.7,9.4
134,"Śródmieście, Łódź",1821,9.1,9.2
135,"Śródmieście, Łódź",2135,8.8,8.7
136,"Śródmieście, Łódź",2113,8.8,8.4
137,"Bałuty, Łódź",1610,9.8,8.3
138,"Śródmieście, Łódź",2125,9.5,8.4
139,"Śródmieście, Łódź",2064,8.9,9.8
140,"Śródmieście, Łódź",2206,9.5,9.4
141,"Bałuty, Łódź",4460,8.6,8.9
142,"Śródmieście, Łódź",2233,7.9,9.0
143,Łódź,1750,8.8,9.6
144,Łódź,4186,10.0,9.6
145,Łódź,2380,9.7,9.0
146,"Śródmieście, Łódź",1900,9.2,8.5
147,"Bałuty, Łódź",2581,8.5,8.6
148,"Śródmieście, Łódź",3139,9.0,9.5
149,Łódź,3257,9.5,9.5
150,Łódź,2565,9.2,8.3
151,"Śródmieście, Łódź",2283,9.0,9.5
152,Łódź,4105,8.5,9.5
153,"Bałuty, Łódź",4366,8.6,8.8
154,"Śródmieście, Łódź",1920,9.2,8.8
155,Łódź,3513,9.6,9.7
156,Łódź,3537,9.0,8.2
157,Łódź,4956,9.5,9.3
158,Łódź,3383,9.5,9.0
159,Łódź,5206,8.8,8.9
160,Łódź,2040,7.0,9.3
161,"Śródmieście, Łódź",3697,8.4,9.8
162,"Śródmieście, Łódź",6813,8.5,8.1
163,Łódź,2739,5.0,8.3
164,"Śródmieście, Łódź",2389,8.4,9.0
165,"Śródmieście, Łódź",3726,8.2,8.0
166,Łódź,2875,8.3,8.0
167,"Śródmieście, Łódź",5143,9.0,8.5
168,"Śródmieście, Łódź",3742,9.1,10.0
169,"Śródmieście, Łódź",4023,7.1,9.4
170,"Śródmieście, Łódź",2896,8.4,8.3
171,Łódź,3675,8.3,9.7
172,"Śródmieście, Łódź",2561,7.9,9.0
173,"Śródmieście, Łódź",6040,6.6,8.1
174,"Bałuty, Łódź",6266,8.2,8.4
175,Łódź,4136,7.3,9.4
176,"Bałuty, Łódź",1750,8.4,9.4
177,"Śródmieście, Łódź",3076,10.0,9.8
178,"Śródmieście, Łódź",2203,7.6,8.5
179,"Śródmieście, Łódź",1339,9.4,9.9
180,Łódź,4141,8.9,8.7
181,Łódź,2800,8.4,9.6
182,"Śródmieście, Łódź",2523,9.6,8.1
183,"Śródmieście, Łódź",5460,9.9,8.7
184,"Śródmieście, Łódź",3740,8.9,9.5
185,"Śródmieście, Łódź",993,8.5,9.8
186,Łódź,5418,7.5,9.7
187,"Śródmieście, Łódź",1942,8.4,9.1
188,Łódź,1979,8.3,8.9
189,"Bałuty, Łódź",1050,9.3,8.4
190,Łódź,2020,9.6,8.3
191,Łódź,1802,8.1,9.3
192,Łódź,4089,9.7,9.0
193,"Bałuty, Łódź",2936,9.5,9.6
194,Łódź,1677,8.7,9.5
195,"Śródmieście, Łódź",2361,7.7,9.5
196,Łódź,1817,8.9,9.4
197,Łódź,2100,7.2,9.5
198,"Bałuty, Łódź",2672,9.6,9.5
199,Łódź,3175,8.1,8.3
200,Łódź,2214,9.3,9.3
201,"Śródmieście, Łódź",2086,8.8,8.5
202,"Śródmieście, Łódź",2412,5.2,8.6
203,"Śródmieście, Łódź",2487,9.0,9.8
204,Łódź,4130,9.4,9.4
205,Łódź,2156,9.5,8.7
206,"Bałuty, Łódź",1688,8.1,8.8
207,Łódź,3570,8.2,8.4
208,Łódź,2390,8.3,9.5
209,Łódź,2370,7.0,9.1
210,"Śródmieście, Łódź",1806,8.2,8.1
211,"Śródmieście, Łódź",1935,8.2,10.0
212,"Śródmieście, Łódź",2304,8.3,9.5
213,Łódź,2800,9.7,8.8
214,Łódź,2069,9.5,8.6
215,Łódź,2158,8.2,8.1
216,"Śródmieście, Łódź",2548,9.7,8.4
217,"Śródmieście, Łódź",2145,8.8,8.2
218,Łódź,1680,7.9,10.0
219,"Śródmieście, Łódź",2368,8.6,9.2
220,"Śródmieście, Łódź",2370,8.9,9.0
221,"Bałuty, Łódź",4470,9.2,9.0
222,"Bałuty, Łódź",2030,9.6,9.0
223,"Śródmieście, Łódź",1793,8.6,10.0
224,Łódź,1802,9.6,9.5
225,"Śródmieście, Łódź",1289,8.9,9.2
226,Łódź,3083,7.9,9.2
227,"Śródmieście, Łódź",2222,9.4,9.1
228,Łódź,2450,8.0,9.3
229,"Śródmieście, Łódź",2519,8.6,8.3
230,Łódź,2205,8.7,8.4
231,"Śródmieście, Łódź",3496,9.4,9.1
232,"Bałuty, Łódź",3995,7.0,9.6
233,Łódź,2212,9.7,9.4
234,Łódź,1802,9.7,8.0
235,"Śródmieście, Łódź",1950,9.2,9.7
236,Łódź,3169,9.3,8.6
237,Łódź,2544,4.6,10.0
238,"Śródmieście, Łódź",2191,8.4,9.8
239,"Śródmieście, Łódź",1995,8.2,9.3
240,Łódź,2230,9.2,9.1
241,"Śródmieście, Łódź",1925,9.0,8.8
242,"Bałuty, Łódź",2870,7.7,8.2
243,"Bałuty, Łódź",2762,9.6,9.7
244,Łódź,1838,8.1,9.7
245,Łódź,1977,9.3,9.2
246,"Śródmieście, Łódź",2448,9.3,8.7
247,Łódź,2218,9.4,9.8
248,Łódź,2310,7.8,9.5
249,"Śródmieście, Łódź",2799,9.4,9.1
250,"Śródmieście, Łódź",2620,9.4,8.2
251,"Śródmieście, Łódź",2163,7.4,9.4
252,"Śródmieście, Łódź",1974,7.7,9.3
253,"Śródmieście, Łódź",1196,8.3,8.7
254,Łódź,2062,9.5,9.0
255,"Śródmieście, Łódź",2207,8.6,9.5
256,"Bałuty, Łódź",2735,7.9,9.0
257,Łódź,2105,8.8,8.3
258,"Śródmieście, Łódź",2408,9.7,9.7
259,Łódź,2849,5.4,9.2
260,Łódź,1678,9.4,8.0
261,"Bałuty, Łódź",5260,7.6,8.9
262,"Bałuty, Łódź",3297,8.7,9.3
263,"Śródmieście, Łódź",3001,8.9,9.2
264,"Śródmieście, Łódź",1285,8.3,8.6
265,Łódź,1868,9.4,8.7
266,"Śródmieście, Łódź",1833,7.9,9.4
267,Łódź,1866,9.3,8.8
268,Łódź,2436,7.9,10.0
269,"Bałuty, Łódź",2261,9.0,9.4
270,"Śródmieście, Łódź",2800,7.7,9.4
