,City,Cost,Rating,Comfort
0,Bydgoszcz,3273,9.0,9.5
1,Bydgoszcz,1904,9.2,8.8
2,Bydgoszcz,1407,10.0,10.0
3,Bydgoszcz,1874,9.2,9.3
4,Bydgoszcz,2152,8.8,8.8
5,Bydgoszcz,1883,7.2,9.6
6,Bydgoszcz,2394,9.3,10.0
7,Bydgoszcz,2708,9.8,9.3
8,Bydgoszcz,2171,9.4,9.7
9,Bydgoszcz,2930,9.7,8.7
10,Bydgoszcz,2414,8.5,9.6
11,Bydgoszcz,1562,9.7,10.0
12,Bydgoszcz,3087,9.5,8.9
13,Bydgoszcz,2380,9.2,8.4
14,Bydgoszcz,1600,8.4,9.2
15,Bydgoszcz,2926,9.0,8.9
16,Bydgoszcz,1779,8.8,9.1
17,Bydgoszcz,1540,8.8,9.3
18,Bydgoszcz,4550,9.3,8.4
19,Bydgoszcz,1716,8.3,8.4
20,Bydgoszcz,3246,8.5,8.1
21,Bydgoszcz,3558,8.0,8.9
22,Bydgoszcz,2086,8.7,8.7
23,Bydgoszcz,4554,8.5,9.7
24,Bydgoszcz,6182,9.6,8.2
25,Bydgoszcz,3354,8.1,10.0
26,Bydgoszcz,3676,9.7,8.6
27,Bydgoszcz,2614,8.7,10.0
28,Bydgoszcz,2900,10.0,9.1
29,Bydgoszcz,1407,9.1,8.2
30,Bydgoszcz,2520,8.1,8.3
31,Bydgoszcz,2409,8.3,9.2
32,Bydgoszcz,1540,9.0,9.5
33,Bydgoszcz,2040,9.2,9.3
34,Bydgoszcz,4578,9.2,8.7
35,Bydgoszcz,1874,8.7,9.4
36,Bydgoszcz,1701,9.5,8.4
37,Bydgoszcz,2310,8.5,8.5
38,Bydgoszcz,1533,8.7,8.3
39,Bydgoszcz,1533,8.6,9.2
40,Bydgoszcz,2520,8.9,9.5
41,Bydgoszcz,4226,9.4,9.2
42,Bydgoszcz,2660,7.9,8.6
43,Bydgoszcz,2136,9.2,9.3
44,Bydgoszcz,2450,8.4,8.2
45,Bydgoszcz,3486,9.4,9.3
46,Bydgoszcz,1934,8.2,8.0
47,Bydgoszcz,3720,9.3,8.8
48,Bydgoszcz,2235,7.9,8.3
49,Bydgoszcz,1894,8.0,9.4
50,Bydgoszcz,1764,8.5,8.8
51,Bydgoszcz,5530,8.4,9.3
52,Bydgoszcz,4186,9.3,8.9
53,Bydgoszcz,6938,8.8,10.0
54,Bydgoszcz,2152,7.4,9.2
55,Bydgoszcz,2730,9.0,9.6
56,Bydgoszcz,2660,8.8,8.8
57,Bydgoszcz,3616,9.7,9.4
58,Bydgoszcz,2791,9.1,8.2
59,Bydgoszcz,1771,9.3,9.2
60,Bydgoszcz,2394,8.8,9.4
61,Bydgoszcz,2520,9.0,9.4
62,Bydgoszcz,2940,8.5,9.2
63,Bydgoszcz,3640,9.3,8.6
64,Bydgoszcz,2660,9.4,8.2
65,Bydgoszcz,4234,9.2,9.4
66,Bydgoszcz,1785,9.1,9.7
67,Bydgoszcz,2660,8.5,9.4
68,Bydgoszcz,3228,8.2,8.1
69,Bydgoszcz,1533,9.2,9.4
70,Bydgoszcz,2555,9.2,8.0
71,Bydgoszcz,2629,9.3,8.8
72,Bydgoszcz,3430,8.1,9.4
73,Bydgoszcz,3010,9.4,8.0
74,Bydgoszcz,2660,8.6,10.0
75,Bydgoszcz,3120,8.8,9.9
76,Bydgoszcz,2583,9.4,8.9
77,Bydgoszcz,2093,8.0,9.4
78,Bydgoszcz,1755,9.8,8.1
79,Bydgoszcz,2708,9.7,9.3
80,Bydgoszcz,3150,8.9,9.3
81,Bydgoszcz,4900,9.2,8.7
82,Bydgoszcz,5019,8.0,8.6
83,Bydgoszcz,3290,9.2,10.0
84,Bydgoszcz,3213,9.4,9.4
85,Bydgoszcz,2171,8.5,9.8
86,Bydgoszcz,2199,8.6,9.4
87,Bydgoszcz,2100,9.7,9.1
88,Bydgoszcz,2870,9.3,9.9
89,Bydgoszcz,2860,9.6,9.1
90,Bydgoszcz,4473,9.4,8.1
91,Bydgoszcz,3142,9.1,8.4
92,Bydgoszcz,2320,9.8,9.0
93,Bydgoszcz,3150,9.1,9.5
94,Bydgoszcz,2910,8.4,8.7
95,Bydgoszcz,4200,8.4,8.6
96,Bydgoszcz,3606,8.9,9.5
97,Bydgoszcz,2583,9.4,9.8
98,Bydgoszcz,3080,8.8,8.1
99,Bydgoszcz,2800,8.4,9.7
100,Bydgoszcz,4458,9.7,8.9
101,Bydgoszcz,2646,9.6,8.7
102,Bydgoszcz,4480,8.6,8.9
103,Bydgoszcz,3906,9.7,8.1
104,Bydgoszcz,2930,8.7,9.6
105,Bydgoszcz,4340,6.4,8.9
106,Bydgoszcz,2520,8.7,9.2
107,Bydgoszcz,3640,8.9,10.0
108,Bydgoszcz,2660,7.8,8.7
