,City,Cost,Rating,Comfort
0,"Centrum, Gdańsk",3319,10.0,10.0
1,Gdańsk,2835,9.8,10.0
2,"Przymorze, Gdańsk",8417,9.8,9.9
3,"Przymorze, Gdańsk",4829,9.4,9.5
4,Gdańsk,3728,9.8,9.7
5,Gdańsk,4448,9.0,9.2
6,Gdańsk,5445,9.7,10.0
7,"Wrzeszcz, Gdańsk",3276,8.0,10.0
8,"Centrum, Gdańsk",4340,10.0,10.0
9,"Wrzeszcz, Gdańsk",3163,10.0,10.0
10,"Wrzeszcz, Gdańsk",3998,8.0,9.7
11,"Centrum, Gdańsk",3966,9.7,8.6
12,"Centrum, Gdańsk",5340,8.7,10.0
13,"Centrum, Gdańsk",4050,10.0,10.0
14,"Centrum, Gdańsk",4200,10.0,9.2
15,Gdańsk,1820,9.3,10.0
16,"Centrum, Gdańsk",3496,9.9,10.0
17,"Brzeźno, Gdańsk",3500,10.0,10.0
18,Gdańsk,2772,10.0,10.0
19,Gdańsk,2382,10.0,10.0
20,"Centrum, Gdańsk",4246,10.0,10.0
21,Gdańsk,2683,10.0,8.8
22,"Centrum, Gdańsk",3267,9.5,10.0
23,"Brzeźno, Gdańsk",6188,10.0,10.0
24,"Centrum, Gdańsk",2800,10.0,8.8
25,"Centrum, Gdańsk",5130,9.3,10.0
26,"Brzeźno, Gdańsk",4048,9.8,8.6
27,"Wrzeszcz, Gdańsk",2819,8.8,10.0
28,"Przymorze, Gdańsk",2498,9.7,10.0
29,"Przymorze, Gdańsk",8417,10.0,10.0
30,"Brzeźno, Gdańsk",3564,10.0,9.3
31,"Centrum, Gdańsk",4203,9.1,9.2
32,"Brzeźno, Gdańsk",3113,9.3,9.5
33,"Centrum, Gdańsk",3512,9.3,10.0
34,"Centrum, Gdańsk",7042,10.0,8.7
35,"Przymorze, Gdańsk",4829,8.8,10.0
36,Gdańsk,4971,8.0,9.5
37,Gdańsk,3333,10.0,10.0
38,Gdańsk,3603,9.7,9.4
39,"Centrum, Gdańsk",3027,10.0,10.0
40,Gdańsk,3913,9.7,8.5
41,"Przymorze, Gdańsk",4046,9.5,9.6
42,"Centrum, Gdańsk",4492,7.6,10.0
43,Gdańsk,2872,9.7,9.8
44,"Przymorze, Gdańsk",3088,10.0,10.0
45,"Centrum, Gdańsk",6200,9.5,9.3
46,"Centrum, Gdańsk",4347,10.0,9.6
47,"Przymorze, Gdańsk",2374,9.9,10.0
48,"Centrum, Gdańsk",6147,9.5,9.2
49,Gdańsk,2648,10.0,9.3
50,"Centrum, Gdańsk",3254,9.3,10.0
51,"Centrum, Gdańsk",5014,8.9,9.2
52,Gdańsk,2170,10.0,10.0
53,"Przymorze, Gdańsk",2274,9.7,8.8
54,Gdańsk,3728,9.0,10.0
55,"Przymorze, Gdańsk",6773,8.6,10.0
56,"Centrum, Gdańsk",4165,10.0,9.4
57,"Centrum, Gdańsk",4685,10.0,8.8
