,City,Cost,Rating,Comfort
0,Gliwice,1785,10.0,10.0
1,Gliwice,2356,9.1,9.4
2,Gliwice,3060,10.0,10.0
3,Gliwice,2320,8.9,9.2
4,Gliwice,2922,9.9,10.0
5,Gliwice,3395,9.6,9.9
6,Gliwice,2296,9.8,10.0
7,Gliwice,2525,9.4,9.6
8,Gliwice,2270,9.2,9.2
9,Gliwice,2852,8.5,8.8
10,Gliwice,6400,8.3,8.4
11,Gliwice,4886,9.0,9.1
12,Gliwice,2170,9.1,9.8
13,Gliwice,2369,9.4,9.1
14,Gliwice,2525,9.6,10.0
15,Gliwice,3179,8.5,8.7
16,Gliwice,4066,9.3,9.3
17,Gliwice,2130,9.3,9.5
18,Gliwice,3229,9.3,9.4
19,Gliwice,2195,9.0,9.1
20,Gliwice,2100,9.4,9.5
21,Gliwice,2790,8.8,9.0
22,Gliwice,4760,9.0,9.2
23,Gliwice,1960,8.3,8.3
24,Gliwice,2555,9.2,9.3
25,Gliwice,2940,8.3,8.4
26,Gliwice,2000,9.6,9.7
27,Gliwice,3640,7.5,9.3
28,Gliwice,2186,9.5,9.0
29,Gliwice,2040,8.9,10.0
30,Gliwice,1960,7.5,8.8
31,Gliwice,4131,9.7,9.8
32,Gliwice,2555,8.9,10.0
33,Gliwice,3500,9.7,9.8
34,Gliwice,4066,9.9,8.4
35,Gliwice,1848,9.5,8.9
36,Gliwice,3542,8.4,8.7
37,Gliwice,4306,8.7,9.1
38,Gliwice,4508,7.3,8.3
39,Gliwice,3766,8.8,9.6
40,Gliwice,5336,8.7,9.7
41,Gliwice,7140,8.4,9.6
42,Gliwice,1820,8.7,9.3
43,Gliwice,5950,9.7,8.8
44,Gliwice,2256,9.6,8.5
45,Gliwice,1932,9.5,10.0
46,Gliwice,2744,8.8,9.1
47,Gliwice,2601,8.4,9.3
48,Gliwice,3178,9.9,9.8
49,Gliwice,3031,9.1,10.0
50,Gliwice,2786,9.2,9.7
51,Gliwice,3335,9.9,8.1
52,Gliwice,2660,10.0,9.4
53,Gliwice,3349,9.5,8.0
54,Gliwice,3358,7.9,9.1
55,Gliwice,3257,9.5,9.6
56,Gliwice,2735,8.1,8.8
57,Gliwice,4230,8.9,8.2
58,Gliwice,2747,9.2,9.8
59,Gliwice,3660,8.9,9.5
60,Gliwice,5360,8.2,10.0
61,Gliwice,2895,9.5,9.9
62,Gliwice,2540,9.3,9.6
63,Gliwice,4390,8.0,10.0
64,Gliwice,3248,9.9,9.6
65,Gliwice,4032,9.8,9.2
66,Gliwice,2916,9.6,8.7
67,Gliwice,3300,6.9,8.4
