,City,Cost,Rating,Comfort
0,Jelenia Góra,2590,9.3,10.0
1,Jelenia Góra,2379,10.0,10.0
2,Jelenia Góra,2520,10.0,10.0
3,"Cieplice, Jelenia Góra",2693,9.1,9.1
4,"Cieplice, Jelenia Góra",2520,9.6,10.0
5,Jelenia Góra,2261,9.4,9.6
6,Jelenia Góra,1488,9.6,9.8
7,"Cieplice, Jelenia Góra",2407,8.0,8.1
8,"Cieplice, Jelenia Góra",1960,9.0,9.0
9,Jelenia Góra,1339,8.8,8.3
10,Jelenia Góra,4060,9.0,10.0
11,Jelenia Góra,3319,9.9,9.8
12,Jelenia Góra,2058,9.7,9.7
13,"Cieplice, Jelenia Góra",2421,9.7,9.8
14,Jelenia Góra,4900,10.0,10.0
15,"Cieplice, Jelenia Góra",2410,9.3,9.4
16,Jelenia Góra,2516,9.0,10.0
17,Jelenia Góra,2100,10.0,10.0
18,Jelenia Góra,4895,8.8,8.9
19,Jelenia Góra,1442,9.2,9.3
20,"Cieplice, Jelenia Góra",1820,8.8,8.7
21,Jelenia Góra,2975,9.4,9.4
22,Jelenia Góra,2125,8.0,9.7
23,Jelenia Góra,2827,9.6,10.0
24,"Cieplice, Jelenia Góra",5034,9.0,9.6
25,Jelenia Góra,2526,10.0,9.2
26,Jelenia Góra,1680,9.5,9.8
27,"Cieplice, Jelenia Góra",2730,10.0,9.6
28,Jelenia Góra,1958,9.7,9.5
29,Jelenia Góra,2520,9.7,10.0
30,"Cieplice, Jelenia Góra",2310,9.6,9.5
31,Jelenia Góra,2381,10.0,9.5
32,"Cieplice, Jelenia Góra",3650,9.4,9.5
33,Jelenia Góra,2480,9.8,9.2
34,Jelenia Góra,1953,9.4,9.7
35,"Cieplice, Jelenia Góra",2693,10.0,8.6
36,Jelenia Góra,2303,9.5,9.9
37,Jelenia Góra,1863,8.7,10.0
38,Jelenia Góra,1844,9.7,9.6
39,Jelenia Góra,4463,9.8,8.3
40,Jelenia Góra,3213,9.5,9.8
41,"Cieplice, Jelenia Góra",5751,8.1,9.9
42,Jelenia Góra,2460,9.8,9.2
43,Jelenia Góra,2835,9.8,9.1
44,Jelenia Góra,2150,9.3,8.9
45,Jelenia Góra,3990,8.9,9.5
46,Jelenia Góra,2743,8.9,9.4
47,Jelenia Góra,2185,9.3,9.8
48,Jelenia Góra,2397,9.5,9.1
49,Jelenia Góra,1767,9.7,9.2
50,Jelenia Góra,4660,9.1,9.1
51,"Cieplice, Jelenia Góra",2940,9.3,9.0
52,"Cieplice, Jelenia Góra",4200,9.0,10.0
53,Jelenia Góra,2800,8.9,9.5
54,"Cieplice, Jelenia Góra",2520,10.0,9.2
55,Jelenia Góra,3290,9.4,8.8
56,Jelenia Góra,4956,9.3,10.0
57,Jelenia Góra,7226,9.0,9.4
58,Jelenia Góra,3276,9.8,9.6
59,"Cieplice, Jelenia Góra",1715,9.1,9.8
60,Jelenia Góra,2261,9.6,9.5
61,Jelenia Góra,1850,9.8,9.8
62,Jelenia Góra,2025,9.5,10.0
63,Jelenia Góra,2590,9.6,9.6
64,Jelenia Góra,1995,10.0,9.5
65,Jelenia Góra,1488,9.3,9.6
66,Jelenia Góra,2065,9.5,9.7
67,Jelenia Góra,2240,9.8,10.0
68,Jelenia Góra,2730,9.6,9.6
69,Jelenia Góra,2759,10.0,9.7
70,Jelenia Góra,2520,9.7,9.7
71,Jelenia Góra,2570,9.6,9.7
72,Jelenia Góra,1468,9.9,10.0
73,Jelenia Góra,2590,9.4,9.5
74,Jelenia Góra,2797,9.6,9.7
75,Jelenia Góra,2450,9.6,10.0
76,Jelenia Góra,2205,9.6,9.5
77,Jelenia Góra,1995,10.0,8.8
78,Jelenia Góra,3299,9.4,9.6
79,Jelenia Góra,1488,9.5,9.2
80,Jelenia Góra,2240,9.4,9.8
81,Jelenia Góra,2730,9.5,10.0
82,Jelenia Góra,1827,10.0,9.2
83,"Cieplice, Jelenia Góra",3449,9.8,9.1
84,"Cieplice, Jelenia Góra",4200,9.0,9.2
85,"Cieplice, Jelenia Góra",2407,9.0,9.6
86,Jelenia Góra,2100,9.1,9.4
87,Jelenia Góra,2660,9.4,9.6
88,Jelenia Góra,2468,9.4,9.3
89,Jelenia Góra,2669,9.5,8.6
90,"Cieplice, Jelenia Góra",2100,9.4,9.1
91,Jelenia Góra,1785,8.7,9.2
92,Jelenia Góra,3099,9.2,9.6
93,Jelenia Góra,1743,9.3,9.4
94,Jelenia Góra,2400,9.6,9.5
95,Jelenia Góra,2155,9.4,9.4
96,"Cieplice, Jelenia Góra",2113,9.4,10.0
97,Jelenia Góra,2520,9.4,8.7
98,"Cieplice, Jelenia Góra",2450,8.1,9.8
99,Jelenia Góra,1785,9.5,9.7
100,Jelenia Góra,4032,8.3,9.3
101,Jelenia Góra,3099,9.7,9.0
102,Jelenia Góra,2366,9.8,9.3
103,"Cieplice, Jelenia Góra",2499,9.4,9.5
104,Jelenia Góra,1339,9.0,9.5
105,Jelenia Góra,1904,9.1,10.0
106,Jelenia Góra,2909,9.4,9.7
107,"Cieplice, Jelenia Góra",2390,9.2,9.6
108,"Cieplice, Jelenia Góra",2640,9.0,9.5
109,Jelenia Góra,2826,9.7,9.7
110,Jelenia Góra,3319,9.4,9.7
111,Jelenia Góra,2205,9.6,9.8
112,Jelenia Góra,2730,9.6,9.7
113,Jelenia Góra,2195,9.7,8.8
114,Jelenia Góra,2731,9.7,9.6
115,Jelenia Góra,2275,9.7,9.6
116,Jelenia Góra,2660,9.3,9.2
117,Jelenia Góra,2039,9.5,9.7
118,Jelenia Góra,2030,9.6,9.8
119,"Cieplice, Jelenia Góra",2450,9.4,8.9
120,"Cieplice, Jelenia Góra",3049,9.5,8.3
121,Jelenia Góra,2380,9.8,10.0
122,"Cieplice, Jelenia Góra",2142,8.7,9.5
123,Jelenia Góra,2870,8.8,8.3
124,Jelenia Góra,2030,10.0,9.5
125,Jelenia Góra,2450,9.4,9.6
126,"Cieplice, Jelenia Góra",2800,8.6,10.0
127,Jelenia Góra,2457,9.5,9.7
128,"Cieplice, Jelenia Góra",2520,9.4,10.0
129,Jelenia Góra,2058,9.0,8.8
130,"Cieplice, Jelenia Góra",2406,9.5,9.2
131,"Cieplice, Jelenia Góra",2420,9.0,10.0
132,"Cieplice, Jelenia Góra",2310,9.5,9.5
133,"Cieplice, Jelenia Góra",2794,9.0,9.8
134,"Cieplice, Jelenia Góra",2262,9.9,10.0
135,"Cieplice, Jelenia Góra",2421,7.0,9.6
136,Jelenia Góra,3442,9.6,10.0
137,"Cieplice, Jelenia Góra",3029,9.7,10.0
138,Jelenia Góra,2843,10.0,10.0
139,Jelenia Góra,1743,9.3,9.9
140,Jelenia Góra,2628,9.9,10.0
141,Jelenia Góra,5058,9.7,10.0
142,Jelenia Góra,1844,10.0,9.7
143,Jelenia Góra,3150,9.8,9.7
144,Jelenia Góra,3150,10.0,9.7
145,"Cieplice, Jelenia Góra",4410,10.0,9.7
146,Jelenia Góra,4620,9.5,10.0
147,"Cieplice, Jelenia Góra",5670,9.7,9.3
148,Jelenia Góra,3900,9.7,9.8
149,Jelenia Góra,2891,9.7,9.5
150,Jelenia Góra,3024,7.9,9.5
151,"Cieplice, Jelenia Góra",3122,10.0,9.2
152,Jelenia Góra,3150,9.2,9.6
153,Jelenia Góra,2940,9.7,9.3
