,City,Cost,Rating,Comfort
0,"Stare Miasto, Kraków",3174,9.2,9.4
1,"Stare Miasto, Kraków",6503,3.5,9.6
2,"Grzegórzki, Kraków",4552,9.7,9.5
3,"Stare Miasto, Kraków",1779,9.2,10.0
4,"Podgórze, Kraków",3035,10.0,10.0
5,"Stare Miasto, Kraków",2100,10.0,9.0
6,"Czyżyny, Kraków",2233,9.6,8.9
7,"Stare Miasto, Kraków",3719,8.8,10.0
8,"Grzegórzki, Kraków",4550,7.0,9.4
9,"Krowodrza, Kraków",4221,8.0,9.6
10,"Podgórze, Kraków",5110,9.1,9.4
11,Kraków,1285,9.4,8.3
12,"Stare Miasto, Kraków",3570,9.1,8.8
13,Kraków,2570,8.1,9.2
14,"Podgórze, Kraków",4420,9.0,9.2
15,"Stare Miasto, Kraków",3396,9.1,10.0
16,"Stare Miasto, Kraków",2950,3.5,10.0
17,"Podgórze, Kraków",3344,9.0,8.8
18,"Dębniki, Kraków",2302,10.0,9.2
19,"Krowodrza, Kraków",4340,10.0,9.2
20,"Czyżyny, Kraków",2016,9.5,9.2
21,"Stare Miasto, Kraków",5943,8.8,8.8
22,"Podgórze, Kraków",2861,7.0,8.7
23,"Podgórze, Kraków",3106,9.0,9.4
24,Kraków,1890,9.3,8.0
25,"Grzegórzki, Kraków",3321,8.8,10.0
26,"Stare Miasto, Kraków",4360,8.7,9.1
27,"Stare Miasto, Kraków",3430,9.3,9.8
28,"Stare Miasto, Kraków",3867,7.2,9.5
29,"Stare Miasto, Kraków",1779,9.0,8.8
30,"Stare Miasto, Kraków",4315,9.0,9.0
31,"Stare Miasto, Kraków",3600,9.7,9.1
32,"Stare Miasto, Kraków",3326,9.1,9.0
33,"Stare Miasto, Kraków",4250,1.0,8.8
34,"Stare Miasto, Kraków",3580,9.0,10.0
35,"Podgórze, Kraków",3035,8.9,8.4
36,"Stare Miasto, Kraków",3108,9.2,10.0
37,"Prądnik Biały, Kraków",2390,8.4,9.5
38,"Grzegórzki, Kraków",2879,8.7,9.2
39,"Stare Miasto, Kraków",3114,8.0,9.4
40,"Stare Miasto, Kraków",3028,9.0,9.3
41,"Stare Miasto, Kraków",2737,8.6,9.6
42,"Stare Miasto, Kraków",3906,9.0,9.6
43,"Podgórze, Kraków",2976,9.7,9.3
44,"Stare Miasto, Kraków",3210,9.2,9.5
45,"Zwierzyniec, Kraków",4253,7.6,9.3
46,"Grzegórzki, Kraków",4817,9.0,9.6
47,"Stare Miasto, Kraków",4509,9.5,8.0
48,"Stare Miasto, Kraków",5126,9.3,9.3
49,"Stare Miasto, Kraków",2908,9.1,8.7
50,"Podgórze, Kraków",2624,9.2,9.3
51,"Stare Miasto, Kraków",3537,9.2,8.6
52,"Stare Miasto, Kraków",3570,9.5,8.2
53,"Bronowice, Kraków",2060,7.8,8.9
54,"Stare Miasto, Kraków",2100,9.1,8.9
55,"Grzegórzki, Kraków",3233,8.6,8.7
56,"Stare Miasto, Kraków",3824,8.9,8.5
57,"Grzegórzki, Kraków",3299,8.6,9.6
58,"Grzegórzki, Kraków",2975,8.1,9.0
59,"Grzegórzki, Kraków",3792,8.7,8.9
60,"Czyżyny, Kraków",2233,8.8,9.4
61,"Krowodrza, Kraków",2921,8.7,9.6
62,"Stare Miasto, Kraków",3149,8.3,8.4
63,"Zwierzyniec, Kraków",3273,9.7,9.2
64,"Krowodrza, Kraków",3328,8.7,9.4
65,"Stare Miasto, Kraków",3150,8.8,9.3
66,"Podgórze, Kraków",3071,9.4,9.3
67,"Stare Miasto, Kraków",8517,6.5,8.3
68,"Stare Miasto, Kraków",10920,9.7,9.4
69,"Stare Miasto, Kraków",6948,8.3,9.5
70,"Podgórze, Kraków",7452,3.0,9.1
71,"Dębniki, Kraków",6151,7.0,9.5
72,"Podgórze, Kraków",8657,9.1,8.6
73,"Stare Miasto, Kraków",6590,9.3,9.8
74,"Stare Miasto, Kraków",3494,9.3,8.9
75,"Stare Miasto, Kraków",8122,9.2,8.4
76,"Grzegórzki, Kraków",4150,8.2,9.5
77,"Grzegórzki, Kraków",5307,9.0,8.9
78,"Stare Miasto, Kraków",3124,9.3,10.0
79,"Stare Miasto, Kraków",3719,9.0,9.0
80,"Stare Miasto, Kraków",5472,7.7,10.0
81,"Grzegórzki, Kraków",3891,9.3,9.6
82,"Prądnik Biały, Kraków",4766,8.6,10.0
83,"Stare Miasto, Kraków",3145,9.9,9.6
84,"Stare Miasto, Kraków",5530,8.8,9.5
85,"Grzegórzki, Kraków",4550,8.7,9.0
86,"Stare Miasto, Kraków",8139,9.4,10.0
87,"Stare Miasto, Kraków",7802,8.8,8.6
88,"Podgórze, Kraków",3554,10.0,8.3
89,Kraków,2328,8.9,8.8
90,"Stare Miasto, Kraków",2133,8.0,9.4
91,"Łagiewniki, Kraków",3195,9.5,8.5
92,"Stare Miasto, Kraków",4760,8.0,9.2
93,"Stare Miasto, Kraków",5801,9.5,8.8
94,"Stare Miasto, Kraków",2482,9.1,8.9
95,"Bronowice, Kraków",3436,8.8,8.7
96,"Dębniki, Kraków",1885,10.0,8.3
97,"Stare Miasto, Kraków",2973,8.7,10.0
98,"Stare Miasto, Kraków",3059,8.3,8.9
99,"Stare Miasto, Kraków",3485,8.8,9.1
100,"Stare Miasto, Kraków",3104,8.8,9.1
101,"Stare Miasto, Kraków",3270,8.4,8.8
102,"Stare Miasto, Kraków",3220,9.1,8.9
103,"Stare Miasto, Kraków",3189,8.9,9.3
104,"Podgórze, Kraków",5110,8.9,8.3
105,"Stare Miasto, Kraków",4400,8.7,8.5
106,"Dębniki, Kraków",4561,9.3,8.2
107,"Stare Miasto, Kraków",6042,9.4,9.1
108,"Stare Miasto, Kraków",3225,9.0,10.0
109,"Stare Miasto, Kraków",4165,8.5,8.6
110,Kraków,1285,8.9,8.8
111,"Stare Miasto, Kraków",4956,9.2,9.2
112,"Stare Miasto, Kraków",2845,8.7,9.4
113,"Stare Miasto, Kraków",13286,9.0,10.0
114,"Grzegórzki, Kraków",4483,8.9,9.0
115,"Krowodrza, Kraków",2894,8.2,8.8
116,"Dębniki, Kraków",3150,8.2,8.4
117,"Stare Miasto, Kraków",4655,8.1,9.3
118,"Stare Miasto, Kraków",2922,9.3,8.8
119,"Stare Miasto, Kraków",3022,10.0,9.2
120,"Grzegórzki, Kraków",3949,8.6,9.8
121,"Stare Miasto, Kraków",2739,9.5,9.4
122,Kraków,5089,8.9,8.8
123,"Stare Miasto, Kraków",2928,9.4,9.7
124,"Grzegórzki, Kraków",3712,9.4,8.6
125,"Stare Miasto, Kraków",2928,9.6,9.0
126,"Grzegórzki, Kraków",3712,8.8,9.1
127,"Grzegórzki, Kraków",5106,8.2,8.0
128,"Podgórze, Kraków",6882,9.0,8.6
129,"Stare Miasto, Kraków",3570,8.8,9.6
130,"Stare Miasto, Kraków",2774,9.4,9.6
131,"Stare Miasto, Kraków",2912,9.7,8.9
132,"Stare Miasto, Kraków",3446,7.2,8.8
133,"Grzegórzki, Kraków",2440,9.3,8.4
134,"Stare Miasto, Kraków",5320,8.8,8.6
