,City,Cost,Rating,Comfort
0,Lublin,2564,8.7,8.8
1,Lublin,1729,10.0,9.2
2,Lublin,3836,10.0,10.0
3,Lublin,4324,9.8,10.0
4,Lublin,3763,10.0,10.0
5,Lublin,2572,8.8,9.2
6,Lublin,2040,9.5,9.4
7,Lublin,2770,9.8,9.8
8,Lublin,1973,1.0,10.0
9,Lublin,1904,10.0,10.0
10,Lublin,2835,9.5,9.1
11,Lublin,2286,9.1,10.0
12,Lublin,1601,9.6,8.8
13,Lublin,2198,7.3,9.6
14,Lublin,2083,9.0,9.7
15,Lublin,2855,9.6,9.2
16,"Stare Miasto, Lublin",3540,9.6,9.6
17,Lublin,1890,7.7,8.0
18,Lublin,2547,9.0,9.0
19,Lublin,3060,9.5,9.0
20,Lublin,2443,8.0,9.4
21,Lublin,5093,9.1,8.1
22,Lublin,2668,9.1,9.2
23,Lublin,4506,9.0,8.3
24,Lublin,2423,7.8,9.6
25,Lublin,5060,9.0,10.0
26,Lublin,3396,7.9,9.9
27,Lublin,1940,8.9,9.3
28,"Stare Miasto, Lublin",3830,9.4,10.0
29,Lublin,4324,9.8,8.4
30,Lublin,4730,9.9,10.0
31,Lublin,4494,9.1,9.9
32,Lublin,2007,9.9,8.6
33,Lublin,2253,7.6,9.5
34,Lublin,2660,8.7,9.4
35,Lublin,3763,10.0,9.5
36,Lublin,4730,9.9,8.9
37,Lublin,2142,8.9,8.1
38,"Stare Miasto, Lublin",2461,9.4,9.4
39,Lublin,2898,9.5,9.6
40,Lublin,2060,9.5,9.5
41,Lublin,2726,9.0,9.9
42,Lublin,1996,8.2,8.8
43,"Stare Miasto, Lublin",2649,9.5,9.2
44,Lublin,4300,9.5,9.3
45,Lublin,2420,9.4,9.0
46,Lublin,2276,9.8,9.2
47,Lublin,3150,8.8,8.9
48,Lublin,4814,9.1,8.4
49,Lublin,5110,9.1,9.2
50,Lublin,2293,9.0,9.7
51,"Stare Miasto, Lublin",2100,9.1,9.6
52,Lublin,1696,9.1,9.1
53,Lublin,2193,8.5,9.6
54,Lublin,2572,8.8,9.4
55,Lublin,2700,9.6,8.9
56,Lublin,2637,9.3,8.8
57,Lublin,2660,9.4,9.0
58,Lublin,2826,9.5,8.4
59,Lublin,2293,7.8,9.6
60,Lublin,2040,9.5,8.4
61,Lublin,3162,8.8,8.6
62,Lublin,3077,8.6,9.6
63,Lublin,3110,8.8,8.9
64,Lublin,2570,7.9,8.9
65,Lublin,3214,8.2,8.2
66,Lublin,4103,9.7,9.6
67,Lublin,2548,8.5,9.1
68,Lublin,2505,8.5,8.6
69,"Stare Miasto, Lublin",2960,9.6,8.7
70,"Stare Miasto, Lublin",2880,8.9,9.0
71,Lublin,2383,9.0,8.8
72,Lublin,3280,8.2,9.4
73,"Stare Miasto, Lublin",14630,9.2,9.9
74,Lublin,4250,8.9,9.1
75,Lublin,5136,8.4,9.3
76,Lublin,5455,8.7,9.2
77,Lublin,7300,8.7,9.8
78,Lublin,5600,8.6,9.8
79,Lublin,2040,9.5,9.0
80,Lublin,2979,9.8,9.5
81,Lublin,3480,9.1,8.4
82,Lublin,2213,8.0,9.7
83,Lublin,3675,9.1,9.3
84,Lublin,1872,9.6,8.9
85,Lublin,2770,9.8,8.3
86,"Stare Miasto, Lublin",3136,10.0,9.0
87,Lublin,3695,9.0,9.9
88,"Stare Miasto, Lublin",3046,9.3,9.6
89,Lublin,2293,8.4,9.9
90,"Stare Miasto, Lublin",2829,9.8,9.6
91,Lublin,1890,9.3,8.6
92,Lublin,3493,8.8,9.9
93,"Stare Miasto, Lublin",1843,8.0,9.3
94,Lublin,2870,8.0,9.1
95,Lublin,3675,9.1,8.6
96,Lublin,3570,9.7,8.2
97,"Stare Miasto, Lublin",2079,9.5,9.7
98,Lublin,3420,9.7,9.0
99,Lublin,2995,9.5,8.2
100,"Stare Miasto, Lublin",4631,8.6,10.0
101,Lublin,4554,9.9,9.5
102,Lublin,2760,9.0,9.3
103,Lublin,2713,9.1,8.7
104,Lublin,1973,1.0,8.3
105,Lublin,2030,8.2,9.4
106,"Stare Miasto, Lublin",2600,8.1,9.6
107,"Stare Miasto, Lublin",3628,9.6,9.9
108,Lublin,3110,9.1,8.4
109,Lublin,1943,8.4,9.6
110,Lublin,1904,10.0,9.7
111,Lublin,3500,9.6,9.5
112,Lublin,2770,9.7,8.6
113,"Stare Miasto, Lublin",2168,8.3,9.5
114,"Stare Miasto, Lublin",3003,8.5,8.2
115,"Stare Miasto, Lublin",3110,9.0,9.7
116,Lublin,3486,9.5,9.0
117,Lublin,2227,9.8,8.8
118,Lublin,2594,8.4,10.0
119,Lublin,2590,9.6,8.8
120,Lublin,2240,9.5,8.8
121,"Stare Miasto, Lublin",2625,9.4,9.3
122,Lublin,1960,8.6,9.1
123,"Stare Miasto, Lublin",4926,9.4,9.1
124,Lublin,1636,8.1,9.2
125,Lublin,1840,7.3,9.8
126,Lublin,3192,9.9,9.1
127,Lublin,2877,9.0,9.3
128,"Stare Miasto, Lublin",2169,8.8,9.4
129,Lublin,2835,9.5,8.6
130,Lublin,2233,7.7,9.9
131,Lublin,1946,8.9,8.8
132,Lublin,2380,8.7,9.3
133,Lublin,2143,8.0,8.5
134,Lublin,2770,9.3,9.4
135,Lublin,2286,9.1,9.3
136,Lublin,3110,9.1,9.2
137,Lublin,2770,9.3,8.8
138,Lublin,2995,9.5,9.7
139,Lublin,2760,8.9,8.8
140,Lublin,2713,9.3,10.0
141,"Stare Miasto, Lublin",3229,9.2,8.6
142,"Stare Miasto, Lublin",2644,8.6,8.4
143,Lublin,2583,9.5,9.1
144,Lublin,2127,8.8,9.1
145,Lublin,3002,7.1,8.0
146,Lublin,5166,9.2,8.8
147,Lublin,3990,8.2,9.2
148,Lublin,4980,9.4,9.6
149,Lublin,2834,9.3,9.1
150,Lublin,3056,9.2,9.1
151,Lublin,2016,8.8,8.8
152,Lublin,2590,9.8,8.5
153,Lublin,4686,8.6,9.8
154,Lublin,1601,9.6,9.5
155,Lublin,1890,8.7,8.1
156,Lublin,1855,8.4,9.3
157,Lublin,2520,9.2,8.3
158,Lublin,3259,9.1,8.1
159,Lublin,2800,7.7,9.3
160,Lublin,2083,9.0,9.6
161,Lublin,2770,9.6,8.0
162,Lublin,2797,9.4,8.9
163,Lublin,1730,7.9,8.5
164,"Stare Miasto, Lublin",2880,9.1,8.8
165,Lublin,2410,9.0,9.7
166,Lublin,4312,8.7,8.4
167,Lublin,3906,8.5,9.5
168,Lublin,4801,9.8,9.3
169,Lublin,2760,9.0,9.7
170,Lublin,3290,8.2,9.2
171,"Stare Miasto, Lublin",4566,9.2,9.4
172,Lublin,2800,8.0,9.5
173,Lublin,1820,6.2,9.4
174,Lublin,1950,8.4,9.9
175,Lublin,1764,8.1,9.2
176,Lublin,4466,7.8,8.7
177,Lublin,1820,6.9,9.6
178,Lublin,2800,9.3,8.1
179,Lublin,2855,9.6,8.5
180,Lublin,2126,8.1,9.6
181,Lublin,10710,9.1,9.3
182,Lublin,3477,8.5,9.1
183,Lublin,3361,8.7,8.5
184,Lublin,3440,7.9,9.3
185,"Stare Miasto, Lublin",3540,9.6,8.3
186,"Stare Miasto, Lublin",3894,8.6,8.3
187,Lublin,4876,9.6,8.9
188,Lublin,3493,9.2,9.2
189,Lublin,2800,9.5,8.7
190,Lublin,5250,9.3,8.9
191,Lublin,2760,9.2,9.5
192,Lublin,3150,9.5,8.8
193,Lublin,3110,9.2,9.1
194,"Stare Miasto, Lublin",3640,9.8,9.4
