,City,Cost,Rating,Comfort
0,Nowy Sącz,1904,9.7,9.8
1,Nowy Sącz,5472,10.0,10.0
2,Nowy Sącz,3010,9.6,9.4
3,Nowy Sącz,2083,8.9,9.0
4,Nowy Sącz,2380,8.5,8.8
5,Nowy Sącz,1832,8.9,9.8
6,Nowy Sącz,2375,9.7,9.9
7,Nowy Sącz,2100,9.9,10.0
8,Nowy Sącz,2869,9.8,10.0
9,Nowy Sącz,2793,9.3,9.2
10,Nowy Sącz,2714,9.0,9.4
11,Nowy Sącz,2313,9.8,9.8
12,Nowy Sącz,3535,9.6,9.7
13,Nowy Sącz,2646,9.3,9.4
14,Nowy Sącz,3290,9.4,10.0
15,Nowy Sącz,3255,8.6,8.5
16,Nowy Sącz,7524,9.3,9.4
17,Nowy Sącz,2485,9.6,9.6
18,Nowy Sącz,2030,8.5,8.4
19,Nowy Sącz,1969,9.7,9.7
20,Nowy Sącz,2450,8.8,9.1
21,Nowy Sącz,3503,9.8,9.9
22,Nowy Sącz,2030,9.8,9.7
23,Nowy Sącz,2700,9.8,9.6
24,Nowy Sącz,6690,10.0,10.0
