,City,Cost,Rating,Comfort
0,Przemyśl,1622,9.9,9.6
1,Przemyśl,2079,10.0,9.8
2,Przemyśl,1512,9.5,9.4
3,Przemyśl,4183,7.0,8.3
4,Przemyśl,2017,8.5,9.8
5,Przemyśl,2240,9.7,9.2
6,Przemyśl,1575,9.2,9.3
7,Przemyśl,3094,9.9,9.3
8,Przemyśl,1666,9.3,9.3
9,Przemyśl,1607,9.2,8.9
10,Przemyśl,1904,8.8,9.3
11,Przemyśl,1716,9.2,9.6
12,Przemyśl,2538,9.6,9.8
13,Przemyśl,2395,9.7,10.0
14,Przemyśl,2394,9.6,8.9
15,Przemyśl,1728,9.0,8.7
16,Przemyśl,1680,8.8,9.9
17,Przemyśl,2079,10.0,10.0
18,Przemyśl,2856,10.0,9.9
19,Przemyśl,2870,9.8,9.7
20,Przemyśl,1926,9.7,9.7
21,Przemyśl,2170,9.7,8.5
22,Przemyśl,3620,8.2,10.0
23,Przemyśl,5117,10.0,10.0
24,Przemyśl,4200,10.0,9.3
25,Przemyśl,3290,9.2,9.1
26,Przemyśl,2660,8.8,9.5
27,Przemyśl,2077,9.6,10.0
28,Przemyśl,3605,10.0,9.4
29,Przemyśl,1512,9.5,10.0
30,Przemyśl,2240,9.9,9.6
31,Przemyśl,2933,9.5,8.7
32,Przemyśl,2590,8.5,9.9
33,Przemyśl,4788,9.8,8.3
34,Przemyśl,2257,7.0,9.8
35,Przemyśl,4183,9.5,9.4
36,Przemyśl,3430,9.3,9.7
37,Przemyśl,2332,9.6,9.5
38,Przemyśl,2625,9.3,9.5
39,Przemyśl,3146,9.6,9.7
40,Przemyśl,2450,9.8,9.3
41,Przemyśl,2606,9.3,9.7
42,Przemyśl,3150,9.6,9.7
43,Przemyśl,1855,9.9,9.0
44,Przemyśl,2975,9.1,9.6
45,Przemyśl,1890,9.7,9.4
46,Przemyśl,2205,6.5,8.9
47,Przemyśl,3206,9.5,10.0
48,Przemyśl,2331,8.8,10.0
49,Przemyśl,2450,9.9,9.5
50,Przemyśl,2678,9.3,9.1
51,Przemyśl,3890,9.6,9.3
52,Przemyśl,2916,8.8,9.8
53,Przemyśl,3150,8.5,9.4
54,Przemyśl,2017,9.4,9.4
55,Przemyśl,2331,9.6,9.8
56,Przemyśl,3796,9.5,9.5
57,Przemyśl,2703,9.5,10.0
58,Przemyśl,3973,6.7,9.7
59,Przemyśl,2226,9.7,9.9
60,Przemyśl,2240,8.9,8.9
61,Przemyśl,2975,7.2,8.8
62,Przemyśl,2765,10.0,9.5
63,Przemyśl,3740,9.5,9.1
64,Przemyśl,3855,9.8,9.6
65,Przemyśl,3461,8.0,10.0
66,Przemyśl,2975,8.7,8.0
67,Przemyśl,2975,8.8,9.2
68,Przemyśl,3481,9.2,8.6
69,Przemyśl,2975,9.5,8.5
70,Przemyśl,4886,9.8,9.2
71,Przemyśl,4855,7.9,8.0
72,Przemyśl,2100,9.4,8.5
73,Przemyśl,2317,8.7,9.2
74,Przemyśl,2772,8.4,10.0
75,Przemyśl,3500,9.3,8.3
76,Przemyśl,4209,8.0,8.0
