,City,Cost,Rating,Comfort
0,Sanok,1607,10.0,10.0
1,Sanok,2170,9.5,9.5
2,Sanok,2310,8.8,8.8
3,Sanok,1890,9.6,9.5
4,Sanok,2100,9.7,9.7
5,Sanok,2030,8.7,8.5
6,Sanok,3085,8.3,8.4
7,Sanok,2226,9.5,10.0
8,Sanok,1914,9.5,9.4
9,Sanok,1743,9.9,10.0
10,Sanok,2138,9.7,9.7
11,Sanok,2450,9.5,9.8
12,Sanok,1810,9.4,9.5
13,Sanok,2380,4.0,9.8
14,Sanok,3080,9.7,9.1
15,Sanok,2660,9.0,8.6
16,Sanok,2820,8.7,9.7
17,Sanok,2160,9.7,8.8
18,Sanok,4900,8.6,9.6
19,Sanok,2576,9.6,9.9
20,Sanok,2717,9.8,9.2
21,Sanok,1958,9.2,9.2
22,Sanok,3885,9.0,9.6
23,Sanok,2520,9.6,9.8
24,Sanok,2015,9.8,8.2
25,Sanok,3360,8.3,9.3
26,Sanok,1625,9.2,9.3
27,Sanok,1890,9.3,9.2
28,Sanok,1963,8.7,9.7
29,Sanok,3500,9.7,8.8
30,Sanok,1400,9.1,9.1
31,Sanok,1809,7.0,8.9
32,Sanok,3164,9.2,10.0
33,Sanok,2940,9.1,10.0
34,Sanok,2567,10.0,9.2
35,Sanok,4046,9.7,9.9
36,Sanok,9000,8.9,9.6
37,Sanok,2520,9.9,9.5
