,City,Cost,Rating,Comfort
0,"Śródmieście, Szczecin",2520,10.0,10.0
1,"Śródmieście, Szczecin",2100,9.8,10.0
2,"Śródmieście, Szczecin",2148,10.0,10.0
3,"Śródmieście, Szczecin",2100,9.6,10.0
4,"Śródmieście, Szczecin",2800,10.0,10.0
5,"Śródmieście, Szczecin",2100,9.0,9.2
6,"Śródmieście, Szczecin",2100,9.2,9.8
7,"Śródmieście, Szczecin",2768,9.0,9.6
8,"Śródmieście, Szczecin",2119,7.5,9.7
9,"Śródmieście, Szczecin",3867,9.6,8.7
10,"Śródmieście, Szczecin",1750,9.3,10.0
11,"Śródmieście, Szczecin",4295,9.5,9.0
12,"Śródmieście, Szczecin",3150,7.4,8.0
13,"Śródmieście, Szczecin",2100,8.0,9.3
14,"Śródmieście, Szczecin",2514,8.5,8.3
15,"Śródmieście, Szczecin",2468,9.8,9.5
16,"Śródmieście, Szczecin",1943,9.5,9.2
17,"Śródmieście, Szczecin",2328,7.0,9.3
18,"Śródmieście, Szczecin",3094,8.0,8.2
19,"Śródmieście, Szczecin",4865,9.1,9.0
20,"Śródmieście, Szczecin",2285,8.2,8.6
21,"Śródmieście, Szczecin",2713,9.3,10.0
22,"Śródmieście, Szczecin",2739,9.1,8.8
23,"Śródmieście, Szczecin",2797,9.2,10.0
24,"Śródmieście, Szczecin",2119,8.0,10.0
25,"Śródmieście, Szczecin",2788,8.8,10.0
26,"Północ, Szczecin",2176,8.4,8.9
27,"Śródmieście, Szczecin",1943,10.0,8.5
28,Szczecin,2192,8.3,8.1
29,"Śródmieście, Szczecin",2148,10.0,8.8
30,"Śródmieście, Szczecin",6960,9.8,9.7
31,"Śródmieście, Szczecin",1971,10.0,9.1
32,"Śródmieście, Szczecin",3192,8.3,9.2
33,"Śródmieście, Szczecin",6020,8.0,9.2
34,"Śródmieście, Szczecin",3700,7.9,9.6
35,"Śródmieście, Szczecin",2100,5.8,8.4
36,"Śródmieście, Szczecin",6510,8.6,9.7
37,"Śródmieście, Szczecin",2250,9.6,8.4
38,"Śródmieście, Szczecin",2789,9.2,9.4
39,"Śródmieście, Szczecin",2668,9.2,8.6
40,"Śródmieście, Szczecin",2275,9.0,9.6
41,"Śródmieście, Szczecin",2974,9.5,8.8
42,Szczecin,2981,8.4,10.0
43,"Śródmieście, Szczecin",2110,9.4,8.0
44,"Śródmieście, Szczecin",2520,8.3,9.7
45,"Śródmieście, Szczecin",5346,9.3,8.6
46,"Śródmieście, Szczecin",2480,8.5,8.7
47,"Śródmieście, Szczecin",2195,9.6,10.0
48,"Śródmieście, Szczecin",2338,8.7,8.2
49,"Śródmieście, Szczecin",2262,10.0,8.0
50,"Śródmieście, Szczecin",2100,8.4,9.5
51,"Śródmieście, Szczecin",2262,9.7,9.8
52,"Śródmieście, Szczecin",2797,8.3,8.4
53,"Śródmieście, Szczecin",2185,8.6,8.9
54,"Śródmieście, Szczecin",2800,7.9,10.0
55,"Śródmieście, Szczecin",1943,9.6,9.0
56,"Śródmieście, Szczecin",2100,8.2,8.8
57,"Śródmieście, Szczecin",3677,8.0,10.0
58,"Śródmieście, Szczecin",1803,9.5,9.2
59,"Śródmieście, Szczecin",2226,9.7,8.9
60,"Śródmieście, Szczecin",2100,8.0,9.3
61,"Śródmieście, Szczecin",4115,8.7,9.6
62,"Śródmieście, Szczecin",2574,10.0,9.4
63,"Prawobrzeże, Szczecin",2205,9.3,8.6
64,"Śródmieście, Szczecin",2424,8.6,10.0
65,"Śródmieście, Szczecin",4720,10.0,9.9
66,"Śródmieście, Szczecin",2343,9.0,9.4
67,"Śródmieście, Szczecin",2086,8.6,9.0
68,"Śródmieście, Szczecin",3139,9.1,9.4
69,"Śródmieście, Szczecin",1943,9.3,9.5
70,"Śródmieście, Szczecin",5474,9.3,8.8
71,"Śródmieście, Szczecin",3319,7.3,9.6
72,"Śródmieście, Szczecin",4790,8.6,8.6
73,Szczecin,2520,10.0,9.1
74,"Śródmieście, Szczecin",3259,9.7,8.3
75,"Śródmieście, Szczecin",3465,9.5,9.2
76,"Prawobrzeże, Szczecin",3150,9.0,8.8
