,City,Cost,Rating,Comfort
0,Toruń,2478,10.0,10.0
1,Toruń,3501,9.9,9.8
2,Toruń,1946,9.7,9.2
3,Toruń,1673,9.5,9.4
4,"Stare Miasto, Toruń",2751,10.0,10.0
5,"Stare Miasto, Toruń",1772,10.0,10.0
6,"Stare Miasto, Toruń",3456,10.0,8.8
7,Toruń,2144,8.0,10.0
8,"Stare Miasto, Toruń",2950,10.0,10.0
9,Toruń,1856,9.0,10.0
10,"Stare Miasto, Toruń",3173,9.5,10.0
11,"Stare Miasto, Toruń",2478,5.0,9.1
12,Toruń,2512,10.0,9.4
13,"Stare Miasto, Toruń",2139,9.2,9.1
14,"Stare Miasto, Toruń",2369,8.0,9.3
15,Toruń,3018,9.4,8.8
16,"Stare Miasto, Toruń",2690,9.3,8.9
17,"Stare Miasto, Toruń",2705,9.4,9.1
18,Toruń,3682,9.0,9.5
19,Toruń,2051,8.9,10.0
20,"Stare Miasto, Toruń",2228,9.1,9.6
21,"Stare Miasto, Toruń",3040,9.3,8.7
22,"Stare Miasto, Toruń",3774,8.1,9.0
23,Toruń,3696,8.3,9.7
24,Toruń,2696,10.0,10.0
25,Toruń,2856,9.6,10.0
26,"Stare Miasto, Toruń",2079,8.7,8.4
27,Toruń,2730,8.8,8.4
28,Toruń,2212,9.7,9.8
29,Toruń,1946,10.0,8.6
30,"Stare Miasto, Toruń",3274,10.0,9.7
31,"Stare Miasto, Toruń",2380,8.4,8.0
32,"Stare Miasto, Toruń",3831,8.2,9.7
33,"Stare Miasto, Toruń",3230,9.6,9.9
34,"Stare Miasto, Toruń",4453,8.8,9.2
35,Toruń,1673,9.7,8.8
36,Toruń,7360,8.0,9.5
37,"Stare Miasto, Toruń",1712,9.7,9.5
38,Toruń,1913,9.9,9.8
39,Toruń,5488,9.4,9.4
40,Toruń,2037,8.9,10.0
41,"Stare Miasto, Toruń",2520,9.4,10.0
42,Toruń,2075,9.3,9.2
43,"Stare Miasto, Toruń",2755,9.9,9.6
44,"Stare Miasto, Toruń",4200,9.4,9.7
45,"Stare Miasto, Toruń",3956,7.9,10.0
46,Toruń,3416,10.0,9.3
47,Toruń,2922,9.8,9.3
48,Toruń,3038,7.9,9.5
49,Toruń,1216,9.7,9.1
50,"Stare Miasto, Toruń",2121,9.4,9.6
51,Toruń,2399,9.8,9.0
52,Toruń,1780,10.0,9.3
53,"Stare Miasto, Toruń",2192,9.2,9.4
54,"Stare Miasto, Toruń",2751,9.1,8.5
55,Toruń,2953,8.0,9.6
56,"Stare Miasto, Toruń",3978,9.4,9.6
57,Toruń,2249,9.2,8.6
58,Toruń,3031,9.5,9.0
59,Toruń,2206,9.0,9.3
60,"Stare Miasto, Toruń",1772,9.2,8.8
61,Toruń,2186,9.2,9.1
62,Toruń,4167,8.3,9.4
63,Toruń,1999,7.5,8.2
64,Toruń,2598,9.5,9.2
65,Toruń,2000,9.4,9.8
66,Toruń,1736,8.2,9.7
67,Toruń,2258,8.1,9.6
68,Toruń,1940,9.0,9.3
69,Toruń,2200,9.0,8.7
70,"Stare Miasto, Toruń",2261,9.2,8.9
71,Toruń,2843,9.2,9.0
72,Toruń,2925,9.3,9.2
73,"Stare Miasto, Toruń",2186,9.5,9.0
74,Toruń,2747,8.1,9.5
75,"Stare Miasto, Toruń",3968,9.1,9.6
76,"Stare Miasto, Toruń",5916,9.7,9.5
77,"Stare Miasto, Toruń",2152,9.6,8.5
78,"Stare Miasto, Toruń",2378,9.5,8.1
79,"Stare Miasto, Toruń",3456,9.1,9.0
80,"Stare Miasto, Toruń",2250,7.6,10.0
81,"Stare Miasto, Toruń",4734,8.9,9.9
82,"Stare Miasto, Toruń",2577,9.1,9.7
83,"Stare Miasto, Toruń",2737,8.8,8.6
84,Toruń,2866,9.2,8.4
85,Toruń,2144,8.8,8.4
86,"Stare Miasto, Toruń",2489,9.5,9.3
87,"Stare Miasto, Toruń",2912,9.5,9.2
88,Toruń,4713,9.6,9.8
89,Toruń,4370,8.6,8.8
90,Toruń,4092,8.6,9.0
91,"Stare Miasto, Toruń",3604,8.9,9.7
92,"Stare Miasto, Toruń",2780,10.0,9.2
93,"Stare Miasto, Toruń",3339,9.6,8.7
94,"Stare Miasto, Toruń",4571,9.7,8.0
95,Toruń,2669,8.7,9.3
96,"Stare Miasto, Toruń",2072,8.3,9.1
