,City,Cost,Rating,Comfort
0,Wadowice,3850,10.0,10.0
1,Wadowice,2890,9.0,10.0
2,Wadowice,2083,9.5,10.0
3,Wadowice,2645,10.0,10.0
4,Wadowice,1785,9.1,9.1
5,Wadowice,2230,9.7,9.7
6,Wadowice,3150,9.3,9.4
7,Wadowice,1400,7.7,9.1
8,Wadowice,2939,8.6,8.9
9,Wadowice,2730,9.0,9.8
10,Wadowice,3540,9.7,9.0
11,Wadowice,1925,9.1,9.0
12,Wadowice,2800,9.0,9.3
13,Wadowice,2010,9.1,8.8
14,Wadowice,2972,8.8,9.4
15,Wadowice,2819,9.3,9.8
16,Wadowice,2800,9.6,9.8
17,Wadowice,3800,9.5,10.0
18,Wadowice,4328,9.7,9.3
19,Wadowice,3640,9.2,9.7
20,Wadowice,4025,9.5,8.9
21,Wadowice,4543,9.0,8.8
22,Wadowice,3213,8.7,8.8
23,Wadowice,4800,8.6,9.8
24,Wadowice,3213,9.7,10.0
25,Wadowice,4410,9.7,9.5
26,Wadowice,4620,9.3,8.5
27,Wadowice,4993,8.4,10.0
28,Wadowice,3213,9.5,8.3
29,Wadowice,2083,7.3,8.0
30,Wadowice,3213,9.0,9.5
31,Wadowice,3850,8.2,8.6
32,Wadowice,3150,9.2,10.0
33,Wadowice,3710,8.2,9.9
34,Wadowice,3120,10.0,8.8
35,Wadowice,2645,9.5,9.1
36,Wadowice,5610,9.1,9.5
37,Wadowice,2196,9.3,9.8
38,Wadowice,3030,9.6,9.6
39,Wadowice,2800,9.9,9.8
40,Wadowice,4270,9.6,10.0
41,Wadowice,4910,9.7,9.5
42,Wadowice,4410,9.7,8.5
43,Wadowice,4620,9.3,10.0
44,Wadowice,4993,8.4,8.3
45,Wadowice,3213,9.5,8.0
46,Wadowice,2083,7.3,9.5
47,Wadowice,3213,9.0,8.6
48,Wadowice,3850,8.2,10.0
49,Wadowice,3150,9.2,9.9
50,Wadowice,3710,8.2,8.8
51,Wadowice,3120,10.0,9.1
52,Wadowice,2645,9.5,9.5
53,Wadowice,5610,9.1,9.8
54,Wadowice,2196,9.3,9.6
55,Wadowice,3030,9.6,9.8
56,Wadowice,2800,9.9,10.0
57,Wadowice,4270,9.6,9.5
58,Wadowice,4910,9.7,8.5
59,Wadowice,4410,9.7,10.0
60,Wadowice,4620,9.3,8.3
61,Wadowice,4993,8.4,8.0
62,Wadowice,3213,9.5,9.5
63,Wadowice,2083,7.3,8.6
64,Wadowice,3213,9.0,10.0
65,Wadowice,3850,8.2,9.9
66,Wadowice,3150,9.2,8.8
67,Wadowice,3710,8.2,9.1
68,Wadowice,3120,10.0,9.5
69,Wadowice,2645,9.5,9.8
70,Wadowice,5610,9.1,9.6
71,Wadowice,2196,9.3,9.8
72,Wadowice,3030,9.6,10.0
73,Wadowice,2800,9.9,9.5
74,Wadowice,4270,9.6,8.5
75,Wadowice,4910,9.7,10.0
76,Wadowice,4410,9.7,8.3
77,Wadowice,4620,9.3,8.0
78,Wadowice,4993,8.4,9.5
79,Wadowice,3213,9.5,8.6
80,Wadowice,2083,7.3,10.0
81,Wadowice,3213,9.0,9.9
82,Wadowice,3850,8.2,8.8
83,Wadowice,3150,9.2,9.1
84,Wadowice,3710,8.2,9.5
85,Wadowice,3120,10.0,9.8
86,Wadowice,2645,9.5,9.6
87,Wadowice,5610,9.1,9.8
88,Wadowice,2196,9.3,10.0
89,Wadowice,3030,9.6,9.5
90,Wadowice,2800,9.9,8.5
91,Wadowice,4270,9.6,10.0
92,Wadowice,4910,9.7,8.3
93,Wadowice,4410,9.7,8.0
94,Wadowice,4620,9.3,9.5
95,Wadowice,4993,8.4,8.6
96,Wadowice,3213,9.5,10.0
97,Wadowice,2083,7.3,9.9
98,Wadowice,3213,9.0,8.8
99,Wadowice,3850,8.2,9.1
100,Wadowice,3150,9.2,9.5
101,Wadowice,3710,8.2,9.8
102,Wadowice,3120,10.0,9.6
103,Wadowice,2645,9.5,9.8
104,Wadowice,5610,9.1,10.0
105,Wadowice,2196,9.3,9.5
106,Wadowice,3030,9.6,8.5
107,Wadowice,2800,9.9,10.0
108,Wadowice,4270,9.6,8.3
109,Wadowice,4910,9.7,8.0
110,Wadowice,4410,9.7,9.5
111,Wadowice,4620,9.3,8.6
112,Wadowice,4993,8.4,10.0
113,Wadowice,3213,9.5,9.9
114,Wadowice,2083,7.3,8.8
115,Wadowice,3213,9.0,9.1
116,Wadowice,3850,8.2,9.5
117,Wadowice,3150,9.2,9.8
118,Wadowice,3710,8.2,9.6
119,Wadowice,3120,10.0,9.8
120,Wadowice,2645,9.5,10.0
121,Wadowice,5610,9.1,9.5
122,Wadowice,2196,9.3,8.5
123,Wadowice,3030,9.6,10.0
124,Wadowice,2800,9.9,8.3
125,Wadowice,4270,9.6,8.0
126,Wadowice,4910,9.7,9.5
127,Wadowice,4410,9.7,8.6
128,Wadowice,4620,9.3,10.0
129,Wadowice,4993,8.4,9.9
130,Wadowice,3213,9.5,8.8
131,Wadowice,2083,7.3,9.1
132,Wadowice,3213,9.0,9.5
133,Wadowice,3850,8.2,9.8
134,Wadowice,3150,9.2,9.6
