,City,Cost,Rating,Comfort
0,Warszawa,2119,10.0,10.0
1,"Praga Północ, Warszawa",2202,9.4,9.5
2,"Ursynów, Warszawa",1842,8.0,8.2
3,"Wola, Warszawa",3646,10.0,10.0
4,"Mokotów, Warszawa",3603,9.0,10.0
5,"Mokotów, Warszawa",2080,8.2,8.2
6,"Praga Północ, Warszawa",1987,7.3,9.4
7,"Wola, Warszawa",8928,9.5,8.1
8,"Śródmieście, Warszawa",2814,8.1,8.7
9,"Wola, Warszawa",4157,8.6,10.0
10,"Żoliborz, Warszawa",8995,9.0,9.2
11,"Śródmieście, Warszawa",2670,9.6,8.8
12,"Wola, Warszawa",3896,9.5,10.0
13,"Mokotów, Warszawa",2836,10.0,9.2
14,"Śródmieście, Warszawa",3242,9.7,9.2
15,"Wola, Warszawa",3097,9.7,8.1
16,"Żoliborz, Warszawa",2758,7.5,10.0
17,"Śródmieście, Warszawa",2577,7.5,10.0
18,"Mokotów, Warszawa",1932,10.0,9.2
19,"Ochota, Warszawa",2028,10.0,9.2
20,"Targówek, Warszawa",2091,9.0,10.0
21,"Białołęka, Warszawa",4382,9.2,9.5
22,"Wola, Warszawa",3316,10.0,8.5
23,"Praga Południe, Warszawa",3382,9.4,9.6
24,"Śródmieście, Warszawa",2485,8.7,8.8
25,"Praga Południe, Warszawa",3382,5.0,10.0
26,"Śródmieście, Warszawa",2485,9.6,10.0
27,"Śródmieście, Warszawa",3859,8.0,9.2
28,"Wola, Warszawa",2764,9.0,9.7
29,"Ursynów, Warszawa",1842,10.0,8.3
30,"Praga Południe, Warszawa",2190,8.3,10.0
31,"Śródmieście, Warszawa",3784,9.7,10.0
32,"Śródmieście, Warszawa",2678,8.7,8.5
33,"Mokotów, Warszawa",3505,10.0,10.0
34,"Żoliborz, Warszawa",2357,9.5,8.1
35,"Wola, Warszawa",3646,8.6,9.1
36,"Śródmieście, Warszawa",2016,9.0,8.8
37,"Wola, Warszawa",2756,8.1,10.0
38,"Wola, Warszawa",4872,8.9,8.8
39,"Śródmieście, Warszawa",3445,8.5,8.7
40,"Bielany, Warszawa",2750,10.0,8.2
41,"Wola, Warszawa",2463,10.0,10.0
42,"Śródmieście, Warszawa",3445,8.7,8.8
43,"Śródmieście, Warszawa",2956,8.0,10.0
44,"Ursynów, Warszawa",2737,10.0,10.0
45,"Bielany, Warszawa",3386,9.0,9.5
46,"Mokotów, Warszawa",2920,8.7,8.4
47,"Śródmieście, Warszawa",2737,10.0,10.0
48,"Mokotów, Warszawa",4222,9.4,8.3
49,"Wola, Warszawa",3244,9.4,8.1
50,"Praga Północ, Warszawa",2416,8.4,10.0
51,"Mokotów, Warszawa",4068,10.0,8.7
52,"Mokotów, Warszawa",2680,9.0,10.0
53,"Wola, Warszawa",2409,8.3,10.0
54,"Mokotów, Warszawa",3603,10.0,10.0
55,"Śródmieście, Warszawa",2424,8.6,10.0
56,"Praga Północ, Warszawa",4419,10.0,9.0
57,"Śródmieście, Warszawa",2688,10.0,9.1
58,"Praga Południe, Warszawa",3316,10.0,8.0
59,"Praga Północ, Warszawa",1677,9.8,10.0
60,"Mokotów, Warszawa",2080,8.4,10.0
61,"Praga Południe, Warszawa",3111,7.8,8.0
62,"Śródmieście, Warszawa",5509,8.8,10.0
63,"Praga Południe, Warszawa",1836,8.0,8.9
64,"Praga Południe, Warszawa",4927,9.0,10.0
65,"Śródmieście, Warszawa",4466,6.0,10.0
66,"Praga Południe, Warszawa",3365,8.0,10.0
67,"Wola, Warszawa",3041,10.0,9.8
68,"Bemowo, Warszawa",2737,8.0,9.2
69,"Wawer, Warszawa",2377,8.5,10.0
70,"Mokotów, Warszawa",2144,7.6,9.6
71,"Śródmieście, Warszawa",3156,9.0,8.8
72,"Wola, Warszawa",5013,10.0,9.2
73,"Mokotów, Warszawa",2636,9.0,8.8
74,"Białołęka, Warszawa",3062,9.3,8.2
75,"Bielany, Warszawa",2439,8.3,10.0
76,"Włochy, Warszawa",5280,10.0,10.0
77,Warszawa,2463,9.4,9.4
78,"Praga Północ, Warszawa",2226,8.7,9.8
79,"Praga Północ, Warszawa",1987,9.0,8.8
80,"Wola, Warszawa",4552,8.7,10.0
81,"Śródmieście, Warszawa",2729,9.0,8.3
82,"Mokotów, Warszawa",2031,8.2,8.3
83,"Wola, Warszawa",3220,10.0,10.0
84,"Włochy, Warszawa",2212,9.7,10.0
85,"Wola, Warszawa",8928,9.4,9.2
86,"Praga Południe, Warszawa",3705,9.7,10.0
87,"Śródmieście, Warszawa",2543,8.7,10.0
88,"Targówek, Warszawa",3945,7.3,10.0
