,City,Cost,Rating,Comfort
0,"Śródmieście, Wrocław",2961,8.4,8.5
1,"Stare Miasto, Wrocław",8500,9.5,9.6
2,"Stare Miasto, Wrocław",2190,10.0,10.0
3,"Śródmieście, Wrocław",2112,8.3,8.8
4,"Śródmieście, Wrocław",1971,9.7,10.0
5,"Stare Miasto, Wrocław",2557,9.7,10.0
6,"Stare Miasto, Wrocław",3173,9.7,9.6
7,"Krzyki, Wrocław",1478,9.5,10.0
8,"Stare Miasto, Wrocław",3575,9.9,10.0
9,"Krzyki, Wrocław",3054,10.0,10.0
10,"Stare Miasto, Wrocław",3112,9.3,9.2
11,"Śródmieście, Wrocław",2250,10.0,10.0
12,"Stare Miasto, Wrocław",3287,8.0,8.4
13,"Fabryczna, Wrocław",2898,10.0,10.0
14,"Krzyki, Wrocław",3441,9.0,9.0
15,"Fabryczna, Wrocław",1662,10.0,10.0
16,"Krzyki, Wrocław",3623,6.8,8.1
17,"Psie Pole, Wrocław",4280,3.0,9.5
18,"Śródmieście, Wrocław",4280,9.3,10.0
19,"Stare Miasto, Wrocław",2376,9.4,10.0
20,"Stare Miasto, Wrocław",4927,6.2,10.0
21,"Stare Miasto, Wrocław",3013,9.7,9.5
22,"Śródmieście, Wrocław",3284,7.7,8.9
23,Wrocław,2737,9.8,9.3
24,Wrocław,3368,9.5,8.2
25,"Krzyki, Wrocław",2714,8.9,8.5
26,"Stare Miasto, Wrocław",3903,9.2,9.4
27,"Krzyki, Wrocław",2144,8.0,10.0
28,"Śródmieście, Wrocław",2177,8.3,10.0
29,"Śródmieście, Wrocław",2112,9.0,8.8
30,"Fabryczna, Wrocław",2025,9.0,9.6
31,"Stare Miasto, Wrocław",3015,10.0,8.1
32,"Fabryczna, Wrocław",2811,9.0,9.1
33,"Stare Miasto, Wrocław",2383,8.0,8.8
34,"Fabryczna, Wrocław",3518,9.5,10.0
35,"Śródmieście, Wrocław",1971,8.2,9.0
36,"Krzyki, Wrocław",2785,4.5,10.0
37,"Stare Miasto, Wrocław",2736,9.3,10.0
38,"Fabryczna, Wrocław",2656,6.6,8.9
39,"Śródmieście, Wrocław",3358,10.0,9.4
40,"Śródmieście, Wrocław",3069,9.0,8.8
41,"Stare Miasto, Wrocław",3061,8.9,8.3
42,"Śródmieście, Wrocław",4257,10.0,9.7
43,"Śródmieście, Wrocław",4129,9.5,10.0
44,"Stare Miasto, Wrocław",2650,9.1,9.0
45,"Śródmieście, Wrocław",3693,9.5,8.8
46,"Stare Miasto, Wrocław",2852,10.0,9.2
47,"Śródmieście, Wrocław",2219,6.8,9.6
48,"Śródmieście, Wrocław",6160,9.3,9.6
49,"Fabryczna, Wrocław",4116,8.3,9.4
50,"Stare Miasto, Wrocław",4358,9.8,8.7
51,"Psie Pole, Wrocław",3595,9.0,9.4
52,"Stare Miasto, Wrocław",5029,8.9,8.7
53,"Krzyki, Wrocław",3245,8.3,9.4
54,"Stare Miasto, Wrocław",2557,9.2,9.8
55,"Psie Pole, Wrocław",2612,9.6,9.4
56,"Śródmieście, Wrocław",3022,9.9,10.0
57,"Stare Miasto, Wrocław",3685,6.6,9.2
58,"Stare Miasto, Wrocław",3065,9.7,9.2
59,"Psie Pole, Wrocław",1675,8.7,10.0
60,"Stare Miasto, Wrocław",3173,9.4,9.5
61,"Stare Miasto, Wrocław",4106,8.7,8.9
62,"Psie Pole, Wrocław",2874,8.8,10.0
63,"Stare Miasto, Wrocław",3433,9.8,9.0
64,"Stare Miasto, Wrocław",2140,9.3,8.6
65,"Stare Miasto, Wrocław",3433,10.0,9.5
66,"Krzyki, Wrocław",3020,8.7,9.8
67,"Krzyki, Wrocław",4488,10.0,9.0
68,"Stare Miasto, Wrocław",3464,9.3,9.3
69,"Stare Miasto, Wrocław",3001,9.5,8.3
70,"Stare Miasto, Wrocław",5725,8.8,8.3
71,"Krzyki, Wrocław",2626,9.7,9.4
72,"Stare Miasto, Wrocław",3555,9.4,9.2
73,"Krzyki, Wrocław",6074,8.5,10.0
74,"Stare Miasto, Wrocław",2237,9.5,9.2
75,"Fabryczna, Wrocław",3496,9.7,8.9
76,"Stare Miasto, Wrocław",3125,9.2,9.0
77,"Stare Miasto, Wrocław",1623,9.6,8.4
78,"Śródmieście, Wrocław",3525,8.3,8.4
79,"Krzyki, Wrocław",1478,7.9,9.0
80,"Stare Miasto, Wrocław",2132,9.2,9.6
81,"Krzyki, Wrocław",3608,9.2,8.6
82,"Śródmieście, Wrocław",3606,10.0,10.0
83,"Stare Miasto, Wrocław",6105,8.9,10.0
84,"Śródmieście, Wrocław",2586,8.8,8.0
85,"Stare Miasto, Wrocław",3575,9.0,9.9
86,"Śródmieście, Wrocław",2979,7.4,9.3
87,"Śródmieście, Wrocław",2139,9.0,9.9
88,"Stare Miasto, Wrocław",3097,8.7,9.6
89,"Stare Miasto, Wrocław",2599,8.4,8.8
90,"Krzyki, Wrocław",2355,9.2,9.7
91,"Śródmieście, Wrocław",1996,9.6,9.0
92,"Fabryczna, Wrocław",2894,8.4,10.0
93,"Psie Pole, Wrocław",2835,10.0,9.9
94,"Fabryczna, Wrocław",3210,9.7,8.8
95,"Fabryczna, Wrocław",2760,8.3,9.4
96,"Stare Miasto, Wrocław",2307,7.8,9.8
97,"Krzyki, Wrocław",2773,9.8,9.3
98,"Krzyki, Wrocław",2518,7.9,9.2
99,"Fabryczna, Wrocław",3203,9.4,8.7
100,"Fabryczna, Wrocław",2740,9.9,9.6
101,"Stare Miasto, Wrocław",3496,9.2,9.5
102,"Krzyki, Wrocław",3072,8.6,8.7
103,"Śródmieście, Wrocław",2920,9.8,8.3
104,"Krzyki, Wrocław",3054,8.9,8.4
105,"Krzyki, Wrocław",3738,10.0,8.9
106,"Stare Miasto, Wrocław",3658,9.6,10.0
107,"Fabryczna, Wrocław",2705,7.4,9.4
108,"Śródmieście, Wrocław",4891,8.6,8.3
109,"Fabryczna, Wrocław",1973,9.3,9.3
110,"Stare Miasto, Wrocław",3112,9.6,10.0
111,"Stare Miasto, Wrocław",4802,9.2,8.4
112,"Krzyki, Wrocław",3796,9.2,8.8
113,"Psie Pole, Wrocław",3115,7.5,9.5
114,"Stare Miasto, Wrocław",4324,8.8,10.0
115,"Psie Pole, Wrocław",2510,6.2,9.1
116,"Krzyki, Wrocław",3041,9.7,8.0
117,"Stare Miasto, Wrocław",2927,9.4,9.4
118,"Krzyki, Wrocław",2935,8.5,9.1
119,"Krzyki, Wrocław",5496,8.2,9.2
