,City,Cost,Rating,Comfort
0,Zamość,1890,10.0,10.0
1,Zamość,3832,10.0,10.0
2,Zamość,2328,9.7,9.6
3,Zamość,2875,7.5,9.6
4,Zamość,1955,9.5,9.2
5,Zamość,2380,9.3,10.0
6,Zamość,3270,7.5,9.7
7,Zamość,3150,10.0,9.4
8,Zamość,1428,9.8,9.1
9,Zamość,2095,9.5,9.5
10,Zamość,2083,9.0,9.5
11,Zamość,2802,9.6,10.0
12,Zamość,2394,9.6,9.7
13,Zamość,2331,9.8,9.9
14,Zamość,3150,9.7,9.4
15,Zamość,2841,10.0,8.5
16,Zamość,3440,9.2,9.8
17,Zamość,2830,8.6,8.4
18,Zamość,1674,9.7,9.7
19,Zamość,4123,8.5,9.9
20,Zamość,3188,9.5,8.8
21,Zamość,4452,9.9,10.0
22,Zamość,3573,9.0,8.8
23,Zamość,2086,10.0,10.0
24,Zamość,2100,8.7,9.7
25,Zamość,3035,10.0,8.3
26,Zamość,3010,9.7,9.9
27,Zamość,1488,8.5,9.6
28,Zamość,2910,9.8,10.0
29,Zamość,2328,9.7,9.8
30,Zamość,2240,9.5,8.9
31,Zamość,1785,9.7,8.6
32,Zamość,2962,8.9,9.8
33,Zamość,1960,8.9,9.3
34,Zamość,2856,9.8,10.0
35,Zamość,2875,9.2,9.1
36,Zamość,2130,9.8,9.8
37,Zamość,2646,9.0,8.2
38,Zamość,1890,10.0,9.7
39,Zamość,2240,8.4,10.0
40,Zamość,4725,9.7,9.7
41,Zamość,3766,9.9,9.8
42,Zamość,2436,9.3,8.7
43,Zamość,3570,9.7,9.5
44,Zamość,7000,8.5,9.2
45,Zamość,4620,9.4,8.4
46,Zamość,3080,7.8,8.5
47,Zamość,2392,9.5,9.3
48,Zamość,2030,8.3,8.5
49,Zamość,3500,8.2,9.8
50,Zamość,3920,9.0,9.2
51,Zamość,2620,8.6,8.1
52,Zamość,5866,9.8,9.8
53,Zamość,3011,7.5,8.1
54,Zamość,1955,9.1,9.3
55,Zamość,2800,8.3,9.1
56,Zamość,4351,7.4,9.6
57,Zamość,1934,8.3,9.8
58,Zamość,3665,9.9,9.8
59,Zamość,5086,8.3,10.0
60,Zamość,2380,9.3,9.3
61,Zamość,2357,9.4,9.9
62,Zamość,3705,9.6,8.1
63,Zamość,3220,9.7,8.7
64,Zamość,2065,9.6,8.6
65,Zamość,3079,9.6,9.7
66,Zamość,2380,9.0,8.6
67,Zamość,3220,9.8,8.3
68,Zamość,3080,8.8,8.1
69,Zamość,3273,8.6,8.5
70,Zamość,5670,8.8,9.6
71,Zamość,2800,9.3,9.8
72,Zamość,3940,7.7,8.9
73,Zamość,5950,8.7,9.9
74,Zamość,6300,8.1,9.6
75,Zamość,2450,8.1,10.0
76,Zamość,4130,8.3,8.4
