,City,Cost,Rating,Comfort
0,Bydgoszcz,1250,8.7,8.8
1,Bydgoszcz,1374,9.2,9.7
2,Bydgoszcz,1430,9.7,10.0
3,Bydgoszcz,1400,9.0,9.5
4,Bydgoszcz,1178,8.9,8.7
5,Bydgoszcz,2782,8.7,8.2
6,Bydgoszcz,889,9.3,9.6
7,Bydgoszcz,1575,8.4,8.4
8,Bydgoszcz,1197,8.0,8.1
9,Bydgoszcz,1339,9.9,10.0
10,Bydgoszcz,1463,9.0,8.7
11,Bydgoszcz,1078,8.5,8.9
12,Bydgoszcz,2100,8.8,8.8
13,Bydgoszcz,1428,9.0,9.0
14,Bydgoszcz,1255,9.2,9.3
15,Bydgoszcz,945,7.2,8.7
16,Bydgoszcz,1297,9.5,10.0
17,Bydgoszcz,1575,8.6,9.7
18,Bydgoszcz,1393,9.8,9.1
19,Bydgoszcz,1547,9.7,8.8
20,Bydgoszcz,1051,7.9,9.1
21,Bydgoszcz,1607,8.6,8.2
22,Bydgoszcz,1764,8.8,9.7
23,Bydgoszcz,1327,8.8,9.7
24,Bydgoszcz,1043,8.1,9.3
25,Bydgoszcz,1560,9.7,8.9
26,Bydgoszcz,2048,9.2,9.7
27,Bydgoszcz,1295,7.6,8.9
28,Bydgoszcz,2100,9.2,8.5
29,Bydgoszcz,1430,9.1,9.5
30,Bydgoszcz,624,9.7,9.2
31,Bydgoszcz,2037,8.0,8.9
32,Bydgoszcz,1386,8.7,9.4
33,Bydgoszcz,1250,8.0,8.4
34,Bydgoszcz,882,9.2,8.3
35,Bydgoszcz,1400,7.9,8.0
36,Bydgoszcz,2030,8.9,8.2
37,Bydgoszcz,1399,8.8,10.0
38,Bydgoszcz,2240,8.5,9.1
39,Bydgoszcz,1103,8.4,8.4
40,Bydgoszcz,1410,8.2,9.7
41,Bydgoszcz,1773,8.0,8.2
42,Bydgoszcz,1269,8.2,9.3
43,Bydgoszcz,2330,9.8,10.0
44,Bydgoszcz,1125,9.0,8.0
45,Bydgoszcz,1400,8.5,8.3
46,Bydgoszcz,1900,9.6,8.7
47,Bydgoszcz,1479,8.1,8.3
48,Bydgoszcz,1434,9.3,9.5
49,Bydgoszcz,1741,9.7,8.3
50,Bydgoszcz,2192,7.9,9.2
51,Bydgoszcz,1375,7.6,9.2
52,Bydgoszcz,1785,8.4,8.8
53,Bydgoszcz,1607,8.5,9.1
54,Bydgoszcz,1178,8.3,8.1
55,Bydgoszcz,1280,9.0,9.4
56,Bydgoszcz,945,7.9,8.4
57,Bydgoszcz,1043,8.6,9.4
58,Bydgoszcz,2310,9.2,9.0
59,Bydgoszcz,770,8.9,9.4
60,Bydgoszcz,2782,1.0,8.0
61,Bydgoszcz,1043,8.8,9.4
62,Bydgoszcz,1260,9.1,9.3
63,Bydgoszcz,1393,7.4,8.7
64,Bydgoszcz,1689,8.1,8.2
65,Bydgoszcz,1493,9.3,9.3
66,Bydgoszcz,1260,8.5,9.2
67,Bydgoszcz,1890,9.6,8.1
68,Bydgoszcz,1260,9.0,8.2
69,Bydgoszcz,1505,9.3,8.4
70,Bydgoszcz,2100,8.0,8.3
71,Bydgoszcz,1040,9.4,8.6
72,Bydgoszcz,2402,7.6,8.7
73,Bydgoszcz,1049,9.0,9.4
74,Bydgoszcz,2187,8.9,8.4
75,Bydgoszcz,1215,8.5,9.3
76,Bydgoszcz,1632,9.4,9.3
77,Bydgoszcz,945,9.0,9.5
78,Bydgoszcz,2100,8.6,8.2
79,Bydgoszcz,889,4.8,8.7
80,Bydgoszcz,1820,8.7,10.0
81,Bydgoszcz,1948,8.4,9.2
82,Bydgoszcz,1768,8.3,8.1
83,Bydgoszcz,1350,8.7,9.6
84,Bydgoszcz,973,8.7,9.4
85,Bydgoszcz,1575,9.0,9.6
86,Bydgoszcz,3290,8.6,9.1
87,Bydgoszcz,2450,9.3,9.2
88,Bydgoszcz,1820,9.4,9.2
89,Bydgoszcz,2083,9.4,9.4
90,Bydgoszcz,1540,8.2,9.3
91,Bydgoszcz,2450,8.8,9.4
92,Bydgoszcz,1143,7.9,9.5
93,Bydgoszcz,1459,9.3,9.4
94,Bydgoszcz,1798,9.1,9.5
95,Bydgoszcz,1547,8.0,9.2
96,Bydgoszcz,1043,9.6,9.3
97,Bydgoszcz,1890,9.4,9.3
98,Bydgoszcz,1393,9.3,8.8
99,Bydgoszcz,2331,9.1,8.8
100,Bydgoszcz,1770,9.1,9.3
101,Bydgoszcz,1645,9.3,8.8
102,Bydgoszcz,1309,9.3,8.9
103,Bydgoszcz,1502,9.2,8.7
104,Bydgoszcz,1197,9.2,9.4
105,Bydgoszcz,1432,9.4,8.5
106,Bydgoszcz,1960,9.1,9.8
