,City,Cost,Rating,Comfort
0,"Centrum, Gdańsk",4056,8.8,9.2
1,Gdańsk,1011,9.0,8.5
2,"Przymorze, Gdańsk",2530,9.7,9.7
3,"Centrum, Gdańsk",1981,10.0,10.0
4,Gdańsk,1191,8.7,9.8
5,"Centrum, Gdańsk",3066,9.8,9.3
6,"Centrum, Gdańsk",9822,4.0,8.8
7,"Centrum, Gdańsk",3521,9.1,9.5
8,Gdańsk,2975,9.0,10.0
9,"Wrzeszcz, Gdańsk",2303,9.8,9.1
10,"Wrzeszcz, Gdańsk",2397,10.0,8.0
11,"Centrum, Gdańsk",2470,9.1,9.2
12,"Centrum, Gdańsk",2210,7.0,9.0
13,"Centrum, Gdańsk",1328,8.2,10.0
14,"Centrum, Gdańsk",4288,6.0,10.0
15,Gdańsk,2706,9.0,9.5
16,"Centrum, Gdańsk",1328,8.8,8.4
17,"Centrum, Gdańsk",2624,10.0,8.8
18,"Wrzeszcz, Gdańsk",2079,10.0,8.6
19,"Centrum, Gdańsk",2101,9.3,8.6
20,"Wrzeszcz, Gdańsk",2529,8.7,10.0
21,"Centrum, Gdańsk",2383,9.1,8.5
22,Gdańsk,2100,9.0,8.4
23,"Centrum, Gdańsk",2919,8.6,9.7
24,"Centrum, Gdańsk",1466,8.0,10.0
25,Gdańsk,1512,9.3,10.0
26,"Brzeźno, Gdańsk",4550,8.3,9.4
27,"Centrum, Gdańsk",2752,8.3,9.0
28,"Centrum, Gdańsk",1552,9.7,10.0
29,"Centrum, Gdańsk",1981,8.5,10.0
30,"Wrzeszcz, Gdańsk",1559,10.0,8.9
31,"Centrum, Gdańsk",1328,9.7,8.7
32,"Brzeźno, Gdańsk",2380,9.0,9.6
33,"Centrum, Gdańsk",7081,9.0,10.0
34,"Przymorze, Gdańsk",2540,9.4,10.0
35,"Centrum, Gdańsk",3066,9.8,10.0
36,"Brzeźno, Gdańsk",2730,8.9,10.0
37,"Centrum, Gdańsk",2104,8.7,8.8
38,Gdańsk,2126,7.9,9.4
39,"Centrum, Gdańsk",4427,9.7,8.4
40,"Centrum, Gdańsk",2144,10.0,10.0
41,Gdańsk,3144,9.0,8.8
42,"Przymorze, Gdańsk",2773,9.5,9.5
43,"Centrum, Gdańsk",2550,10.0,8.9
44,"Brzeźno, Gdańsk",2800,8.0,10.0
45,"Centrum, Gdańsk",2268,10.0,10.0
46,"Centrum, Gdańsk",2393,9.0,10.0
47,"Centrum, Gdańsk",2200,9.5,9.4
48,"Centrum, Gdańsk",2737,7.5,10.0
49,"Centrum, Gdańsk",1730,8.5,10.0
50,Gdańsk,2196,9.7,9.2
51,"Oliwa, Gdańsk",1925,10.0,9.0
52,"Wrzeszcz, Gdańsk",3688,9.3,8.9
53,Gdańsk,4253,8.9,8.0
54,"Centrum, Gdańsk",9822,6.6,9.4
55,"Jelitkowo, Gdańsk",5555,10.0,9.0
56,"Przymorze, Gdańsk",1594,10.0,9.7
57,"Brzeźno, Gdańsk",2963,10.0,9.6
58,Gdańsk,3393,9.2,8.8
59,"Centrum, Gdańsk",1750,8.0,9.9
60,"Centrum, Gdańsk",3521,10.0,9.5
61,"Przymorze, Gdańsk",3096,9.1,9.4
62,"Wrzeszcz, Gdańsk",3110,8.5,8.5
63,"Centrum, Gdańsk",3652,8.0,9.4
64,"Wrzeszcz, Gdańsk",1770,8.8,8.3
65,Gdańsk,1501,8.0,9.8
66,Gdańsk,1552,9.6,10.0
67,"Przymorze, Gdańsk",3410,8.8,10.0
68,"Centrum, Gdańsk",2975,9.5,9.0
69,Gdańsk,1328,9.4,9.0
70,Gdańsk,2385,8.8,8.8
71,"Wrzeszcz, Gdańsk",2366,9.7,8.7
72,Gdańsk,2369,9.5,10.0
73,"Brzeźno, Gdańsk",2205,9.3,8.8
74,"Wrzeszcz, Gdańsk",2187,8.4,10.0
75,"Przymorze, Gdańsk",3309,8.7,10.0
76,Gdańsk,3816,9.4,10.0
77,"Centrum, Gdańsk",1477,6.7,10.0
78,"Centrum, Gdańsk",1784,8.2,10.0
79,Gdańsk,2975,9.8,10.0
80,"Przymorze, Gdańsk",2625,10.0,10.0
81,Gdańsk,2260,9.0,9.4
82,Gdańsk,3300,9.0,10.0
83,"Przymorze, Gdańsk",2133,9.0,8.3
84,"Przymorze, Gdańsk",3920,8.9,9.2
85,"Wrzeszcz, Gdańsk",2303,9.0,10.0
86,"Centrum, Gdańsk",3150,8.6,10.0
87,"Brzeźno, Gdańsk",3500,10.0,10.0
88,Gdańsk,1552,8.6,9.2
89,"Centrum, Gdańsk",2689,9.7,9.8
90,Gdańsk,3200,9.7,9.3
91,"Przymorze, Gdańsk",2376,9.2,9.4
92,"Centrum, Gdańsk",3040,8.0,9.0
93,Gdańsk,1472,10.0,8.6
