,City,Cost,Rating,Comfort
0,Gliwice,1400,8.1,8.2
1,Gliwice,1980,10.0,10.0
2,Gliwice,1369,8.5,9.0
3,Gliwice,1764,8.5,8.8
4,Gliwice,1554,10.0,10.0
5,Gliwice,2570,9.0,9.3
6,Gliwice,2975,9.1,9.3
7,Gliwice,1624,8.7,9.1
8,Gliwice,1369,10.0,10.0
9,Gliwice,1394,10.0,10.0
10,Gliwice,1984,9.4,9.6
11,Gliwice,2450,9.1,9.2
12,Gliwice,2261,8.5,8.7
13,Gliwice,1720,8.7,8.3
14,Gliwice,1662,9.7,10.0
15,Gliwice,1203,9.2,9.4
16,Gliwice,1754,9.0,9.1
17,Gliwice,1369,7.5,9.2
18,Gliwice,2335,7.5,9.1
19,Gliwice,1874,9.2,9.4
20,Gliwice,1386,9.0,8.3
21,Gliwice,1400,9.3,8.4
22,Gliwice,1750,8.3,9.2
23,Gliwice,1020,8.3,9.9
24,Gliwice,2852,9.3,9.0
25,Gliwice,1470,9.7,9.3
26,Gliwice,1680,8.8,8.8
27,Gliwice,1470,9.4,9.8
28,Gliwice,2321,8.8,8.5
29,Gliwice,1260,9.4,8.4
30,Gliwice,1914,8.4,8.4
31,Gliwice,1260,8.3,8.4
32,Gliwice,1710,8.4,9.5
33,Gliwice,1540,8.4,8.0
34,Gliwice,2149,9.4,8.6
35,Gliwice,1285,8.1,9.5
36,Gliwice,1890,8.4,9.7
37,Gliwice,2203,9.3,8.9
38,Gliwice,1122,9.0,8.4
39,Gliwice,1943,8.7,9.2
40,Gliwice,1830,8.5,9.3
41,Gliwice,1393,9.0,9.1
42,Gliwice,2691,9.3,9.7
43,Gliwice,1755,9.2,8.8
44,Gliwice,2268,9.9,8.1
45,Gliwice,2016,8.9,8.5
46,Gliwice,1554,7.9,9.5
47,Gliwice,1295,8.4,9.6
48,Gliwice,1813,9.4,10.0
49,Gliwice,1330,9.6,9.5
50,Gliwice,2402,9.9,10.0
51,Gliwice,1060,9.3,10.0
52,Gliwice,2115,9.7,9.3
53,Gliwice,3511,10.0,8.8
54,Gliwice,1254,9.2,9.7
55,Gliwice,2396,8.8,9.8
56,Gliwice,1935,9.6,9.8
57,Gliwice,1935,7.1,9.6
58,Gliwice,1610,9.7,8.2
59,Gliwice,3456,9.5,9.4
60,Gliwice,4165,9.3,9.5
61,Gliwice,1911,8.2,8.3
62,Gliwice,1674,9.3,9.1
63,Gliwice,1428,9.3,9.7
64,Gliwice,1700,8.4,9.4
65,Gliwice,1393,8.9,8.0
66,Gliwice,2834,9.5,9.5
67,Gliwice,4508,9.5,9.5
68,Gliwice,1610,8.0,8.7
69,Gliwice,2195,9.5,8.7
70,Gliwice,2195,9.5,9.3
71,Gliwice,2016,8.8,9.1
72,Gliwice,1260,8.6,9.6
73,Gliwice,2730,9.2,10.0
74,Gliwice,1888,9.2,9.2
75,Gliwice,1779,9.7,9.3
76,Gliwice,1190,7.3,9.9
77,Gliwice,1350,9.0,9.0
78,Gliwice,1690,9.2,9.1
79,Gliwice,2100,9.5,9.6
80,Gliwice,910,9.9,9.4
81,Gliwice,4220,8.9,10.0
82,Gliwice,1540,9.2,9.2
83,Gliwice,1687,9.2,9.1
84,Gliwice,1746,9.4,10.0
85,Gliwice,3049,9.9,9.8
86,Gliwice,1960,9.2,9.1
87,Gliwice,1422,9.1,9.8
88,Gliwice,2793,10.0,9.4
89,Gliwice,2169,9.7,9.8
90,Gliwice,1769,9.2,9.7
91,Gliwice,1719,9.9,9.5
92,Gliwice,2895,9.3,9.0
93,Gliwice,2956,9.5,10.0
94,Gliwice,3746,9.7,8.9
95,Gliwice,1835,9.5,9.5
96,Gliwice,1643,9.0,9.6
97,Gliwice,3257,9.0,9.6
98,Gliwice,1388,8.7,8.8
99,Gliwice,1824,9.7,8.3
100,Gliwice,3022,9.5,9.7
101,Gliwice,2673,8.7,9.8
