,City,Cost,Rating,Comfort
0,"Cieplice, Jelenia Góra",1890,9.1,9.1
1,Jelenia Góra,2072,9.7,9.6
2,Jelenia Góra,1852,10.0,10.0
3,"Cieplice, Jelenia Góra",1960,9.5,9.6
4,Jelenia Góra,1558,10.0,10.0
5,"Cieplice, Jelenia Góra",1669,9.2,9.4
6,"Cieplice, Jelenia Góra",1673,9.0,8.9
7,Jelenia Góra,1410,10.0,10.0
8,Jelenia Góra,1620,8.0,10.0
9,Jelenia Góra,2170,10.0,10.0
10,"Cieplice, Jelenia Góra",1130,10.0,9.9
11,Jelenia Góra,1922,9.7,8.1
12,Jelenia Góra,1904,8.0,8.3
13,"Cieplice, Jelenia Góra",1130,8.1,10.0
14,Jelenia Góra,1365,9.4,9.8
15,Jelenia Góra,1995,9.9,9.6
16,Jelenia Góra,2303,8.0,9.6
17,Jelenia Góra,2100,9.5,10.0
18,Jelenia Góra,840,9.5,9.7
19,Jelenia Góra,1384,9.8,10.0
20,"Cieplice, Jelenia Góra",1372,9.5,9.1
21,Jelenia Góra,1488,8.0,8.8
22,Jelenia Góra,2679,9.2,9.2
23,Jelenia Góra,1418,8.9,10.0
24,Jelenia Góra,2329,9.3,9.6
25,Jelenia Góra,1260,9.0,10.0
26,"Cieplice, Jelenia Góra",1533,9.7,9.6
27,Jelenia Góra,1360,10.0,8.2
28,Jelenia Góra,1272,9.3,8.3
29,Jelenia Góra,1852,8.5,9.4
30,Jelenia Góra,1827,8.3,10.0
31,Jelenia Góra,1925,9.2,9.2
32,"Cieplice, Jelenia Góra",1085,10.0,9.1
33,"Cieplice, Jelenia Góra",2350,9.0,9.4
34,Jelenia Góra,1400,9.0,9.2
35,"Cieplice, Jelenia Góra",1960,9.3,9.7
36,Jelenia Góra,1128,9.2,8.3
37,Jelenia Góra,1466,9.6,10.0
38,"Cieplice, Jelenia Góra",1510,8.8,9.4
39,Jelenia Góra,1288,9.0,10.0
40,Jelenia Góra,1344,9.4,8.9
41,Jelenia Góra,1393,9.8,9.5
42,Jelenia Góra,2058,8.9,9.5
43,"Cieplice, Jelenia Góra",1638,9.5,9.2
44,Jelenia Góra,1253,9.4,9.6
45,Jelenia Góra,2100,9.0,10.0
46,Jelenia Góra,1658,9.6,8.7
47,Jelenia Góra,1820,10.0,8.9
48,Jelenia Góra,1960,8.8,9.6
49,Jelenia Góra,4410,9.1,9.4
50,Jelenia Góra,1505,9.5,8.4
51,Jelenia Góra,2529,9.2,9.3
52,"Cieplice, Jelenia Góra",2232,8.6,9.3
53,Jelenia Góra,1750,9.2,9.5
54,Jelenia Góra,1558,9.2,10.0
55,Jelenia Góra,1533,9.5,10.0
56,"Cieplice, Jelenia Góra",2149,9.9,9.4
57,Jelenia Góra,1960,9.8,9.8
58,Jelenia Góra,2794,10.0,10.0
59,Jelenia Góra,1549,9.6,9.7
60,"Cieplice, Jelenia Góra",1669,10.0,9.9
61,Jelenia Góra,3024,9.7,9.2
62,Jelenia Góra,1958,9.7,9.6
63,Jelenia Góra,4463,10.0,9.2
64,Jelenia Góra,2240,9.4,9.7
65,Jelenia Góra,1467,9.3,9.2
66,"Cieplice, Jelenia Góra",2410,9.2,10.0
67,Jelenia Góra,1995,9.3,8.9
68,Jelenia Góra,1863,9.0,9.9
69,Jelenia Góra,2100,9.6,9.7
70,"Cieplice, Jelenia Góra",1741,9.8,9.2
71,"Cieplice, Jelenia Góra",1874,9.7,9.6
72,"Cieplice, Jelenia Góra",1750,9.4,10.0
73,"Cieplice, Jelenia Góra",2346,9.5,9.6
74,"Cieplice, Jelenia Góra",1638,10.0,9.6
75,Jelenia Góra,2185,7.5,9.4
76,Jelenia Góra,1750,9.7,9.8
77,Jelenia Góra,2095,9.3,9.4
78,Jelenia Góra,1720,9.3,9.5
79,"Cieplice, Jelenia Góra",1673,9.7,9.2
80,Jelenia Góra,1960,9.2,9.5
81,Jelenia Góra,2100,9.5,9.0
82,Jelenia Góra,1960,9.1,9.1
83,Jelenia Góra,1450,9.6,9.0
84,Jelenia Góra,2013,8.9,10.0
85,Jelenia Góra,1410,8.9,9.6
86,Jelenia Góra,2030,9.0,9.6
87,Jelenia Góra,1517,9.5,8.7
88,Jelenia Góra,1734,9.0,9.7
89,Jelenia Góra,3723,9.8,9.4
90,Jelenia Góra,1597,9.8,8.1
91,Jelenia Góra,980,8.3,9.8
92,Jelenia Góra,1499,9.4,9.5
93,Jelenia Góra,1833,9.2,8.8
94,Jelenia Góra,1863,8.6,9.5
95,Jelenia Góra,1750,9.9,8.9
96,Jelenia Góra,2349,9.5,9.7
97,"Cieplice, Jelenia Góra",2309,9.0,9.6
98,Jelenia Góra,2299,9.3,9.2
99,Jelenia Góra,1555,9.0,9.2
100,Jelenia Góra,2710,9.6,8.7
101,Jelenia Góra,1470,9.3,10.0
102,Jelenia Góra,1850,9.5,9.7
103,"Cieplice, Jelenia Góra",1607,9.0,9.5
104,Jelenia Góra,1620,8.7,9.7
105,Jelenia Góra,2072,10.0,9.5
106,Jelenia Góra,2072,9.5,9.7
107,Jelenia Góra,1680,9.4,9.2
108,Jelenia Góra,2303,9.6,9.5
109,"Cieplice, Jelenia Góra",2696,9.6,9.3
110,Jelenia Góra,2170,9.9,10.0
111,"Cieplice, Jelenia Góra",1512,6.8,9.4
112,"Cieplice, Jelenia Góra",1516,9.3,9.7
113,"Cieplice, Jelenia Góra",1610,9.4,9.3
114,Jelenia Góra,1750,6.7,9.4
115,"Cieplice, Jelenia Góra",2351,9.1,9.6
116,"Cieplice, Jelenia Góra",1307,10.0,9.5
117,Jelenia Góra,2616,9.5,8.4
118,Jelenia Góra,1842,9.9,10.0
119,"Cieplice, Jelenia Góra",3436,9.7,9.6
120,Jelenia Góra,2205,9.4,10.0
121,Jelenia Góra,1827,9.2,9.6
122,Jelenia Góra,1779,5.6,10.0
123,Jelenia Góra,1895,9.3,8.1
124,Jelenia Góra,1250,8.0,9.1
125,Jelenia Góra,2312,8.6,8.6
126,Jelenia Góra,2451,10.0,10.0
127,Jelenia Góra,970,9.7,9.3
128,Jelenia Góra,1865,10.0,8.6
129,"Cieplice, Jelenia Góra",1130,9.4,9.1
130,Jelenia Góra,1295,10.0,10.0
131,Jelenia Góra,2815,8.1,9.1
132,Jelenia Góra,2310,8.9,9.7
133,"Cieplice, Jelenia Góra",1764,8.8,8.4
134,Jelenia Góra,2028,9.3,8.6
135,Jelenia Góra,1922,9.3,10.0
136,Jelenia Góra,1260,8.7,10.0
137,Jelenia Góra,1692,9.3,8.9
138,"Cieplice, Jelenia Góra",2079,9.2,8.9
139,Jelenia Góra,1714,9.1,10.0
140,Jelenia Góra,1176,9.8,9.2
141,"Cieplice, Jelenia Góra",3786,8.6,10.0
142,"Cieplice, Jelenia Góra",2189,8.8,9.3
143,Jelenia Góra,2379,9.0,10.0
144,Jelenia Góra,3255,9.9,10.0
145,Jelenia Góra,1260,7.0,10.0
146,"Cieplice, Jelenia Góra",2323,9.8,9.4
147,Jelenia Góra,1127,9.4,10.0
148,"Cieplice, Jelenia Góra",1120,10.0,9.5
149,"Cieplice, Jelenia Góra",3029,9.7,10.0
150,Jelenia Góra,3570,10.0,9.7
151,Jelenia Góra,1660,9.3,9.0
152,Jelenia Góra,2023,9.9,9.9
153,"Cieplice, Jelenia Góra",1770,9.7,10.0
154,Jelenia Góra,1904,9.4,9.7
155,Jelenia Góra,3150,9.6,10.0
156,"Cieplice, Jelenia Góra",3920,10.0,8.2
157,Jelenia Góra,2678,10.0,9.6
158,"Cieplice, Jelenia Góra",5670,9.6,10.0
159,Jelenia Góra,3490,9.6,9.7
160,Jelenia Góra,2303,9.8,10.0
161,Jelenia Góra,2100,9.8,9.1
162,Jelenia Góra,2858,10.0,9.0
163,Jelenia Góra,3696,9.5,9.6
164,Jelenia Góra,2753,9.2,9.6
165,Jelenia Góra,2205,8.5,9.8
166,"Cieplice, Jelenia Góra",2510,9.5,9.2
167,Jelenia Góra,2268,9.8,9.6
168,Jelenia Góra,2590,9.7,9.3
169,Jelenia Góra,2590,10.0,8.5
170,Jelenia Góra,3049,9.3,9.6
171,"Cieplice, Jelenia Góra",1569,8.9,9.3
172,Jelenia Góra,2400,9.6,9.8
173,Jelenia Góra,2678,9.5,8.9
174,"Cieplice, Jelenia Góra",3094,9.8,9.3
175,Jelenia Góra,2800,8.6,9.5
176,"Cieplice, Jelenia Góra",1540,9.4,8.9
177,"Cieplice, Jelenia Góra",1540,9.5,8.3
178,Jelenia Góra,1717,7.8,9.9
179,Jelenia Góra,1384,9.5,9.9
180,Jelenia Góra,2211,9.2,9.7
181,"Cieplice, Jelenia Góra",1860,9.7,9.7
182,"Cieplice, Jelenia Góra",2583,8.9,10.0
