,City,Cost,Rating,Comfort
0,"Stare Miasto, Kraków",3784,9.1,9.2
1,"Stare Miasto, Kraków",1988,9.2,9.4
2,"Krowodrza, Kraków",1339,9.2,9.5
3,"Dębniki, Kraków",2069,4.8,10.0
4,"Krowodrza, Kraków",2111,10.0,10.0
5,"Stare Miasto, Kraków",1369,8.6,9.4
6,"Stare Miasto, Kraków",3920,10.0,10.0
7,"Grzegórzki, Kraków",1705,9.1,9.5
8,"Prądnik Biały, Kraków",1239,10.0,8.8
9,"Stare Miasto, Kraków",1458,9.6,9.2
10,"Prądnik Biały, Kraków",1365,8.4,10.0
11,"Stare Miasto, Kraków",1779,8.9,8.8
12,"Krowodrza, Kraków",2520,9.0,8.4
13,"Krowodrza, Kraków",1795,9.2,8.0
14,"Stare Miasto, Kraków",2775,8.7,9.7
15,"Prądnik Biały, Kraków",1379,7.3,8.2
16,"Stare Miasto, Kraków",2793,9.4,10.0
17,"Bronowice, Kraków",1987,8.0,8.5
18,"Dębniki, Kraków",2140,10.0,10.0
19,"Zwierzyniec, Kraków",1445,5.9,8.6
20,"Stare Miasto, Kraków",2004,4.8,9.0
21,"Dębniki, Kraków",1575,8.5,9.2
22,"Stare Miasto, Kraków",1532,9.5,9.0
23,"Grzegórzki, Kraków",2137,8.5,10.0
24,"Stare Miasto, Kraków",1794,8.8,9.3
25,"Grzegórzki, Kraków",1125,7.4,8.7
26,"Podgórze, Kraków",2083,9.0,8.2
27,"Stare Miasto, Kraków",2128,8.8,8.9
28,"Stare Miasto, Kraków",1559,10.0,9.1
29,"Stare Miasto, Kraków",1369,8.9,9.3
30,"Krowodrza, Kraków",1581,8.6,8.8
31,"Grzegórzki, Kraków",2384,8.2,8.3
32,"Dębniki, Kraków",2120,9.0,10.0
33,"Podgórze, Kraków",3993,9.2,8.5
34,"Prądnik Czerwony, Kraków",1309,9.0,9.8
35,"Stare Miasto, Kraków",3920,10.0,8.5
36,"Stare Miasto, Kraków",2978,8.5,9.4
37,"Stare Miasto, Kraków",3183,8.4,9.3
38,"Podgórze, Kraków",1880,10.0,9.2
