,City,Cost,Rating,Comfort
0,Nowy Sącz,1610,9.8,10.0
1,Nowy Sącz,1765,9.3,9.2
2,Nowy Sącz,1130,8.9,9.0
3,Nowy Sącz,1917,9.8,9.8
4,Nowy Sącz,3010,9.0,9.6
5,Nowy Sącz,4018,9.0,9.4
6,Nowy Sącz,1217,9.3,9.4
7,Nowy Sącz,1330,9.6,9.9
8,Nowy Sącz,2083,9.7,9.9
9,Nowy Sącz,1995,9.9,10.0
10,Nowy Sącz,1540,9.3,9.3
11,Nowy Sącz,1155,9.4,9.4
12,Nowy Sącz,1607,10.0,10.0
13,Nowy Sącz,2262,9.7,9.4
14,Nowy Sącz,2185,9.6,9.5
15,Nowy Sącz,1995,9.7,9.8
16,Nowy Sącz,1683,8.6,8.5
17,Nowy Sącz,1832,8.8,9.1
18,Nowy Sącz,1396,9.0,9.2
19,Nowy Sącz,2030,9.7,9.7
20,Nowy Sącz,2975,9.7,9.7
21,Nowy Sącz,1963,9.3,9.4
22,Nowy Sącz,1043,9.2,9.4
23,Nowy Sącz,2374,9.5,9.6
24,Nowy Sącz,2562,8.5,8.4
25,Nowy Sącz,2280,8.3,8.5
26,Nowy Sącz,1792,8.8,8.6
27,Nowy Sącz,1225,9.6,9.7
28,Nowy Sącz,1662,9.8,9.8
29,Nowy Sącz,1914,9.8,9.6
30,Nowy Sącz,1015,9.8,9.9
31,Nowy Sącz,4284,9.9,10.0
32,Nowy Sącz,1323,9.8,10.0
33,Nowy Sącz,5174,9.4,10.0
34,Nowy Sącz,2030,9.8,9.7
35,Nowy Sącz,2037,10.0,10.0
36,Nowy Sącz,4410,9.6,9.6
