,City,Cost,Rating,Comfort
0,Opole,1147,9.1,9.1
1,Opole,1620,9.2,9.0
2,Opole,1181,10.0,9.2
3,Opole,1785,10.0,10.0
4,Opole,1928,9.7,8.8
5,Opole,2178,10.0,10.0
6,Opole,1620,9.5,10.0
7,Opole,1725,9.9,10.0
8,Opole,1110,8.4,8.4
9,Opole,1398,9.0,10.0
10,Opole,2274,10.0,10.0
11,Opole,1451,7.7,8.4
12,Opole,1400,8.1,8.7
13,Opole,1839,8.7,9.2
14,Opole,2833,9.0,8.9
15,Opole,2373,8.7,8.7
16,Opole,1596,8.7,9.0
17,Opole,1470,9.0,9.1
18,Opole,1428,9.0,9.6
19,Opole,1705,9.5,8.9
20,Opole,1950,9.3,8.5
21,Opole,1785,8.3,9.1
22,Opole,1260,9.2,8.6
23,Opole,1620,8.4,8.3
24,Opole,3213,7.0,8.9
25,Opole,1854,9.2,9.5
26,Opole,1750,9.5,8.2
27,Opole,2312,8.0,8.7
28,Opole,1638,8.4,8.4
29,Opole,1377,8.6,9.5
30,Opole,2300,9.2,10.0
31,Opole,1456,8.4,8.4
32,Opole,3850,9.7,9.1
33,Opole,2633,8.0,9.0
34,Opole,1204,8.3,9.9
35,Opole,1235,9.1,8.9
36,Opole,2363,8.5,9.2
37,Opole,1620,7.8,8.7
38,Opole,2471,8.0,8.3
39,Opole,3040,9.6,8.5
40,Opole,2100,7.7,8.8
41,Opole,1955,8.7,8.6
42,Opole,2583,9.1,9.2
43,Opole,1960,8.6,8.2
44,Opole,2502,8.3,8.8
45,Opole,1955,8.6,8.4
46,Opole,2340,8.8,9.7
47,Opole,1620,8.7,8.7
48,Opole,1955,9.2,9.4
49,Opole,2384,8.0,8.4
50,Opole,1050,8.9,8.1
51,Opole,1885,8.0,8.3
52,Opole,1400,9.8,8.4
53,Opole,3117,8.8,8.7
54,Opole,2065,9.3,10.0
55,Opole,2221,8.2,8.7
56,Opole,1253,8.1,8.8
57,Opole,1620,8.3,9.0
58,Opole,1620,8.3,9.4
59,Opole,2183,9.0,8.6
60,Opole,1857,6.9,8.1
61,Opole,2592,10.0,9.6
62,Opole,1540,8.7,9.1
63,Opole,2800,8.7,9.3
64,Opole,1400,8.8,9.7
65,Opole,1921,6.8,9.7
66,Opole,1134,9.3,8.9
67,Opole,2827,8.2,8.4
68,Opole,2300,8.3,8.3
69,Opole,2273,9.4,10.0
70,Opole,2241,9.1,9.6
71,Opole,1854,7.2,9.0
72,Opole,2244,9.1,8.5
73,Opole,2640,9.3,9.5
74,Opole,2119,9.3,8.6
75,Opole,2119,8.8,8.7
76,Opole,2172,8.4,8.1
77,Opole,1662,8.6,8.8
