,City,Cost,Rating,Comfort
0,Przemyśl,1377,9.2,9.4
1,Przemyśl,1963,10.0,9.8
2,Przemyśl,1975,10.0,10.0
3,Przemyśl,1904,8.2,8.5
4,Przemyśl,2093,9.0,9.2
5,Przemyśl,1482,9.2,9.3
6,Przemyśl,1716,8.5,9.8
7,Przemyśl,1916,9.6,8.8
8,Przemyśl,2240,8.2,8.6
9,Przemyśl,1611,8.0,9.3
10,Przemyśl,1470,8.8,9.1
11,Przemyśl,1327,9.3,9.3
12,Przemyśl,1250,8.8,9.6
13,Przemyśl,1610,9.2,9.3
14,Przemyśl,2030,9.6,9.2
15,Przemyśl,1907,9.2,10.0
16,Przemyśl,1398,9.5,8.9
17,Przemyśl,1890,9.0,9.8
18,Przemyśl,2087,8.8,9.5
19,Przemyśl,1702,9.6,9.3
20,Przemyśl,1678,9.5,9.7
21,Przemyśl,1904,9.4,9.8
22,Przemyśl,1978,9.5,9.2
23,Przemyśl,1260,9.5,9.7
24,Przemyśl,2730,9.4,9.7
25,Przemyśl,1160,9.6,9.6
26,Przemyśl,2093,9.7,10.0
27,Przemyśl,2095,9.7,9.7
28,Przemyśl,2520,10.0,9.5
29,Przemyśl,1975,9.7,9.3
30,Przemyśl,2142,9.5,9.0
31,Przemyśl,1488,9.9,8.5
32,Przemyśl,2353,9.1,9.3
33,Przemyśl,2618,8.2,9.7
34,Przemyśl,1607,9.3,9.5
35,Przemyśl,1904,9.7,8.9
36,Przemyśl,1764,9.4,9.8
37,Przemyśl,1926,9.0,9.9
38,Przemyśl,2030,9.6,9.6
39,Przemyśl,1728,9.8,9.4
40,Przemyśl,1898,9.2,10.0
41,Przemyśl,2257,9.4,10.0
42,Przemyśl,1369,10.0,9.8
43,Przemyśl,1785,10.0,8.5
44,Przemyśl,2083,9.7,9.9
45,Przemyśl,3185,8.2,10.0
46,Przemyśl,2083,9.8,9.7
47,Przemyśl,2220,9.6,9.5
48,Przemyśl,2870,9.6,9.2
49,Przemyśl,2381,9.6,10.0
50,Przemyśl,2013,6.5,8.2
51,Przemyśl,2493,9.0,9.6
52,Przemyśl,1820,9.9,8.8
53,Przemyśl,1603,7.0,8.2
54,Przemyśl,2093,8.2,9.3
55,Przemyśl,1904,9.5,9.7
56,Przemyśl,1820,8.4,8.9
57,Przemyśl,1575,8.1,9.4
58,Przemyśl,1260,9.5,9.5
59,Przemyśl,2450,9.9,10.0
60,Przemyśl,1482,8.8,10.0
61,Przemyśl,1610,9.3,9.0
62,Przemyśl,2083,9.5,8.9
63,Przemyśl,2529,9.9,8.5
64,Przemyśl,2205,10.0,8.5
65,Przemyśl,1738,8.8,9.3
66,Przemyśl,1963,9.3,9.6
67,Przemyśl,2088,8.6,9.5
68,Przemyśl,4200,8.3,9.6
69,Przemyśl,2660,9.4,9.2
70,Przemyśl,1130,9.6,9.3
71,Przemyśl,1749,9.6,9.6
72,Przemyśl,1680,9.6,9.4
73,Przemyśl,2202,7.4,9.6
74,Przemyśl,1855,9.4,9.1
75,Przemyśl,2478,9.2,8.7
76,Przemyśl,2205,9.7,10.0
77,Przemyśl,1380,9.5,10.0
78,Przemyśl,1960,9.4,9.9
79,Przemyśl,1716,8.7,9.1
80,Przemyśl,2029,8.5,10.0
81,Przemyśl,1981,8.5,9.4
82,Przemyśl,2443,10.0,9.2
83,Przemyśl,2568,9.9,9.9
84,Przemyśl,3122,8.0,9.7
85,Przemyśl,1916,7.6,9.1
86,Przemyśl,3185,9.8,8.0
87,Przemyśl,2720,6.6,9.6
88,Przemyśl,1225,8.9,8.6
89,Przemyśl,2772,9.3,8.0
90,Przemyśl,2202,9.5,9.5
91,Przemyśl,1113,9.4,9.8
92,Przemyśl,2093,9.8,8.8
93,Przemyśl,3276,9.5,8.3
94,Przemyśl,3553,8.9,8.3
95,Przemyśl,2023,7.9,9.9
96,Przemyśl,2940,9.4,8.9
97,Przemyśl,2906,8.7,8.8
98,Przemyśl,2431,8.2,9.3
