,City,Cost,Rating,Comfort
0,Sandomierz,1377,9.5,10.0
1,Sandomierz,2119,10.0,10.0
2,Sandomierz,1517,10.0,10.0
3,Sandomierz,2094,9.6,9.7
4,Sandomierz,2037,9.4,9.7
5,Sandomierz,1872,5.8,9.6
6,Sandomierz,1400,9.5,9.6
7,Sandomierz,2680,9.6,9.2
8,Sandomierz,1400,9.0,9.1
9,Sandomierz,2925,8.9,9.2
10,Sandomierz,2480,9.1,9.5
11,Sandomierz,1750,9.8,9.8
12,Sandomierz,1932,9.7,9.6
13,Sandomierz,1953,9.8,8.8
14,Sandomierz,1344,8.0,9.4
15,Sandomierz,2837,8.8,9.7
16,Sandomierz,2240,7.8,9.5
17,Sandomierz,1190,9.3,8.4
18,Sandomierz,1456,9.8,9.6
19,Sandomierz,2550,9.4,9.5
20,Sandomierz,1960,8.6,9.1
21,Sandomierz,1960,9.5,9.0
22,Sandomierz,1393,9.6,9.4
23,Sandomierz,2450,9.3,9.5
24,Sandomierz,1610,9.0,10.0
25,Sandomierz,1540,9.3,9.2
26,Sandomierz,1778,9.4,9.4
27,Sandomierz,1779,9.6,9.4
28,Sandomierz,2279,9.4,9.6
29,Sandomierz,1691,9.4,9.0
30,Sandomierz,1960,9.3,8.5
31,Sandomierz,2100,9.5,9.1
32,Sandomierz,2598,9.0,8.2
33,Sandomierz,1400,8.7,9.0
34,Sandomierz,2240,9.1,9.8
35,Sandomierz,1260,8.3,8.3
36,Sandomierz,2420,8.9,9.1
37,Sandomierz,2275,9.6,9.8
38,Sandomierz,1820,8.5,8.9
39,Sandomierz,2300,9.2,9.7
40,Sandomierz,3027,9.9,8.8
41,Sandomierz,2208,8.8,9.8
42,Sandomierz,1610,9.6,9.0
43,Sandomierz,2670,9.1,10.0
44,Sandomierz,2580,9.7,9.5
45,Sandomierz,1428,8.8,9.1
46,Sandomierz,2610,10.0,9.1
47,Sandomierz,2625,9.4,9.7
48,Sandomierz,1260,9.3,9.4
49,Sandomierz,1400,9.3,9.0
50,Sandomierz,2100,9.5,9.5
51,Sandomierz,1575,9.4,9.8
52,Sandomierz,1250,9.0,9.8
53,Sandomierz,1260,9.3,8.7
54,Sandomierz,2291,9.7,8.8
55,Sandomierz,1667,9.8,8.3
56,Sandomierz,1750,8.7,10.0
57,Sandomierz,1960,8.7,9.2
58,Sandomierz,1120,8.3,8.3
59,Sandomierz,2331,10.0,9.3
60,Sandomierz,1100,6.3,9.2
61,Sandomierz,2550,9.0,8.5
62,Sandomierz,1540,8.4,9.4
63,Sandomierz,1260,9.2,9.0
64,Sandomierz,2592,9.1,9.3
65,Sandomierz,2463,8.5,8.8
66,Sandomierz,1610,9.4,9.2
67,Sandomierz,1200,9.0,9.7
68,Sandomierz,1450,9.4,9.7
69,Sandomierz,2170,9.2,9.7
70,Sandomierz,1960,9.3,8.6
71,Sandomierz,1540,9.9,9.6
72,Sandomierz,2374,9.5,8.9
73,Sandomierz,2023,9.7,9.1
74,Sandomierz,1680,8.6,8.7
75,Sandomierz,3015,9.5,9.8
76,Sandomierz,2837,8.9,9.2
77,Sandomierz,2245,8.9,9.1
78,Sandomierz,2977,8.8,9.8
79,Sandomierz,2000,9.6,9.8
80,Sandomierz,1449,9.1,8.3
81,Sandomierz,1960,9.2,8.6
82,Sandomierz,1666,9.8,9.0
83,Sandomierz,2109,9.7,9.3
84,Sandomierz,2240,8.2,9.4
85,Sandomierz,1506,8.4,9.7
86,Sandomierz,1610,9.0,9.3
87,Sandomierz,2781,9.1,10.0
88,Sandomierz,3630,9.5,8.8
89,Sandomierz,1617,9.6,9.1
90,Sandomierz,1479,9.4,9.9
91,Sandomierz,1872,9.8,9.2
92,Sandomierz,3824,9.0,8.5
93,Sandomierz,3867,9.3,9.0
94,Sandomierz,2430,9.7,9.6
95,Sandomierz,1540,9.1,9.8
96,Sandomierz,2500,8.3,9.5
97,Sandomierz,1190,9.0,9.7
98,Sandomierz,1984,9.6,9.3
99,Sandomierz,2228,9.6,9.5
100,Sandomierz,1540,9.4,9.2
101,Sandomierz,2450,9.9,9.3
