,City,Cost,Rating,Comfort
0,Sanok,1428,10.0,10.0
1,Sanok,1120,8.8,8.8
2,Sanok,1292,9.6,9.8
3,Sanok,1400,8.9,8.5
4,Sanok,1314,9.0,9.1
5,Sanok,1190,8.3,8.2
6,Sanok,1680,7.0,8.6
7,Sanok,1582,8.7,8.4
8,Sanok,1410,8.3,9.5
9,Sanok,1803,9.5,9.4
10,Sanok,1844,9.5,9.5
11,Sanok,1270,9.6,8.5
12,Sanok,1260,8.7,9.2
13,Sanok,1330,9.0,9.8
14,Sanok,2240,9.5,9.7
15,Sanok,1750,9.7,9.5
16,Sanok,1578,9.4,8.8
17,Sanok,1460,8.7,9.8
18,Sanok,1750,9.9,9.9
19,Sanok,1400,9.8,8.8
20,Sanok,1903,9.1,9.5
21,Sanok,700,9.6,9.4
22,Sanok,1540,9.4,9.1
23,Sanok,945,4.0,9.7
24,Sanok,1288,9.2,9.8
25,Sanok,1680,9.7,9.2
26,Sanok,1600,9.7,9.8
27,Sanok,2240,8.7,9.2
28,Sanok,1610,9.8,10.0
29,Sanok,1352,9.2,10.0
30,Sanok,1470,9.9,9.6
31,Sanok,1537,9.6,9.7
32,Sanok,1523,9.6,10.0
33,Sanok,2023,9.7,9.2
34,Sanok,2800,9.7,9.9
35,Sanok,3500,8.9,9.6
36,Sanok,9800,9.9,9.3
37,Sanok,2142,9.7,8.9
38,Sanok,9800,9.2,9.6
