,City,Cost,Rating,Comfort
0,"Śródmieście, Szczecin",1458,10.0,10.0
1,"Śródmieście, Szczecin",1692,10.0,10.0
2,"Śródmieście, Szczecin",2100,9.5,9.6
3,"Śródmieście, Szczecin",3119,7.0,8.9
4,"Śródmieście, Szczecin",2660,8.8,10.0
5,"Śródmieście, Szczecin",2100,7.1,10.0
6,"Śródmieście, Szczecin",1356,9.7,9.2
7,"Śródmieście, Szczecin",952,6.0,10.0
8,"Prawobrzeże, Szczecin",1575,9.6,10.0
9,"Śródmieście, Szczecin",1860,9.1,10.0
10,Szczecin,1130,10.0,10.0
11,"Śródmieście, Szczecin",2100,10.0,9.1
12,Szczecin,1593,10.0,10.0
13,"Śródmieście, Szczecin",2660,9.0,9.7
14,"Śródmieście, Szczecin",1328,10.0,8.3
15,"Śródmieście, Szczecin",1827,9.2,9.1
16,"Śródmieście, Szczecin",2100,9.5,8.1
17,"Śródmieście, Szczecin",4656,9.5,9.5
18,"Śródmieście, Szczecin",2768,8.1,10.0
19,"Śródmieście, Szczecin",2974,7.5,10.0
20,"Śródmieście, Szczecin",925,7.4,9.2
21,"Śródmieście, Szczecin",2100,8.6,8.2
22,"Śródmieście, Szczecin",2199,7.9,9.8
23,"Śródmieście, Szczecin",1288,9.3,8.9
24,"Śródmieście, Szczecin",2430,10.0,9.0
25,"Śródmieście, Szczecin",1660,10.0,8.8
26,"Śródmieście, Szczecin",2380,9.0,10.0
27,"Śródmieście, Szczecin",1828,9.0,8.4
28,"Śródmieście, Szczecin",2520,8.0,9.3
29,"Śródmieście, Szczecin",2100,7.5,8.9
30,Szczecin,1012,8.9,8.8
31,"Śródmieście, Szczecin",1884,8.6,8.7
32,"Śródmieście, Szczecin",3365,8.8,9.6
33,"Śródmieście, Szczecin",2315,8.8,9.0
34,Szczecin,1562,10.0,10.0
35,"Śródmieście, Szczecin",3119,8.3,9.2
36,"Śródmieście, Szczecin",1533,9.3,8.6
37,"Śródmieście, Szczecin",1888,8.6,8.2
38,"Śródmieście, Szczecin",2395,8.7,8.4
39,"Śródmieście, Szczecin",6400,8.5,9.4
40,"Śródmieście, Szczecin",1183,9.5,8.4
41,"Śródmieście, Szczecin",2865,8.8,8.3
42,"Śródmieście, Szczecin",1477,8.5,9.6
43,"Śródmieście, Szczecin",1300,9.0,8.9
44,"Śródmieście, Szczecin",1890,8.5,8.5
45,"Śródmieście, Szczecin",1779,7.3,9.0
46,"Śródmieście, Szczecin",1537,8.2,9.0
