,City,Cost,Rating,Comfort
0,Toruń,1218,8.0,10.0
1,"Stare Miasto, Toruń",1552,10.0,9.2
2,Toruń,1643,7.9,9.8
3,"Stare Miasto, Toruń",1682,9.5,8.6
4,"Stare Miasto, Toruń",2749,7.3,9.5
5,"Stare Miasto, Toruń",1212,8.1,10.0
6,"Stare Miasto, Toruń",1637,9.9,9.4
7,Toruń,1443,8.8,8.9
8,Toruń,1529,9.6,10.0
9,"Stare Miasto, Toruń",2319,9.5,10.0
10,"Stare Miasto, Toruń",2100,8.0,8.8
11,"Stare Miasto, Toruń",1589,7.9,10.0
12,Toruń,1635,8.6,8.7
13,"Stare Miasto, Toruń",2083,10.0,8.4
14,"Stare Miasto, Toruń",1798,9.7,8.8
15,Toruń,1103,10.0,9.1
16,"Stare Miasto, Toruń",2276,9.0,8.8
17,Toruń,1558,8.8,9.2
18,"Stare Miasto, Toruń",2142,7.8,10.0
19,Toruń,2678,8.0,9.6
20,Toruń,2222,9.5,8.9
21,"Stare Miasto, Toruń",3088,7.0,8.0
22,"Stare Miasto, Toruń",1892,9.2,10.0
23,Toruń,1393,7.9,8.8
24,"Stare Miasto, Toruń",1260,8.9,8.6
25,"Stare Miasto, Toruń",2606,9.5,9.3
26,"Stare Miasto, Toruń",1456,9.0,8.6
27,"Stare Miasto, Toruń",1851,9.8,9.4
28,Toruń,2076,8.9,8.4
29,"Stare Miasto, Toruń",1682,7.3,10.0
30,Toruń,1826,7.5,9.5
31,Toruń,1099,8.0,9.3
32,Toruń,1890,9.4,8.8
33,Toruń,1440,9.0,9.8
34,"Stare Miasto, Toruń",1909,8.8,9.1
35,"Stare Miasto, Toruń",1212,9.4,9.4
36,Toruń,1358,8.5,9.6
37,Toruń,1540,9.4,8.7
38,"Stare Miasto, Toruń",1558,8.3,10.0
39,Toruń,2156,9.7,8.6
40,"Stare Miasto, Toruń",1400,9.3,9.6
41,"Stare Miasto, Toruń",2569,9.2,9.3
42,Toruń,2228,8.7,8.7
43,"Stare Miasto, Toruń",2122,9.6,10.0
44,"Stare Miasto, Toruń",2703,8.0,9.0
45,"Stare Miasto, Toruń",1998,7.9,8.5
46,"Stare Miasto, Toruń",1952,9.3,9.3
47,Toruń,1861,9.2,10.0
48,Toruń,1893,9.3,8.9
49,"Stare Miasto, Toruń",1831,8.8,8.9
50,Toruń,1585,10.0,9.1
51,Toruń,1288,8.6,9.4
52,"Stare Miasto, Toruń",1854,9.4,9.7
53,Toruń,2485,9.3,9.7
54,Toruń,1443,8.9,9.1
55,"Stare Miasto, Toruń",1593,9.5,9.1
56,Toruń,2653,8.8,9.8
57,Toruń,1190,8.5,10.0
58,Toruń,1647,9.3,8.9
59,"Stare Miasto, Toruń",2139,10.0,9.3
60,Toruń,1529,9.1,9.3
61,"Stare Miasto, Toruń",2766,8.9,9.2
62,"Stare Miasto, Toruń",1700,8.9,9.6
63,Toruń,1818,9.2,9.4
64,"Stare Miasto, Toruń",2013,9.6,9.7
65,Toruń,3680,9.7,10.0
66,Toruń,2825,9.1,9.2
67,"Stare Miasto, Toruń",3345,9.3,9.1
68,"Stare Miasto, Toruń",1624,7.5,9.5
69,Toruń,2023,9.9,8.8
70,Toruń,1631,10.0,9.2
71,"Stare Miasto, Toruń",2260,8.7,9.5
72,"Stare Miasto, Toruń",1708,9.2,8.8
73,Toruń,2085,9.2,8.5
74,"Stare Miasto, Toruń",1880,9.1,9.1
75,"Stare Miasto, Toruń",2478,9.5,9.4
76,Toruń,1936,9.5,9.2
77,Toruń,1890,9.8,9.5
78,"Stare Miasto, Toruń",2228,10.0,9.2
79,"Stare Miasto, Toruń",2319,8.3,9.4
80,"Stare Miasto, Toruń",2361,9.3,9.9
81,Toruń,1459,9.3,10.0
82,Toruń,2044,6.4,10.0
83,"Stare Miasto, Toruń",1959,8.8,8.5
84,Toruń,1403,9.4,8.8
85,"Stare Miasto, Toruń",1589,8.2,8.9
86,Toruń,1850,8.0,8.2
87,Toruń,2029,9.4,8.5
88,Toruń,3807,8.7,9.0
89,"Stare Miasto, Toruń",2239,8.6,9.8
90,Toruń,2221,9.1,9.1
91,Toruń,1368,9.2,9.2
92,"Stare Miasto, Toruń",1790,9.2,9.8
93,Toruń,2188,9.6,9.7
94,Toruń,2357,9.5,9.6
95,"Stare Miasto, Toruń",1778,9.3,9.2
96,"Stare Miasto, Toruń",1928,9.3,9.0
97,"Stare Miasto, Toruń",1569,9.9,9.5
98,"Stare Miasto, Toruń",3218,9.5,9.4
99,Toruń,2210,8.3,9.4
100,Toruń,1680,8.0,9.7
101,"Stare Miasto, Toruń",1804,8.9,9.5
102,"Stare Miasto, Toruń",2087,9.1,8.0
103,Toruń,1779,8.4,9.0
104,Toruń,1635,8.2,9.9
105,"Stare Miasto, Toruń",1397,9.0,8.9
106,"Stare Miasto, Toruń",1978,9.0,9.7
107,"Stare Miasto, Toruń",1965,9.6,8.6
108,Toruń,2095,9.3,8.4
109,Toruń,3586,9.1,9.3
110,"Stare Miasto, Toruń",2083,9.7,9.2
111,"Stare Miasto, Toruń",1316,9.6,8.8
112,Toruń,2088,9.5,8.0
113,"Stare Miasto, Toruń",1603,9.2,9.3
114,Toruń,1631,8.8,9.4
115,"Stare Miasto, Toruń",1408,9.5,8.7
116,"Stare Miasto, Toruń",1370,9.5,8.8
117,"Stare Miasto, Toruń",2055,8.0,8.3
118,"Stare Miasto, Toruń",3493,9.7,9.2
119,Toruń,2806,9.6,8.6
120,Toruń,2238,8.5,10.0
121,"Stare Miasto, Toruń",2113,8.9,9.4
122,Toruń,4796,9.6,8.7
123,Toruń,3933,8.6,9.0
124,Toruń,3882,9.7,8.8
125,"Stare Miasto, Toruń",1976,8.7,9.5
126,"Stare Miasto, Toruń",1876,8.2,9.2
127,"Stare Miasto, Toruń",1844,9.3,10.0
128,"Stare Miasto, Toruń",1960,9.3,8.4
129,"Stare Miasto, Toruń",1798,9.1,8.2
130,Toruń,2894,8.5,9.7
131,"Stare Miasto, Toruń",2471,9.6,9.0
132,Toruń,2103,8.0,9.6
133,Toruń,1781,9.3,8.9
134,"Stare Miasto, Toruń",2782,8.8,8.7
135,"Stare Miasto, Toruń",2276,8.1,9.6
136,"Stare Miasto, Toruń",3146,8.0,8.8
137,"Stare Miasto, Toruń",1606,7.3,9.2
138,"Stare Miasto, Toruń",1760,9.1,9.4
139,Toruń,3388,8.7,8.0
140,"Stare Miasto, Toruń",2422,9.7,9.0
141,"Stare Miasto, Toruń",3932,9.3,8.8
142,Toruń,2483,8.7,8.5
143,"Stare Miasto, Toruń",1960,9.0,10.0
144,"Stare Miasto, Toruń",2077,8.3,9.4
145,"Stare Miasto, Toruń",3423,9.3,10.0
146,"Stare Miasto, Toruń",2960,9.1,9.0
147,"Stare Miasto, Toruń",1774,10.0,9.0
148,"Stare Miasto, Toruń",1716,8.5,8.8
149,Toruń,1008,8.4,9.2
150,"Stare Miasto, Toruń",2136,9.7,9.3
151,Toruń,980,8.0,8.7
152,Toruń,1626,9.2,9.9
153,"Stare Miasto, Toruń",1878,9.5,9.6
154,Toruń,1558,8.5,9.7
155,"Stare Miasto, Toruń",2048,8.8,8.2
156,"Stare Miasto, Toruń",2117,9.4,8.9
157,"Stare Miasto, Toruń",3390,8.8,9.0
158,"Stare Miasto, Toruń",2099,9.2,8.6
159,"Stare Miasto, Toruń",1603,9.4,8.3
160,"Stare Miasto, Toruń",2142,8.2,8.0
161,"Stare Miasto, Toruń",1521,9.0,9.3
162,"Stare Miasto, Toruń",1572,6.0,9.3
163,"Stare Miasto, Toruń",2030,9.1,8.9
164,"Stare Miasto, Toruń",1792,8.6,10.0
165,"Stare Miasto, Toruń",1971,9.7,9.4
166,"Stare Miasto, Toruń",1578,9.2,8.3
167,"Stare Miasto, Toruń",1795,10.0,9.3
168,"Stare Miasto, Toruń",1636,9.0,8.6
169,"Stare Miasto, Toruń",1804,7.1,9.7
170,"Stare Miasto, Toruń",2057,8.9,8.8
171,"Stare Miasto, Toruń",1863,10.0,9.8
172,Toruń,2232,8.9,8.7
173,"Stare Miasto, Toruń",1640,9.2,9.3
174,"Stare Miasto, Toruń",1960,8.8,8.1
175,Toruń,1099,9.9,9.4
176,Toruń,2042,9.6,9.8
177,Toruń,2051,7.6,9.7
178,"Stare Miasto, Toruń",1439,9.6,8.4
179,Toruń,2678,8.5,9.7
180,Toruń,1466,8.8,8.8
181,Toruń,5068,8.9,9.0
182,Toruń,2390,8.5,8.9
183,Toruń,1162,8.4,9.0
184,"Stare Miasto, Toruń",2608,8.2,9.1
185,Toruń,2222,9.3,10.0
186,Toruń,2203,9.3,8.8
187,"Stare Miasto, Toruń",1857,8.8,8.4
188,"Stare Miasto, Toruń",1932,9.0,8.0
189,Toruń,2136,9.2,8.6
190,"Stare Miasto, Toruń",2599,8.3,9.0
191,"Stare Miasto, Toruń",1620,9.4,8.9
192,Toruń,1888,8.6,9.1
193,Toruń,1428,9.7,9.1
194,"Stare Miasto, Toruń",3003,9.5,9.2
195,"Stare Miasto, Toruń",1857,9.8,8.5
196,"Stare Miasto, Toruń",2012,9.0,8.6
197,"Stare Miasto, Toruń",1980,9.2,9.4
198,"Stare Miasto, Toruń",2087,8.4,9.5
199,"Stare Miasto, Toruń",1064,8.0,8.7
200,"Stare Miasto, Toruń",2478,9.4,9.3
201,Toruń,1898,9.6,9.7
202,"Stare Miasto, Toruń",1784,9.5,8.6
203,Toruń,1641,8.5,8.9
204,"Stare Miasto, Toruń",3088,9.8,9.6
205,Toruń,1772,8.4,9.0
206,"Stare Miasto, Toruń",2261,9.0,8.8
207,"Stare Miasto, Toruń",2156,9.1,8.6
208,"Stare Miasto, Toruń",2027,9.0,8.8
209,Toruń,3353,9.2,10.0
210,"Stare Miasto, Toruń",2606,9.8,9.4
211,Toruń,2521,8.8,9.1
212,"Stare Miasto, Toruń",1747,8.1,9.2
213,"Stare Miasto, Toruń",2092,7.0,8.3
214,"Stare Miasto, Toruń",1819,8.0,8.8
215,Toruń,1920,8.1,8.9
216,"Stare Miasto, Toruń",1838,9.0,9.3
217,"Stare Miasto, Toruń",3928,8.9,9.2
218,"Stare Miasto, Toruń",2350,9.2,9.5
219,"Stare Miasto, Toruń",1772,9.2,8.0
220,"Stare Miasto, Toruń",1950,9.1,9.7
221,"Stare Miasto, Toruń",1838,7.9,8.9
222,Toruń,2220,8.8,9.4
223,Toruń,1601,8.7,8.3
224,"Stare Miasto, Toruń",2315,7.2,8.7
225,"Stare Miasto, Toruń",2507,9.3,10.0
226,Toruń,2706,9.5,9.6
227,"Stare Miasto, Toruń",2111,8.8,8.5
228,"Stare Miasto, Toruń",1792,9.3,9.0
229,"Stare Miasto, Toruń",1456,9.7,9.5
230,Toruń,1404,8.7,9.2
231,"Stare Miasto, Toruń",2084,9.0,8.5
232,Toruń,2469,9.4,9.6
233,Toruń,1978,8.9,9.5
234,"Stare Miasto, Toruń",1926,8.7,9.0
235,"Stare Miasto, Toruń",1851,8.2,8.8
236,"Stare Miasto, Toruń",2117,8.9,10.0
237,Toruń,1288,10.0,10.0
238,"Stare Miasto, Toruń",1740,9.4,9.3
239,Toruń,2156,9.0,8.9
240,"Stare Miasto, Toruń",1939,9.3,9.6
241,"Stare Miasto, Toruń",1390,8.6,9.0
242,"Stare Miasto, Toruń",1907,8.9,8.5
243,"Stare Miasto, Toruń",1960,8.3,9.8
244,"Stare Miasto, Toruń",1652,8.8,8.6
245,"Stare Miasto, Toruń",1724,9.4,8.3
246,"Stare Miasto, Toruń",2318,9.2,8.8
247,"Stare Miasto, Toruń",1944,9.4,8.2
248,"Stare Miasto, Toruń",2012,7.8,9.9
249,"Stare Miasto, Toruń",1760,9.7,8.8
250,Toruń,1905,9.0,9.9
251,Toruń,2042,9.4,9.6
252,"Stare Miasto, Toruń",1639,8.6,8.9
253,"Stare Miasto, Toruń",1857,8.7,8.3
254,Toruń,2076,10.0,9.6
255,"Stare Miasto, Toruń",2127,9.5,9.2
256,Toruń,2287,7.8,8.5
257,"Stare Miasto, Toruń",1878,8.6,9.3
258,Toruń,2042,9.2,8.2
259,"Stare Miasto, Toruń",1982,9.5,9.6
260,Toruń,1826,9.5,8.9
261,"Stare Miasto, Toruń",1527,8.7,9.2
262,"Stare Miasto, Toruń",1439,9.6,9.4
263,"Stare Miasto, Toruń",1944,9.2,9.4
264,"Stare Miasto, Toruń",2391,9.0,8.9
265,Toruń,1822,9.2,9.1
266,"Stare Miasto, Toruń",1757,9.0,9.1
267,Toruń,1923,9.9,9.6
