,City,Cost,Rating,Comfort
0,Wadowice,2890,9.0,10.0
1,Wadowice,1916,9.7,10.0
2,Wadowice,1303,9.1,9.2
3,Wadowice,3850,10.0,10.0
4,Wadowice,2739,8.8,8.8
5,Wadowice,2208,9.3,9.4
6,Wadowice,1540,9.7,9.7
7,Wadowice,1340,7.7,9.4
8,Wadowice,2230,9.5,9.0
9,Wadowice,679,9.0,9.1
10,Wadowice,1820,8.6,8.8
11,Wadowice,1400,8.6,9.8
12,Wadowice,2933,9.7,9.3
13,Wadowice,2793,9.1,9.0
14,Wadowice,2915,9.1,9.5
15,Wadowice,2551,9.3,9.6
16,Wadowice,1022,9.6,9.4
17,Wadowice,3950,9.3,8.9
18,Wadowice,3337,9.0,8.8
19,Wadowice,2199,8.8,10.0
20,Wadowice,2590,9.7,9.1
21,Wadowice,2793,9.3,10.0
22,Wadowice,2063,9.7,9.8
23,Wadowice,2940,9.7,8.0
24,Wadowice,1550,8.2,8.6
25,Wadowice,3188,8.2,9.2
26,Wadowice,3430,9.1,8.5
27,Wadowice,2730,8.4,9.8
28,Wadowice,2700,9.6,9.3
29,Wadowice,1303,9.2,8.3
30,Wadowice,2793,7.3,10.0
31,Wadowice,3800,9.0,9.5
32,Wadowice,4025,10.0,9.9
33,Wadowice,2793,9.2,9.5
34,Wadowice,3273,9.5,9.8
35,Wadowice,3850,9.6,9.7
36,Wadowice,3153,9.4,8.8
37,Wadowice,4425,9.5,8.9
38,Wadowice,2240,9.1,9.8
