,City,Cost,Rating,Comfort
0,"Śródmieście, Warszawa",2573,8.7,8.8
1,"Śródmieście, Warszawa",2596,8.7,8.8
2,"Śródmieście, Warszawa",2759,7.0,9.8
3,"Śródmieście, Warszawa",5544,9.8,8.6
4,"Śródmieście, Warszawa",3437,6.7,8.3
5,"Śródmieście, Warszawa",7447,8.8,9.5
6,"Śródmieście, Warszawa",3059,7.9,9.2
7,"Śródmieście, Warszawa",5428,8.2,8.1
8,"Śródmieście, Warszawa",3652,9.2,8.9
9,"Śródmieście, Warszawa",2601,7.4,8.5
10,"Śródmieście, Warszawa",1393,5.7,8.1
11,"Śródmieście, Warszawa",3111,6.5,9.0
12,"Śródmieście, Warszawa",3017,7.1,8.9
13,"Śródmieście, Warszawa",2765,9.1,9.5
14,"Śródmieście, Warszawa",1700,6.7,8.8
15,"Śródmieście, Warszawa",2330,7.8,8.8
16,"Śródmieście, Warszawa",5716,9.1,10.0
17,"Śródmieście, Warszawa",3390,7.6,8.3
18,"Śródmieście, Warszawa",3031,8.5,8.8
19,"Śródmieście, Warszawa",2988,8.0,8.1
20,"Śródmieście, Warszawa",1392,8.0,8.0
21,"Śródmieście, Warszawa",1392,7.6,8.4
22,"Śródmieście, Warszawa",2925,9.0,8.8
23,"Śródmieście, Warszawa",2863,8.9,9.6
24,"Śródmieście, Warszawa",7056,9.6,10.0
25,"Śródmieście, Warszawa",2583,8.7,8.2
26,"Śródmieście, Warszawa",2337,8.7,8.0
27,"Śródmieście, Warszawa",4095,6.8,9.2
28,"Śródmieście, Warszawa",3281,6.3,8.0
29,"Śródmieście, Warszawa",5151,5.5,8.1
30,"Śródmieście, Warszawa",2891,8.3,8.0
31,"Śródmieście, Warszawa",1351,6.0,10.0
32,"Śródmieście, Warszawa",3021,6.8,9.2
33,"Śródmieście, Warszawa",2827,5.5,8.0
34,"Śródmieście, Warszawa",2475,8.2,8.5
35,"Śródmieście, Warszawa",3639,8.6,8.3
36,"Śródmieście, Warszawa",2651,7.7,9.3
37,"Śródmieście, Warszawa",1829,6.5,9.3
38,"Śródmieście, Warszawa",2076,8.1,9.0
39,"Śródmieście, Warszawa",1765,8.5,8.9
40,"Śródmieście, Warszawa",1750,8.7,9.1
41,"Śródmieście, Warszawa",2066,9.3,9.2
42,"Śródmieście, Warszawa",3864,9.7,8.5
43,"Śródmieście, Warszawa",7056,8.2,8.2
44,"Śródmieście, Warszawa",1135,8.8,8.4
45,"Śródmieście, Warszawa",12544,8.3,8.1
46,"Śródmieście, Warszawa",3665,8.0,8.8
47,"Śródmieście, Warszawa",3542,7.7,8.3
48,"Śródmieście, Warszawa",2590,7.3,9.2
49,"Śródmieście, Warszawa",2846,9.0,10.0
50,"Śródmieście, Warszawa",3138,7.5,8.5
51,"Śródmieście, Warszawa",5559,8.1,10.0
52,"Śródmieście, Warszawa",3385,10.0,10.0
53,"Śródmieście, Warszawa",3180,3.7,8.8
54,"Śródmieście, Warszawa",6294,8.7,8.3
55,"Śródmieście, Warszawa",2754,7.8,10.0
56,"Śródmieście, Warszawa",3990,8.2,10.0
57,"Śródmieście, Warszawa",2205,8.0,10.0
58,"Śródmieście, Warszawa",3721,8.0,9.6
59,"Śródmieście, Warszawa",2806,9.2,8.8
60,"Śródmieście, Warszawa",3606,7.1,10.0
61,"Śródmieście, Warszawa",4863,7.7,9.4
62,"Śródmieście, Warszawa",2079,8.3,10.0
63,"Śródmieście, Warszawa",1918,8.2,8.8
64,"Śródmieście, Warszawa",2820,9.1,9.5
65,"Śródmieście, Warszawa",2749,7.9,9.1
66,"Śródmieście, Warszawa",3207,7.7,9.3
67,"Śródmieście, Warszawa",2655,9.1,10.0
68,"Śródmieście, Warszawa",2981,8.8,10.0
69,"Śródmieście, Warszawa",3570,9.2,8.8
70,"Śródmieście, Warszawa",4719,9.2,9.4
71,"Śródmieście, Warszawa",2579,8.6,10.0
72,"Śródmieście, Warszawa",2150,7.6,9.2
73,"Śródmieście, Warszawa",4200,9.0,8.9
74,"Śródmieście, Warszawa",3308,7.9,8.8
75,"Śródmieście, Warszawa",3273,7.8,8.8
76,"Śródmieście, Warszawa",2100,8.2,10.0
77,"Śródmieście, Warszawa",2764,9.5,8.3
78,"Śródmieście, Warszawa",1560,9.3,10.0
79,"Śródmieście, Warszawa",1560,8.5,8.5
80,"Śródmieście, Warszawa",2065,10.0,9.8
81,"Śródmieście, Warszawa",2310,10.0,8.8
82,"Śródmieście, Warszawa",2310,10.0,8.4
83,"Śródmieście, Warszawa",1560,7.5,8.8
84,"Śródmieście, Warszawa",1560,8.9,9.7
85,"Śródmieście, Warszawa",1540,10.0,9.0
86,"Śródmieście, Warszawa",1540,7.5,10.0
87,"Śródmieście, Warszawa",1560,7.0,10.0
88,"Śródmieście, Warszawa",2310,8.0,9.2
89,"Śródmieście, Warszawa",2310,7.8,9.2
90,"Śródmieście, Warszawa",1540,8.8,8.8
91,"Śródmieście, Warszawa",1560,7.7,9.1
92,"Śródmieście, Warszawa",1560,8.9,10.0
93,"Śródmieście, Warszawa",1560,5.0,8.0
94,"Śródmieście, Warszawa",1560,9.0,8.8
95,"Śródmieście, Warszawa",2310,10.0,8.0
96,"Śródmieście, Warszawa",1560,5.7,10.0
97,"Śródmieście, Warszawa",2310,6.0,8.0
98,"Śródmieście, Warszawa",1560,10.0,8.1
99,"Śródmieście, Warszawa",1560,9.0,8.0
100,"Śródmieście, Warszawa",2310,5.0,8.4
101,"Śródmieście, Warszawa",1560,5.3,8.8
102,"Śródmieście, Warszawa",1540,7.1,8.7
103,"Śródmieście, Warszawa",2310,10.0,9.1
104,"Śródmieście, Warszawa",1540,6.0,9.1
105,"Śródmieście, Warszawa",1560,9.2,8.0
106,"Śródmieście, Warszawa",1560,10.0,8.5
107,"Śródmieście, Warszawa",2310,8.5,8.7
