,City,Cost,Rating,Comfort
0,"Śródmieście, Wrocław",2069,8.4,8.5
1,"Śródmieście, Wrocław",1943,10.0,10.0
2,"Krzyki, Wrocław",1617,8.0,10.0
3,"Stare Miasto, Wrocław",3626,9.5,8.8
4,"Fabryczna, Wrocław",2061,7.4,8.3
5,"Stare Miasto, Wrocław",2047,8.2,10.0
6,"Stare Miasto, Wrocław",2291,10.0,9.2
7,"Krzyki, Wrocław",2321,9.3,9.0
8,"Krzyki, Wrocław",1380,7.0,10.0
9,"Śródmieście, Wrocław",1818,7.7,8.7
10,"Stare Miasto, Wrocław",2221,8.6,8.8
11,"Stare Miasto, Wrocław",2247,10.0,8.3
12,"Krzyki, Wrocław",1553,8.8,9.6
13,"Stare Miasto, Wrocław",2190,8.6,8.9
14,"Psie Pole, Wrocław",1889,8.0,8.2
15,"Śródmieście, Wrocław",1614,9.5,8.5
16,"Stare Miasto, Wrocław",2742,8.9,9.4
17,"Stare Miasto, Wrocław",2291,8.1,9.0
18,"Krzyki, Wrocław",1848,8.3,10.0
19,"Śródmieście, Wrocław",1843,8.3,8.8
20,"Stare Miasto, Wrocław",1900,9.0,10.0
21,Wrocław,1971,9.7,8.9
22,"Stare Miasto, Wrocław",3070,3.0,9.6
23,"Fabryczna, Wrocław",1852,8.8,10.0
24,"Stare Miasto, Wrocław",1968,10.0,8.6
25,"Krzyki, Wrocław",1649,8.8,8.1
26,"Psie Pole, Wrocław",2737,7.0,9.5
27,"Śródmieście, Wrocław",1821,9.4,8.6
28,"Psie Pole, Wrocław",1422,10.0,10.0
29,"Stare Miasto, Wrocław",3626,8.5,8.0
30,"Psie Pole, Wrocław",1768,7.8,9.1
31,"Fabryczna, Wrocław",1449,8.2,8.8
32,"Stare Miasto, Wrocław",2058,9.4,8.1
33,"Stare Miasto, Wrocław",3864,8.4,10.0
34,"Śródmieście, Wrocław",2019,8.0,8.3
35,"Fabryczna, Wrocław",2061,7.4,8.3
36,"Krzyki, Wrocław",1950,8.0,8.8
37,Wrocław,1481,7.6,8.8
38,"Fabryczna, Wrocław",2025,7.8,9.2
39,"Stare Miasto, Wrocław",3131,8.9,9.1
40,"Śródmieście, Wrocław",1774,9.5,9.1
41,"Stare Miasto, Wrocław",3083,7.9,9.5
42,"Fabryczna, Wrocław",1412,10.0,9.0
43,"Stare Miasto, Wrocław",2987,8.0,9.2
44,"Krzyki, Wrocław",1921,8.3,9.2
45,"Stare Miasto, Wrocław",2018,8.5,8.4
46,"Stare Miasto, Wrocław",2207,10.0,10.0
47,"Śródmieście, Wrocław",3920,9.3,8.4
48,"Stare Miasto, Wrocław",2671,9.1,8.8
49,"Krzyki, Wrocław",1545,9.0,10.0
50,"Krzyki, Wrocław",1978,9.2,8.8
51,"Krzyki, Wrocław",2412,9.0,9.4
52,"Stare Miasto, Wrocław",2138,8.9,8.8
53,"Fabryczna, Wrocław",2139,9.3,8.7
54,"Stare Miasto, Wrocław",2047,8.4,10.0
55,"Śródmieście, Wrocław",1527,10.0,9.3
56,"Psie Pole, Wrocław",1424,10.0,9.5
57,"Psie Pole, Wrocław",2140,8.7,10.0
58,"Stare Miasto, Wrocław",2599,9.5,10.0
59,"Śródmieście, Wrocław",1859,9.7,10.0
60,"Stare Miasto, Wrocław",2291,8.3,8.4
61,"Stare Miasto, Wrocław",2671,8.9,8.0
62,"Krzyki, Wrocław",2122,9.5,8.4
63,"Psie Pole, Wrocław",1517,7.5,9.4
64,"Psie Pole, Wrocław",1100,8.5,9.0
65,"Stare Miasto, Wrocław",3602,9.9,8.8
66,"Fabryczna, Wrocław",1043,7.5,9.8
67,"Śródmieście, Wrocław",2426,8.7,8.3
68,"Stare Miasto, Wrocław",3246,9.3,8.2
69,"Krzyki, Wrocław",2500,9.7,8.4
70,"Stare Miasto, Wrocław",2703,8.9,8.6
71,"Stare Miasto, Wrocław",2776,10.0,9.0
72,"Stare Miasto, Wrocław",1850,9.5,9.2
73,"Stare Miasto, Wrocław",2021,8.4,9.7
74,"Fabryczna, Wrocław",2051,6.5,9.0
75,"Śródmieście, Wrocław",2048,8.6,8.4
76,"Stare Miasto, Wrocław",2447,8.3,8.3
77,"Krzyki, Wrocław",2846,9.5,10.0
78,"Śródmieście, Wrocław",2724,9.0,9.1
79,"Stare Miasto, Wrocław",2291,8.6,9.9
80,"Śródmieście, Wrocław",3618,9.4,9.5
81,"Stare Miasto, Wrocław",3100,8.2,10.0
82,"Krzyki, Wrocław",1851,8.2,8.3
83,"Fabryczna, Wrocław",1965,8.6,8.6
84,"Śródmieście, Wrocław",1400,8.6,8.3
85,"Krzyki, Wrocław",2321,9.0,9.4
86,"Stare Miasto, Wrocław",2224,9.1,10.0
87,"Śródmieście, Wrocław",3653,9.8,9.4
88,"Krzyki, Wrocław",2352,8.8,9.9
89,"Stare Miasto, Wrocław",2504,8.3,9.8
90,"Stare Miasto, Wrocław",3077,8.7,9.6
91,"Śródmieście, Wrocław",2972,10.0,10.0
92,"Krzyki, Wrocław",2398,9.0,9.0
93,"Krzyki, Wrocław",1478,9.9,8.5
94,"Krzyki, Wrocław",3434,9.2,8.8
95,"Stare Miasto, Wrocław",2083,9.5,10.0
96,"Stare Miasto, Wrocław",1850,8.2,8.0
97,"Krzyki, Wrocław",2291,8.5,9.5
98,"Krzyki, Wrocław",2661,8.3,9.7
99,"Śródmieście, Wrocław",1586,7.3,9.4
100,"Stare Miasto, Wrocław",2881,6.4,8.2
101,"Psie Pole, Wrocław",1630,9.1,9.2
102,"Śródmieście, Wrocław",2792,10.0,8.1
103,"Psie Pole, Wrocław",1888,9.3,8.6
104,"Stare Miasto, Wrocław",2221,9.9,8.8
105,Wrocław,2003,9.8,9.2
106,"Śródmieście, Wrocław",2282,6.2,9.6
107,"Krzyki, Wrocław",1969,9.6,9.2
108,"Śródmieście, Wrocław",2919,9.0,9.1
109,Wrocław,1594,8.6,10.0
110,"Stare Miasto, Wrocław",2247,7.1,8.8
111,"Stare Miasto, Wrocław",1731,8.3,8.6
112,"Stare Miasto, Wrocław",2657,8.6,9.2
113,"Śródmieście, Wrocław",2156,10.0,8.0
114,"Stare Miasto, Wrocław",2518,7.9,10.0
115,"Stare Miasto, Wrocław",1242,9.4,9.2
116,"Śródmieście, Wrocław",1939,9.7,8.3
117,"Stare Miasto, Wrocław",2246,4.0,8.7
118,"Fabryczna, Wrocław",2250,9.3,9.2
119,"Śródmieście, Wrocław",2956,8.1,8.4
120,"Śródmieście, Wrocław",2422,9.3,8.5
121,Wrocław,1861,7.3,9.5
122,"Krzyki, Wrocław",1275,6.8,8.9
123,"Stare Miasto, Wrocław",1709,8.6,8.9
124,"Stare Miasto, Wrocław",1870,8.6,9.4
125,"Śródmieście, Wrocław",2930,10.0,8.8
