,City,Cost,Rating,Comfort
0,Zielona Góra,2023,9.3,9.2
1,Zielona Góra,723,1.5,8.1
2,"Centrum, Zielona Góra",1620,8.0,10.0
3,Zielona Góra,2163,9.0,9.1
4,"Centrum, Zielona Góra",1350,9.0,10.0
5,"Centrum, Zielona Góra",1673,9.0,10.0
6,Zielona Góra,2023,10.0,9.1
7,"Centrum, Zielona Góra",2012,9.0,10.0
8,Zielona Góra,2023,10.0,10.0
9,Zielona Góra,1743,9.0,9.9
10,Zielona Góra,1603,9.5,8.8
11,Zielona Góra,1713,9.8,10.0
12,Zielona Góra,1890,9.0,10.0
13,Zielona Góra,1750,10.0,9.3
14,Zielona Góra,1603,10.0,9.0
15,Zielona Góra,1743,8.0,9.7
16,"Centrum, Zielona Góra",1368,9.4,8.6
17,Zielona Góra,1422,8.8,9.3
18,Zielona Góra,1400,9.5,9.3
19,Zielona Góra,2110,7.8,8.6
20,"Centrum, Zielona Góra",1590,8.6,9.3
21,"Centrum, Zielona Góra",2591,9.2,9.5
22,"Centrum, Zielona Góra",1632,9.2,9.1
23,"Centrum, Zielona Góra",1680,8.7,8.1
24,"Centrum, Zielona Góra",1345,9.2,9.1
25,Zielona Góra,2303,9.4,8.7
26,"Centrum, Zielona Góra",1632,9.0,9.8
27,"Centrum, Zielona Góra",1482,8.0,9.4
28,"Centrum, Zielona Góra",2093,9.1,10.0
29,"Centrum, Zielona Góra",1620,8.7,9.7
30,"Centrum, Zielona Góra",1953,9.9,8.4
31,Zielona Góra,1393,9.3,8.7
32,"Centrum, Zielona Góra",1400,9.0,9.5
33,Zielona Góra,1691,8.1,9.5
34,"Centrum, Zielona Góra",1547,7.3,9.1
35,Zielona Góra,2163,9.4,8.7
36,Zielona Góra,1323,8.4,9.7
37,Zielona Góra,1325,8.5,9.3
38,Zielona Góra,2310,9.5,8.8
39,Zielona Góra,1400,9.6,9.2
40,Zielona Góra,2093,9.0,9.9
41,Zielona Góra,1363,7.5,9.7
42,Zielona Góra,1513,7.8,9.1
43,Zielona Góra,1862,8.8,9.2
44,"Centrum, Zielona Góra",1690,9.6,9.0
45,"Centrum, Zielona Góra",1345,7.7,9.2
46,Zielona Góra,2007,9.3,8.9
47,Zielona Góra,2577,9.0,10.0
48,"Centrum, Zielona Góra",1981,9.2,9.8
49,"Centrum, Zielona Góra",1757,9.7,9.9
50,Zielona Góra,1883,9.6,9.2
51,"Centrum, Zielona Góra",1638,9.0,9.6
52,Zielona Góra,2093,9.3,9.1
53,Zielona Góra,1520,9.1,9.2
54,"Centrum, Zielona Góra",1350,8.9,9.1
55,Zielona Góra,1701,6.3,9.0
56,Zielona Góra,1771,8.7,9.4
57,"Centrum, Zielona Góra",3626,9.0,9.7
58,Zielona Góra,1377,8.9,9.3
59,Zielona Góra,1796,9.9,9.1
60,"Centrum, Zielona Góra",1673,9.2,9.4
61,Zielona Góra,1910,9.7,10.0
62,"Centrum, Zielona Góra",4124,8.9,9.0
63,Zielona Góra,2576,9.2,9.7
64,Zielona Góra,2401,9.0,10.0
65,Zielona Góra,1740,8.9,8.9
66,Zielona Góra,1546,9.4,8.5
67,Zielona Góra,2538,9.6,8.2
68,Zielona Góra,3683,6.4,9.1
69,"Centrum, Zielona Góra",2520,8.8,8.1
70,Zielona Góra,1614,9.1,8.2
71,Zielona Góra,1310,9.4,9.4
72,Zielona Góra,1657,10.0,8.6
73,Zielona Góra,1798,8.3,8.0
74,Zielona Góra,2100,8.7,9.2
75,"Centrum, Zielona Góra",3434,9.5,9.8
76,Zielona Góra,1680,10.0,10.0
77,"Centrum, Zielona Góra",2300,8.7,9.8
78,"Centrum, Zielona Góra",1418,8.7,8.8
79,Zielona Góra,2023,8.0,9.8
80,Zielona Góra,1191,8.2,8.0
81,Zielona Góra,2093,7.6,8.0
82,Zielona Góra,1050,9.0,9.2
83,Zielona Góra,1496,8.0,9.5
84,"Centrum, Zielona Góra",1169,8.2,9.6
85,"Centrum, Zielona Góra",2012,9.3,9.4
86,Zielona Góra,2450,8.3,9.7
87,"Centrum, Zielona Góra",2091,8.1,8.9
88,Zielona Góra,1750,8.9,8.7
89,Zielona Góra,2373,9.8,8.3
90,"Centrum, Zielona Góra",2052,10.0,10.0
91,"Centrum, Zielona Góra",2093,9.6,9.2
92,"Centrum, Zielona Góra",1950,8.9,9.1
93,Zielona Góra,1695,9.5,9.7
94,Zielona Góra,11270,8.0,9.4
95,Zielona Góra,3022,7.8,9.7
96,Zielona Góra,1680,9.1,9.0
97,Zielona Góra,1512,8.9,9.4
98,"Centrum, Zielona Góra",1225,9.4,9.0
99,Zielona Góra,2603,9.4,9.4
100,"Centrum, Zielona Góra",2023,9.5,8.6
101,Zielona Góra,2240,8.8,9.3
102,"Centrum, Zielona Góra",1950,8.8,8.5
103,"Centrum, Zielona Góra",1438,8.5,8.9
104,Zielona Góra,2023,10.0,9.0
105,Zielona Góra,1553,9.3,9.1
106,"Centrum, Zielona Góra",1764,9.3,9.4
107,Zielona Góra,3430,5.1,9.8
108,"Centrum, Zielona Góra",1883,7.9,9.8
109,Zielona Góra,1820,9.6,10.0
110,Zielona Góra,1743,9.3,9.0
