,City,Cost,Rating,Comfort
0,Laliki,2590,8.0,8.8
1,Rajcza,2790,8.9,8.5
2,Lubliniec,2522,8.3,9.3
3,Istebna,12000,9.3,9.3
4,Węgierska Górka,1862,9.2,9.7
5,Szczyrk,7342,9.5,8.1
6,Rybnik,3165,8.0,9.6
7,Częstochowa,2660,9.5,9.9
8,Brenna,5771,9.9,9.2
9,Katowice,3235,9.0,8.6
10,Tarnowskie Góry,1940,8.4,9.3
11,Milówka,1680,9.3,9.8
12,Pszczyna,2730,9.7,8.8
13,Świętochłowice,2100,8.7,9.4
14,Tychy,1796,8.9,9.4
15,Tychy,2162,9.5,9.2
16,Żywiec,2520,9.2,8.5
17,Gliwice,2576,8.4,8.7
18,Racibórz,1400,8.6,9.3
19,Racibórz,1610,9.4,9.7
20,Międzybrodzie Bialskie,7206,9.0,9.7
21,Żabnica,4298,9.8,9.6
22,Toszek,2660,9.6,9.4
23,Międzybrodzie Bialskie,2366,9.5,9.7
24,Koszarawa,1785,9.4,8.3
25,Żywiec,2093,8.8,8.9
26,Wisła,1920,8.9,9.9
27,Kamesznica,8400,9.9,9.6
28,Tychy,2941,9.4,8.5
29,Dąbrowa Górnicza,2100,8.5,9.7
30,Porąbka,3591,9.6,9.2
31,Korbielów,5693,9.5,9.7
32,Sosnowiec,2975,9.6,9.1
33,Racibórz,1680,9.3,9.6
34,Jastrzębie Zdrój,3108,9.7,9.6
35,Bystra,2660,9.5,9.0
36,Korbielów,2561,9.3,9.1
37,Zabrze,2520,9.1,9.9
38,Częstochowa,1670,9.9,9.7
39,Szczyrk,7051,9.7,8.5
40,Siedlec,2100,9.1,8.7
41,Racibórz,2233,8.7,9.3
42,Katowice,2310,9.2,10.0
43,Pszczyna,2450,9.6,9.1
44,Racibórz,1547,9.4,8.4
45,Górki Wielkie,1823,8.5,9.5
46,Rybnik,2344,9.4,9.9
47,Wisła,3910,9.8,8.8
48,Szczyrk,4557,8.8,8.4
49,Bytom,4340,8.5,9.5
50,Rybnik,2344,9.4,8.8
51,Wisła,3910,8.5,9.9
52,Bielsko-Biała,2759,9.8,8.8
53,Szczyrk,4557,8.8,9.0
54,Bytom,4340,9.3,10.0
55,Tarnowskie Góry,1715,9.9,9.1
56,Zabrze,1819,9.0,9.7
57,Gliwice,2100,9.7,9.8
58,Brenna,5600,9.8,10.0
59,Przyborów,3150,10.0,9.4
60,Zabrze,2023,9.4,9.7
61,Jaworzno,1831,9.7,8.6
62,Tarnowskie Góry,2355,8.5,9.6
63,Cieszyn,2650,9.8,9.2
64,Katowice,2721,9.3,9.2
65,Zdów,3332,9.3,9.4
66,Wisła,2296,9.3,9.4
67,Tarnowskie Góry,2363,9.5,9.3
68,Zawiercie,1827,9.2,9.2
69,Szczyrk,2953,9.2,9.4
70,Wisła,2730,9.6,8.8
71,Szczyrk,2449,9.2,9.4
72,Korbielów,2380,9.3,9.4
73,Brenna,3178,9.5,9.2
74,Świętoszówka,2835,9.1,9.3
75,Szczyrk,2877,9.2,9.2
76,Wisła,2730,9.2,9.4
77,Chorzów,2243,9.6,8.8
78,Szczyrk,2269,9.2,8.5
79,Korbielów,2380,8.6,9.2
80,Brenna,3178,9.1,9.7
81,Świętoszówka,2835,9.7,9.1
82,Ustroń,2288,9.1,8.8
83,Szczyrk,2240,8.6,9.8
84,Brenna,4098,9.8,9.7
85,Gliwice,2660,10.0,9.6
86,Szonowice,2037,9.5,9.7
87,Bielsko-Biała,2142,9.7,9.1
88,Bielsko-Biała,1699,9.1,8.9
89,Czaniec,2470,9.1,9.3
90,Brenna,5750,9.3,10.0
91,Rajcza,2240,9.8,9.4
92,Bytom,1077,9.4,9.6
93,Zarzecze,3843,9.5,9.4
94,Rajcza,1960,9.3,8.8
95,Żywiec,2584,8.8,9.6
96,Chorzów,2330,10.0,9.7
97,Lgota Murowana,4977,9.6,9.0
98,Cieszyn,3500,9.1,9.2
99,Zarzecze,3717,8.9,10.0
100,Biskupice,3119,9.2,9.2
101,Bielsko-Biała,1518,10.0,8.5
102,Jastrzębie Zdrój,2975,9.0,9.2
103,Tychy,2153,9.2,9.6
104,Wisła,2000,8.6,9.6
105,Czeladź,1540,8.9,9.3
106,Bielsko-Biała,2410,9.6,9.2
107,Szczyrk,2316,9.7,9.2
108,Racibórz,2973,9.2,9.3
109,Brenna,2903,9.4,9.5
110,Częstochowa,2800,9.2,9.9
111,Cieszyn,3505,9.3,9.9
112,Wisła,2534,9.3,9.9
113,Istebna,5800,9.9,9.7
114,Katowice,2980,9.8,8.4
115,Zabrze,2088,9.7,9.7
116,Ruda Śląska,6780,9.8,9.8
117,Katowice,7224,8.8,9.2
118,Szczyrk,3742,9.9,9.0
