,City,Cost,Rating,Comfort
0,Sandomierz,5430,9.5,9.6
1,Wojtyniów,3850,10.0,10.0
2,Krajno-Zagórze,2380,9.8,9.9
3,Sandomierz,5100,9.4,9.5
4,Busko-Zdrój,3570,9.9,10.0
5,Dwikozy,1470,9.4,9.3
6,Starachowice,2303,9.0,9.3
7,Łagów,2856,9.5,9.5
8,Suchedniów,2450,9.4,9.2
9,Bodzentyn,4095,9.9,9.9
10,Krajno-Zagórze,2660,9.8,9.5
11,Dwikozy,2968,9.3,9.6
12,Chańcza,6009,9.2,9.4
13,Jędrzejów,2646,9.7,9.9
14,Zagnańsk,2083,9.7,10.0
15,Nowa Huta,4393,9.8,9.8
16,Sandomierz,1953,9.4,9.4
17,Włoszczowa,2524,9.4,9.5
18,Kielce,2893,9.3,9.3
19,Bałtów,7700,9.7,9.6
20,Ujny,2522,9.0,8.9
21,Jeziorko,2600,9.2,9.2
22,Solec-Zdrój,2560,9.6,9.4
23,Rembów,3920,9.3,9.2
24,Nowa Słupia,2800,9.5,9.1
25,Sandomierz,1827,9.5,9.5
26,Busko-Zdrój,3350,8.7,8.8
27,Kielce,2432,10.0,10.0
28,Sandomierz,2691,9.7,9.8
29,Kielce,2678,9.4,9.5
30,Tokarnia,2992,9.9,10.0
31,Rytwiany,2940,9.6,9.9
32,Sandomierz,2940,9.7,9.8
33,Kielce,1960,9.2,9.2
34,Sandomierz,2106,8.0,9.2
35,Kielce,2380,9.2,8.7
36,Kielce,1510,8.8,9.0
37,Kielce,1862,8.9,9.6
38,Sandomierz,2793,9.6,9.3
39,Sandomierz,3010,9.3,10.0
40,Sandomierz,4233,10.0,8.6
41,Promnik,2906,8.5,9.4
42,Kielce,2163,9.4,8.9
43,Wola,3050,9.2,9.7
44,Sandomierz,2800,9.6,8.7
45,Bodzentyn,2800,9.3,9.7
46,Kielce,2266,9.6,9.8
47,Kielce,2410,9.7,8.8
48,Chęciny,2450,9.0,9.1
49,Sandomierz,2440,9.2,9.5
50,Kielce,2693,9.4,9.0
51,Kielce,2413,9.1,9.9
52,Kielce,2835,9.9,9.0
53,Kielce,2100,9.1,9.5
54,Kielce,1940,9.5,9.7
55,Sandomierz,2363,9.6,9.6
56,Kielce,2100,9.5,10.0
57,Kielce,3978,10.0,8.9
58,Kielce,2373,8.9,8.5
59,Kielce,3332,8.2,9.1
60,Krajno Pierwsze,1574,9.2,9.9
61,Kielce,2168,9.9,9.5
62,Kielce,1478,8.2,9.9
63,Kielce,1888,9.8,9.5
64,Kielce,4632,9.9,9.8
65,Kielce,2100,9.4,9.5
66,Chęciny,3150,9.9,9.8
67,Busko-Zdrój,3780,9.4,9.4
68,Kolonia Pętkowice,4420,9.7,9.5
69,Kielce,3995,9.3,8.3
70,Kielce,3738,9.5,9.6
71,Bodzentyn,2520,8.2,9.7
72,Sandomierz,2450,9.5,9.7
73,Sandomierz,3015,9.8,9.7
74,Sandomierz,3044,9.6,8.9
75,Bodzentyn,3010,9.5,9.5
76,Sandomierz,3010,8.8,9.2
77,Kielce,1547,9.5,9.8
78,Sandomierz,2800,9.6,9.5
79,Krajno Pierwsze,2484,9.7,8.1
80,Kielce,5893,9.9,9.2
81,Wiśniowa,7700,8.0,9.2
82,Kielce,1750,9.1,9.8
83,Sandomierz,3050,9.4,10.0
84,Kielce,3780,9.8,9.0
85,Kielce,2008,10.0,9.6
86,Sobków,1991,9.1,8.2
87,Ćmielów,3442,9.2,9.3
88,Bodzentyn,2170,7.7,8.9
89,Kielce,1995,8.6,9.9
90,Święta Katarzyna,2450,9.2,10.0
91,Kielce,2678,8.9,10.0
92,Kielce,5199,9.7,10.0
93,Kielce,2100,9.9,9.4
94,Kielce,2430,10.0,10.0
95,Krajno-Zagórze,2450,9.5,10.0
96,Kielce,1607,9.4,9.3
97,Sandomierz,2450,10.0,9.3
98,Sandomierz,3109,9.7,8.2
99,Kielce,3274,9.2,9.5
100,Sandomierz,2100,8.8,9.2
101,Suchowola,2600,8.0,9.2
102,Ostrowiec Świętokrzyski,2800,9.6,10.0
103,Krajno Zagórze Drugie,3500,9.3,9.3
104,Kielce,2590,8.9,9.1
105,Sandomierz,4100,9.7,10.0
106,Kielce,1701,9.4,9.3
107,Kielce,2678,9.4,9.7
108,Suchedniów,2396,9.3,9.6
109,Sandomierz,2450,9.2,9.3
110,Sandomierz,3369,9.7,10.0
111,Kielce,2310,9.6,9.3
112,Kielce,2083,9.3,9.6
113,Kielce,1893,10.0,9.2
114,Busko-Zdrój,2261,9.7,9.0
115,Kielce,2560,9.6,9.3
116,Sandomierz,2934,9.1,9.8
117,Kielce,2833,8.8,9.8
118,Sandomierz,2945,9.2,10.0
119,Kielce,2940,9.9,9.5
120,Sandomierz,3500,9.7,9.4
121,Sandomierz,3570,10.0,10.0
122,Ożarów,3558,9.6,9.0
123,Pińczów,2261,9.0,9.2
124,Kielce,2513,10.0,9.7
125,Kielce,2079,9.3,9.8
126,Kielce,2746,9.3,9.8
127,Sandomierz,3867,9.3,9.7
128,Sandomierz,2093,9.8,9.5
129,Kielce,2402,9.7,9.4
130,Kielce,3030,9.7,9.6
131,Kielce,3150,9.4,9.8
132,Kielce,3863,9.5,9.5
133,Kielce,2716,9.4,9.3
134,Kielce,3500,9.7,9.2
135,Kielce,3564,9.4,9.4
136,Kielce,2202,9.3,9.5
137,Kielce,4483,9.3,8.0
138,Chęciny,3150,9.1,9.3
139,Kielce,4023,9.4,10.0
140,Kielce,2093,7.7,9.4
141,Sandomierz,2030,9.4,9.5
142,Chęciny,2142,9.5,9.9
143,Kielce,3913,9.7,9.5
144,Kielce,2170,9.5,9.8
145,Sandomierz,2450,9.8,9.3
146,Kielce,2093,9.6,10.0
147,Kielce,4900,9.7,9.4
148,Kielce,3483,9.4,10.0
149,Kielce,3950,9.5,9.5
150,Kielce,3913,9.7,9.9
151,Kielce,2170,9.9,9.5
152,Sandomierz,2450,9.5,9.8
153,Sandomierz,2765,9.8,9.2
154,Kielce,2093,9.6,9.8
155,Kielce,4900,9.7,9.4
156,Kielce,3483,9.0,9.8
157,Kielce,3950,9.9,8.5
158,Kielce,2820,9.1,9.3
159,Kielce,7593,9.9,9.5
160,Kielce,2520,8.5,10.0
161,Kielce,5893,9.2,9.6
162,Sandomierz,2463,9.2,9.9
163,Sandomierz,3000,10.0,9.1
164,Kielce,2926,9.6,10.0
165,Masłów,4589,9.8,9.6
166,Kielce,2520,9.4,9.1
167,Kielce,3980,9.9,9.4
168,Bieliny,3850,9.4,9.7
169,Raków,4137,8.8,10.0
170,Kielce,3760,9.4,9.4
171,Kielce,2520,9.6,9.6
172,Kielce,3723,9.8,9.5
173,Daleszyce,3808,9.5,9.9
174,Kielce,5603,9.4,10.0
175,Kielce,3636,9.3,9.5
176,Kielce,3863,9.8,9.8
177,Kielce,5383,9.8,9.8
178,Kielce,4463,9.4,9.3
179,Kielce,2557,9.8,9.5
180,Kielce,3896,9.8,9.7
181,Kielce,4043,8.9,8.7
182,Kielce,2416,9.3,9.4
183,Wilków,4200,9.6,9.3
184,Sandomierz,3594,8.9,9.7
185,Kielce,2779,9.3,10.0
186,Kielce,3913,9.5,9.6
187,Lechów,6790,9.8,9.6
188,Kielce,4893,9.8,10.0
189,Kielce,5013,9.4,9.7
190,Kielce,5013,9.4,9.5
191,Cedzyna,2499,10.0,9.2
192,Kielce,3522,9.7,10.0
193,Kielce,5013,9.3,9.7
194,Julianów,4698,9.1,10.0
195,Sandomierz,3143,9.9,9.6
196,Kielce,5093,9.6,9.6
197,Kielce,2958,9.8,10.0
198,Kielce,2826,9.4,9.7
199,Kielce,3640,9.4,9.5
