,City,Cost,Rating,Comfort
0,Ostróda,9642,8.3,9.2
1,Biała Olecka,3780,9.6,9.7
2,Elbląg,6260,8.9,9.1
3,Olsztyn,4531,8.5,8.6
4,Frombork,5452,9.3,9.6
5,Olsztyn,10186,9.2,9.4
6,Olsztyn,3325,8.9,9.2
7,Stare Jabłonki,9565,8.6,8.8
8,Bartoszyce,2730,8.4,8.3
9,Kiemiany,8678,9.3,9.3
10,Olsztyn,19104,9.2,9.4
11,Mikołajki,16790,9.2,9.5
12,Ostróda,7000,9.0,9.1
13,Olsztyn,5486,8.5,8.7
14,Spychowo,3640,9.2,8.1
15,Mrągowo,5656,9.6,9.7
16,Olsztyn,5859,9.3,9.5
17,Rydzewo,5152,8.7,8.7
18,Makosieje,6034,9.3,9.4
19,Ruciane-Nida,13017,8.0,8.2
20,Bartoszyce,2940,9.8,9.8
21,Olsztyn,3325,8.9,9.0
22,Ostróda,5556,8.4,8.5
23,Kromerowo,8770,8.7,8.6
24,Olsztyn,6546,8.3,8.4
25,Mikołajki,6364,8.7,8.8
26,Bartoszyce- Galiny,8504,9.3,9.1
27,Klekotki,6625,8.5,8.6
28,Mikołajki,8968,8.9,9.0
29,Ostróda,5445,9.0,9.1
30,Giżycko,10998,9.2,9.5
31,Święta Lipka,1960,8.9,8.1
32,Kadyny,7117,8.2,8.2
33,Giżycko,9650,8.9,9.1
34,Olsztyn,3322,9.1,9.3
35,Mrągowo,5656,9.6,9.7
36,Elbląg,3838,7.9,8.1
37,Nowe Guty,4956,8.2,8.0
38,Tumiany,5040,8.4,8.5
39,Elbląg,6139,8.6,9.4
40,Stacze,5729,9.0,9.6
41,Woryty,12174,9.6,9.2
42,Ruś,4000,9.1,9.1
43,Mikołajki,16441,8.8,9.4
44,Mrągowo,4438,9.4,8.9
45,Wiartel,11109,8.6,8.7
46,Węgorzewo,2800,8.9,9.7
47,Mikołajki,6728,9.8,8.0
48,Majdy,4372,8.1,9.4
49,Giżycko,4206,9.3,9.0
50,Mikołajki,12528,9.0,8.3
51,Sztynort,4620,8.5,8.4
52,Ryn,8300,8.3,9.7
53,Woryty,6969,9.4,8.7
54,Rydzewo,5152,8.7,8.6
55,Miłakowo,4200,8.5,8.6
56,Frombork,3080,8.5,9.6
57,Biskupiec,2061,9.6,8.5
58,Bartoszyce,2660,8.7,8.9
59,Dąbrówno,5984,8.9,9.8
60,Bartoszyce,2940,9.8,9.0
61,Braniewo,2499,9.3,8.4
62,Szczytno,3542,8.7,9.6
63,Lidzbark Warmiński,5320,9.8,8.6
64,Mikołajki,8464,8.6,8.6
65,Nowe Guty,6294,8.6,9.0
66,Pasłęk,4200,8.6,9.0
67,Butryny,2716,9.0,8.7
68,Elbląg,3185,9.0,8.7
69,Tolkmicko,2580,8.7,9.2
70,Biskupiec,3220,9.3,9.8
71,Sniadowo,8902,9.9,9.0
72,Ełk,2384,7.7,9.0
73,Elbląg,3080,7.3,8.4
74,Orneta,2800,8.8,9.2
75,Czarnówka,6883,9.0,9.4
76,Zalewo,2079,8.3,8.5
77,Lubawa,11491,9.0,9.5
78,Olsztyn,6565,9.3,8.4
79,Ostróda,5556,8.4,8.1
80,Iława,3150,9.6,8.7
81,Iława,4333,8.3,8.8
82,Lidzbark Warmiński,2049,8.4,8.8
83,Nidzica,4060,8.7,9.7
84,Lidzbark Warmiński,2716,9.0,8.4
85,Mikołajki,6364,8.7,8.4
86,Żywki,11665,9.8,9.0
87,Gołdap,2780,8.4,8.5
88,Olsztyn,4044,8.6,9.6
89,Prażmowo,4060,9.3,8.6
90,Szczytno,3430,8.6,9.3
91,Kadyny,4186,9.4,9.2
92,Pasym,10580,8.5,9.7
93,Skolity,3570,9.6,8.5
94,Zalec,4270,9.3,8.6
95,Olsztyn,2681,9.7,9.8
96,Trzcin,3808,9.0,9.5
97,Ruciane-Nida,5670,8.9,9.0
98,Gietrzwałd,3574,9.7,9.9
99,Harsz,2716,9.1,9.1
100,Rasząg,4115,9.2,8.9
101,Iława,4350,9.8,8.1
102,Iława,3080,9.1,8.1
103,Ryn,5635,8.5,8.5
104,Nowe Guty,4956,8.2,9.1
105,Pieniężno,1540,8.0,9.8
106,Elbląg,5250,8.4,9.4
107,Mikołajki,8162,9.1,8.8
108,Sorkwity,2334,7.3,9.9
109,Warpuny,3912,9.7,8.7
110,Stacze,5729,9.0,9.8
111,Elbląg,2646,7.3,8.1
112,Mrągowo,6470,8.7,10.0
113,Krzyże,7000,9.7,9.4
114,Mikołajki,4831,8.9,8.7
115,Iława,7380,9.6,8.6
116,Kętrzyn,3150,8.2,8.8
117,Kuligi,10178,9.3,9.5
118,Dąbrówno,3361,9.4,9.6
119,Olsztyn,6146,8.7,8.5
120,Ełk,3990,8.3,9.5
121,Wilkasy,3548,8.9,9.6
122,Mielno,9200,9.8,8.9
123,Iława,3640,9.4,8.5
124,Biskupiec,3259,8.7,8.1
125,Mielno,9200,9.8,8.7
126,Iława,3531,9.4,8.8
127,Małkinie,3315,9.1,9.2
128,Biskupiec,3259,8.7,9.7
129,Nowe Guty,4956,8.2,8.0
130,Dywity,4200,8.6,9.4
131,Niedźwiedzi Róg,3696,8.5,9.5
132,Żywki,3465,8.8,8.4
133,Giżycko,4470,9.7,9.0
134,Mrągowo,11971,7.9,9.8
135,Stacze,5729,9.0,9.3
136,Mycyny,3346,9.5,9.6
137,Olsztyn,2038,8.6,8.5
138,Kętrzyn,5600,8.6,8.9
139,Giżycko,4816,9.8,9.8
140,Mrągowo,9302,9.4,8.3
141,Olsztyn,2716,9.6,9.1
142,Babięta,2981,9.2,9.5
143,Wilkasy,4753,8.1,8.9
144,Węgorzewo,5320,9.0,9.5
145,Januszkowo,10750,9.8,10.0
146,Mielno,4140,8.2,9.6
147,Stręgielek,1589,8.6,9.4
148,Lidzbark Warmiński,7373,9.0,9.6
149,Iława,2870,9.4,9.5
150,Olecko,3080,8.7,9.6
151,Węgorzewo,3707,9.9,10.0
152,Dorotowo,3486,7.8,9.1
153,Gołdap,2491,10.0,8.1
154,Woryty,12174,9.6,9.4
155,Ryn,6232,9.5,8.0
156,Mikołajki,5145,9.3,9.8
157,Wieprz,3850,9.8,9.5
158,Skorupki,4905,9.3,9.0
159,Olsztynek,4020,10.0,9.0
160,Mikołajki,16441,8.8,9.1
161,Ełk,7140,8.1,8.5
162,Lidzbark,3395,9.3,8.6
163,Ruciane-Nida,6510,8.4,9.1
164,Ruciane-Nida,2772,9.7,9.6
165,Kłębowo,2433,9.6,8.6
166,Jazowa,2560,9.1,9.5
167,Gołdap,3200,8.9,9.0
168,Swaderki,3003,9.3,9.4
169,Stare Jabłonki,12025,8.6,9.7
170,Bądki,2698,8.7,9.2
171,Iława,11186,8.7,8.7
172,Świętajno,2258,9.8,9.4
173,Rydzewo,1901,7.9,9.5
174,Naterki,5658,8.4,8.8
175,Wysoka Wieś,16550,9.2,9.4
176,Nidzica,1750,8.2,9.9
177,Inulec,1971,9.5,8.8
178,Iława,4366,9.5,9.7
179,Mikołajki,6728,9.8,9.1
180,Wilnowo,11588,8.8,8.4
181,Mikołajki,5461,8.6,9.6
182,Olsztyn,2635,9.4,9.2
183,Warchały,15478,9.2,9.0
184,Nowe Guty,3500,8.9,9.8
185,Giżycko,5440,9.3,9.9
186,Iława,7469,9.9,8.2
187,Rydzewo,3346,9.0,9.4
188,Butryny,3858,8.5,9.3
189,Ełk,9484,9.8,10.0
190,Łękuk Mały,5764,9.0,9.6
191,Szczytno,2100,8.5,9.0
192,Olsztyn,2737,9.6,8.3
193,Iława,5418,9.3,9.4
194,Biskupiec,2447,9.0,9.5
195,Węgorzewo,2322,9.1,9.2
196,Rydzewo,3766,9.6,9.5
197,Olecko,2872,9.8,9.1
198,Giżycko,5188,7.8,8.4
199,Giżycko,4288,8.0,9.2
200,Ełk,5740,9.5,8.6
201,Gołdap,2460,8.1,8.5
202,Elbląg,5166,9.1,9.7
203,Piecki,3242,10.0,9.6
204,Biskupiec,2240,9.6,9.8
205,Olsztyn,2100,8.8,9.6
206,Sterławki Wielkie,3108,8.5,9.2
207,Wikno,6960,9.4,8.4
208,Olsztyn,3732,9.1,8.7
209,Olsztyn,2226,7.6,9.8
210,Biskupiec,4900,9.3,8.4
211,Pisz,2450,9.3,8.8
212,Kurzętnik,2444,9.3,9.9
213,Mikołajki,14148,8.3,9.7
214,Giżycko,3456,7.5,9.1
215,Morąg,4564,9.4,9.7
216,Szczechy Wielkie,2093,8.8,9.0
217,Olsztyn,5458,8.4,9.6
218,Rybno,5432,9.6,9.5
219,Olsztyn,3867,9.6,9.4
220,Mrągowo,6300,9.8,8.8
221,Ostróda,3780,9.4,9.3
222,Ogonki,2716,9.3,10.0
223,Iława,2520,8.3,10.0
224,Reszel,7814,9.0,9.0
225,Narty,6433,9.8,8.3
226,Iława,1894,8.6,9.4
227,Olsztyn,2989,8.9,9.5
228,Węgorzewo,2835,9.7,8.8
229,Woryty,6969,9.4,8.5
230,Elbląg,2800,7.5,8.9
231,Rydzewo,2638,9.0,8.6
232,Ryn,4682,9.7,8.8
233,Wierzba,4141,8.4,9.0
234,Gant,2410,9.0,9.3
235,Biskupiec,2061,9.6,9.4
236,Frombork,2835,9.8,9.3
237,Spychowo,1680,7.6,9.5
238,Ełk,5740,9.5,8.4
239,Gołdap,2531,8.1,9.7
240,Biskupiec,3619,9.2,9.6
241,Elbląg,5166,9.1,9.6
242,Piecki,3321,10.0,8.8
243,Biskupiec,5506,9.7,8.9
244,Olsztyn,2100,8.8,8.6
245,Sterławki Wielkie,2870,8.5,8.3
246,Wikno,6960,9.4,8.8
247,Olsztynek,4685,9.1,9.5
248,Olsztyn,4809,7.7,8.0
249,Dadaj,2660,9.0,9.1
250,Biskupiec,2240,8.5,9.1
251,Miłki,4346,8.8,9.1
252,Elbląg,5460,8.0,9.1
253,Olsztyn,3125,8.5,8.8
254,Pasym,10580,9.1,8.2
255,Kruklanki,2376,8.9,9.3
256,Jabłonka,4971,9.1,8.5
257,Iława,3320,9.4,9.7
258,Olsztyn,11180,9.6,10.0
259,Węgorzewo,7364,9.5,8.1
260,Skolity,3570,8.4,8.8
261,Pasłęk,3080,9.7,9.3
262,Olsztyn,2160,9.8,9.2
263,Srokowo,4374,9.5,8.8
264,Rydzewo,2331,8.8,10.0
265,Mikołajki,7008,9.1,8.8
266,Bartoszyce,2800,9.0,9.7
267,Jonkowo,3808,9.0,9.1
268,Giżycko,2297,8.9,8.6
269,Marksoby,2899,9.5,9.9
270,Mrągowo,6300,8.4,8.1
271,Mikołajki,6938,9.5,8.8
272,Giżycko,2450,9.3,9.3
273,Szwalk,3938,9.5,8.7
274,Olsztyn,3308,9.3,9.2
275,Szwalk,3938,8.8,9.7
276,Olsztyn,3308,8.4,8.8
277,Olsztyn,2318,9.6,10.0
278,Dąbrówno,3232,6.8,9.8
279,Skolity,3570,8.0,9.1
280,Ruciane-Nida,3360,8.0,9.0
281,Morąg,2520,8.6,9.7
282,Węgorzewo,3360,10.0,9.1
283,Tylkowo,3080,9.7,8.6
284,Jabłonka,2269,10.0,9.9
285,Olsztyn,2681,8.3,9.9
286,Pisz,8120,8.2,9.8
287,Rydzewo,3150,9.0,9.7
288,Pisz,5236,9.6,8.9
289,Olsztyn,2871,8.9,9.1
290,Giże,1969,9.3,9.1
291,Olsztyn,3804,9.8,8.3
292,Gizewo,2828,8.0,8.6
293,Kętrzyn,2520,9.0,9.1
294,Ostróda,3640,9.7,8.8
295,Pozezdrze,3658,8.9,9.4
296,Ełk,2750,8.8,8.9
297,Sniadowo,6772,9.8,8.7
298,Rydzewo,5600,8.3,9.9
299,Ełk,3259,8.2,8.7
300,Rydzewo,3150,9.0,8.8
301,Pisz,3416,9.6,8.2
302,Olsztyn,2958,8.9,9.3
303,Giże,3544,8.9,8.0
304,Giżycko,4006,9.8,8.1
305,Olsztyn,4129,9.3,8.3
306,Makosieje,6253,10.0,9.5
307,Gizewo,2828,8.0,9.7
308,Łukta,4193,9.7,9.7
309,Ostróda,3640,9.3,8.8
310,Pisz,6930,9.4,8.8
311,Iława,2173,9.7,9.4
312,Giżycko,3044,8.9,9.5
313,Ełk,2750,8.8,8.9
314,Sniadowo,6772,9.8,8.0
315,Rydzewo,5600,9.7,8.5
316,Ełk,3360,9.5,9.6
317,Reszel,2512,9.8,9.6
318,Wilkasy,5648,8.8,9.4
319,Narty,3191,7.4,9.3
320,Ełk,3850,9.7,8.1
321,Giżycko,4866,9.1,10.0
322,Radzieje,3290,8.8,9.3
323,Banie Mazurskie,4741,8.7,9.1
324,Ryn,3150,9.4,9.7
325,Giżycko,2996,9.0,10.0
326,Ukta,3556,9.3,9.1
327,Stare Jabłonki,3850,8.8,8.6
328,Szarejki,3188,7.7,8.2
329,Iława,3575,8.9,9.1
330,Nowy Most,2480,9.6,9.2
331,Gietrzwałd,2025,8.7,9.5
332,Pasłęk,2240,9.3,8.6
333,Górowo Iławeckie,2310,8.3,8.3
334,Ryn,3504,9.5,9.8
335,Mikołajki,4481,8.1,9.5
336,Giżycko,3556,8.2,8.9
337,Kruklanki,2037,8.2,9.5
338,Olsztyn,1898,9.5,8.0
339,Ostróda,4620,9.7,9.6
340,Mrągowo,3556,9.8,9.5
341,Kolonia Rybacka,5331,8.8,8.2
342,Stare Monasterzysko,3191,8.6,9.6
343,Nowe Guty,2653,9.6,9.8
344,Ełk,4340,9.4,9.7
345,Olsztyn,1750,7.4,10.0
346,Iława,3325,8.6,9.0
347,Dąbrówno,6160,7.9,9.9
348,Olsztyn,2359,8.8,9.0
349,Ryn,3990,9.6,8.8
350,Wielbark,3360,9.6,8.3
351,Lipowo,7189,9.4,10.0
352,Szymonowo,3633,9.6,9.4
353,Giżycko,3346,8.2,10.0
354,Skolity,3570,9.8,9.5
355,Iznota,6181,8.6,9.6
356,Małdyty,2450,7.6,8.1
357,Warchały,5320,9.0,8.7
358,Mikołajki,6358,9.7,9.6
359,Giżycko,6167,10.0,8.9
360,Olsztyn,2622,7.5,9.0
361,Regiel,5740,9.1,9.5
362,Elbląg,1765,8.5,8.2
363,Mikołajki,2100,8.4,9.6
364,Szczytno,5180,9.5,9.7
365,Kretowiny,3640,7.5,9.0
366,Suryty,2512,8.8,9.7
367,Gołdap,3259,6.9,9.0
368,Giżycko,11256,9.5,8.8
369,Olsztyn,5239,8.9,8.3
370,Miłki,4033,8.3,9.8
371,Biskupiec,2835,7.2,10.0
372,Faryny,3717,9.7,9.4
373,Olsztyn,3539,9.4,10.0
374,Lidzbark Warmiński,11618,7.4,9.6
375,Orzysz,2240,8.6,9.6
376,Iława,3325,9.6,9.5
377,Dąbrówno,6160,7.9,10.0
378,Olsztyn,2359,9.8,10.0
379,Giżycko,8448,9.4,9.5
380,Ryn,3870,8.5,9.1
381,Giżycko,2862,9.5,9.8
382,Olsztyn,3195,9.7,10.0
383,Orneta,1960,9.9,9.9
384,Mikołajki,3710,9.9,9.8
385,Warpuny,3912,9.0,8.5
386,Nidzica,2992,9.8,9.2
387,Miłomłyn,2651,9.4,9.6
388,Kleszczewo,4816,7.5,9.7
389,Olsztyn,2516,9.2,9.8
390,Rydzewo,4760,8.7,8.0
391,Dorotowo,1820,10.0,9.7
392,Rydzewo,5296,9.4,9.5
393,Antonowo,3024,9.6,10.0
394,Dąbrówno,3405,9.4,9.1
395,Biskupiec,7028,9.6,9.9
396,Olsztyn,5528,8.5,9.7
397,Ostróda,2450,9.2,9.4
398,Olsztyn,1820,9.8,9.7
399,Nowa Kaletka,2625,8.9,9.5
400,Kruklanki,2037,9.2,8.4
401,Makosieje,3528,9.4,8.3
402,Giżycko,2862,8.5,9.8
403,Orneta,1750,9.5,9.7
404,Rasząg,4115,9.9,8.1
405,Olsztyn,3195,9.0,9.8
406,Orneta,1901,9.7,9.0
407,Mikołajki,3710,9.4,10.0
408,Nidzica,2992,7.5,9.7
409,Kleszczewo,4816,9.2,8.3
410,Biskupiec,2407,8.7,9.6
411,Rydzewo,4760,9.6,9.3
412,Dorotowo,1820,8.3,8.9
413,Rydzewo,5460,10.0,9.5
414,Antonowo,3024,9.4,9.1
415,Giżycko,4809,9.6,9.8
416,Mikołajki,3500,9.6,10.0
417,Dąbrówno,3405,9.6,9.8
418,Biskupiec,7028,9.7,8.5
419,Olsztyn,6003,9.8,9.2
420,Olsztyn,3639,10.0,9.6
421,Olsztyn,1820,9.4,9.7
422,Olsztyn,6484,9.2,8.0
423,Biskupiec,2360,9.6,8.9
424,Orzyny,2817,10.0,10.0
425,Olsztyn,1600,9.7,9.6
426,Nidzica,5335,9.7,9.4
427,Giżycko,8641,8.9,9.9
428,Pasłęk,2924,9.4,9.8
429,Krzyże,7000,9.6,9.7
430,Ełk,2340,9.8,9.0
431,Miłomłyn,3253,9.6,8.6
432,Piecki,3562,8.0,9.1
433,Olsztyn,1880,9.2,9.8
434,Sołtmany,4214,9.2,9.9
435,Iława,7380,8.6,8.1
436,Giżycko,2716,7.0,9.8
437,Ostróda,2898,9.3,9.5
438,Szczytno,2520,9.7,9.0
439,Giżycko,5117,9.2,9.2
