,City,Cost,Rating,Comfort
0,Górzno,3662,8.3,8.1
1,Swarzędz,4166,9.1,9.5
2,Sieraków,3251,8.5,8.5
3,Zduny,3606,8.9,9.0
4,"Stare Miasto, Poznań",2213,9.4,9.5
5,Gniezno,3430,7.7,8.2
6,Tarnowo Podgórne,4620,8.5,8.5
7,Kalisz,4235,8.9,9.0
8,Brdów,2709,8.7,8.7
9,Swarzędz,3976,8.8,8.8
10,Wieleń Północny,1803,8.8,8.8
11,"Stare Miasto, Poznań",5282,9.0,9.3
12,Puszczykowo,7128,9.0,9.1
13,Nowy Tomyśl,3933,8.7,9.0
14,"Stare Miasto, Poznań",2320,7.9,8.9
15,Leszno,4192,8.6,9.2
16,Gostyń,2834,9.1,8.8
17,Swarzędz,3150,8.7,8.9
18,Swarzędz,4620,8.9,8.4
19,Gniezno,4480,8.4,8.5
20,Września,3360,8.5,8.8
21,Gniezno,3080,8.7,8.8
22,Leszno,5600,8.8,8.2
23,Pleszew,4060,8.4,9.7
24,Wągrowiec,2254,9.7,8.1
25,Ostrzeszów,2660,7.9,8.6
26,"Stare Miasto, Poznań",3246,8.6,8.1
27,Ostrów Wielkopolski,2366,8.1,9.1
28,Piła,2125,9.1,9.7
29,Wągrowiec,2254,9.7,9.1
30,Chrzypsko Wielkie,1868,9.3,9.3
31,Czmoń,4451,8.8,8.1
32,Piła,3340,8.2,9.3
33,Września,1955,9.3,8.7
34,Jarocin,2478,8.8,8.8
35,Wilczyn,2454,9.3,8.9
36,Ostrów Wielkopolski,2306,7.6,9.6
37,Sierosław,2786,9.2,8.8
38,Krotoszyn,3080,9.4,8.7
39,"Stare Miasto, Poznań",3065,8.6,9.4
40,Śrem,4200,8.6,8.4
41,"Wilda, Poznań",4486,9.3,9.2
42,Września,2029,8.5,9.2
43,Brzeźno,2111,9.3,9.5
44,Kępno,3780,9.0,8.3
45,Września,4520,9.2,9.4
46,Licheń Stary,2240,8.7,8.0
47,Koło,3010,9.2,9.0
48,Kalisz,1751,8.0,8.5
49,"Stare Miasto, Poznań",6698,8.6,8.9
50,"Grunwald, Poznań",2990,8.5,9.7
51,"Grunwald, Poznań",3766,8.7,8.7
52,Kalisz,2029,9.7,8.8
53,Rawicz,3685,8.3,9.7
54,Wilczyn,2454,9.3,9.7
55,Boszkowo,3835,9.7,9.1
56,Pniewy,3349,9.7,9.3
57,"Stare Miasto, Poznań",4342,8.9,9.7
58,Kalisz,5294,9.0,8.0
59,Kwiejce,3166,9.7,9.3
60,Kalisz,1751,8.0,8.9
61,"Stare Miasto, Poznań",5783,9.0,9.0
62,Leszno,2765,8.9,8.8
63,Suchy Las,3560,8.8,8.7
64,Turek,2138,8.7,8.9
65,"Stare Miasto, Poznań",4284,8.4,9.3
66,Zbąszyń,3486,8.6,8.8
67,Boszkowo,6604,9.1,8.7
68,Zaniemyśl,2100,9.0,9.3
69,Kościan,3640,8.0,9.5
70,Gołuchów,2730,8.8,9.2
71,Fałkowo,2120,9.3,8.8
72,"Stare Miasto, Poznań",2318,7.3,9.0
73,Piła,2156,9.4,8.7
74,"Stare Miasto, Poznań",3846,9.1,8.9
75,Środa Wielkopolska,3800,8.8,9.2
76,"Jeżyce, Poznań",9826,8.5,8.9
77,Kępno,3430,8.7,9.4
78,Kuźnica Zbąska,2753,7.5,9.2
79,Wojnówko,1618,9.5,9.3
80,"Stare Miasto, Poznań",3938,9.0,9.7
81,"Stare Miasto, Poznań",2976,8.8,8.4
82,Gostyń,3276,9.2,8.9
83,Leszno,4480,9.2,9.3
84,"Nowe Miasto, Poznań",4050,9.2,8.5
85,Kalisz,2029,9.7,8.4
86,Kalisz,3150,8.4,9.1
87,Gniezno,2065,9.0,8.6
88,"Stare Miasto, Poznań",5005,9.0,8.5
89,Józefów,4039,9.0,8.9
90,Komorowo,3940,8.5,8.4
91,"Nowe Miasto, Poznań",4374,8.9,9.0
92,"Stare Miasto, Poznań",3566,8.4,8.3
93,"Stare Miasto, Poznań",2892,8.4,8.5
94,Kórnik,3420,8.8,9.4
95,Śrem,4480,8.2,9.3
96,Wieleń,3021,8.1,8.3
97,Piła,4704,8.7,9.7
98,Stęszew,3590,8.4,9.5
99,Stare Miasto,3563,8.3,9.8
100,Krotoszyn,2240,9.3,8.5
101,"Stare Miasto, Poznań",2414,9.2,8.3
102,Przeźmierowo,3500,8.3,8.0
103,Świętne,2777,7.2,9.7
104,Boszkowo,3835,9.7,8.0
