,City,Cost,Rating,Comfort
0,Sienna,4573,8.6,8.9
1,"Stare Miasto, Wrocław",2661,9.1,9.4
2,Kudowa-Zdrój,1746,8.7,8.7
3,"Śródmieście, Wrocław",2100,8.0,8.7
4,Karłowice,2325,7.4,9.2
5,Stronie Śląskie,2027,9.3,9.2
6,"Krzyki, Wrocław",2805,9.2,9.5
7,Lądek-Zdrój,1148,9.4,8.9
8,Szklarska Poręba,1967,8.8,9.2
9,Bielany Wrocławskie,1400,8.9,8.8
10,Polanica-Zdrój,1643,8.7,8.5
11,"Śródmieście, Wrocław",2069,8.4,8.4
12,Karpacz,753,7.2,8.8
13,Mysłakowice,1725,8.6,8.2
14,Szklarska Poręba,1103,8.9,9.2
15,Szklarska Poręba,1070,8.3,8.7
16,Mysłakowice,1987,9.0,9.1
17,Stronie Śląskie,6023,8.3,9.5
18,Stare Bogaczowice,1400,9.1,9.2
19,"Zieleniec, Duszniki-Zdrój",3178,9.3,8.8
20,Polanica-Zdrój,1618,9.4,9.2
21,Polanica-Zdrój,2659,8.8,8.9
22,Świeradów-Zdrój,4297,8.7,8.4
23,Szklarska Poręba,4094,8.8,8.7
24,Kudowa-Zdrój,1256,8.4,9.2
25,Szklarska Poręba,2265,8.6,8.1
26,Karpacz,4409,8.8,9.1
27,Kamienna Góra,985,7.5,9.5
28,Jelenia Góra,1365,8.0,8.5
29,Bolesławiec,2009,8.9,9.0
30,Sienna,3070,9.5,8.0
31,Jugowice,2226,8.2,9.3
32,Dzierżoniów,1567,8.9,9.0
33,Wojanów,3109,8.2,8.8
34,"Krzyki, Wrocław",7998,9.0,8.9
35,Podgórzyn,1425,8.9,9.2
36,Świeradów-Zdrój,1815,8.9,8.1
37,"Stare Miasto, Wrocław",683,7.3,8.7
38,Srebrna Góra,1558,8.8,8.2
39,Kłodzko,3962,9.3,9.5
40,Stronie Śląskie,5104,7.9,8.7
41,Karpacz,3494,8.6,8.0
42,"Stare Miasto, Wrocław",1861,8.2,8.7
43,Sosnówka,4366,9.3,9.2
