,City,Cost,Rating,Comfort
0,Golub-Dobrzyń,1960,8.9,8.9
1,Niewierz,1077,8.5,8.5
2,Ciechocinek,2090,8.1,8.3
3,Ciechocinek,1996,9.1,9.4
4,Inowrocław,980,9.0,8.8
5,Ciechocinek,1771,9.2,9.2
6,Inowrocław,1860,8.4,8.6
7,Bydgoszcz,1255,8.5,8.7
8,Ciechocinek,1440,8.9,8.9
9,Tryszczyn,875,7.6,8.8
10,"Stare Miasto, Toruń",1462,8.0,9.0
11,Toruń,2023,8.7,8.7
12,Żnin,2614,9.0,8.7
13,Ciechocinek,1485,8.6,8.6
14,"Stare Miasto, Toruń",1369,8.8,9.4
15,Włocławek,1260,8.6,8.9
16,Chełmno,1202,8.3,8.6
17,Wielki Głęboczek,5950,9.2,9.3
18,Bydgoszcz,1155,7.2,9.5
19,Wąbrzeźno,1821,8.6,9.0
20,"Stare Miasto, Toruń",2139,8.6,8.7
21,Warlubie,4322,9.1,9.2
22,Bydgoszcz,2058,9.2,9.3
23,Toruń,3905,8.8,9.0
24,Samociążek,1260,8.8,8.2
25,Brodnica,1178,9.3,8.6
26,Warlubie,3192,9.1,9.3
27,Turzno,3410,8.7,8.4
28,Inowrocław,1323,8.2,9.4
29,Ciechocinek,1300,8.7,9.0
30,Ciechocinek,2043,9.0,8.0
31,Bydgoszcz,1506,8.5,9.1
32,Gniewkowo,1980,9.1,8.6
33,Nakło nad Notecią,2344,8.8,8.8
34,"Stare Miasto, Toruń",1387,8.1,9.6
35,Grudziądz,1008,7.7,8.6
36,Szubin,1050,8.2,8.1
37,Bydgoszcz,2048,8.8,9.3
38,"Stare Miasto, Toruń",1400,8.8,8.4
39,Brzoza,1330,8.6,8.7
40,Bydgoszcz,1134,9.4,9.2
41,Bydgoszcz,1603,8.4,9.2
42,Bydgoszcz,1167,8.0,8.8
43,Kruszyn,1050,7.8,8.4
44,Grudziądz,1610,9.2,9.1
45,Łabiszyn,1330,8.3,8.8
46,"Stare Miasto, Toruń",2111,8.8,9.1
47,"Stare Miasto, Toruń",2988,9.5,9.1
48,Bydgoszcz,1689,8.9,9.2
49,Cierpice,1400,8.9,8.4
50,Grudziądz,1575,8.5,8.6
51,"Stare Miasto, Toruń",1804,9.1,8.9
52,Cierpice,1400,8.9,9.6
53,Toruń,2104,9.1,9.5
54,Skępe,770,7.1,9.6
55,Chełmża,980,9.1,8.8
56,Bydgoszcz,1050,7.4,9.7
57,Wielki Głęboczek,6100,9.2,9.2
58,Bydgoszcz,1253,8.4,8.4
59,"Stare Miasto, Toruń",1834,8.5,8.7
60,Bydgoszcz,2012,8.7,9.0
61,"Stare Miasto, Toruń",2839,9.4,9.4
62,Wycinki,5810,9.5,8.7
63,Ciechocinek,1846,9.7,8.5
64,"Stare Miasto, Toruń",1421,8.7,8.9
65,"Stare Miasto, Toruń",1304,7.9,8.8
66,Świedziebnia,1683,9.9,9.7
67,Ciechocinek,2932,9.1,8.6
68,Włocławek,1960,8.1,8.0
69,"Stare Miasto, Toruń",1778,8.8,8.7
70,"Stare Miasto, Toruń",2555,8.9,8.3
71,"Stare Miasto, Toruń",2287,9.4,9.4
72,Grudziądz,2310,8.7,8.2
73,Chełmno,1400,8.9,8.2
74,"Stare Miasto, Toruń",2458,8.6,9.2
75,Inowrocław,1393,7.8,9.1
76,Grudziądz,1070,8.5,8.2
77,Bydgoszcz,2192,9.6,9.2
78,Toruń,1133,7.9,9.7
79,Bydgoszcz,1260,8.7,9.4
80,Toruń,1526,8.0,9.3
81,"Stare Miasto, Toruń",2704,8.8,8.8
82,Ciechocinek,1980,8.3,8.7
83,Sępólno Krajeńskie,3640,9.2,9.4
84,Bydgoszcz,1113,8.1,9.3
85,Bydgoszcz,1375,8.1,9.7
86,Gąsawa,4483,9.1,8.4
87,Kamieńczyk Dezerta,3633,9.4,9.2
88,Inowrocław,1108,8.3,8.4
89,Aleksandrów Kujawski,1190,9.2,9.0
90,Chełmno,1673,9.6,8.9
91,Inowrocław,1542,9.2,8.8
92,Inowrocław,2023,9.2,8.1
93,"Stare Miasto, Toruń",2940,8.3,8.1
94,Bydgoszcz,2030,8.5,9.0
95,Bydgoszcz,2047,9.3,9.6
96,Mgowo,1606,9.5,9.2
97,Świedziebnia,1683,9.9,9.3
98,Ciechocinek,1054,8.2,8.7
99,Bydgoszcz,1768,9.0,8.9
100,Ciechocinek,1054,8.2,9.2
101,Bydgoszcz,693,8.0,8.8
102,Włocławek,2030,9.1,8.7
103,Trzebciny,1369,8.8,9.8
104,Toruń,3090,8.9,8.4
105,Raciąż,840,8.6,8.3
106,Solec Kujawski,1043,8.2,8.9
107,Małe Leżno,688,8.7,8.6
108,Zielonka,1573,9.5,9.3
109,Bydgoszcz,1113,9.2,9.4
110,Mgowo,1606,9.5,8.6
111,Grudziądz,700,8.8,9.5
112,Inowrocław,1142,8.4,9.4
113,Biskupin,784,6.9,8.7
114,Bydgoszcz,1768,9.0,8.4
115,Włocławek,831,7.0,9.3
116,Bydgoszcz,1560,8.8,8.8
117,"Stare Miasto, Toruń",1512,8.8,8.0
118,"Stare Miasto, Toruń",2196,9.7,8.3
119,Ciechocinek,1362,8.8,8.1
120,Biskupin,1064,8.7,8.9
121,Lipinki,3057,9.5,9.4
122,Solec Kujawski,1120,8.3,8.7
123,Golub-Dobrzyń,1727,9.2,9.3
124,Śliwice,1190,9.0,8.7
125,Solec Kujawski,1120,8.3,8.3
126,Tuchola,1610,8.0,10.0
127,Ciechocinek,1908,9.5,8.4
128,"Stare Miasto, Toruń",3251,9.3,9.3
129,Rypin,1260,8.7,8.3
130,Ciechocinek,1362,8.8,9.4
131,Ciechocinek,4576,9.3,9.2
132,"Stare Miasto, Toruń",3918,9.1,8.7
133,Włocławek,1743,8.1,9.3
134,Biskupin,1064,8.7,9.7
135,Bydgoszcz,525,7.6,9.6
136,Włocławek,1575,8.0,8.8
137,Inowrocław,776,9.1,8.0
138,Toruń,2486,9.4,8.8
139,"Stare Miasto, Toruń",3173,8.4,9.1
140,"Stare Miasto, Toruń",1848,9.3,9.2
141,Brodnica,1558,8.7,8.7
142,Skępe,840,8.4,9.1
143,Ciechocinek,1751,9.8,9.5
144,"Stare Miasto, Toruń",1984,8.3,8.0
145,Tleń,1540,9.2,9.7
146,Bydgoszcz,1515,7.4,9.3
147,Grębocin,918,8.4,9.7
148,Zbiczno,1071,7.7,8.4
149,Świecie,1155,9.4,8.7
150,"Stare Miasto, Toruń",1890,9.1,8.3
151,Brodnica,2436,8.7,8.8
152,"Stare Miasto, Toruń",1648,9.2,8.7
153,Toruń,1893,9.5,9.1
154,Zbrachlin,1197,9.6,8.3
155,"Stare Miasto, Toruń",2200,8.6,9.5
156,Łysomice,1225,6.9,8.8
157,Lubień Kujawski,630,8.3,9.3
158,Golub-Dobrzyń,1395,9.1,9.0
159,Rypin,1285,9.2,9.3
160,"Stare Miasto, Toruń",1851,9.0,8.3
161,Chełmno,2037,8.6,9.0
162,Wielki Głęboczek,1837,9.1,9.6
163,Minikowo,1260,9.6,8.6
164,"Stare Miasto, Toruń",2737,8.6,9.5
165,Mstowo,2388,9.7,8.8
166,Bydgoszcz,2100,9.3,8.6
167,Inowrocław,1599,9.7,8.5
168,"Stare Miasto, Toruń",3146,8.4,9.7
169,Bydgoszcz,2750,8.8,9.4
170,Bydgoszcz,1044,8.3,9.1
171,Bydgoszcz,2100,8.7,9.7
172,Bydgoszcz,1020,8.8,8.3
173,Wierzchy,946,7.9,8.3
174,Bydgoszcz,963,9.3,9.7
175,Toruń,2224,8.3,10.0
176,Bydgoszcz,2100,9.5,9.2
177,Ciechocinek,1012,8.7,8.5
178,Grabowiec,1123,9.3,9.7
179,Inowrocław,1666,8.9,8.1
180,Górzno,2823,9.2,9.7
181,"Stare Miasto, Toruń",3520,8.0,9.2
182,Ciechocinek,1820,9.1,8.8
183,Toruń,2505,9.4,8.8
184,Chełmno,1260,8.8,9.5
185,"Stare Miasto, Toruń",1400,9.5,8.5
186,"Stare Miasto, Toruń",1988,8.9,9.2
187,"Stare Miasto, Toruń",1890,8.9,10.0
188,Brześć Kujawski,841,8.6,9.7
189,"Stare Miasto, Toruń",1391,9.6,9.4
190,Włocławek,1743,9.4,8.0
191,Wądzyn,1606,8.9,10.0
192,"Stare Miasto, Toruń",1484,9.7,8.9
193,"Stare Miasto, Toruń",2205,8.3,9.8
194,"Stare Miasto, Toruń",2113,8.0,8.1
195,"Stare Miasto, Toruń",1742,9.5,9.2
196,Zbrachlin,1197,9.4,8.9
197,"Stare Miasto, Toruń",1544,9.5,8.0
198,Chełmno,1065,8.5,8.8
199,Toruń,2412,9.7,8.8
200,"Stare Miasto, Toruń",2205,8.1,9.3
201,Bydgoszcz,1260,9.6,9.5
202,Włocławek,1743,9.4,8.5
203,"Stare Miasto, Toruń",1764,4.6,8.5
204,Włocławek,1190,8.9,8.7
205,Ciechocinek,1610,8.6,8.7
206,Łysomice,1225,9.3,8.3
207,"Stare Miasto, Toruń",1672,7.8,9.7
208,Toruń,1099,7.9,9.9
209,Bydgoszcz,903,8.6,8.0
210,Toruń,1155,9.2,8.0
211,"Stare Miasto, Toruń",1962,10.0,9.8
212,Włocławek,3021,9.8,9.0
213,Toruń,2694,9.3,9.0
214,"Stare Miasto, Toruń",1619,8.0,8.3
215,Toruń,1525,9.9,8.3
216,Dylewo,2363,9.1,8.9
217,Toruń,1756,9.6,9.4
218,Brodnica,643,8.9,9.8
219,Grudziądz,1750,9.2,8.9
220,"Stare Miasto, Toruń",2310,8.8,8.9
221,Bydgoszcz,875,7.9,8.9
222,Bydgoszcz,1280,8.9,9.1
223,Chełmno,1050,7.8,9.1
224,Włocławek,980,8.9,9.7
225,Chełmno,1050,7.8,9.6
226,Włocławek,980,9.3,9.6
227,Chełmża,1016,8.2,9.7
228,"Stare Miasto, Toruń",2463,9.5,8.1
229,"Stare Miasto, Toruń",1960,8.8,10.0
230,Ciechocinek,866,8.2,8.8
231,Mogilno,1377,8.8,9.4
232,Bydgoszcz,1435,8.7,8.0
233,"Stare Miasto, Toruń",2140,8.3,9.4
234,Bydgoszcz,735,9.7,10.0
235,"Stare Miasto, Toruń",2464,9.8,8.2
236,Toruń,2235,8.5,9.1
237,Toruń,2738,8.0,9.5
238,Bydgoszcz,1260,9.8,8.4
239,Toruń,2724,7.5,8.3
240,Toruń,924,9.0,8.7
241,Bydgoszcz,1049,8.9,9.5
242,Inowrocław,1323,8.2,8.2
243,Włocławek,1820,8.1,9.0
244,Brodnica,840,8.9,9.1
245,Toruń,1296,9.4,9.5
246,"Stare Miasto, Toruń",2093,9.7,8.4
247,Golub-Dobrzyń,595,9.1,9.0
248,Toruń,1756,8.6,8.3
249,Czystebłota,2498,9.0,8.7
250,"Stare Miasto, Toruń",510,9.4,9.1
251,Inowrocław,1610,9.1,9.5
252,Śliwice,2275,9.7,9.6
253,Ciechocinek,2583,9.6,9.2
254,Brodnica,1260,9.5,9.0
255,Toruń,3868,9.6,8.7
256,Toruń,4037,8.4,8.8
257,Bydgoszcz,1750,8.5,8.4
258,Chrostkowo,6976,8.0,9.8
259,Brodnica,1095,9.2,9.4
260,"Stare Miasto, Toruń",2281,9.3,9.5
261,Brodnica,1386,8.5,9.3
262,"Stare Miasto, Toruń",1619,8.9,9.6
263,Ciechocinek,1496,9.9,9.1
264,Sępólno Krajeńskie,1260,8.5,9.7
265,"Stare Miasto, Toruń",3331,9.3,9.4
266,Grudziądz,2394,9.4,9.2
267,Bydgoszcz,1540,8.0,9.0
268,Toruń,1890,8.0,8.8
269,Świecie,1730,8.6,9.7
270,Skoki Duże,1000,8.4,9.1
271,"Stare Miasto, Toruń",1260,9.3,9.1
272,Bydgoszcz,980,8.5,9.3
273,Inowrocław,935,8.9,9.5
274,Toruń,2006,9.3,8.0
275,Bydgoszcz,1540,9.4,9.7
276,Inowrocław,1680,8.0,9.0
277,Toruń,1890,9.0,8.3
278,Świecie,1730,8.6,8.8
279,"Stare Miasto, Toruń",1260,8.4,9.7
280,Solec Kujawski,2205,9.3,9.5
281,Bydgoszcz,980,9.3,9.4
282,Inowrocław,980,9.4,9.3
283,Toruń,3973,9.2,9.8
284,Toruń,2006,9.2,9.7
285,"Stare Miasto, Toruń",1746,8.9,10.0
286,Toruń,1590,8.9,10.0
287,"Stare Miasto, Toruń",2471,7.6,8.8
288,"Stare Miasto, Toruń",1937,9.6,8.8
289,Inowrocław,1400,9.2,9.3
290,Włocławek,2066,7.4,8.8
291,Bydgoszcz,2205,9.4,8.8
292,"Stare Miasto, Toruń",1593,9.4,9.5
293,"Stare Miasto, Toruń",684,9.6,8.1
294,Toruń,1808,9.3,8.6
295,"Stare Miasto, Toruń",2135,9.6,9.0
296,Tuchola,1715,8.9,9.4
297,Toruń,1368,9.2,9.4
298,Chełmno,1330,8.9,9.9
299,Sępólno Krajeńskie,1260,8.0,8.5
300,Toruń,1590,8.9,9.2
301,Bydgoszcz,1570,9.6,10.0
302,"Stare Miasto, Toruń",2256,9.0,9.5
303,Inowrocław,1400,9.1,9.7
304,Chełmno,1330,9.4,9.5
305,Bydgoszcz,1362,8.0,10.0
306,"Stare Miasto, Toruń",1935,9.4,9.3
307,"Stare Miasto, Toruń",2135,8.2,8.9
308,Toruń,854,9.5,8.8
309,Toruń,1808,7.6,10.0
310,"Stare Miasto, Toruń",1064,9.1,8.8
311,"Stare Miasto, Toruń",2336,8.2,8.1
312,Ciechocinek,1785,9.2,8.9
313,Toruń,1818,9.7,9.1
314,Nowe,1120,9.4,8.7
315,Brodnica,1071,9.5,8.6
316,Toruń,3314,9.3,9.4
317,Toruń,1808,9.6,9.3
318,Ciechocinek,1286,9.7,9.8
319,"Stare Miasto, Toruń",2464,9.9,8.2
320,Toruń,2745,9.9,8.7
321,Ciechocinek,2721,8.5,9.1
322,Toruń,2724,8.5,8.6
323,Toruń,3462,8.2,9.2
324,Bydgoszcz,2383,9.3,9.2
325,Bydgoszcz,2383,9.2,9.0
326,Więcbork,3220,7.5,8.5
327,"Stare Miasto, Toruń",2464,8.8,8.9
328,"Stare Miasto, Toruń",1984,9.3,8.2
329,"Stare Miasto, Toruń",1414,7.9,8.9
330,Bydgoszcz,1260,7.7,9.5
331,"Stare Miasto, Toruń",2085,8.4,8.2
332,Busewo,945,8.9,9.4
333,Brodnica,673,9.5,10.0
334,Bydgoszcz,1638,9.3,8.0
335,Toruń,1767,9.8,9.6
336,Koronowo,1613,9.0,9.2
337,Tryszczyn,3500,9.3,9.9
338,"Stare Miasto, Toruń",1978,9.9,8.5
339,Ciechocinek,2097,9.4,8.8
340,"Stare Miasto, Toruń",1769,9.7,9.3
341,"Stare Miasto, Toruń",2288,8.0,9.0
342,Toruń,2724,9.4,8.9
343,Grudziądz,2023,9.4,9.4
344,Bydgoszcz,1250,8.9,9.2
345,Toruń,2063,8.7,9.4
346,Bydgoszcz,1314,8.9,8.4
347,Bobrowo,1912,9.4,9.0
348,Kruszwica,2520,8.8,9.8
349,Toruń,1459,8.2,8.7
350,Tuchola,700,8.9,9.3
351,Bobrowo,1912,9.1,9.9
352,Toruń,2343,8.9,9.2
353,"Stare Miasto, Toruń",2070,8.6,9.4
354,Bydgoszcz,1093,9.3,9.0
355,Ciechocinek,1008,9.1,8.7
356,Toruń,1414,9.9,9.3
357,"Stare Miasto, Toruń",2052,8.1,8.9
358,"Stare Miasto, Toruń",2002,8.9,9.8
359,"Stare Miasto, Toruń",1841,9.2,9.1
360,Toruń,3794,8.5,9.4
361,"Stare Miasto, Toruń",1663,9.3,8.3
362,Ciechocinek,1156,9.4,9.0
363,"Stare Miasto, Toruń",2351,9.0,9.0
364,"Stare Miasto, Toruń",1980,8.5,8.8
365,"Stare Miasto, Toruń",1863,8.8,8.9
366,Grudziądz,2380,8.2,9.9
367,"Stare Miasto, Toruń",1960,9.1,8.5
368,Żnin,3780,6.0,9.4
369,"Stare Miasto, Toruń",2097,9.5,9.4
370,Bydgoszcz,1480,8.7,9.0
371,Toruń,1617,9.5,8.7
372,Toruń,707,6.9,9.4
373,Toruń,1630,9.6,8.1
374,Bydgoszcz,1575,8.4,10.0
375,Tryszczyn,3500,6.0,9.8
376,"Stare Miasto, Toruń",720,8.1,9.8
377,Brodnica,910,9.5,8.6
378,Tleń,1120,9.1,10.0
379,Toruń,707,9.9,9.2
380,Toruń,2296,8.6,8.9
381,Toruń,2142,8.6,9.4
382,"Stare Miasto, Toruń",1332,9.2,9.6
383,Toruń,1918,9.0,9.5
384,Toruń,2845,9.0,8.9
385,"Stare Miasto, Toruń",1730,9.5,8.2
386,Bydgoszcz,1569,9.3,9.4
387,"Stare Miasto, Toruń",1960,9.4,8.7
388,Ciechocinek,1492,8.7,10.0
389,"Stare Miasto, Toruń",1866,9.0,9.1
390,"Stare Miasto, Toruń",2288,7.6,8.8
391,Bydgoszcz,3110,9.8,8.9
392,Wielkie Leżno,1750,8.9,9.2
393,Bydgoszcz,1575,7.8,9.5
394,Ciechocinek,1156,8.2,9.3
395,Toruń,2444,9.6,9.8
396,Ciechocinek,2098,9.9,9.1
397,"Stare Miasto, Toruń",1064,9.3,9.4
398,"Stare Miasto, Toruń",1355,9.4,9.7
399,Chełmża,4900,9.0,9.7
400,Toruń,1918,8.9,8.4
401,"Stare Miasto, Toruń",2288,8.2,8.3
402,Bydgoszcz,3110,9.6,8.8
403,Bydgoszcz,1575,8.8,8.9
404,Ciechocinek,2098,9.6,9.5
405,"Stare Miasto, Toruń",1355,9.1,9.3
406,Chełmża,4900,9.3,9.4
407,"Stare Miasto, Toruń",1851,8.1,9.3
408,"Stare Miasto, Toruń",1628,8.4,9.5
409,"Stare Miasto, Toruń",2280,9.0,8.8
410,Bydgoszcz,1890,9.0,8.4
411,Chełmno,1022,9.0,9.4
412,"Stare Miasto, Toruń",2115,8.7,9.5
413,"Stare Miasto, Toruń",2145,9.6,8.4
414,"Stare Miasto, Toruń",3479,7.9,9.4
415,Toruń,2142,7.1,9.4
416,"Stare Miasto, Toruń",1957,9.7,9.5
417,"Stare Miasto, Toruń",2697,7.8,10.0
418,Bysław,711,8.0,8.2
419,Toruń,1148,7.6,9.5
420,Górzno,3080,9.4,9.3
421,"Stare Miasto, Toruń",1064,8.9,8.1
422,Toruń,2063,7.6,8.7
423,Ciechocinek,1156,8.8,8.8
424,Bydgoszcz,1632,9.4,9.4
425,Toruń,1875,7.7,10.0
426,Ciechocinek,1156,10.0,10.0
427,Bydgoszcz,1750,8.2,9.5
428,Bydgoszcz,1632,9.6,10.0
429,Inowrocław,1463,9.8,10.0
430,Ciechocinek,1155,7.3,9.9
431,"Stare Miasto, Toruń",1355,8.7,9.7
432,Bydgoszcz,3248,9.8,9.9
433,"Stare Miasto, Toruń",2387,9.2,9.1
434,"Stare Miasto, Toruń",1092,8.5,9.7
435,Bydgoszcz,2900,9.5,9.9
436,Toruń,2692,7.9,8.7
437,"Stare Miasto, Toruń",1589,9.6,9.1
438,"Stare Miasto, Toruń",3000,9.7,8.6
439,Bydgoszcz,2093,9.1,9.1
440,"Stare Miasto, Toruń",1884,8.2,8.8
441,Toruń,2079,9.5,9.2
442,Toruń,2124,8.9,10.0
443,Bydgoszcz,1260,10.0,9.1
444,Toruń,1802,8.0,9.2
445,"Stare Miasto, Toruń",1736,9.3,9.3
446,"Stare Miasto, Toruń",2350,8.8,9.8
447,Legbąd,1779,8.5,9.4
448,Ciechocinek,599,9.4,9.4
449,"Stare Miasto, Toruń",2025,9.7,9.5
450,Bydgoszcz,1638,9.2,9.1
451,"Stare Miasto, Toruń",1781,9.8,8.4
452,Toruń,2989,9.4,9.5
453,Toruń,2124,9.2,9.0
454,"Stare Miasto, Toruń",2092,9.4,8.1
455,Toruń,2857,9.7,10.0
456,Krzywogoniec,2891,8.1,10.0
457,Bydgoszcz,1785,8.4,9.4
458,Toruń,2120,9.5,9.5
459,Słupia,11472,7.9,9.3
460,"Stare Miasto, Toruń",1680,8.9,9.3
461,Nakło nad Notecią,2410,9.0,10.0
462,Bydgoszcz,973,8.0,9.2
463,"Stare Miasto, Toruń",2606,9.4,10.0
464,"Stare Miasto, Toruń",1884,9.4,9.4
465,Toruń,1866,9.5,9.2
466,Bydgoszcz,2618,9.6,9.7
467,Mała Nieszawka,1280,10.0,9.7
468,"Stare Miasto, Toruń",1944,8.6,9.3
469,Toruń,2600,9.4,8.9
470,Ciechocinek,1490,9.6,8.6
471,Sartowice,1540,8.6,10.0
472,Toruń,2208,9.2,9.2
473,"Stare Miasto, Toruń",1982,9.4,9.4
474,Bydgoszcz,1335,9.4,8.2
475,Sartowice,1540,10.0,8.9
476,"Stare Miasto, Toruń",1982,8.4,8.8
477,Bydgoszcz,1120,9.5,10.0
478,Bydgoszcz,1335,9.3,8.8
479,Grudziądz,2100,8.2,9.0
480,Ciechocinek,954,8.5,8.8
481,"Stare Miasto, Toruń",1289,10.0,9.0
482,"Stare Miasto, Toruń",2087,6.2,9.7
483,"Stare Miasto, Toruń",2087,9.2,9.7
484,Golub-Dobrzyń,2218,9.8,9.1
485,Bydgoszcz,1714,9.7,8.0
486,Toruń,2208,9.2,8.5
487,Inowrocław,982,9.7,9.7
488,Grudziądz,1803,9.6,9.0
489,Bydgoszcz,1365,9.9,9.4
490,"Stare Miasto, Toruń",1952,9.2,8.9
491,Toruń,2414,9.7,9.4
492,Inowrocław,2826,7.9,9.8
493,Świecie,1580,9.0,9.7
494,Pokrzydowo,4200,9.2,8.4
495,Bydgoszcz,1636,9.7,10.0
