,City,Cost,Rating,Comfort
0,Lublin,7074,9.0,9.2
1,Lachówka Duża,956,8.1,8.4
2,Kraśnik,998,8.7,9.7
3,"Stare Miasto, Lublin",1833,9.6,8.6
4,Biała Podlaska,1350,8.5,8.1
5,Biała Podlaska,980,8.3,9.5
6,Kazimierz Dolny,1850,9.3,8.6
7,Poniatowa,1400,8.5,8.3
8,Lublin,1323,8.1,8.6
9,Leśna Podlaska,2730,8.5,8.0
10,Horodło,1272,7.8,8.7
11,Okuninka,2750,8.5,9.5
12,Chełm,1358,9.3,8.9
13,Kazimierzówka,1680,8.8,8.9
14,Wąwolnica,1225,9.0,8.3
15,Nałęczów,1476,8.3,9.2
16,Lublin,1194,7.3,9.5
17,Nałęczów,1855,7.6,8.6
18,Lublin,2011,9.1,8.8
19,Kraśnik,5500,9.6,8.2
20,"Stare Miasto, Lublin",4099,8.6,9.6
21,Guciów,1260,9.1,9.3
22,Chełm,980,8.3,9.3
23,Kazimierz Dolny,3351,9.5,9.3
24,Hrubieszów,1890,9.2,9.3
25,Lublin,2227,9.1,8.6
26,Lublin,2485,9.1,8.9
27,Uhnin,2800,9.3,9.4
28,Kraśnik,1120,8.6,9.6
29,Obrocz,1540,9.6,8.7
30,Lublin,2516,9.1,8.6
31,Kazimierz Dolny,1750,9.5,8.6
32,Chełm,980,7.9,9.2
33,Nałęczów,1284,8.7,8.8
34,Okuninka,1736,8.4,9.2
35,Kazimierz Dolny,2303,8.6,9.2
36,Kazimierz Dolny,4050,9.2,9.4
37,Hrubieszów,1400,8.7,9.0
38,Niemce,4025,9.4,9.0
39,Lublin,2560,9.0,9.4
40,Lublin,2043,9.0,8.8
41,Lublin,3090,8.7,8.4
42,Małaszewicze Duże,1750,9.0,9.2
43,Janów Podlaski,4070,9.1,8.2
44,Lublin,1290,7.9,8.2
45,Horbów,1120,8.8,8.5
46,Wojcieszków,630,8.5,8.7
47,Tomaszów Lubelski,1260,9.2,9.5
48,Zamość,2090,8.4,9.2
49,Hrubieszów,560,7.4,8.6
50,Zamość,2090,8.4,9.2
51,Zamość,2596,8.3,8.6
52,Kazimierz Dolny,1575,8.9,8.9
53,Nałęczów,1963,9.3,9.4
54,Lublin,1528,9.2,9.2
55,Lublin,980,8.6,9.1
56,Zwierzyniec,945,7.8,9.1
57,Hrubieszów,1505,9.0,8.4
58,Zamość,1413,8.8,9.6
59,Zwierzyniec,1154,8.7,9.3
60,Tomaszów Lubelski,1507,9.2,8.2
61,Włodawa,1610,9.1,9.0
62,Kazimierz Dolny,1918,9.4,8.7
63,Krasnobród,1162,7.3,9.2
64,Leśna Podlaska,1918,8.9,9.6
65,Zwierzyniec,1610,8.6,9.5
66,Susiec,3342,9.4,8.9
67,Nielisz,2023,9.3,9.8
68,Tomaszów Lubelski,1603,8.2,10.0
69,Lublin,889,9.1,9.8
70,"Stare Miasto, Lublin",1610,8.7,8.1
71,Lublin,2331,9.0,8.7
72,Janów Lubelski,2450,9.6,8.2
73,Szastarka,4206,9.6,9.7
74,Lublin,4232,8.9,8.6
75,Hrubieszów,840,9.9,9.1
76,Nowy Gaj,3634,9.8,8.0
77,Biłgoraj,1330,9.7,8.2
78,Kodeń,5246,8.2,8.7
79,Biłgoraj,1190,8.6,9.2
80,Lublin,1715,8.2,10.0
81,Krasnystaw,1190,9.7,8.3
82,Zamość,2800,8.9,10.0
83,Międzyleś,1377,9.1,9.5
84,Lublin,1435,7.8,9.6
85,Terespol,1680,8.5,8.3
86,Jedlanka Stara,2635,8.7,9.8
87,Kock,1075,9.3,9.7
88,Kazimierz Dolny,4194,9.8,8.4
89,Nielisz,3150,8.4,9.7
90,Nałęczów,1089,10.0,9.5
91,Zwierzyniec,4200,9.4,8.6
92,Lublin,1210,9.6,9.1
93,"Stare Miasto, Lublin",2390,8.4,9.8
94,Parczew,1120,9.5,8.6
95,Zwierzyniec,660,9.9,8.4
96,Biłgoraj,1463,8.3,8.8
97,Janów Lubelski,2520,9.5,8.9
98,Zamość,2457,9.5,9.5
99,Zwierzyniec,2108,8.6,8.8
100,Zamość,1540,9.2,8.7
101,Susiec,840,9.8,8.9
102,Zwierzyniec,3276,8.6,8.4
103,Biała Podlaska,1512,8.6,8.6
104,Poniatowa,725,9.5,9.1
105,Firlej,2394,9.0,8.6
106,Chełm,833,9.6,8.3
107,Wojciechów,4206,9.0,8.8
108,Nielisz,2023,8.5,8.4
109,Zamość,1385,8.9,8.4
110,Kazimierz Dolny,3079,8.4,8.0
111,Biała Podlaska,1400,8.6,8.9
112,Lublin,2520,8.9,8.5
113,Międzyrzec Podlaski,1120,8.4,9.6
114,Lublin,1829,8.3,9.1
115,Lublin,1709,8.6,9.6
116,Woskrzenice Duże,980,7.2,9.7
117,Lublin,1460,8.9,8.4
118,Ludwin,918,8.7,9.7
119,Zwierzyniec,1050,8.0,8.2
120,Paskudy,973,9.0,9.6
121,Świdnik,1050,7.7,9.3
122,Międzyrzec Podlaski,1050,8.6,9.3
123,Krężnica Jara,413,9.2,8.9
124,Lublin,1190,9.2,8.8
125,"Stare Miasto, Lublin",4522,8.0,9.0
126,Susiec,840,9.7,9.3
127,Lublin,1612,9.6,8.0
128,Weremowice,969,8.5,8.2
129,Bogucin,770,9.7,8.9
130,Puławy,1357,8.2,8.7
131,Kazimierz Dolny,1960,9.5,8.2
132,Lublin,2440,9.2,8.6
133,Firlej,1078,9.3,9.7
134,Lublin,2093,8.9,8.1
135,Księżpol,841,6.1,9.1
136,"Stare Miasto, Lublin",1383,8.7,8.1
137,Biała Podlaska,857,9.0,8.8
138,Świdnik,1330,9.3,8.8
139,Lublin,390,8.0,9.1
140,Cieleśnica,1960,8.8,9.5
141,Biłgoraj,880,8.9,8.1
142,Krasnobród,1767,9.0,9.3
143,Zwierzyniec,1260,8.2,8.8
144,Radzyń Podlaski,892,8.7,9.1
145,Puławy,1521,9.6,9.0
146,Janowiec,1890,8.5,8.2
147,Wola Gardzienicka,1935,9.0,9.6
148,Biłgoraj,840,8.5,9.0
149,Łęczna,1354,8.7,8.2
150,Biłgoraj,630,8.9,8.4
151,Świdnik,1330,9.0,10.0
152,Nałęczów,1985,9.5,9.6
153,Łęczna,1354,8.2,9.1
154,Biała Podlaska,1512,9.2,8.3
155,Biała Podlaska,945,8.6,8.7
156,Łuków,1820,9.1,8.3
157,Lublin,1539,8.1,9.1
158,Lublin,1264,9.3,9.1
159,Zamość,875,8.2,8.3
160,Potok Senderski,1274,9.5,8.9
161,Puławy,1521,9.1,8.7
162,Kazimierz Dolny,2030,8.8,9.6
163,Puławy,1540,8.6,10.0
164,Krasnobród,2467,10.0,8.9
165,Zwierzyniec,1540,9.6,10.0
166,Biłgoraj,1369,9.0,9.5
167,Okuninka,2377,8.7,8.1
168,Udrycze,911,9.0,9.6
169,Zamość,1330,8.0,8.8
170,Krasnobród,2722,7.6,9.0
171,Krasnobród,791,9.1,8.3
172,Kodeń,833,9.1,8.4
173,Puławy,1295,7.9,9.0
174,Niedrzwica Kościelna,910,8.0,8.1
175,Niedrzwica Kościelna,910,8.8,9.7
176,Okuninka,2443,7.4,9.7
177,Kodeń,826,8.9,9.7
178,Lublin,2065,9.6,9.2
179,Zwierzyniec,1680,7.3,8.8
180,Łęczna,1120,9.7,9.8
181,Biała Podlaska,1351,8.8,9.0
182,Wisznice,910,10.0,9.5
183,Hrubieszów,1260,9.7,8.9
184,Radzyń Podlaski,840,8.1,8.4
185,Kock,1339,7.6,9.6
186,Janów Lubelski,2800,9.4,9.6
187,Dęblin,840,8.8,8.4
188,Okuninka,1918,9.1,9.1
189,Łuków,1400,8.5,9.8
190,Józefów na Wisłą,1050,8.7,9.6
191,Lublin,2610,8.9,8.5
192,Zamość,725,8.2,9.8
193,Zaróbka,3150,7.2,8.6
194,Biała Podlaska,980,9.8,9.3
195,Lublin,665,9.6,9.6
196,Chełm,1134,9.8,8.4
197,Kazimierz Dolny,2010,9.5,9.3
198,Susiec,2450,8.7,9.7
199,Janowiec,2765,9.8,9.9
200,Zamość,2975,9.2,9.8
201,Kazimierz Dolny,2753,7.9,9.3
202,Janowiec,2079,9.2,8.7
203,Susiec,910,9.0,9.9
204,Lublin,1656,8.3,9.1
205,Dęblin,1400,9.7,8.6
206,Kazimierz Dolny,3664,9.4,9.4
207,Lublin,1795,8.5,10.0
208,Zamość,1953,8.7,10.0
209,Zamość,1190,9.7,8.8
210,Lublin,2210,9.6,9.7
211,Lublin,1750,8.6,8.6
212,Zamość,1960,9.1,9.6
213,Biała Podlaska,1350,8.5,9.5
214,Zamość,1400,9.2,8.1
215,Opole Lubelskie,700,9.5,9.4
216,Lublin,1639,8.6,9.6
217,Zwierzyniec,1547,8.0,9.7
218,Lublin,1183,9.3,8.3
219,Tomaszów Lubelski,1160,7.4,9.9
220,"Stare Miasto, Lublin",818,9.5,8.9
221,Puławy,1038,9.9,9.1
222,Kazimierz Dolny,2138,8.0,9.3
223,Szczebrzeszyn,693,9.9,8.8
224,Zamość,1607,9.3,9.9
225,"Stare Miasto, Lublin",818,7.4,9.1
226,Zwierzyniec,5418,8.7,9.6
227,Puławy,1038,9.9,8.8
228,Kazimierz Dolny,2138,9.5,8.6
229,Lublin,1645,8.7,9.8
230,Zamość,1607,9.3,9.1
231,Ludwin,765,9.9,8.8
232,Kazimierz Dolny,2784,9.8,8.3
233,Kazimierz Dolny,3872,8.7,9.5
234,Zamość,2207,9.5,9.1
235,Wąwolnica,2415,8.7,9.6
236,Majdan Sopocki,931,9.6,9.0
237,Szczebrzeszyn,693,9.3,9.9
238,Zamość,1708,7.8,9.5
239,Janowiec,2100,9.3,8.6
240,"Stare Miasto, Lublin",2217,7.9,8.9
241,Mircze,1260,9.5,9.0
242,Chełm,2150,9.8,9.9
243,Biała Podlaska,833,8.2,9.5
244,"Stare Miasto, Lublin",1575,9.8,9.6
245,Biała Podlaska,1289,9.0,8.6
246,Biała Podlaska,869,9.2,8.9
247,Krasnystaw,1400,9.1,9.0
248,Lublin,2680,8.8,9.8
249,Kazimierz Dolny,1508,9.9,9.4
250,Lublin,1512,9.2,8.3
251,Lublin,1400,9.6,9.2
252,Lublin,4037,9.0,10.0
253,Lublin,1334,8.7,8.6
254,Nałęczów,2692,9.8,9.0
255,Lublin,2088,7.8,9.1
256,Okuninka,1274,9.2,9.8
257,Lublin,686,9.5,9.2
258,Kazimierz Dolny,4250,8.0,9.6
259,Lublin,825,7.8,9.3
260,Kazimierz Dolny,1770,9.7,10.0
261,Zwierzyniec,2170,9.4,9.2
262,Lublin,1435,9.4,8.7
263,Zamość,1670,8.9,8.9
264,Cyców,3332,6.8,9.2
265,Zwierzyniec,2380,9.9,9.8
266,Kazimierz Dolny,2100,9.5,9.4
267,Majdan Stuleński,1890,8.3,9.6
268,Okuninka,1924,8.7,8.9
269,Bondyrz,3970,7.6,8.8
270,Tomaszów Lubelski,980,9.2,9.8
271,Zamość,1881,9.9,9.8
272,Lublin,2611,9.5,9.6
273,Dęblin,1400,9.6,8.4
274,Kazimierz Dolny,1530,8.3,8.2
275,Bondyrz,3970,7.6,9.5
276,Tomaszów Lubelski,980,8.7,9.6
277,Łuków,1400,9.2,9.4
278,Zamość,1881,9.8,9.4
279,Dęblin,1400,9.5,8.8
280,Lublin,2611,7.3,9.1
281,Kazimierz Dolny,2060,8.5,9.2
282,Kazimierz Dolny,4250,8.8,8.1
283,Krasnobród,4175,10.0,9.6
284,Lublin,315,9.1,8.1
285,Zamość,910,9.4,9.7
286,Nałęczów,867,9.6,9.4
287,Zamość,1512,7.6,9.2
288,Adamów,1267,9.5,9.2
289,Krasnobród,1208,7.9,8.9
290,Majdan Wielki,2294,9.4,9.6
291,Lublin,840,9.5,8.1
292,Susiec,2030,9.1,8.2
293,Szczebrzeszyn,3290,9.9,9.7
294,Długowola,3824,9.1,9.4
295,Nałęczów,3689,8.6,9.4
296,Lublin,1890,8.8,9.7
297,Janów Podlaski,1960,8.8,8.1
298,Kazimierz Dolny,1210,9.6,9.2
