,City,Cost,Rating,Comfort
0,Głogów Małopolski,1575,7.5,8.3
1,Przemyśl,1441,7.0,8.8
2,Solina,777,8.7,8.8
3,Polańczyk,534,8.9,9.1
4,Lutowiska,1724,8.7,8.2
5,Polańczyk,886,7.4,8.8
6,Rzeszów,1604,7.5,9.2
7,Ustrzyki Dolne,773,9.2,8.0
8,Krosno,840,8.3,8.9
9,Rzeszów,665,7.3,9.7
10,Rajskie Sakowczyk,3764,8.7,8.3
11,Lutowiska,1914,9.0,8.4
12,Przemyśl,322,8.2,9.5
13,Będziemyśl,1259,8.9,8.5
14,Łańcut,3073,9.6,9.4
15,Jasło,981,8.5,9.4
16,Jasło,980,8.4,9.4
17,Krosno,1013,9.4,9.3
18,Przemyśl,1838,8.2,9.4
19,Rzeszów,2608,9.1,9.3
20,Trzebownisko,4186,9.0,9.5
21,Jasionka,4788,9.2,9.4
22,Polańczyk,2197,8.1,9.4
23,Polańczyk,1621,9.3,8.9
24,Wetlina,1610,9.3,9.1
25,Góra Motyczna,1400,9.1,9.0
26,Wetlina,1911,9.4,9.0
27,Zawóz,5813,9.3,8.5
28,Polańczyk,3440,9.2,8.1
29,Solina,2983,7.6,9.4
30,Komańcza,869,7.3,9.1
31,Polańczyk,1449,9.0,8.4
32,Kalnica,1030,9.2,9.7
33,Przemyśl,1478,9.1,9.8
34,Rzeszów,1443,7.5,8.0
35,Smolnik,1916,9.3,9.6
36,Ulanów,595,9.0,9.4
37,Rzeszów,1932,8.1,9.1
38,Frysztak,1259,9.4,8.5
39,Dubiecko,1732,9.1,9.6
40,Sanok,1066,8.3,9.5
41,Rzeszów,3937,9.6,9.5
42,Przemyśl,1678,9.6,8.3
43,Rzeszów,1417,7.9,9.7
44,Wetlina,2976,9.5,9.0
45,Solina,2407,9.5,9.0
46,Rzeszów,2233,9.0,9.2
47,Kombornia,2041,8.4,10.0
48,Przemyśl,1990,9.6,9.7
49,Ropienka,1724,9.5,9.9
50,Ropienka,1724,9.5,8.9
51,Stalowa Wola,1470,8.2,10.0
52,Pawłowa,1932,9.9,9.2
53,Wyżne,1916,8.5,9.8
54,Przemyśl,1567,6.5,9.8
55,Zawóz,3364,9.1,9.5
56,Rzeszów,2835,9.0,9.4
57,Smerek,1669,9.7,8.1
58,Łańcut,1285,7.3,8.1
59,Rudna Mała,1820,9.7,8.8
60,Ustrzyki Dolne,1076,9.8,9.9
61,Przemyśl,2171,8.5,9.3
62,Rzeszów,2678,9.9,8.2
63,Wetlina,1691,9.3,9.2
64,Solina,3088,9.8,8.1
65,Ustrzyki Dolne,4202,9.5,9.1
66,Przemyśl,2512,9.4,8.3
67,Wańkowa,2479,8.2,9.4
68,Cisna,1056,9.6,9.3
69,Bukowiec,780,8.1,8.0
70,Radymno,1260,8.4,9.0
71,Horyniec Zdrój,1241,8.8,9.6
72,Sanok,910,9.9,9.9
73,Ustrzyki Dolne,1681,9.0,9.6
74,Rzeszów,3570,8.7,9.0
75,Ustrzyki Dolne,1102,9.3,9.5
76,Cisna,630,8.4,8.9
77,Horyniec Zdrój,1241,9.1,8.7
78,Mielec,1330,8.1,9.3
79,Przemyśl,1191,9.1,8.8
80,Rzeszów,3420,9.6,8.4
81,Solina,1057,8.4,9.6
82,Rymanów-Zdrój,666,8.2,8.0
83,Cisna,2106,9.1,8.0
84,Zawóz,3364,9.4,9.6
85,Jarosław,1533,9.9,9.8
86,Baligród,5732,9.6,8.2
87,Cisna,2061,9.0,8.9
88,Ustrzyki Górne,1116,9.6,9.2
89,Jarosław,1095,9.1,8.8
90,Stalowa Wola,882,8.9,9.3
91,Iwonicz-Zdrój,905,9.2,9.0
92,Iwonicz-Zdrój,2083,8.7,8.2
93,Przemyśl,1448,8.1,9.5
94,Jasło,1260,8.4,9.7
95,Ustrzyki Dolne,777,9.5,9.2
96,Iwonicz-Zdrój,1289,8.2,9.5
97,Mielec,1260,7.9,9.4
98,Dukla,964,7.9,8.0
99,Rzeszów,1449,9.5,8.3
100,Rzeszów,1449,10.0,8.9
101,Ustrzyki Dolne,2448,8.3,9.0
102,Niwiska,1267,8.3,8.5
103,Rzeszów,910,9.3,8.8
104,Wola Ociecka,985,8.6,8.7
105,Cisna,1162,9.2,9.4
106,Łańcut,1750,8.6,9.4
107,Przemyśl,1400,8.2,9.5
108,Rzeszów,3336,9.3,8.0
109,Stalowa Wola,1330,9.7,8.3
110,Tarnobrzeg,2660,9.0,9.7
111,Kużmina,1133,7.4,9.0
112,Krosno,2713,9.5,9.0
113,Ustrzyki Dolne,1610,7.9,8.9
114,Polańczyk,4689,9.5,8.2
115,Stalowa Wola,1288,8.0,9.3
116,Lesko,1780,8.7,8.4
117,Przemyśl,1183,8.8,9.7
118,Solina,1337,9.0,9.4
119,Sędziszów Małopolski,1120,8.7,9.2
120,Góra Motyczna,1330,8.7,9.0
121,Wrocanka,704,8.9,9.4
122,Lutowiska,1761,9.4,9.8
123,Krasiczyn,1512,9.5,10.0
124,Dukla,918,9.5,8.8
125,Lesko,2237,8.2,9.6
126,Polańczyk,3130,7.9,9.6
127,Dukla,964,8.0,9.4
128,Stalowa Wola,1288,8.7,9.0
129,Przemyśl,1183,9.7,8.8
130,Solina,1337,9.0,8.9
131,Kużmina,1133,9.2,8.8
132,Góra Motyczna,1330,7.4,9.2
133,Rymanów-Zdrój,1771,8.8,9.2
134,Iwonicz-Zdrój,1393,8.3,9.0
