,City,Cost,Rating,Comfort
0,"Śródmieście, Łódź",661,7.4,9.1
1,Łódź,1184,9.0,8.2
2,"Śródmieście, Łódź",1242,8.1,9.3
3,Uniejów,2885,9.0,9.4
4,Osjaków,4435,9.5,9.6
5,"Śródmieście, Łódź",627,7.4,9.5
6,Piotrków Trybunalski,1623,9.5,9.4
7,Inowłódz,1055,9.3,8.6
8,"Śródmieście, Łódź",1826,9.2,8.4
9,Łódź,1051,8.1,9.4
10,Piotrków Trybunalski,1463,7.9,8.7
11,Zgierz,1145,8.3,8.1
12,"Śródmieście, Łódź",2286,8.9,8.3
13,Smardzewice,1217,8.9,8.0
14,Leżnica Wielka,1085,8.1,9.7
15,Łęczyca,1014,7.4,9.5
16,Spała,1729,8.4,9.0
17,Spała,972,8.3,8.1
18,"Bałuty, Łódź",2820,9.5,8.1
19,Uniejów,3515,9.2,8.3
20,"Śródmieście, Łódź",2451,8.7,9.4
21,Łódź,1915,7.8,9.5
22,Kutno,1254,7.1,8.2
23,"Śródmieście, Łódź",587,7.9,8.6
24,"Śródmieście, Łódź",619,7.8,9.1
25,Kutno,1254,7.9,9.5
26,"Śródmieście, Łódź",619,8.2,8.0
27,Brzeźnio,1400,7.9,9.4
28,Konstantynów Łódzki,826,8.1,9.4
29,Łódź,1480,9.1,9.1
30,"Bałuty, Łódź",2434,7.7,8.6
31,"Śródmieście, Łódź",1246,7.6,8.2
32,"Śródmieście, Łódź",1379,9.4,8.6
33,Łowicz,1435,8.0,8.9
34,Bolesławiec,1201,8.7,9.4
35,Chlebów,612,9.1,9.6
36,Nieborów,1610,9.4,8.4
37,Uniejów,1142,8.0,8.7
38,Piotrków Trybunalski,1106,9.0,8.2
39,Łódź,2961,9.0,8.6
40,"Śródmieście, Łódź",2334,8.9,8.6
41,Wieluń,1330,8.3,9.6
42,Łódź,1587,8.1,9.0
43,Łódź,1251,8.5,8.1
44,Kutno,1530,8.8,9.5
45,Łódź,2128,7.1,8.0
46,Księże Młyny,773,9.3,8.4
47,Łódź,980,9.5,9.1
48,Moszczenica,2061,8.1,9.4
49,Bełchatów,1677,8.5,8.4
50,"Śródmieście, Łódź",2125,8.3,9.4
51,Wolbórz,1155,8.5,9.0
52,Łódź,1886,8.6,8.2
53,Łowicz,1820,9.5,9.3
54,Łódź,2717,8.8,8.4
55,Osjaków,1260,7.2,8.4
56,Łódź,1261,7.8,8.3
57,Polichno,973,8.2,8.5
58,Radomsko,630,9.4,8.5
59,"Śródmieście, Łódź",3228,8.0,9.3
60,Konstantynów Łódzki,980,7.6,9.2
