,City,Cost,Rating,Comfort
0,Kielce,1393,8.7,8.9
1,Marzysz,2800,9.1,9.0
2,Busko-Zdrój,1120,9.3,9.3
3,Kielce,1786,8.2,8.5
4,Bodzentyn,3458,9.9,9.9
5,Cedzyna,3528,8.8,8.9
6,Krajno Pierwsze,980,9.3,9.2
7,Kielce,1960,9.0,9.1
8,Kielce,1587,8.1,8.2
9,Sandomierz,1610,9.5,9.6
10,Sandomierz,2124,9.0,9.0
11,Chęciny,840,8.9,8.6
12,Starachowice,882,8.4,8.4
13,Obrazów,1176,8.8,8.9
14,Kielce,1352,8.3,8.2
15,Solec-Zdrój,1676,9.6,9.4
16,Sandomierz,1680,8.6,8.4
17,Miedzierza,1183,9.5,9.4
18,Opatów,1050,8.8,8.7
19,Krajno-Zagórze,569,9.5,9.4
20,Chęciny,700,8.3,8.0
21,Dwikozy,1400,9.1,9.0
22,Przybysławice,1850,8.3,8.0
23,Busko-Zdrój,1400,9.0,8.9
24,Sobków,1330,8.7,8.0
25,Sobków,1330,8.7,8.0
26,Sandomierz,2610,8.9,9.1
27,Ostrowiec Świętokrzyski,1295,9.0,9.1
28,Kielce,973,8.4,8.4
29,Cisów,1050,8.2,9.0
30,Wiśniówka Mała,1101,9.1,9.8
31,Święta Katarzyna,2593,9.8,9.0
32,Sandomierz,1210,8.9,8.9
33,Chęciny,1750,7.9,9.3
34,Opatów,1505,8.8,9.0
35,Święta Katarzyna,1194,9.1,8.9
36,Masłów,833,7.3,9.6
37,Kielce,1733,9.0,8.2
38,Wola,2580,9.2,8.2
39,Kielce,1330,7.8,9.0
40,Solec-Zdrój,1078,9.5,9.5
41,Bałtów,1834,8.3,9.1
42,Ostrowiec Świętokrzyski,1442,8.3,8.2
43,Busko-Zdrój,3048,8.7,9.4
44,Krajno Pierwsze,890,9.5,8.2
45,Kielce,643,9.1,8.8
46,Skarżysko-Kamienna,1183,8.1,8.4
47,Skalbmierz,1377,9.0,8.9
48,Rytwiany,1680,8.0,8.8
49,Końskie,980,7.3,8.3
50,Starachowice,751,9.3,8.4
51,Krajno Pierwsze,708,8.7,8.4
52,Nagłowice,1050,8.8,9.6
53,Ostrowiec Świętokrzyski,1120,8.0,8.2
54,Odonów,770,9.2,9.1
55,Celiny,700,8.9,8.3
56,Starachowice,630,8.7,8.9
57,Starachowice,1995,8.3,8.3
58,Sandomierz,2680,9.6,9.3
59,Zielonki,840,8.3,9.4
60,Busko-Zdrój,840,9.1,9.0
61,Busko-Zdrój,3059,8.3,9.1
62,Stąporków,1400,7.2,9.6
63,Starachowice,2611,8.7,8.6
64,Święta Katarzyna,490,8.6,9.7
65,Ostrowiec Świętokrzyski,1418,9.3,10.0
66,Solec-Zdrój,1308,9.2,9.0
67,Busko-Zdrój,1254,9.0,8.5
68,Busko-Zdrój,3320,8.7,8.1
69,Sandomierz,1400,9.5,9.8
70,Busko-Zdrój,952,8.8,9.2
71,Kielce,1343,9.7,8.9
72,Święta Katarzyna,2520,9.8,9.1
73,Sandomierz,1610,9.0,9.5
74,Bałtów,1260,8.8,8.9
75,Bałtów,3939,8.3,9.1
76,Stopnica,700,9.5,8.6
77,Bodzentyn,6300,9.1,9.5
78,Sandomierz,2480,9.0,8.1
79,Kielce,952,9.0,9.2
80,Busko-Zdrój,2673,9.4,8.0
81,Kielce,3433,8.7,9.3
82,Kielce,2158,9.3,9.8
83,Sandomierz,2450,8.7,8.1
84,Kazimierza Wielka,1242,9.2,9.4
85,Kielce,4901,8.4,8.7
86,Milanowska Wolka,910,9.0,9.5
87,Sandomierz,1120,8.5,9.3
88,Bałtów,959,9.2,9.2
89,Sandomierz,2480,9.9,10.0
90,Kielce,984,7.4,8.1
91,Sandomierz,3290,8.3,8.9
92,Ostrowiec Świętokrzyski,980,9.4,8.4
93,Stopnica,875,8.8,9.5
94,Święta Katarzyna,1400,9.5,9.4
95,Sandomierz,2610,9.3,9.8
96,Łagów,2912,9.4,8.4
97,Bodzentyn,483,10.0,9.4
98,Suchedniów,2307,7.9,8.2
99,Sandomierz,2073,9.2,9.7
100,Kielce,1190,8.3,8.3
101,Gartatowice,1400,9.5,8.9
102,Busko-Zdrój,700,9.4,9.5
