,City,Cost,Rating,Comfort
0,Niesulice,2274,8.8,9.1
1,Skwierzyna,2625,8.8,8.8
2,Radzyń,1417,7.8,9.2
3,Nowa Sól,1953,9.1,8.3
4,Słubice,2044,7.8,8.0
5,Łagów,2199,8.3,8.7
6,Gorzów Wielkopolski,2501,7.9,8.6
7,Żary,1400,8.7,8.7
8,Babimost,1644,8.6,9.1
9,Jesionka,2163,8.6,9.5
10,"Centrum, Zielona Góra",2012,9.0,8.6
11,Kostrzyn nad Odrą,2290,7.5,9.3
12,Gorzów Wielkopolski,1958,9.4,8.5
13,Radzyń,2850,8.8,8.3
14,Słońsk,2027,9.1,8.4
15,Gorzów Wielkopolski,2940,8.3,9.5
16,Łagów,4328,7.6,9.3
17,Słubice,1940,8.1,8.3
18,Olszyna,1680,8.5,8.5
19,Gorzów Wielkopolski,1890,9.4,8.6
20,"Centrum, Zielona Góra",1632,9.2,8.5
21,Łęknica,2719,8.4,9.2
22,Witnica,1190,7.5,8.1
23,Słońsk,1625,8.2,8.6
24,Lubniewice,4270,8.4,9.4
25,Słońsk,1625,8.2,9.4
26,Gorzów Wielkopolski,1927,7.8,8.0
27,Strzelce Krajeńskie,2100,9.1,8.4
28,Żary,2720,7.9,8.7
29,Kosarzyn,1152,8.0,9.6
30,Słubice,2073,8.6,8.7
31,Lubiatów,1703,9.3,8.8
32,"Centrum, Zielona Góra",2817,7.2,9.4
33,Gorzów Wielkopolski,1870,9.4,8.9
34,Kostrzyn nad Odrą,980,7.8,8.6
35,Gorzów Wielkopolski,1890,8.4,8.8
36,Gorzów Wielkopolski,1447,7.0,8.8
37,Świebodzin,2195,8.8,9.1
38,Łęknica,1644,9.5,8.8
39,Szprotawa,2870,8.7,8.6
40,Zielona Góra,2293,8.8,9.2
41,Torzym,1260,9.3,8.4
42,Lubniewice,4228,7.6,9.3
43,Nowa Sól,1883,8.8,9.4
44,Torzym,1680,8.7,8.1
45,Międzyrzecz,1925,8.0,9.1
46,Żary,1183,8.9,9.5
47,Brody,2450,8.7,9.4
48,Nowa Sól,1533,9.1,8.8
49,"Centrum, Zielona Góra",1746,8.7,8.9
50,Zielona Góra,1954,8.5,9.3
51,"Centrum, Zielona Góra",1746,6.6,8.0
52,Szprotawa,1190,8.9,8.6
53,Gorzów Wielkopolski,1260,7.1,8.5
54,"Centrum, Zielona Góra",3626,6.7,9.7
55,Żary,1820,8.4,9.2
56,Słubice,1190,9.3,9.3
57,Ośno Lubuskie,2030,9.1,9.2
58,"Centrum, Zielona Góra",3731,7.8,8.1
59,Zielona Góra,2793,9.0,9.3
60,Gorzów Wielkopolski,2030,7.7,8.9
61,Lubrza,2200,9.2,8.9
62,Kostrzyn nad Odrą,1890,9.3,9.7
63,Torzym,1610,8.5,9.6
64,Gorzów Wielkopolski,1785,7.8,8.1
65,Gorzów Wielkopolski,1540,8.7,9.0
66,Żary,2394,9.2,9.8
67,Międzyrzecz,1680,7.9,8.2
68,"Centrum, Zielona Góra",1680,8.6,8.0
69,Torzym,1400,8.7,8.4
70,Żary,1750,9.6,8.0
71,Danków,1564,9.2,9.7
72,Zielona Góra,2801,9.1,8.6
73,Zielona Góra,2800,9.2,8.6
74,Gubin,2240,7.6,9.2
75,Zielona Góra,2800,9.1,9.5
76,Gorzów Wielkopolski,1190,8.7,9.8
77,Gubin,2240,8.2,8.1
78,Nowa Sól,1260,9.4,9.8
79,Niesulice,4415,9.5,9.5
80,Niesulice,3500,7.9,9.8
81,Zabór,3273,8.8,8.6
82,Gorzów Wielkopolski,1700,9.5,8.6
83,Rzepin,1883,8.1,8.0
84,Zielona Góra,1400,7.8,8.1
85,Nowa Wieś,3952,7.9,9.0
86,Gubin,2380,8.3,9.0
87,"Centrum, Zielona Góra",1590,8.7,9.4
88,Słubice,1820,7.9,9.5
89,Nowa Sól,1190,9.7,9.2
90,Międzyrzecz,2100,8.5,8.1
91,Żagań,2800,8.5,9.5
92,Lubniewice,2240,8.9,8.7
93,Dąbie,1071,9.3,9.2
94,Gorzów Wielkopolski,2576,9.6,9.5
95,Kostrzyn nad Odrą,2940,8.2,9.0
96,Nowa Sól,1330,7.9,9.2
97,Wilcze,2940,9.6,9.8
98,Mostki,1750,9.3,9.3
99,Słubice,1680,8.9,9.1
100,Wilcze,2940,8.4,8.0
101,Brzeźnica,2100,8.5,9.7
102,Zielona Góra,2077,7.5,8.3
103,Sulęcin,3603,8.3,9.3
104,Świebodzin,2450,8.3,8.6
105,Łagów,1323,8.2,8.8
106,Przewóz,1960,7.8,9.5
107,Mirostowice Górne,2020,7.8,9.0
