,City,Cost,Rating,Comfort
0,"Wola, Warszawa",1515,8.5,8.4
1,"Śródmieście, Warszawa",1024,7.1,9.1
2,"Śródmieście, Warszawa",1349,6.4,8.7
3,"Mokotów, Warszawa",3673,9.1,9.0
4,"Wola, Warszawa",1797,8.6,9.0
5,Nowy Dwór Mazowiecki,1645,8.9,9.4
6,"Włochy, Warszawa",2724,8.8,9.5
7,Przasnysz,2121,9.2,8.3
8,"Wola, Warszawa",3559,9.2,8.4
9,Sobienie Szlacheckie,2926,8.2,8.1
10,Gostynin,1400,8.0,8.7
11,Płock,2893,8.4,8.6
12,Radom,1120,8.0,9.6
13,"Śródmieście, Warszawa",2428,8.0,8.1
14,Leszno,2541,8.6,8.5
15,Radom,1400,8.5,8.7
16,Zatory,1514,9.4,9.0
17,"Wola, Warszawa",1733,7.1,9.0
18,Ciechanów,1645,8.1,9.4
19,Krzyżówka,1694,8.5,8.3
20,Ożarów Mazowiecki,2474,8.5,8.6
21,Żelazowa Wola,2100,9.2,9.5
22,"Śródmieście, Warszawa",3201,8.7,8.6
23,"Śródmieście, Warszawa",4073,9.1,9.1
24,Konstancin-Jeziorna,2660,8.4,9.2
25,Klembów Kościelny,1715,8.6,9.0
26,"Wola, Warszawa",2788,9.3,8.4
27,Siedlce,1540,8.6,8.8
28,"Śródmieście, Warszawa",2040,9.0,8.6
29,Wilga,2219,9.3,8.2
30,Józefów,3029,8.6,9.4
31,Leszno,1750,8.4,9.0
32,"Ochota, Warszawa",3270,8.5,8.6
33,Ołtarzew,2303,8.6,8.2
34,Żyrardów,1692,8.0,9.3
35,Dalnia,1540,8.4,9.5
36,"Śródmieście, Warszawa",2860,9.1,9.3
37,Ostrów Mazowiecka,1680,7.1,8.8
38,"Włochy, Warszawa",3115,8.6,8.2
39,"Włochy, Warszawa",2337,8.4,9.3
40,"Śródmieście, Warszawa",2455,8.2,8.8
41,Altanka,3315,9.3,8.9
42,"Włochy, Warszawa",2564,9.1,8.4
43,"Włochy, Warszawa",3360,9.1,8.4
44,"Śródmieście, Warszawa",2587,8.7,9.2
45,"Mokotów, Warszawa",1532,7.9,9.3
46,Ząbki,3640,9.1,9.3
47,Łochów,3635,8.5,8.2
48,"Śródmieście, Warszawa",3806,8.6,9.3
49,"Śródmieście, Warszawa",1721,8.3,8.4
50,"Śródmieście, Warszawa",1721,8.3,8.8
51,"Wola, Warszawa",1746,7.7,8.2
52,Płock,1830,9.2,9.6
53,"Mokotów, Warszawa",2615,9.0,9.2
54,"Mokotów, Warszawa",2544,9.1,8.7
55,"Śródmieście, Warszawa",2520,8.2,8.7
56,Radom,1050,9.3,9.8
57,"Włochy, Warszawa",1978,8.3,9.0
58,Sochaczew,3213,8.6,9.6
59,Nowy Dwór Mazowiecki,2325,8.1,8.8
60,"Wola, Warszawa",3794,9.5,9.2
61,"Śródmieście, Warszawa",3372,8.9,9.6
62,"Włochy, Warszawa",2055,8.6,9.3
63,Mszczonów,1680,8.7,9.2
64,Radom,1314,9.7,9.7
65,Ciechanów,1645,8.1,8.4
66,Magdalenka,2030,8.8,8.8
67,"Mokotów, Warszawa",2374,9.3,9.2
68,Gaj,1400,8.8,9.3
69,"Wawer, Warszawa",2484,8.8,9.6
70,"Mokotów, Warszawa",2263,9.1,9.2
71,"Wola, Warszawa",2536,8.9,9.7
72,"Ochota, Warszawa",2642,8.9,8.4
73,"Wola, Warszawa",3669,9.4,8.7
74,"Śródmieście, Warszawa",2057,8.4,9.2
75,Gaj,1400,8.8,8.6
76,"Wawer, Warszawa",2167,8.8,8.4
77,"Wola, Warszawa",2536,8.9,8.1
78,Nowa Wieś,1300,9.5,8.8
79,"Ochota, Warszawa",2643,8.9,8.5
80,"Wola, Warszawa",3664,9.4,9.0
81,"Śródmieście, Warszawa",2057,8.4,9.5
82,"Śródmieście, Warszawa",2543,8.5,8.9
83,"Wola, Warszawa",3469,8.9,9.5
84,"Wola, Warszawa",2184,8.2,9.2
85,Gorzewo,2653,8.5,9.4
86,Piaseczno,1400,8.3,8.9
87,"Ursynów, Warszawa",1925,8.6,8.7
88,Nowy Dwór Mazowiecki,3119,8.2,8.4
89,Siedlce,2205,8.8,9.3
