,City,Cost,Rating,Comfort
0,Ostróda,4821,8.3,9.1
1,Biała Olecka,2030,9.6,9.6
2,Elbląg,3174,8.9,9.1
3,Olsztyn,2028,8.5,8.6
4,Stare Jabłonki,4749,8.7,8.9
5,Olsztyn,2606,8.9,9.2
6,Olsztyn,9552,9.2,9.4
7,Ostróda,3500,9.0,9.1
8,Bartoszyce,1323,8.3,8.3
9,Olsztyn,5093,9.2,9.4
10,Frombork,3696,9.3,9.5
11,Nowe Guty,3283,8.3,8.1
12,Kromerowo,4519,8.7,8.6
13,Dorotowo,6103,8.9,9.1
14,Ostróda,1512,8.0,8.7
15,Olsztyn,2458,8.5,8.2
16,Ruciane-Nida,6675,8.0,9.5
17,Mikołajki,8595,9.2,8.6
18,Ostróda,3206,8.4,9.8
19,Elbląg,1463,7.3,9.9
20,Bartoszyce,1400,9.8,9.5
21,Olecko,2350,9.9,8.4
22,Olsztyn,2995,9.3,9.1
23,Ryn,4550,8.3,8.6
24,Bartoszyce- Galiny,4900,9.2,8.4
25,Klekotki,4098,8.5,9.1
26,Ryn,3320,8.3,9.0
27,Bartoszyce- Galiny,4900,9.2,9.2
28,Olsztyn,2606,8.9,9.0
29,Ruś,1750,9.1,9.4
30,Mikołajki,5709,8.9,9.5
31,Giżycko,2578,9.4,9.1
32,Giżycko,4771,9.3,10.0
33,Giżycko,4965,8.9,9.3
34,Idzbark,3124,10.0,9.4
35,Olsztyn,2788,9.1,8.2
36,Giżycko,3882,9.3,9.1
37,Elbląg,2231,7.9,9.0
38,Kadyny,3977,8.2,9.6
39,Mikołajki,5394,8.8,8.0
40,Mrągowo,1597,8.6,9.0
41,Pasłęk,2100,9.6,8.5
42,Woryty,6514,8.1,8.0
43,Majdy,2762,9.0,8.9
44,Mikołajki,5994,8.6,8.9
45,Elbląg,2979,8.9,8.7
46,Święta Lipka,1960,8.7,8.0
47,Mikołajki,3182,7.7,9.8
48,Ełk,1073,8.6,8.7
49,Wiartel,5555,8.7,9.2
50,Rydzewo,5600,8.3,9.8
51,Tumiany,2520,9.7,9.0
52,Purda,4498,8.9,9.7
53,Węgorzewo,2520,9.3,8.5
54,Biskupiec,3500,9.9,9.0
55,Sniadowo,9178,9.2,8.2
56,Braniewo,1221,9.4,9.6
57,Woryty,6249,8.4,8.6
58,Morąg,2380,9.1,8.3
59,Butryny,1540,8.3,9.6
60,Giżycko,2209,9.6,8.3
61,Biskupiec,2083,8.6,9.0
62,Mikołajki,4232,8.5,8.7
63,Sztynort,2310,9.8,8.4
64,Lidzbark Warmiński,2683,8.1,8.4
65,Elbląg,910,9.3,8.8
66,Prażmowo,2030,8.6,8.6
67,Tolkmicko,1290,8.3,8.6
68,Zalewo,1323,8.6,8.4
69,Olsztyn,1867,9.0,8.5
70,Lidzbark Warmiński,1400,8.5,9.3
71,Miłakowo,2100,8.5,8.6
72,Frombork,1540,8.5,8.6
73,Ruciane-Nida,2780,9.0,8.4
74,Trzcin,2128,9.4,8.5
75,Mrągowo,4556,8.5,9.1
76,Miłakowo,2100,8.5,9.5
