,City,Cost,Rating,Comfort
0,Katowice,2606,9.7,9.8
1,Jeleśnia,1777,8.0,8.0
2,Pyrzowice,3780,8.7,9.1
3,Kroczyce,2318,8.3,8.1
4,Istebna,2380,8.4,8.4
5,Tychy,1610,9.3,9.4
6,Ustroń,3570,8.7,8.5
7,Milówka,1610,8.2,8.4
8,Dąbrowa Górnicza,1938,8.7,8.9
9,Tychy,2759,8.0,8.1
10,Szczyrk,4206,8.4,8.6
11,Istebna,2226,8.4,8.3
12,Katowice,1223,8.7,8.7
13,Jaworzno,2030,8.3,8.4
14,Częstochowa,1960,8.2,9.5
15,Piekary Śląskie,2805,9.2,9.5
16,Żarki,1124,7.7,9.0
17,Dąbrowa Górnicza,805,7.5,9.4
18,Sosnowiec,1128,7.8,9.4
19,Żabnica,1771,9.6,8.6
20,Bytom,1960,8.8,8.6
21,Biskupice,2800,9.5,9.0
22,Będzin,1377,7.8,8.3
23,Chorzów,1327,9.4,9.1
24,Będzin,1610,8.5,9.0
25,Będzin,1610,8.5,8.7
26,Bielsko-Biała,1662,8.8,8.5
27,Sosnowiec,1290,7.5,8.5
28,Ustroń,1919,8.0,8.6
29,Międzybrodzie Bialskie,1574,8.7,8.5
30,Szczyrk,3010,9.1,8.0
31,Brenna,3448,8.9,8.7
32,Woźniki,2338,8.6,8.7
33,Kroczyce,2275,8.5,8.9
34,Katowice,1720,8.4,8.8
35,Rybnik,2415,8.6,8.7
36,Cieszyn,965,8.8,9.7
37,Będzin,1260,7.8,9.5
38,Wisła,1218,8.1,8.9
39,Istebna,1953,9.0,9.2
40,Szczyrk,2600,8.6,8.4
41,Porąbka,7507,8.6,9.2
42,Chorzów,1746,8.6,8.9
43,Gliwice,1754,8.5,9.2
44,Glinka,2619,9.7,8.2
45,Katowice,2668,9.2,8.7
46,Tychy,2513,7.6,8.2
47,Międzybrodzie Bialskie,1574,9.2,9.2
48,Racibórz,1546,8.8,8.8
49,Katowice,1316,8.3,8.9
50,Tychy,2513,7.6,8.2
51,Mikołów,2933,9.1,8.8
52,Międzybrodzie Bialskie,1574,9.2,9.8
53,Racibórz,1546,8.8,9.1
54,Ustroń,2373,8.0,8.7
55,Mszana,1540,8.1,8.4
56,Racibórz,1757,8.7,9.6
57,Ustroń,3395,8.4,9.1
58,Częstochowa,2134,9.2,9.3
59,Gliwice,2730,8.5,8.6
60,Czeladź,1909,8.8,8.7
61,Racibórz,1694,7.6,9.8
62,Gliwice,1400,8.1,8.4
63,Bytom,2100,8.8,8.3
64,Wisła,3471,9.4,9.7
65,Zwardoń,630,8.3,9.2
66,Racibórz,1533,9.1,8.7
67,Wisła,2756,8.8,9.0
68,Dzibice,1267,8.7,8.4
69,Zabrze,2339,9.4,8.1
70,Ustroń,3798,8.7,9.1
71,Szczyrk,1910,9.1,8.7
72,Tychy,2753,8.6,8.8
73,Szczyrk,2608,8.6,8.8
74,Żory,2584,9.8,10.0
75,Ustroń,1422,8.5,9.7
76,Pyrzowice,3150,8.2,9.3
77,Pietrzykowice,1919,9.5,9.2
78,Ujsoły,2815,9.3,8.9
79,Pyskowice,1178,8.4,8.0
80,Katowice,1157,8.7,8.8
81,Chorzów,1641,8.3,9.0
82,Gliwice,2321,8.0,8.5
83,Szczyrk,3715,8.9,8.7
84,Roszków,1759,8.4,9.4
85,Bielsko-Biała,2016,8.6,8.1
86,Racibórz,1607,8.6,8.1
87,Częstochowa,1875,9.9,9.4
88,Szczyrk,2349,9.6,8.0
89,Pszczyna,1900,8.8,9.0
90,Wisła,4856,9.2,8.7
91,Cieszyn,1351,8.8,9.1
92,Pierzchno,869,7.9,9.0
93,Katowice,2036,8.9,10.0
94,Ostrów,2374,8.8,8.6
95,Łaziska Górne,2723,8.3,9.2
96,Zebrzydowice,1400,8.6,9.2
97,Katowice,1427,9.1,9.1
98,Katowice,2873,7.9,9.5
99,Tychy,3128,7.9,9.1
100,Tychy,3128,9.3,8.8
101,Rogoźnik,1683,8.2,9.5
102,Częstochowa,837,8.8,9.2
103,Niegowa,2590,8.6,8.3
104,Pyrzowice,2527,8.7,9.1
105,Gliwice,2450,8.5,8.4
106,Dąbrowa Górnicza,2874,9.9,9.1
107,Szczyrk,2349,8.3,8.8
108,Katowice,2054,9.1,8.6
109,Katowice,3408,9.1,8.3
110,Bielsko-Biała,1808,8.9,9.2
111,Katowice,2246,9.5,8.7
112,Chorzów,1322,9.0,9.6
113,Żory,2423,8.9,9.2
114,Ustroń,1890,9.8,9.2
115,Glinka,3325,9.0,9.3
116,Siewierz,1071,8.3,8.1
117,Wisła,3264,9.2,8.4
118,Cieszyn,1442,8.4,8.1
119,Gliwice,2203,9.2,9.7
120,Szczyrk,1533,8.8,9.0
121,Goczałkowice-Zdrój,1295,8.7,8.4
122,Zarzecze,2800,8.3,9.1
123,Szczyrk,1874,9.1,8.0
124,Szczyrk,1947,8.5,8.4
125,Katowice,1789,9.6,9.8
126,Wisła,2223,9.4,8.4
127,Żywiec,1575,9.0,8.7
128,Milówka,1750,9.5,9.2
129,Ogrodzieniec,6170,8.1,9.6
130,Wisła,1778,8.0,8.0
131,Zabrze,1050,7.2,9.6
132,Rybnik,1583,6.1,8.4
133,Cieszyn,1370,8.2,9.8
134,Cieszyn,2054,8.1,8.4
135,Sosnowiec,1662,8.0,8.7
136,Katowice,1302,9.8,9.2
137,Laliki,1481,8.8,9.7
138,Szczyrk,1698,8.5,9.8
139,Lubliniec,3850,9.0,8.8
140,Dąbrowa Górnicza,1540,8.0,9.7
141,Będzin,1799,8.7,8.5
142,Świętochłowice,833,9.8,8.8
143,Korbielów,902,8.7,8.2
144,Szczyrk,3874,8.6,8.8
145,Brenna,2554,9.1,8.9
146,Pyskowice,1178,9.3,9.7
147,Lubliniec,1260,8.0,8.5
148,Katowice,2415,9.3,8.5
149,Wisła,1960,8.7,8.8
150,Świętochłowice,833,9.8,9.5
151,Wisła,1960,8.7,9.0
152,Korbielów,902,8.6,8.4
153,Szczyrk,3874,9.1,9.2
154,Brenna,2554,9.6,9.2
155,Pyskowice,1178,9.8,9.7
156,Lubliniec,1260,8.8,9.1
157,Katowice,2415,9.6,8.0
158,Częstochowa,1921,8.4,9.8
159,Szczyrk,5011,9.1,9.7
160,Szczyrk,1067,8.2,9.4
161,Bytom,1295,8.9,9.4
162,Korbielów,3010,8.7,9.5
163,Jaworzynka,1996,9.5,9.5
164,Gliwice,2195,8.3,8.6
165,Rajcza,1640,8.3,8.7
166,Krzyżanowice,845,8.7,9.6
167,Szczyrk,5598,9.4,8.9
168,Lubliniec,1717,9.2,9.8
169,Pszczyna,1785,8.3,9.4
170,Katowice,1695,9.1,9.6
171,Zabrze,2212,9.2,9.2
172,Niegowa,1050,9.6,10.0
173,Gliwice,1890,8.9,9.1
174,Ustroń,3937,8.4,9.2
