,City,Cost,Rating,Comfort
0,Mikolajewo,3563,9.0,8.9
1,Łomża,2810,7.5,9.8
2,Tykocin,2857,9.9,8.8
3,Supraśl,2254,8.9,9.5
4,Hajnówka,3156,9.1,8.7
5,Klewinowo,4130,8.5,8.9
6,Narewka,4452,8.9,9.0
7,Rajgród,2930,8.9,9.8
8,Kiermusy,3478,9.8,9.3
9,Białystok,2255,7.8,9.5
10,Sejny,3478,9.5,10.0
11,Zelwa,2202,9.6,9.3
12,Łomża,1680,7.7,8.1
13,Niemirów,5277,10.0,9.1
14,Suwałki,2380,8.0,8.2
15,Sokółka,2962,9.1,9.4
16,Bielsk Podlaski,3500,8.1,9.1
17,Bielsk Podlaski,3180,8.9,9.6
18,Sejny,1806,8.4,8.1
19,Augustów,2940,7.8,9.8
20,Białowieża,3803,9.4,8.5
21,Białystok,3556,8.9,9.4
22,"Old Town, Białystok",5202,9.4,8.7
23,Oszkinie,3150,8.4,8.7
24,Hajnówka,3014,9.6,9.0
25,Łuka,2930,8.3,8.5
26,"Old Town, Białystok",6180,9.1,9.2
27,Supraśl,4880,7.5,8.7
28,Werstok,1352,9.1,9.3
29,Białystok,5538,8.6,9.6
30,Kruszyniany,3590,8.9,8.6
31,Augustów,3028,8.3,9.5
32,"Old Town, Białystok",4894,8.9,9.3
33,Białowieża,4200,9.0,9.2
34,Rajgród,5348,9.1,9.2
35,Serwy,3542,9.2,9.1
36,Białystok,3340,8.6,9.3
37,Suwałki,7050,9.3,8.3
38,Łomża,1813,9.3,9.1
39,Sokółka,2800,9.0,8.3
40,Białowieża,7373,9.2,9.8
41,Wiżajny,1793,9.3,9.1
42,Klepaczew,3062,9.3,9.1
43,Bakałarzewo,1610,8.5,9.5
44,Łomża,2940,8.8,8.7
45,Wólka Nadbużna,2840,9.1,8.2
46,Trześcianka,1225,9.8,9.7
47,Goniądz,1400,9.2,9.5
48,"Old Town, Białystok",4060,8.9,8.6
49,Drohiczyn,6118,9.5,9.8
50,Dzierwiany,2118,8.2,8.9
51,Goniądz,1998,8.7,8.4
52,Suwałki,3510,8.3,8.6
53,Białystok,9733,9.5,9.4
54,Łazy,2576,9.7,8.9
55,Kolno,2580,8.5,9.1
56,Supraśl,3455,9.9,10.0
57,Pawłówka,1835,9.1,8.7
58,Sejny,2940,8.2,9.0
59,Siemiatycze,3710,8.5,9.1
60,Łomża,2870,9.4,9.0
61,Czerlonka,1365,9.4,8.1
62,Komaszówka,2520,9.6,8.6
63,Łuka,3500,9.9,8.2
64,Wysokie Mazowieckie,2370,8.6,8.8
65,"Old Town, Białystok",4270,8.8,9.3
66,Białystok,2043,9.2,8.2
67,Augustów,5530,9.0,9.1
68,Mońki,1610,7.9,9.2
69,Sejny,2254,8.6,9.4
70,Białowieża,10498,8.4,8.4
71,Supraśl,5306,8.0,9.4
72,Walne,1960,8.0,9.3
73,Białystok,3185,8.6,10.0
74,Białystok,3000,9.1,8.8
75,Kukle,1953,8.6,9.8
76,Wólka Ratowiecka,4011,9.5,9.3
77,Smolany Dąb,1470,9.4,9.0
78,Płaska,2240,8.9,9.7
79,Gawrych Ruda,2912,8.5,8.1
80,"Old Town, Białystok",2390,9.3,9.1
81,Mońki,1547,9.2,9.1
82,Siemiatycze,1890,9.6,9.2
83,Wroceń,4200,9.1,10.0
84,"Old Town, Białystok",2100,9.7,9.1
85,Augustów,2888,9.2,9.3
86,Wysokie Mazowieckie,4900,8.6,9.1
87,Sokółka,2010,9.7,9.6
88,Białystok,2310,8.0,9.7
89,Augustów,8398,8.9,9.9
90,"Old Town, Białystok",4788,8.8,8.7
91,Białowieża,1750,9.1,9.0
92,Wysokie Mazowieckie,5700,9.5,9.0
93,Złotoria,3955,9.0,8.2
94,Supraśl,2653,9.0,8.0
95,Bondary,3667,9.2,9.3
96,Siemiatycze,7084,9.6,9.5
97,Łomża,3977,9.5,8.7
98,Białowieża,3017,9.8,9.1
99,Giby,1739,9.0,9.6
100,Siemiatycze,2625,8.9,9.8
101,Trześcianka,2583,9.2,9.5
102,Supraśl,1680,8.6,9.7
103,Augustów,4687,7.7,8.9
104,Supraśl,2653,9.0,9.9
105,Augustów,1750,9.5,9.0
106,Giby,1739,9.0,9.2
107,Bondary,3641,9.2,9.0
108,Siemiatycze,7084,9.6,9.0
109,Mielnik,2040,9.9,9.7
110,Krasnogruda,3011,9.7,9.2
111,Łomża,3977,9.5,9.7
112,Suwałki,3400,8.7,8.7
113,Białowieża,3017,9.8,9.0
114,Supraśl,3671,9.1,8.4
115,Krynki,2249,9.2,9.4
116,Królowy Most,3518,9.6,9.5
117,Glinnik,3130,9.5,9.3
118,Wysokie Mazowieckie,2254,9.5,8.6
119,Sokółka,1680,9.1,8.9
120,"Old Town, Białystok",1890,9.7,8.3
121,Narewka,1260,9.2,9.0
122,Budy,3633,9.2,9.8
123,Białowieża,1680,8.8,9.6
124,Borsuki,2660,9.5,9.4
125,Dubicze Cerkiewne,1616,9.6,9.3
126,"Old Town, Białystok",1990,9.4,8.3
127,Białystok,1924,8.6,9.2
128,Klepacze,4187,9.2,9.5
129,Przełomka,1260,8.9,9.3
