,City,Cost,Rating,Comfort
0,Władysławowo,2738,9.6,10.0
1,Sopot,3329,8.3,8.7
2,"Dolny Sopot, Sopot",16502,9.1,9.5
3,Władysławowo,2677,8.9,8.5
4,"Przymorze, Gdańsk",2403,8.1,8.0
5,Gdańsk,2898,8.6,9.2
6,Władysławowo,3461,9.3,9.6
7,Łeba,2805,8.9,8.8
8,Krynica Morska,3206,8.3,8.2
9,Białogóra,1553,8.4,8.2
10,Jastrzębia Góra,2148,8.4,8.9
11,Władysławowo,2954,8.0,8.6
12,Władysławowo,1888,8.6,8.5
13,Karwia,1186,7.4,8.6
14,Łeba,1990,8.0,8.7
15,Jastrzębia Góra,2269,8.8,9.8
16,Łeba,1890,8.7,9.6
17,Zblewo,2520,7.6,9.0
18,Władysławowo,4900,8.8,8.5
19,Chmielno,4550,8.9,8.7
20,"Centrum, Gdańsk",5239,9.8,9.0
21,Malbork,5719,9.2,8.9
22,"Centrum, Gdańsk",8600,8.5,9.4
23,Wiele,2383,8.9,9.0
24,"Wzgórze Świętego Maksymiliana, Gdynia",5844,8.7,8.9
25,"Centrum, Gdańsk",4311,8.8,9.3
26,Gdynia,6410,8.7,9.4
27,"Centrum, Gdańsk",4550,9.2,8.9
28,Jastrzębia Góra,8092,9.1,8.8
29,Łeba,16638,9.0,9.3
30,Jastrzębia Góra,2576,9.4,8.2
31,Podiazy,4622,9.4,9.2
32,Gdańsk-Rębiechowo,7792,8.7,9.2
33,Jurata,11501,8.6,8.6
34,Swarzewo,3291,8.2,9.9
35,"Dolny Sopot, Sopot",27907,8.9,9.4
36,Malbork,2450,8.4,8.0
37,"Centrum, Gdańsk",9679,8.7,8.8
38,Łeba,5613,9.2,9.3
39,Rumia,3150,8.6,9.5
40,Władysławowo,9993,9.9,8.7
41,Ustka,21620,9.1,8.8
42,Karwia,7616,8.1,9.0
43,Gdynia,3655,8.6,9.1
44,"Śródmieście, Gdynia",8736,9.1,9.1
45,"Śródmieście, Gdynia",6257,9.3,8.9
46,Rumia,4606,8.8,8.3
47,"Jelitkowo, Gdańsk",10438,8.6,8.2
48,Łeba,2483,9.1,8.1
49,Krzeszna,3015,9.1,8.4
50,Władysławowo,17270,8.9,8.0
51,"Śródmieście, Gdynia",6210,8.8,9.6
52,Hel,3384,8.4,9.3
53,Gdańsk-Rębiechowo,1960,8.2,9.3
54,Ustka,1855,8.4,9.1
55,Ustka,3688,8.5,8.1
56,Ostrowo,3284,8.2,9.8
57,"Wzgórze Świętego Maksymiliana, Gdynia",6453,9.3,9.1
58,"Centrum, Gdańsk",8976,9.0,9.1
59,Dobrogoszcz,3780,9.3,8.7
60,Rowy,3070,9.1,9.5
61,Rewa,5250,8.2,9.1
62,Ostrowo,3906,9.8,9.1
63,Jastarnia,9043,9.0,9.4
64,"Dolny Sopot, Sopot",12559,8.7,8.8
65,Jastrzębia Góra,5734,8.8,9.3
66,"Śródmieście, Gdynia",3365,9.4,8.9
67,Hel,11708,8.8,9.0
68,Kościerzyna,2705,9.0,8.5
69,Sulęczyno,8568,9.2,9.8
70,Władysławowo,4565,9.1,9.1
71,"Centrum, Gdańsk",9724,9.0,8.9
72,Gdańsk,2765,8.9,9.1
73,Rumia,7308,9.0,8.7
74,Gdańsk,3000,8.4,9.1
75,Ostrowo,3906,9.8,9.1
76,Jastarnia,8521,9.0,9.4
77,"Dolny Sopot, Sopot",13338,8.8,9.7
78,"Dolny Sopot, Sopot",11905,8.7,8.8
79,Jastrzębia Góra,6065,8.8,9.3
80,Hel,10534,8.8,9.0
81,Kościerzyna,2705,9.0,9.4
82,Sulęczyno,8568,9.2,8.9
83,Dębina-Ustka,3230,9.4,8.6
84,Władysławowo,4565,9.1,8.5
85,"Centrum, Gdańsk",10224,9.0,9.3
86,Rumia,7308,9.0,8.5
87,Jantar,4025,9.3,8.8
88,Gdańsk,2765,8.9,9.1
89,Sominy,1803,9.1,8.6
90,Gdańsk,3000,8.4,9.2
91,Jastarnia,14311,8.9,9.3
92,Łeba,4170,8.9,9.3
93,Gdańsk,3325,8.8,8.3
94,"Oliwa, Gdańsk",6749,8.9,9.1
95,Hel,6426,8.5,8.6
96,"Centrum, Gdańsk",9742,8.7,8.3
97,Władysławowo,9176,9.1,8.9
98,"Centrum, Gdańsk",8472,9.0,8.9
99,Krynica Morska,3803,8.7,8.7
100,Stężyca,4244,8.8,8.3
101,Hel,6426,8.5,9.4
102,Chmielno,2565,8.2,9.9
103,Jastrzębia Góra,4698,9.0,8.5
104,"Centrum, Gdańsk",7166,8.9,8.8
105,"Dolny Sopot, Sopot",5840,8.7,9.5
106,Krynica Morska,3803,8.7,8.3
107,Jurata,4486,9.3,8.7
108,Władysławowo,8172,9.7,8.6
109,Kartuzy,2520,7.9,8.5
110,"Sobieszewo, Gdańsk",8124,7.7,9.0
111,Krynica Morska,3640,8.5,9.2
112,Lubiatowo,2125,9.0,9.1
113,Gdynia,2306,9.4,8.8
114,"Centrum, Gdańsk",6684,8.3,9.6
115,"Centrum, Gdańsk",6684,8.5,9.2
116,"Centrum, Gdańsk",4040,8.6,9.5
117,Krynica Morska,6224,8.7,8.7
118,"Górny Sopot, Sopot",7331,8.9,10.0
119,Tuszkowy,3584,9.5,8.8
120,Krynica Morska,3709,9.3,8.2
121,Tczew,3535,8.7,8.9
122,Lębork,1927,9.6,9.2
123,"Centrum, Gdańsk",9782,9.0,9.5
124,Wiślinka,5473,9.5,9.4
125,Ustka,8629,8.5,8.7
126,Ustka,5104,9.9,9.1
127,Malbork,5026,8.9,9.2
128,Malbork,2538,8.3,8.5
129,Gdańsk,6904,8.9,9.1
130,Puck,7742,9.3,9.3
131,Pierszczewko,5334,9.5,8.8
132,Władysławowo,4239,9.3,8.9
133,Rowy,6114,8.6,8.0
134,"Centrum, Gdańsk",2342,7.4,9.5
135,Puck,3391,9.2,9.1
136,"Śródmieście, Gdynia",3932,9.0,9.5
137,Rowy,2860,8.6,8.0
138,Jastrzębia Góra,3996,9.1,9.3
139,Gdańsk,2556,9.1,9.5
140,"Śródmieście, Gdynia",5719,7.7,9.1
141,Gołubie,1417,8.7,9.5
142,Sierakowice,4270,8.9,8.6
143,Władysławowo,2517,7.5,9.4
144,"Karlikowo, Sopot",7627,8.2,8.4
145,Jastarnia,2793,9.5,8.9
146,Wycinki,5345,8.9,9.0
147,"Górny Sopot, Sopot",10420,7.5,9.2
148,Jastarnia,3951,9.4,9.4
149,Rumia,5145,7.5,8.8
150,"Karlikowo, Sopot",7627,8.2,8.0
151,Jastarnia,2793,9.2,8.8
152,"Karlikowo, Sopot",11292,9.5,9.2
153,Wycinki,5345,8.9,8.9
154,"Górny Sopot, Sopot",10420,7.5,9.7
155,Jastarnia,2633,9.4,9.1
156,Rumia,5145,8.2,8.2
157,Kościerzyna,4830,9.6,9.2
158,Władysławowo,6001,8.3,9.4
159,Ustka,8260,8.9,8.8
160,Jastrzębia Góra,4608,9.1,8.0
161,Sznurki,2259,9.1,8.8
162,"Centrum, Gdańsk",10711,9.3,8.9
163,"Dolny Sopot, Sopot",4308,8.6,9.7
164,Koczała,2068,7.6,9.1
165,Krynica Morska,11346,8.5,8.2
166,Przechlewo,7584,9.2,9.1
167,Gdynia,1756,8.8,8.5
168,Puck,5168,9.5,8.9
169,Dębina-Ustka,3193,7.8,9.1
170,"Śródmieście, Gdynia",6118,9.1,8.9
171,Władysławowo,1559,8.2,9.4
172,Tczew,2065,8.1,9.6
173,Ustka,1715,8.0,8.7
174,Władysławowo,2954,9.1,10.0
175,"Centrum, Gdańsk",9800,9.3,9.0
176,"Dolny Sopot, Sopot",4308,8.6,9.3
177,Koczała,2068,7.6,9.2
178,Krynica Morska,10096,8.5,8.7
179,Przechlewo,7024,8.8,9.5
180,Puck,4959,9.5,8.9
181,Dębina-Ustka,2779,7.8,8.7
182,"Śródmieście, Gdynia",6118,9.1,8.6
183,Władysławowo,1559,8.2,9.1
184,Tczew,2065,8.1,8.5
185,Ustka,2405,9.2,9.1
186,Sulęczyno,4051,7.4,9.3
187,"Wzgórze Świętego Maksymiliana, Gdynia",6196,8.3,8.2
188,Gdańsk,5619,8.7,9.2
189,"Wrzeszcz, Gdańsk",6918,8.8,8.6
190,"Centrum, Gdańsk",7859,8.8,8.2
191,"Centrum, Gdańsk",8345,9.1,9.4
192,"Centrum, Gdańsk",8560,9.2,8.6
193,Ostrowo,1266,8.9,9.0
194,Żarnowska,1764,9.9,8.0
195,Borsk,5428,9.0,8.2
