,City,Cost,Rating,Comfort
0,Nowy Zyzdrój,6440,7.3,8.7
1,Olsztyn,5625,8.7,9.2
2,Pisz,2464,8.0,9.5
3,Olsztyn,3522,8.9,9.0
4,Frombork,6545,9.3,8.0
5,Olsztyn,3522,8.9,9.3
6,Święta Lipka,2765,8.9,9.1
7,Olsztyn,3819,9.1,8.8
8,Ostróda,8362,8.3,8.6
9,Lidzbark Warmiński,2100,9.0,8.5
10,Frombork,3220,8.5,8.1
11,Iława,6070,8.6,9.0
12,Lidzbark Warmiński,2030,8.4,8.2
13,Orneta,2520,8.8,8.6
14,Kretowiny,2380,8.4,9.1
15,Nowe Guty,5158,8.6,8.6
16,Elbląg,5910,8.9,8.6
17,Ruciane-Nida,5205,9.0,8.8
18,Olsztyn,4361,8.5,8.5
19,Wilkasy,3236,8.9,8.9
20,Bartoszyce,2380,8.7,9.7
21,Stare Jabłonki,8719,8.7,10.0
22,Dorotowo,3556,7.8,9.7
23,Mikołajki,6709,9.8,8.7
24,Kuligi,10480,9.3,9.4
25,Mikołajki,6709,9.8,8.9
26,Dobre Miasto,3675,8.6,9.4
27,Olsztyn,18385,9.2,9.0
28,Zyndaki,2800,9.1,9.8
29,Węgorzewo,3012,9.2,9.5
30,Olsztyn,9486,9.2,8.3
31,Kruklanki,2177,8.0,9.1
32,Wilkasy,4550,9.4,8.8
33,Ełk,3563,8.6,8.4
34,Stare Jabłonki,3196,9.2,9.9
35,Harsz,2800,8.3,8.1
36,Bartoszyce,2478,9.0,9.1
37,Ostróda,4200,8.7,8.1
38,Mrągowo,5800,8.5,8.5
39,Szczytno,2380,9.8,8.1
40,Łukta,4022,8.0,8.1
41,Mrągowo,12040,9.1,8.6
42,Iława,2800,7.9,8.6
43,Pieniężno,1470,8.7,9.4
44,Biskupiec,3080,8.2,9.4
45,Kętrzyn,2555,9.2,8.8
46,Spychowo,3500,8.0,8.9
47,Olsztyn,2110,8.4,9.8
48,Orzysz,2975,8.0,9.4
49,Naterki,5429,8.4,9.2
50,Olsztyn,2110,9.4,9.5
51,Orzysz,2975,8.0,9.8
52,Naterki,5429,9.3,9.5
53,Pluski,4540,8.7,9.8
54,Kętrzyn,5320,9.3,9.1
55,Braniewo,4221,7.3,9.3
56,Mikołajki,9968,9.7,8.6
57,Kuty,1260,9.2,8.6
58,Elbląg,2424,9.0,9.5
59,Olsztyn,2662,9.5,8.9
60,Olsztyn,3819,9.7,9.4
61,Lubawa,11428,9.7,8.7
62,Pasłęk,1960,9.7,8.2
63,Warpuny,3546,9.0,9.6
64,Małdyty,7098,9.5,8.6
65,Stręgielek,3850,8.7,9.5
66,Pisz,6517,8.7,9.7
67,Olsztyn,1790,9.4,8.6
68,Bądki,2418,8.9,9.8
69,Kromerowo,9038,9.3,9.2
70,Iława,3360,9.2,10.0
71,Gołdap,2890,8.0,8.1
72,Lidzbark,3036,9.4,8.7
73,Kruklanki,2100,8.6,9.0
74,Działdowo,3470,9.2,9.5
75,Węgorzewo,2305,8.3,9.8
76,Kadyny,7126,9.6,9.8
77,Warchały,15144,8.4,9.0
78,Ruciane-Nida,7333,8.1,8.4
79,Szczytno,2048,7.3,9.5
80,Ostróda,4727,9.5,8.3
81,Gołdap,2213,6.8,8.0
82,Rydzewo,5880,9.0,9.8
83,Elbląg,2730,9.6,8.9
84,Wielowieś,4474,8.1,8.5
85,Ruciane-Nida,4060,9.1,9.5
86,Łękuk Mały,4933,9.2,9.6
87,Wilkasy,4586,9.2,9.2
88,Kętrzyn,1938,9.8,9.0
89,Ełk,4060,9.7,8.6
90,Reszel,6922,8.7,8.4
91,Elbląg,1190,8.3,8.7
92,Wysoka Wieś,15787,9.3,9.0
93,Bartoszyce,1680,8.5,9.5
94,Dąbrówno,5460,8.6,9.8
95,Ostróda,10394,9.5,9.8
96,Węgorzewo,1295,8.7,9.0
97,Olsztyn,5859,8.3,9.3
98,Sterławki Wielkie,2660,9.8,10.0
99,Butryny,2754,6.8,8.4
100,Wielowieś,4474,9.5,9.7
101,Olecko,2660,9.0,9.6
102,Mrągowo,9635,8.6,9.5
103,Mielno,9200,8.7,8.3
104,Ruciane-Nida,5040,8.3,8.0
105,Rydzewo,3752,9.1,8.5
106,Łękuk Mały,7179,9.2,9.8
107,Kętrzyn,4900,9.2,8.1
108,Wilkasy,4236,9.8,9.1
109,Stare Jabłonki,6408,9.7,9.2
110,Olsztyn,7405,8.7,8.3
111,Reszel,6922,9.3,9.0
112,Elbląg,2100,9.8,9.4
113,Wysoka Wieś,15787,8.3,9.9
114,Bartoszyce,1680,9.8,8.4
115,Dąbrówno,5460,9.6,9.5
116,Ostróda,10394,9.3,9.0
117,Elbląg,1820,8.5,8.9
118,Gołdap,2510,8.6,8.8
119,Węgorzewo,1295,8.4,8.0
120,Narty,3325,9.9,8.6
121,Jazowa,2240,8.5,9.1
122,Olsztyn,5859,9.0,9.4
123,Sterławki Wielkie,2660,9.1,9.1
124,Butryny,2754,8.9,8.9
125,Olsztyn,4968,8.9,9.2
126,Piecki,2539,9.4,8.4
127,Nowa Kaletka,1330,9.8,9.1
128,Rydzewo,1618,8.4,8.2
129,Ruś,1750,9.3,8.2
130,Giżycko,3561,8.8,9.5
131,Narty,4900,8.9,9.3
132,Mikołajki,11418,9.1,8.1
133,Giżycko,3492,8.3,8.6
134,Ełk,2800,8.8,9.3
135,Morąg,3696,8.8,9.4
136,Giżycko,10998,9.4,8.5
137,Olsztyn,1750,8.9,9.6
138,Mrągowo,2469,8.0,9.0
139,Pozezdrze,4620,9.0,9.9
140,Giżycko,2422,9.4,9.1
141,Szczechy Wielkie,1953,7.4,8.0
142,Lubawa,4200,8.3,9.3
143,Biskupiec,3497,9.3,9.0
144,Giżycko,8037,8.2,9.6
145,Olsztyn,2831,8.0,9.3
146,Rydzewo,3332,7.4,8.9
147,Iława,2346,9.4,9.0
148,Elbląg,2380,9.1,9.0
149,Olsztyn,2519,8.2,8.2
150,Krutyń,4572,8.7,8.2
151,Kadyny,6987,9.1,8.8
152,Giżycko,2719,8.0,9.6
153,Elbląg,2380,9.3,9.5
154,Mrągowo,3692,8.3,9.3
155,Elbląg,4746,9.8,8.1
156,Iznota,5161,7.6,8.6
157,Frombork,4270,9.5,9.3
158,Olsztyn,10811,9.7,9.4
159,Ostróda,2940,8.8,8.5
160,Iława,2772,8.2,9.6
161,Giżycko,2999,9.3,9.9
162,Olecko,2328,9.2,9.0
163,Spychowo,1820,9.6,9.1
164,Inulec,1523,9.3,8.4
165,Węgorzewo,2678,8.9,9.3
166,Mikołajki,6882,8.6,9.3
167,Węgorzewo,2240,9.4,8.0
168,Kętrzyn,2520,8.2,8.7
169,Rasząg,2695,8.0,8.9
170,Giżycko,8436,9.1,8.9
